,name,bar_code,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,ingredients_origins,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,link
610,"Cacahuètes Grillées Et Salées, Sachet De 250 Grammes, Marque Belle France - 250g",3258561120720,['Belle France'],,['France'],[],,,[],,?,614,2569 kj(614 kcal),?,"7,2",?,"5,7","26,1",1,"0,4",D,,250 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",,,,,,7.2 g,en quantité élevée,5.7 g,en quantité modérée,1 g,en quantité modérée,,+1%,+2%,,+0%,,+8%,+3%,-15%,-15%,,,,,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,
611,Pistaches grillées à sec - Belle France - 125g,3258561120799,['Belle France'],,['France'],[],,,[],,2499,?,2499 kj(597 kcal),49,"6,7","11,4","6,4","24,7","1,7","0,68",D,,125 g,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches']",,,,49 g,en quantité élevée,6.7 g,en quantité élevée,6.4 g,en quantité modérée,1.7 g,en quantité élevée,-1%,,-2%,-0%,+5%,-26%,-8%,+11%,+65%,+65%,6,+1%,C,+1%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,
612,Mélange Grillé et Salé - Belle France - 100g e,3258561120904,['Belle France'],,['France'],"['Cacahuètes ', '38 %', 'noix de cajou ', '34 %', 'amandes ', '14 %', 'noisettes ', '9,6 %', 'huile de tournesol', 'sel']",,"['Fruits à coque', 'Arachides']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,621,2598 kj(621 kcal),51,"7,4",17,"5,6",21,"0,8","0,32",,,100 g e,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Fruits à coque salés']",,,,51 g,en quantité élevée,7.4 g,en quantité élevée,5.6 g,en quantité modérée,0.8 g,en quantité modérée,,+2%,+2%,+4%,-4%,+10%,-5%,-9%,-29%,-29%,3,-57%,C,-57%,,,,,,,,,,
613,Cocktail apéritif - Belle France - 120g e,3258561120911,['Belle France'],,['France'],"['Raisins ', '40 %', 'sucre de canne', 'papaye ', '11 %', 'ananas ', '10 %', 'amandes ', '9,8 %', 'noisettes ', '9,7 %', 'huile de tournesol', 'acidifiant : acide citrique', 'conservateur : anhydride sulfureux']","['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Fruits à coque', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,404,1690 kj(404 kcal),13,"1,2",66,60,"4,5","0,2","0,08",,,120 g e,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,,,13 g,en quantité modérée,1.2 g,en faible quantité,60 g,en quantité élevée,0.2 g,en faible quantité,,-9%,-8%,-38%,-77%,+33%,+52%,-51%,+63%,+63%,7,-8%,C,-8%,,,,,,,,,,
614,Cacahuetes enrobees - Belle France,3258561120959,['Belle France'],,['France'],"['Cacahuètes ', '43 %', 'farine de blé', 'amidon de pomme de terre', 'huile de tournesol', 'oignon ', '3 %', 'arôme naturel ', '3 %', ' [dont lait]', 'sucre', 'maltodextrine', 'sel', ""gélifiant : gomme d'acacia"", 'colorant: curcumine']","[""E414 - Gomme d'acacia"", 'E100 - Curcumine']","['Gluten', 'Lait', 'Arachides']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,480,2008 kj(480 kcal),24,"3,1",49,10,14,2,"0,8",,,,"['Sachet', 'Plastique']","['Snacks', 'Snacks salés']",,"['Hors France', 'Import']",,24 g,en quantité élevée,3.1 g,en quantité modérée,10 g,en quantité modérée,2 g,en quantité élevée,,+4%,+4%,-1%,-27%,+3%,+206%,+65%,+30%,+30%,17,+39%,D,+39%,,,,,,,,,,
615,Bouillon de Boeuf - Belle France - 12 * 10g,3258561130019,['Belle France'],,['France'],[],,,[],,?,257,1075 kj(257 kcal),"15,4","8,7","17,4","1,6","11,7","47,3","18,92",,,12 * 10 g,['Carton'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de bœuf', 'Bouillons cubes']",,,,,,,,,,,,,+120%,+110%,+277%,+312%,+18%,-60%,+148%,+95%,+95%,,,,,,,,,,,,,,
616,Bouillon Poule - Belle France - 120g (12 * 10g),3258561130033,['Belle France'],,['France'],"['sel', 'graisse de palme', 'exhausteurs de goût : E621 - E631 - E627', 'amidon de pomme de terre', 'graisse et viande de poulet ', '3,5 %', 'sucre', 'arômes', 'épices', 'légumes', 'extrait de levure', 'émulsifiant : E472a', 'colorant : caramel E150c']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,237,992 kj(237 kcal),"17,9","9,1",12,"4,5","6,7","57,7","23,08",,Bouillon de volaille déshydraté en cubes,120 g (12 * 10 g),,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes', 'Bouillons de volaille']",,,,,,,,,,,,,+58%,+49%,+280%,+321%,-38%,-21%,+18%,+130%,+130%,,,,,,,,,,,,,['Huile de palme'],
617,Velouté de Champignons à la Crème Fraîche - Belle France - 1L,3258561130200,['Belle France'],,['France'],"['Eau', 'lait écrémé reconstitué', 'crème fraîche 4,5 %', 'cèpes 2,5 %', 'bolets 2,5 %', 'amidon transformé de maïs', 'sel', 'arômes', 'épaississant : gomme xanthane']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,32,134 kj(32 kcal),"1,4","0,9","3,8","0,9","0,9","0,75","0,3",,Velouté de champignons à la crème fraîche.,1 L,"['Carton', 'Brique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Soupes', 'Veloutés', 'Veloutés de champignons']",['Sans colorants'],,,1.4 g,en faible quantité,0.9 g,en faible quantité,0.9 g,en faible quantité,0.75 g,en quantité modérée,,-20%,-23%,-30%,-9%,-13%,+18%,-13%,+7%,+7%,3,,C,,,,,,,,,,,
618,soupe de legumes aux vermicelles - Belle France,3258561130316,['Belle France'],,['France'],[],,,[],,?,49,205 kj(49 kcal),"1,8","1,4","6,6","2,3","1,2","0,79","0,316",B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes']",,,,1.8 g,en faible quantité,1.4 g,en faible quantité,2.3 g,en faible quantité,0.79 g,en quantité modérée,,+20%,+19%,+4%,+149%,+44%,+19%,+29%,+21%,+21%,4,+182%,C,+182%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,
619,Velouté au 7 légumes - Belle France - 330ml,3258561130514,"['Belle France', 'Le Réflexe Bio']",,['France'],"['eau', 'légumes* 45% ', 'pommes de terre* 15%', 'carottes* 15%', 'jus de tomate reconstitué* 5%', 'oignons* 4%', 'poireaux"" 4%', 'petit pois* 1%', 'céleri branche* 1%', 'amidon de mais ou amidon de riz', 'crème*', 'sucre* sel', 'arôme naturel', "" *Ingrédients issus de l'agriculture biologique""]",,"['Céleri', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,33,138 kj(33 kcal),"0,4","0,2","6,2","2,1","0,7","0,6","0,24",B,,330 ml,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10', 'Sans colorants']",,,0.4 g,en faible quantité,0.2 g,en faible quantité,2.1 g,en faible quantité,0.6 g,en quantité modérée,,-15%,-15%,-74%,-67%,+30%,+14%,-18%,-7%,-7%,1,-25%,B,-25%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,
620,Sauce guacamole - Belle France,3258561138022,['Belle France'],,['France'],"['eau', 'avocat ', '12,3%', 'oignon', 'poivron vert', 'tomates', 'huile de colza', 'mascarpone ', 'crème ', 'lait', 'lait', 'acidifiant : E330', 'amidon modifié', 'flocons de pommes de terre', 'piment vert', 'huile de coco', 'poivron rouge', 'sucre', 'protéines de lait', 'sel', 'piments Jalapeno', 'épices', 'acidifiant : E270', 'antioxydant : E300,jus de citron concentré', 'avocat en poudre ', '0,3%', 'stabilisants : E415', 'E412', 'feuille de coriandre', 'colorant : E160a', 'arômes', 'persil', 'acidifiant : E330', 'colorant : E141']","['E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E300 - Acide ascorbique', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E160a - Carotènes mélangés', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,?,125,523 kj(125 kcal),"9,1","3,1","8,7","2,9","1,1","1,1","0,44",C,,,,"['Epicerie', 'Sauces', 'Guacamoles']",,,,9.1 g,en quantité modérée,3.1 g,en quantité modérée,2.9 g,en faible quantité,1.1 g,en quantité modérée,,-23%,-21%,-26%,+20%,+43%,+41%,-37%,0%,0%,8,+60%,C,+60%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,,,
621,"Cornichons Extra-Fins au Vinaigre Aromatisé - Belle France - 685g (360g net égoutté), 720ml",3258561140070,"['Belle France', 'Francap Distribution']",,['France'],"['Cornichons', 'vinaigre', 'petits oignons', 'sel', 'estragon', 'graines de moutarde jaune', 'coriandre', 'arômes', 'affermissant : chlorure de calcium', 'conservateur : disulfite de potassium']","['E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,?,,?,,?,,?,,,,Cornichons extra fins pasteurisés au vinaigre aromatisé,"685 g (360 g net égoutté), 720 ml","['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons extra-fins', 'Cornichons au vinaigre']","['Point Vert', 'Eco-Emballages']",,"['EMB 41023B', 'Bourré (Loir-et-Cher, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Reitzel Briand - 2 Chemin du Poliveau - 41400 Bourré', 'Loir-et-Cher', 'Centre-Val de Loire', 'France']",,
622,Cornichons extra-fins - Belle France - 720ml,3258561140087,['Belle France'],['Rungis Market'],['France'],"['Cornichons extra fins', 'eau', ""vinaigre d'alcool 18 %"", ""oignons blancs au vinaigre d'alcool"", 'sel', 'graines de moutarde', 'coriandre', ""feuilles d'estragon"", ""arôme d'estragon"", 'raffermissant : chloride de calcium', 'conservateur : disulfite de potassium']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",['Moutarde'],[],4,?,16,67 kj(16 kcal),"0,81",0,"1,15",0,"1,25","0,65","0,26",,Cornichons,720 ml,['Bocal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,0.81 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.65 g,en quantité modérée,,-41%,-37%,+174%,-100%,-67%,-100%,+24%,-62%,-62%,-5,-330%,A,-330%,,,,,,,,,,
623,Oignons blancs - Belle France - 190g,3258561140100,['Belle France'],,['France'],"['Oignons', 'eau', 'vinaigre d’alcool', 'sel', 'arôme', 'acide citrique', 'disulfite de sodium']","['E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,?,24,100 kj(24 kcal),"0,1","0,1",4,3,"0,7","1,2","0,48",B,,190 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons']",,,,0.1 g,en faible quantité,0.1 g,en faible quantité,3 g,en faible quantité,1.2 g,en quantité modérée,,0%,-7%,-94%,-23%,-13%,+35%,-48%,+324%,+324%,0,,B,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,
624,Mayonnaise à la moutarde de Dijon - Belle France - 450g,3258561140261,['Belle France'],,['France'],"['Huile de colza ', '69%', 'eau', ""jaune d'œuf "", '5%', ""vinaigre d'alcool"", 'moutarde de Dijon ', '2,5%', ' [eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur : disulfite de potassium', 'acidifiant : acide citrique', 'dextrose', 'sel', 'amidon modifié de maïs', 'arôme naturel ', 'dont moutarde', 'épaississant : gomme xanthane']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Œufs', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2673,650,2673 kj(650 kcal),"70,8","5,6","1,9","1,2",1,"1,25","0,5",D,,450 g,"['Flacon', 'Plastique']","['Epicerie', 'Sauces', 'Mayonnaises', 'Mayonnaises de Dijon']","['Point Vert', 'Fabriqué en France']",,"['EMB 59599', 'Tourcoing (Nord, France)']",70.8 g,en quantité élevée,5.6 g,en quantité élevée,1.2 g,en faible quantité,1.25 g,en quantité modérée,-2%,0%,-1%,+1%,-12%,-17%,-17%,-28%,-16%,-16%,15,-20%,D,-20%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['France'],,
625,Moutarde de Dijon fine et forte - Belle France - 160g,3258561140322,['Belle France'],,['France'],"['eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,149,623 kj(149 kcal),"11,5","0,8","3,2","2,7","7,2","6,5","2,6",B,,160 g,"['Bocal', 'Verre']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,,"['EMB 21200', ""Couchey (Côte-d'Or, France)""]",11.5 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,,-6%,-6%,0%,+5%,-12%,+20%,+0%,+10%,+10%,9,-17%,C,-17%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,
626,Moutarde de Dijon Fine et Forte - Belle France - 190g,3258561140346,['Belle France'],,['France'],"['Eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antioxydant : disulfite de potassium', 'acidifiant: acide citrique']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']","['Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,149,623 kj(149 kcal),"11,5","0,8","3,2","2,7","7,2","6,5","2,6",B,,190 g,"['Verre', 'Plastique']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,,,11.5 g,en quantité modérée,0.8 g,en faible quantité,2.7 g,en faible quantité,6.5 g,en quantité élevée,,-6%,-6%,0%,+5%,-12%,+20%,+0%,+10%,+10%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,
627,Sauce Tartare - Belle France - 235g,3258561140469,['Belle France'],['Auchan'],['France'],"['Huile de colza', 'eau', 'cornichons ', '7%', 'dextrose', ""jaune d'œuf"", 'câpres ', '3%', ' vinaigre de vin ', 'dont sulfites', 'sel', 'amidon modifié de mais', ""vinaigre d'alcool"", 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur: disulfite de potassium', 'acidifiant : acide citrique', 'échalotes déshydratées ', 'dont sulfites', 'arome', 'épaississant : gomme xanthane', 'fines herbes déshydratées', "" Présence de jaune d'oeuf"", 'moutarde et sulfites', ' Traces éventuelles de lait']","['E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E415 - Gomme xanthane']","['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien']",4,?,532,2226 kj(532 kcal),56,"4,2","5,6","4,3","0,8","1,9","0,76",B,,235 g,['cornichons et capres'],"['Epicerie', 'Sauces', 'Sauces tartare', 'en:Epicerie', 'en:Sauces tartare']",['en:Belle france'],,,56 g,en quantité élevée,4.2 g,en quantité modérée,4.3 g,en faible quantité,1.9 g,en quantité élevée,,+93%,+95%,+163%,+83%,-49%,-40%,-60%,-33%,-33%,18,+38%,D,+38%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,
628,Sauce aigre douce - Belle France - 350g,3258561140667,['Belle France'],,['France'],"['eau', 'légumes ', '26%', ' ', 'poivrons rouges', 'poivrons verts', 'oignons', 'carottes', 'céleri', 'pousses de bambou', 'purée de tomates ', '11,5%', 'sucre', 'sirop de glucose-fructose de blé', ""vinaigre d'alcool"", 'amidon transformé de pomme de terre', 'ananas ', '2%', 'sel', 'vin blanc', 'épices', 'arômes']",['E14XX - Amidons modifiés'],['Céleri'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,364,76,364 kj(76 kcal),"0,1",0,"17,9",15,"0,6",0,0,B,,350 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Epicerie', 'Sauces', 'Sauces aigre-douces']",['Fabriqué en France'],,"['EMB 84029A', 'Camaret-sur-Aigues (Vaucluse, France)']",0.1 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,0 g,en faible quantité,-18%,-39%,-29%,-70%,-100%,-32%,-32%,+20%,-100%,-100%,3,-70%,C,-70%,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,['France'],,
629,Purée de tomates - Belle France - 500g,3258561140742,['Belle France'],,['France'],"['purée de tomates 99,7%', 'sel', ""correcteur d'acidité : acide citrique""]",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,27,113 kj(27 kcal),"0,4",0,4,"3,5","1,5","0,3","0,12",B,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Sauces', 'Sauces tomate', 'Purées de tomates']",,,,0.4 g,en faible quantité,0 g,en faible quantité,3.5 g,en faible quantité,0.3 g,en faible quantité,,-48%,-45%,-63%,-100%,-31%,-22%,-5%,-33%,-33%,-4,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,
630,Huile d'arachide - Belle France - 1l,3258561141046,['Belle France'],,['France'],[],,,[],,?,900,3766 kj(900 kcal),100,19,0,0,0,,,D,,1 l,['Bouteille plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de légumineuses', ""Huiles d'arachide""]",,,"['EMB 30243', 'Saint-Christol-lès-Alès (Gard, France)']",100 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,,,,+4%,+4%,+4%,+14%,,,,,,,,,,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,
631,Huile De Colza - Belle France - 1L (920g),3258561141053,['Belle France'],,['France'],['100% huile de colza'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,?,900,3766 kj(900 kcal),100,7,0,0,0,0,0,C,,1 L (920 g),"['Bouteille', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,,"['EMB 59155', 'Coudekerque-Branche (Nord, France)']",100 g,en quantité élevée,7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+3%,+4%,+3%,-2%,-100%,-100%,-100%,-100%,-100%,5,-1%,C,-1%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,
632,Huile de friture - Belle France - 1L,3258561141077,['Belle France'],,['France'],"['60% huile de tournesol', '20% huile de tournesol à haute teneur en acide oléique', '20% huile de colza']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,?,900,3766 kj(900 kcal),100,"9,6",0,0,0,0,0,D,Mélange d'huiles végétales pour fritures,1 L,['Bouteille en plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Mélanges d'huiles""]",['Point Vert'],,"['EMB 59155', 'Coudekerque-Branche (Nord, France)']",100 g,en quantité élevée,9.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+2%,+3%,+2%,+2%,,,,,,10,+1%,C,+1%,85.4%,5.5%,3.9%,3.4%,1.7%,0.0%,50,,,
