,name,bar_code,eco_score,brand,categories,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,additives,allergens,nova_score,brand_owner,generic_name,packaging,palm_ingredients,manufacturing,link,ingredients_origins
481,Alfieri,8031175052701,,,,,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,5,,"2,4",,"6,7",,0,,14,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,
482,Chipolatas a l'ancienne label rouge,2654277024863,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,,['France'],[],[],15 g,en quantité modérée,5 g,en quantité modérée,0.8 g,en faible quantité,1.7 g,en quantité élevée,?,,205,-14%,858 kj(205 kcal),-14%,15,-21%,5,-31%,"1,6",+37%,"0,8",+27%,16,+4%,"1,7",-6%,"0,68",-6%,13,-22%,D,-22%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"['Sans colorants', 'Sans conservateurs', 'Label Rouge']",,,,,,,,,,
483,Jambon cuit supérieur avec couenne,2288933032086,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon avec couenne', 'Jambon cuit avec couenne', 'Jambon supérieur avec couenne']","['FR 38.193.001 CE', ""Isle-d'Abeau (Isère, France)""]",,['France'],[],[],6 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,?,,137,+4%,573 kj(137 kcal),+5%,6,+25%,2,+9%,1,+49%,1,+68%,20,-5%,2,+7%,"0,8",+7%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
484,Gouden Carolus Singel Malt 46% 50 CL,5425006241274,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Taboulé Verde,2217175020278,,,,,,['France'],[],[],,,,,,,,,?,,102,,427 kj(102 kcal),,"6,26",,"0,75",,"8,53",,"1,97",,"1,93",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,
486,Chou Farci,3513261280564,,,,,,['France'],[],[],,,,,,,,,?,,129,,540 kj(129 kcal),,"8,8",,3,,"5,4",,"1,8",,"6,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
487,Organic SPIRULINA tablets,5060293440179,E,,"['Compléments alimentaires', 'Spiruline']",,,['France'],[],"['Végétalien', 'Végétarien']",5.9 g,en quantité modérée,2.1 g,en quantité modérée,3.1 g,en faible quantité,0.26 g,en faible quantité,?,,367,+46%,1536 kj(367 kcal),+45%,"5,9",+61%,"2,1",+64%,12,+17%,"3,1",+345%,"65,2",+32%,"0,26",-77%,"0,104",-77%,2,-59%,B,-59%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,"['Végétarien', 'Végétalien']",,,,,,,,,,
488,90ML Freekee Mega Brain Licker,8437001799763,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Pain Carre,3289666124900,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Poulet nourri aux graines de lin - Maître Coq,0215703017129,,['Maître Coq'],,,,['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,12,,"3,2",,0,,0,,18,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,
