,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,traceability_code,brand_owner,ingredients_origins,generic_name,link,palm_ingredients
1825,Bonbons Fraises des bois,11100003,,,,['France'],[],[],?,385,"0,5","96,2","0,5","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,+8%,-73%,+15%,-76%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,1611 kj(385 kcal),"0,01","66,5","0,022","0,009",,0.5 g,en faible quantité,0.01 g,en faible quantité,66.5 g,en quantité élevée,0.0225 g,en faible quantité,+7%,-99%,+15%,-81%,-81%,14,-3%,D,-3%,,,,,,,
1826,Clou De Girofle,3410280006635,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",,,,,,,,B,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Bonbons Peanut,5000159469838,,,,['France'],[],[],?,511,"25,3","59,2","9,7",,,,,,,,,,,,,,,,,,,2138 kj(511 kcal),"10,3","53,8","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,
1828,Thé BOP ceylan,4791075006153,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Vin blanc Ribeaupierre chardonnay,3439495506709,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,Abondance - Appellation d'origine protégée au lait cru de vache - 181g,2489518021383,181g,['Plastique'],['ABONDANCE'],['France'],['LAIT cru de vache - sel - ferments - présure animale'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,401,33,1,25,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée non cuite']",['AOP'],['Auchan'],,+15%,+17%,+46%,+9%,B,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Lait'],3,1678 kj(401 kcal),23,"0,5",2,"0,8",['Annecy'],33 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,+15%,+19%,+55%,+20%,+20%,18,+15%,D,+15%,,,,['France'],,,
1831,Baguette epi,,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,"Espumante Raposeira Mi Sec,",5606215050011,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Graine de chia -,0190295542931,,,,['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Brandade de morue parmentière - Briac - servi par animatrice,0208978042057,servi par animatrice,,['Briac'],['France'],[],[],?,?,?,?,?,"['Plats préparés', 'Gratins', 'Gratins de poisson']",,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Pain BURGER,3770013667022,,['Sachet'],,['France'],[],[],?,261,"4,4","43,8","10,8",,"['Sans conservateurs', 'Sans additifs']",,,,,,,,,,,,,,,,,1092 kj(261 kcal),"1,59","3,1","1,44","0,576",,,,,,,,,,,,,,,,,,,,,,,,,
1836,Langue de Bœuf Sauce Madère - 410g,3261830607167,410 g,,,['France'],[],[],?,182,"13,3","4,3",11,"['Conserves', 'Viandes', 'Plats préparés', 'Bœuf', 'Plats préparés en conserve', 'Langues de bœuf']",,,,+18%,+29%,+7%,+2%,E,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,761 kj(182 kcal),6,"2,3",1,"0,4",,13.3 g,en quantité modérée,6 g,en quantité élevée,2.3 g,en faible quantité,1 g,en quantité modérée,+19%,+44%,+58%,+2%,+2%,11,+128%,D,+128%,,,,,,,
1837,Gourmet,0079113481266,,,,['France'],[],[],?,230,3,13,6,,,,,,,,,,,,,,,,,,,962 kj(230 kcal),0,6,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,
1838,Pesto Rosso - Italiamo,20970642,,,['Italiamo'],['France'],[],[],?,305,"26,4","11,7","3,7","['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",,,,-16%,-21%,+39%,-8%,C,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,1276 kj(305 kcal),"3,2","6,5","1,6","0,64",,26.4 g,en quantité élevée,3.2 g,en quantité modérée,6.5 g,en quantité modérée,1.6 g,en quantité élevée,-15%,-35%,+16%,-22%,-22%,14,-12%,D,-12%,,,,,,,
1839,Pains Bagnat,3602826451935,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,Saucisse sèche au piment d'espelette,3292450000885,,,,['France'],[],[],?,365,28,"1,9",27,,['Sans colorants'],,,,,,,,,,,,,,,,,1527 kj(365 kcal),11,"1,65","4,2","1,68",,,,,,,,,,,,,,,,,,,,"['FR 81.124.011 CE', 'Lacaune (Tarn, France)']",,,,,
1841,Eau minérale naturelle Fines bulles,3683080450247,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Finger food,5741200319084,,,,['France'],[],"['Végétalien', 'Végétarien']",?,216,"11,2","24,8",3,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,904 kj(216 kcal),"0,8","2,6","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,
1843,Tomates cerises allongées - Kultive,3361319423520,,,['Kultive'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",,,,,,,,B,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,Whey Proteine Bio,3701182300397,,,,['France'],[],[],?,348,"4,6","5,7",71,,"['Bio', 'Bio européen', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,1456 kj(348 kcal),3,"3,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,
1845,Chocolat noir - Cachet - 300g,5412956216445,300 g,,['Cachet'],"['France', 'Espagne']",[],[],?,529,34,43,"8,5","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,-5%,-14%,+11%,+11%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,2213 kj(529 kcal),17,37,"0,02","0,008",,34 g,en quantité élevée,17 g,en quantité élevée,37 g,en quantité élevée,0.02 g,en faible quantité,-5%,-26%,+17%,-57%,-57%,24,+13%,E,+13%,,,,,,,
1846,Choux fleur porc romarin - Babybio,3288131550909,,,['Babybio'],['France'],[],[],?,40,"1,2","4,3","2,3",,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,167 kj(40 kcal),"0,3","1,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,
1847,Pain waldkorn,0202048012148,,,,['France'],[],[],?,268,"9,1","3,1",30,,,,,,,,,,,,,,,,,,,1121 kj(268 kcal),"1,3","1,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,
1848,Pain Waldkorn,1030150116824,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,Pepsi cola zero,8606003340536,,,['Pepsi'],['France'],[],[],?,3,0,"0,1",0,,,,,,,,,,,,,,,,,,,13 kj(3 kcal),0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1850,Confiserie du chaudron,5425039330921,,,,['France'],[],[],?,313,0,72,"6,2",,,,,,,,,,,,,,,,,,,1310 kj(313 kcal),0,57,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,
1851,Lardons Cuits Fumés 200g - 200g,3280596100026,200 g,,,['France'],[],[],?,311,27,"0,5","16,4",,,,,,,,,,,,,,,,,,,1301 kj(311 kcal),"10,7","0,3","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,
1852,Fromage de tête,3470120006096,,,,['France'],[],[],?,235,"19,2","0,4","14,1","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",,,,+21%,+40%,-47%,-8%,D,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,,983 kj(235 kcal),"6,7","0,1","2,2","0,88",,19.2 g,en quantité modérée,6.7 g,en quantité élevée,0.1 g,en faible quantité,2.2 g,en quantité élevée,+26%,+29%,-72%,+27%,+27%,17,+44%,D,+44%,,,,,,,
1853,Feldschlössen Braufrisch - 6x 50cl,7612900338027,6 x 50 cl,,,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,Spongiez choclate,8719189419788,,,,['France'],[],[],?,362,"16,9","47,9","4,6",,,,,,,,,,,,,,,,,,,1515 kj(362 kcal),"6,99","24,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,
1855,Meridian Organic Sunflower Seed Butter,5060132280706,,,,['France'],[],[],?,619,"49,2","19,3","20,5","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Graines de tournesol et dérivés', 'Purées de graines de tournesol']",,,,-12%,-27%,+173%,+69%,,,,,,,,,,,2590 kj(619 kcal),"6,8","1,8",0,0,,49.2 g,en quantité élevée,6.8 g,en quantité élevée,1.8 g,en faible quantité,0 g,en faible quantité,-12%,-9%,+41%,-100%,-100%,13,+6%,D,+6%,,,,,,,
1856,Décors sucrés flocons blanc/ bleu,3700392490270,,,,['France'],[],[],?,419,"4,3","94,1","0,6",,,,,,,,,,,,,,,,,,,1753 kj(419 kcal),"0,8","87,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1857,3760022380005,3760022380005,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,Coeur de pom - 1l,3760195902387,1 l,,['Coeur De Pom'],['France'],[],[],?,44,0,11,0,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,-4%,-100%,0%,-100%,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,184 kj(44 kcal),0,11,0,0,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,-4%,-100%,+6%,-100%,-100%,5,+20%,C,+20%,,,,,,,
1859,Rosca iberique,8437012185517,,,,['France'],[],[],?,274,"10,6","2,9","12,1",,,,,,,,,,,,,,,,,,,1146 kj(274 kcal),"5,7","2,9",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
1860,Paysan Breton,08908229,,,['Paysan Breton'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,Confit d'oignons au caramel beurre salé - Aix&terra - 100g,3760158961017,100g,,['Aix&terra'],['France'],"['oignons ', '60%', 'sucre de canne', ""vinaigre d'alcool "", 'sufite', 'beurre salé ', '0,8%', ' ', 'lait', 'sel', 'gélifiant : pectine']",['Non végétalien'],?,185,"0,5","40,8","0,7","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",['Fabriqué en France'],,,+10%,-70%,+17%,-30%,,,,,,,,,['Lait'],4,774 kj(185 kcal),"0,5",40,"2,15","0,86",,0.5 g,en faible quantité,0.5 g,en faible quantité,40 g,en quantité élevée,2.15 g,en quantité élevée,+10%,+89%,+23%,+243%,+243%,14,+112%,D,+112%,['E440 - Pectines'],,,,,,
1862,The heritage collection - Walkers - 240g,0039047001862,240 g,,['Walkers'],['France'],[],[],?,522,"28,7","59,5","5,5",,,,,,,,,,,,,,,,,,,2184 kj(522 kcal),"17,9","18,6","0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,
1863,Nocciolata bianca - Rigoni di Asiago,10090954,,,['Rigoni di Asiago'],['France'],[],[],?,535,32,46,13,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']","['Bio', 'Bio européen', 'Sans gluten', 'Sans huile de palme', 'AB Agriculture Biologique']",,,-3%,-7%,-9%,+88%,C,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,2238 kj(535 kcal),5,34,"0,19","0,076",,32 g,en quantité élevée,5 g,en quantité modérée,34 g,en quantité élevée,0.19 g,en faible quantité,-3%,-34%,-27%,+83%,+83%,17,-17%,D,-17%,,,,,,,
1864,Maggi - 150g,3660146073145,150 g,,['Maggi'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,Coconut slim bar - Fitvia,4260515892606,,,['Fitvia'],['France'],[],[],?,393,17,45,11,,['en:gluten-free'],,,,,,,,,,,,,,,,,1644 kj(393 kcal),14,38,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,
1866,Radis de 18 jours,3182670106897,,,,['France'],[],[],?,?,?,?,?,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,6,3700716412223,6,,,['France'],[],[],?,?,?,?,?,"[""Produits d'élevages"", 'Œufs']",,,,,,,,D,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,Cerveza - Spar,8480013247302,,,['Spar'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1869,Candy&fun - Becky's,8713305810671,,,"[""Becky's""]",['France'],[],[],?,384,"1,6",92,"0,2",,,,,,,,,,,,,,,,,,,1607 kj(384 kcal),"1,1",75,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,
1870,krochi con agglio - kal kasa - 120g,8015565113487,120g,,['kal kasa'],['France'],"[""farine huile d'olive sel""]",[],?,450,"16,7","66,7",10,,,,,,,,,,,,,,,,,,,1880 kj(450 kcal),"3,33",0,"2,46","0,982",,,,,,,,,,,,,,,,,,,,,,['Italie'],,,
1871,3261414770409,3261414770409,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 84098A', 'Roaix (Vaucluse, France)']",,,,,
1872,Vida Nova,5400338004384,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'DE-ÖKO-005']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,Chips de banane,8936046150336,,,,['France'],[],[],?,486,21,71,"2,3",,,,,,,,,,,,,,,,,,,2033 kj(486 kcal),6,43,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,
1874,Salade de farfalle boule et bille,3300842240464,,,,['France'],[],[],?,161,10,"13,9","3,1",,,,,,,,,,,,,,,,,,,674 kj(161 kcal),1,"1,9","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,
1875,Cheveux d'ange 20% - 650g,3565660010242,650 g,,,['France'],[],[],?,258,20,0,"16,8",,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,1079 kj(258 kcal),"9,79",0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,"['FR 44.036.007 CE', 'Châteaubriant (Loire-Atlantique, France)']",,,,,
1876,Montecado de avellana,8410536011227,,,,['France'],[],[],?,513,27,61,7,,,,,,,,,,,,,,,,,,,2146 kj(513 kcal),12,25,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,
1877,Mont Blanc,45863127,,,['Mont Blanc'],['France'],[],[],?,?,?,?,?,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,Pâte à tartiner noisette cacao - Lucien Georgelin - 400g,3330720237367,400g,,['Lucien Georgelin'],['France'],"['Sucre', 'noisette du Lot et Garonne 16%', 'poudre de lait écrémé', 'huile de coco', 'poudre de cacao maigre 7%', 'huile de colza', 'émulsifiant : lécithine de tournesol']","['Sans huile de palme', 'Non végétalien']",?,540,32,54,"8,4","['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']","['Fabriqué en France', 'en:palm-oil-free']",,,-1%,-6%,+6%,+28%,,,,,,,,,,4,2259 kj(540 kcal),10,50,"0,16","0,064",,32 g,en quantité élevée,10 g,en quantité élevée,50 g,en quantité élevée,0.16 g,en faible quantité,-0%,+28%,+8%,+44%,+44%,25,+21%,E,+21%,['E322i - Lécithine'],,,,,,
1879,Poivron - 300g,8430236450010,300 g,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-020-CV']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,Opéra mints,5774540651972,,,,['France'],[],[],?,444,12,80,"2,2",,,,,,,,,,,,,,,,,,,1858 kj(444 kcal),12,"7,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,
1881,Hamburger-Brötchen Vollkorn,4260362182554,,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Krusti'koeur,3770011148141,,,,['France'],[],"['Végétalien', 'Végétarien']",?,422,"31,8","12,2","18,3",,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,1766 kj(422 kcal),"3,5","3,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,
1883,La givrée,3770004616299,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,Baguette de pain,3760284700009,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Triple buse,3770001968032,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1886,Pain au  lin tranché - MénéBio,3760054743489,,,['MénéBio'],['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,Île de France camemberts - 227g,0071448505167,227g,,['Île de France'],"['France', 'États-Unis']","['Pasteurized milk', 'salt', 'lactic starters', 'animal rennet', 'geotrichum ', 'harmless mold']",['Non végétalien'],?,286,"21,43",0,0,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages au lait cru', 'Camemberts au lait cru', 'Camemberts de Normandie']",,,,+3%,+0%,-100%,-100%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,1197 kj(286 kcal),"14,29",0,"1,428","0,571",,21.4 g,en quantité élevée,14.3 g,en quantité élevée,0 g,en faible quantité,1.43 g,en quantité modérée,+3%,-1%,-100%,-16%,-16%,19,+28%,E,+28%,,,ILE DE FRANCE,,,,
1888,65g,3700843521010,65 g,,,['France'],[],[],?,?,?,?,?,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",,,,,,,,B,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Harissa cap-bon,6194024504089,,,,['France'],[],[],?,?,?,?,?,"['Epicerie', 'Sauces', 'Harissas']",,,,,,,,C,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,Spaghettini - Delverde,8006680040031,,,['Delverde'],['France'],[],[],?,366,"1,5",73,14,,,,,,,,,,,,,,,,,,,1531 kj(366 kcal),"0,4",4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1891,3263450117187,3263450117187,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Feuilleté poulet au citron confit,3033124703202,,,,['France'],[],[],?,260,13,25,"9,2",,,,,,,,,,,,,,,,,,,1088 kj(260 kcal),8,3,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,
1893,FAR AUX PRUNEAUX ×2,0260839015747,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Framboises,3276559312698,,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'ES-ECO-001-AN']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Beurre bio doux fermier,3770000402575,,,,['France'],[],[],?,?,?,?,?,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']","['Bio', 'Bio européen', 'FR-BIO-12']",,,,,,,D,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 16.047.003 CE', 'Blanzaguet-Saint-Cybard (Charente, France)']",,,,,
1896,BBQ sauce Southetn Blues - 439g,0032458971403,439 g,,,['France'],[],[],?,220,0,56,0,"['Epicerie', 'Sauces', 'Sauces barbecue']",['en:gluten-free'],,,+41%,-100%,+80%,-100%,B,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,920 kj(220 kcal),0,53,"0,73","0,292",,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0.73 g,en quantité modérée,+40%,-100%,+103%,-64%,-64%,15,+3%,D,+3%,,,,,,,
1897,Pain linette cailler 350g - Biocoop,02400105,,,['Biocoop'],['France'],[],[],?,?,?,?,?,,['Bio'],['Biocoop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Dadels - Albert Heijn,8710400580485,,,['Albert Heijn'],"['France', 'Pays-Bas']",[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",,,,,,,,C,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Boter,8718906908895,,,,"['France', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,35428527,35428527,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Zucchero vanigliato - D. Oetker - 8g,8710466004802,8g,,['D. Oetker'],"['France', 'Allemagne', 'Pays-Bas']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Brugnon,3527842003053,,,,['France'],[],[],?,1,1,1,1,,,,,,,,,,,,,,,,,,,4 kj(1 kcal),1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
1903,300g,56470042942605,300 g,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Pate a tartiner lait caramel  croustillant - Jean d'Audignac - 200g,3700238322642,200 g,,"[""Jean d'Audignac""]",['France'],[],['Sans huile de palme'],?,?,?,?,?,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,Confiture de myrtille allégée en sucres - Côteaux Nantais - 225g,3301595002132,225 g,,['Côteaux Nantais'],['France'],[],[],?,181,"0,6",40,"0,6","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,-17%,+130%,-25%,+54%,C,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,757 kj(181 kcal),0,40,0,0,,0.6 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,-18%,-100%,-21%,-100%,-100%,5,-46%,C,-46%,,,,,,,
1906,Thé au jasmin - Sprounting - 100sachets,4901280900089,100 sachets,['boite de 100 sachets individuels'],['Sprounting'],['France'],['thé vert & fleurs de jasmin'],[],?,359,2,"57,5","28,2",,,['Asia store'],,,,,,,,,,,,,,,,1502 kj(359 kcal),0,0,"0,01","0,004",['Chine'],,,,,,,,,,,,,,,,,,,,,,,,
