,name,bar_code,quantity,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,packaging,additives,nova_score,generic_name,palm_ingredients,manufacturing,link,ingredients_origins,markets,brand_owner
46,PULCO Citron -  - 70cl,3401142689004,70 cl,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés']",,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
47,Steak house,3401144618385,,,['France'],[],[],?,530,2218 kj(530 kcal),31,11,38,8,19,"7,9","3,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Nutriben Ar 2eme Age,3401161375919,,,['France'],[],[],?,68,285 kj(68 kcal),"2,8","1,2","8,9","6,3","1,7","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Olinox Draineur 3 En 1 - Nut'exel,3401162438156,,,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,0,0,['Sans sucre ajouté'],,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-96%,-97%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,1,-87%,B,-87%,,,,,,,,"[""Nut'exel""]",,,,,,,,,,,
50,Delical Boisson Fruits De Verger Pack,3401220853020,,,['France'],[],[],?,125,523 kj(125 kcal),0,0,"27,1","8,7","4,2","0,05","0,02","['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Taranis Biscuit Sable Frambois 120G 4616,3401221209789,,,['France'],[],[],?,476,1992 kj(476 kcal),"18,6","9,1","76,6","16,7","0,6",0,0,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Picot Ma 1ere Boisson Aux Plantes : Tilleul Dès,3401242942924,,,['France'],"['Dextrose', 'maltodextrine', 'exfrait naturel de tilleul 2 5% ', 'arômes naturels e camomille']",[],?,18,75 kj(18 kcal),0,0,"4,5","4,1",0,0,0,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,4.1 g,en quantité modérée,0 g,en faible quantité,,-68%,-69%,-100%,-100%,-60%,-57%,-100%,-100%,-100%,6,-22%,D,-22%,,,,,,,,['Picot'],,,,4,,,,,,,
53,Picot - Boisson Fenouil Bio,3401242943006,,,['France'],"['Dextrose', 'exfrait de fenouil ', '2,596', 'arôme de fenouil naturel']",[],?,355,1485 kj(355 kcal),0,0,"88,7","88,4",0,0,0,['Bio'],,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,88.4 g,en quantité élevée,0 g,en faible quantité,,+534%,+516%,-100%,-100%,+685%,+836%,-100%,-100%,-100%,20,+161%,E,+161%,,,,,,,,['Picot'],,,,4,,,,,,,
54,"Picot Mae Boisson Aux Plantes ""Fleur D'oranger"" Boite De 10 Sachets Dès",3401242943235,,,['France'],"['Dextrose', ""extrait naturel de fleur d'oranger "", '0', '5%', ""arome naturel de fleur d'oranger""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,18,75 kj(18 kcal),0,0,"4,5","4,5",0,0,0,,,"['Boissons', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0 g,en faible quantité,,-59%,-62%,-100%,-100%,-48%,-34%,-100%,-100%,-100%,6,+9%,D,+9%,,,,,,,,['Picot'],,,,4,,,,,,,
55,Nestle Clinutren Fruits Orange - 4 Bouteilles D?,3401243312313,,,['France'],"['Pour les besoins nutritionnels en cas de dénutrition ou risque de dénutrition', ' Utiliser sous contrôle médical', "" Nutrition orale des patients adultes en complément de l'alimentation"", ' Convient aux enfants de plus de 3 ans', "" Ne peut constituer la seule source d'alimentation"", ' Agiter avant emploi', ' A déguster de préférence frais', ' Non ouvert', 'conserver dans un endroit sec et frais', ' Une fois ouverte', 'la bouteille peut être refermée et conservée au réfrigérateur pour une consommation dans les 24 heures', ' Si le produit est versé dans un autre récipient', 'bien recouvert il peut être conservé à température ambiante et consommé dans les 6 heures', ' Dosage recommandé 1 à 3 unités par jour à adapter selon les recommandations médicales', ""à l'âge"", ""aux besoins et à l'état du patient"", "" Penser à boire suffisamment d'eau entre les prises"", ' Ingrédients Eau', 'sirop de glucose', ""jus d'orange à base de concentré "", '1 9%', 'protéines hydrolysées de lactosérum ', 'lait', 'saccharose', ""correcteur d'acidité "", 'E330', 'vitamines ', 'C', 'E', 'niacine', 'acide pantothénique', 'B6', 'BI ', 'A', 'B2', 'acide folique', 'K', 'biotine', 'D', 'BI 2', 'arômes', 'émulsifiant ', 'E471 ', 'iodure de potassium', ' Conditionné sous atmosphère protectrice', ' Stérilisé UHT', ' Sans lactose', ' Sans gluten', ' Sans lipides']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,150,628 kj(150 kcal),0,0,33,11,4,"0,052","0,021","['Sans gluten', 'Sans lactose']",,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.052 g,en faible quantité,,+168%,+161%,-100%,-100%,+192%,+17%,+706%,+25%,+25%,18,+135%,E,+135%,,,,,,,,['Nestlé'],['Lait'],,"['E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,
56,Hepax Digestion - Tradiphar - 125ml,3401243691623,125ml,,['France'],"['Eau', 'feuilles ', 'bractées', "" d'artichaut "", 'cynara scolymus L', 'baie de sureau ', 'Sambucus nigra L', 'feuilles de romarin ', ' Rosmarinus officinalis L', 'feuilles de boldo ', 'Peumus boldus Molina', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium et benzoate de sodium']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tradiphar'],,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,
