,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,ingredients_origins,manufacturing,nova_score,brand_owner,additives,allergens,link,palm_ingredients,generic_name,producer_info
920,"Réserve du président 37,5",3268956700505,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Saucisse de viande,2450701021626,,,,['France'],[],[],?,299,26,"0,5","11,3",,,,,,,,,,,,,,,,,,,,,,,,1251 kj(299 kcal),,9,,"0,4",,"2,1",,"0,84",,,,,,,,,,,,,,,,,
922,Tortiglioni,8020312005489,,,,['France'],[],[],?,356,"1,4",72,13,,,,,,,,,,,,,,,,,,,,,,,,1490 kj(356 kcal),,"0,4",,"2,8",,0,,0,,,,,,,,,,,,,,,,,
923,Khoisan Tea Grönt Rooibos Te Eko 20 Tepåsar,6009617861145,,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,0,,"0,38",,"0,152",,,,,,,,,,,,,,,,,
924,Bacon 8 tranches,2245236013457,,,,['France'],[],[],?,116,"2,3","0,7",23,,,,,,,,,,,,,,,"['FR 44.102.002 CE', 'Montbert (Loire-Atlantique, France)']",,,,,,,,,485 kj(116 kcal),,"0,9",,0,,"3,2",,"1,28",,,,,,,,,,,,,,,,,
925,Nouilles de riz asiatique - Tien Shan,3229820683393,['Tien Shan'],,,['France'],[],[],?,351,"0,5",79,7,,,,,,,,,,,,,,,,,,,,,,,,1469 kj(351 kcal),,"0,1",,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,
926,Be fruits,7640140180090,,"['Sans conservateurs', 'Sans sucre ajouté', 'Sans additifs']",,['France'],[],[],?,44,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,184 kj(44 kcal),,0,,10,,"0,01",,"0,004",,,,,,,,,,,,,,,,,
927,Saucisson pur porc,3344080096636,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Thé glacé,3499603050708,,,,['France'],[],[],?,26,0,"6,3","0,05",,,,,,,,,,,,,,,,,,,,,,,,109 kj(26 kcal),,0,,"6,1",,"0,005",,"0,002",,,,,,,,,,,,,,,,,
929,Riz et poulet à la normande,3760014421136,,"['Bio', 'Bio européen', 'Sans additifs', 'AB Agriculture Biologique']",,['France'],[],[],?,361,"0,4","68,2","20,5",,,,,,,,,,,,,,,,,,,,,,,,1510 kj(361 kcal),,"0,1",,"8,8",,"2,2",,"0,88",,,,,,,,,,,,,,,,,
930,Nutriben confort,3664893000058,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Tradis taramas,0710535816167,,,,['France'],[],[],?,111,"5,36","8,6","7,13",,,,,,,,,,,,,,,,,,,,,,,,464 kj(111 kcal),,0,,0,,0,,0,,,,,,,,,,,,,,,,,
932,Saucisson de montagne cendré - U Saveurs,2453599027091,['U Saveurs'],,,['France'],[],[],?,383,26,"0,7",36,,,,,,,,,,,,,,,"['FR 42.334.001 CE', 'Violay (Loire, France)']",,,,,,,,,1602 kj(383 kcal),,"9,3",,"0,6",,5,,2,,,,,,,,,,,,,,,,,
933,Saucisson,3330181672312,,,,['France'],[],[],?,390,"32,5","0,6","23,9",,"['Viandes', 'Charcuteries', 'Saucissons']",,+1%,+6%,-72%,-5%,,,,,,,,,32.5 g,en quantité élevée,12.7 g,en quantité élevée,0.6 g,en faible quantité,4.4 g,en quantité élevée,1632 kj(390 kcal),+1%,"12,7",+7%,"0,6",-55%,"4,4",+5%,"1,76",+5%,24,+3%,E,+3%,,,,,,,,,,,,
934,112401970,112401970,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Yaourts fermiers Vanille - SAINT RIEULAIT - 4×125g,3760152330031,['SAINT RIEULAIT'],,,['France'],"['Poids net: 4 x 125 g ingrédients lait entier posteurisé', 'sucre de canne [', '7 % ', ' poudre de lait écrémé ', '31 %', ' arôme naturel ferments']",['Non végétalien'],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4×125g,,,,,,,,,,,
936,Ossau-iraty,2637324029127,,,,['France'],[],[],?,412,36,"0,1","22,6",,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,-2%,+0%,-89%,-4%,,,,,,,,,36 g,en quantité élevée,22.8 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,1724 kj(412 kcal),-2%,"22,8",-8%,"0,1",-66%,"1,8",+2%,"0,72",+2%,22,+25%,E,+25%,,,,,,,,,,,,
937,Nutricia Nutrilon 2 Satiété 6M,5410151768479,['Nutricia'],,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Steak boeuf Bio - Carrefour,2666116039693,"['Carrefour', 'Carrefour Bio']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique', 'Viande-bovine-francaise', 'Viande-francaise']",['Carrefour'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Ggtcfw,8801117102500,,,,['France'],[],[],?,332,16,"0,026",14,,,,,,,,,,,,,,,,,,,,,,,,1389 kj(332 kcal),,"0,19",,0,,8,,"3,2",,,,,,,,,,,,,,,,,
940,Flan,0208934006567,,,,['France'],[],[],?,177,"6,6",26,"3,3",,,,,,,,,,,,,,,,,,,,,,,,741 kj(177 kcal),,"4,1",,17,,"0,3",,"0,12",,,,,,,,,,,,,,,,,
941,Mélange Tonus,2600285044546,,,,['France'],[],[],?,460,22,42,20,,,,,,,,,,,,,,,,,,,,,,,,1925 kj(460 kcal),,"2,1",,26,,"0,5",,"0,2",,,,,,,,,,,,,,,,,
942,Virginia,8001311440235,,,,['France'],[],[],?,493,28,53,"7,3",,,,,,,,,,,,,,,,,,,,,,,,2063 kj(493 kcal),,15,,20,,"0,1",,"0,04",,,,,,,,,,,,,,,,,
943,Caramel au beurre salé. Fèves de cacao,3770003694045,,,,['France'],[],[],?,514,30,60,"1,3",,,,,,,,,,,,,,,,,,,,,,,,2151 kj(514 kcal),,"20,1",,37,,"0,88",,"0,352",,,,,,,,,,,,,,,,,
944,8 tartelettes sucrées à garbir - 215g,3389005704029,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215 g,,,,,,,,,,,
945,Baguette,0227824003875,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Paté de lapin à la champenoise,0251990027328,,,,['France'],[],[],?,224,19,"0,8","12,5",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de lapin']",,-21%,-15%,-63%,-20%,76.8%,15.8%,3.6%,2.5%,1.1%,0.3%,38,"['FR 10.095.001 CE', 'Chêne (Aube, France)']",19 g,en quantité modérée,6.4 g,en quantité élevée,0.6 g,en faible quantité,1.9 g,en quantité élevée,937 kj(224 kcal),-20%,"6,4",-25%,"0,6",-26%,"1,9",+23%,"0,76",+23%,16,-6%,D,-6%,,,,,,,,,,,,
947,Genzy,3770004838059,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Le Chevillon,0205593019488,,,,['France'],[],[],?,19,40,"2,5",10,,,,,,,,,,,,,,,,,,,,,,,,79 kj(19 kcal),,30,,"0,9",,"1,4",,"0,56",,,,,,,,,,,,,,,,,
949,Cuisses de poulet fermier,2145940005550,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,134,"6,1",10,20,C,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,-30%,-51%,+3045%,+9%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,6.1 g,en quantité modérée,1.4 g,en faible quantité,0.4 g,en faible quantité,20 g,en quantité élevée,561 kj(134 kcal),-30%,"1,4",-58%,"0,4",+158%,20,+2528%,8,+2528%,12,+240%,D,+240%,,,,,,,,,,,,
950,iDitaliRigati,8051122530687,,,,['France'],[],[],?,352,"1,5",70,13,,,,,,,,,,,,,,,,,,,,,,,,1473 kj(352 kcal),,"0,4",,2,,0,,0,,,,,,,,,,,,,,,,,
951,Confiture de châtaigne - Le Tango des Saveurs - 250g,3770003049043,['Le Tango des Saveurs'],,,['France'],"['châtaigne', 'sucre', 'eau', 'vanille', ' teneur en chataigne nimum:55gr pour 100gr teneur en sucre:60gr pour 100gr']",[],?,?,?,?,?,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,,,,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,3,,,,,,,
952,Milk chocolate almonds - Belgian,5413121364848,['Belgian'],,,['France'],"['sUcre de canne', 'beurre de cacao', 'poudre de LAIT entier', '10% AMANDES', 'pâte de cacao', 'émulsifiant: lécithines', ' arôme', ' Chocolat au lait cacao: 30%minimum', ' Chocolat au lait: composants de lait:14% minimum', 'Peut contenir des traces de: oeuf', 'gluten', 'autres noix et soja']",['Non végétalien'],?,?,?,?,?,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",,,,,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,['E322 - Lécithines'],"['Lait', 'Fruits à coque']",,,,
953,Tong bretonnes,3760009685048,,,,['France'],[],[],?,482,"19,9","70,3","6,2",,,,,,,,,,,,,,,,,,,,,,,,2017 kj(482 kcal),,"13,8",,"27,1",,"0,7",,"0,28",,,,,,,,,,,,,,,,,
954,Boursin surgelé dés,3073781114959,['Boursin'],,,['France'],[],[],?,404,40,3,8,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,+23%,+50%,+148%,-61%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['FR 27.190.001 CE', 'Croisy-sur-Eure (Eure, France)']",40 g,en quantité élevée,27 g,en quantité élevée,2.5 g,en faible quantité,1.3 g,en quantité modérée,1690 kj(404 kcal),+23%,27,+52%,"2,5",+237%,"1,3",0%,"0,52",0%,16,+17%,D,+17%,,,,,,,,,,,,
955,Jus pomme poire,3760227610358,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Filets de maquereaux au muscadet - Connétable,3263670297942,['Connétable'],['Label Rouge'],,['France'],[],[],?,175,11,"0,9",18,C,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux au vin blanc et aromates']",,+4%,-4%,+26%,+21%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,11 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,1 g,en quantité modérée,732 kj(175 kcal),+6%,"2,8",-3%,"0,6",+69%,1,+9%,"0,4",+9%,3,+21%,C,+21%,,,,,,,,,,,,
957,Chocolat au lait extra fin - Rohan,3273071157165,['Rohan'],,,['France'],[],[],?,542,32,57,6,,,,,,,,,,,,,,,,,,,,,,,,2268 kj(542 kcal),,20,,56,,"0,15",,"0,06",,,,,,,,,,,,,,,,,
958,Kind,5054678300080,['Kind'],['en:gluten-free'],,['France'],[],[],?,498,38,22,13,,,,,,,,,,,,,,,,,,,,,,,,2084 kj(498 kcal),,"8,4",,13,,"0,1",,"0,04",,,,,,,,,,,,,,,,,
959,Berlingot Nantais,3470201014187,,,,['France'],[],[],?,396,"0,5",97,"0,5",,,,,,,,,,,,,,,,,,,,,,,,1657 kj(396 kcal),,"0,1",,65,,"0,01",,"0,004",,,,,,,,,,,,,,,,,
960,Lingots pépites chocolat,0208129021658,,,,['France'],[],[],?,353,16,45,"6,1",,,,,,,,,,,,,,,,,,,,,,,,1477 kj(353 kcal),,10,,19,,"0,87",,"0,348",,,,,,,,,,,,,,,,,
961,Flan,0202769019358,,,,['France'],[],[],?,136,"2,8",25,"2,5",,,,,,,,,,,,,,,,,,,,,,,,569 kj(136 kcal),,"1,1",,15,,"0,06",,"0,024",,,,,,,,,,,,,,,,,
962,Baskeriu pur brebis,0253063018240,,,,['France'],[],[],?,400,34,15,22,,,,,,,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),,25,,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,
963,Paté d'artichauts,8027836017516,,,,['France'],[],[],?,267,"28,1","1,7","1,9",,,,,,,,,,,,,,,,,,,,,,,,1117 kj(267 kcal),,2,,"1,3",,"0,23",,"0,092",,,,,,,,,,,,,,,,,
964,Bourbon Radler,3278720002063,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Lot 3 terrines 3x100gr - Produits de la Cigogne,3527480004771,['Produits de la Cigogne'],,,['France'],[],[],?,313,27,2,15,,,,,,,,,,,,,,,"['FR 68.298.005 CE', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",,,,,,,,,1310 kj(313 kcal),,"9,7",,0,,"1,47",,"0,588",,,,,,,,,,,,,,,,,
966,Madeleine bio,3760116620000,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,['France'],[],[],?,482,28,49,"7,1",B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,+9%,+23%,-7%,+25%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,28 g,en quantité élevée,3.3 g,en quantité modérée,28 g,en quantité élevée,0.93 g,en quantité modérée,2017 kj(482 kcal),+10%,"3,3",-52%,28,+2%,"0,93",+15%,"0,372",+15%,19,+3%,E,+3%,,,,,,,,,,,,
967,Pesto au basilic Partitalia,8027836019169,,,,['France'],[],[],?,446,"45,4","6,1","3,5",C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic', 'en:Pesto au basilic']",,-1%,+3%,+3%,-26%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,45.4 g,en quantité élevée,6 g,en quantité élevée,4.8 g,en faible quantité,2.1 g,en quantité élevée,1866 kj(446 kcal),-0%,6,-8%,"4,8",+110%,"2,1",-15%,"0,84",-15%,20,+3%,E,+3%,,,,,,,,,,,,
968,Bourbon Radler,3760025961270,,,,['France'],[],[],?,38,"0,6","8,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,159 kj(38 kcal),,"0,01",,"6,23",,"0,01",,"0,004",,,,,,,,,,,,,,,,,
969,Pain au chocolat - Carrefour,0202172005900,['Carrefour'],,['Carrefour'],['France'],[],[],?,?,?,?,?,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Wa fer lemon - Cuétara,8434165466715,['Cuétara'],,,"['France', 'États-Unis']","['Wheat flour', 'sugar', 'palm oil', 'dextrose', 'sunflower oil', 'sorbitol', 'whey powder', 'sodium bicarbonate', 'ammonium bicarbonate', 'salt', 'lecithin', 'egg yolk powder', 'artificial flavor', 'low fat cocoa powder', 'citric acid', 'turmeric oleoresin']","['Huile de palme', 'Non végétalien']",?,512,"27,11","69,28","6,02",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,+8%,+30%,+8%,-7%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,27.1 g,en quantité élevée,12.1 g,en quantité élevée,39.2 g,en quantité élevée,0.15 g,en faible quantité,2142 kj(512 kcal),+8%,"12,05",+19%,"39,16",+33%,"0,15",-75%,"0,06",-75%,21,+6%,E,+6%,,,,,4,CUETARA,"['E420 - Sorbitol', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine', 'E330 - Acide citrique']",['Gluten'],,,,
971,Pain au chocolat x2 - 70g,3470211010766,,,,['France'],[],[],?,?,?,?,?,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,,,,,,,,,,70 g,,,,,,,,,,,
972,"Pesto tomate cerise, courgettes et pistache Partitalia",8027836017301,,,,['France'],[],[],?,131,3,"2,3","1,3",,,,,,,,,,,,,,,,,,,,,,,,548 kj(131 kcal),,2,,"2,3",,"0,08",,"0,032",,,,,,,,,,,,,,,,,
973,Knickpudding,42374619,,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Caponata d'aubergines Partitalia,8027836017608,,,,['France'],[],[],?,104,"20,8","3,74","0,7",,,,,,,,,,,,,,,,,,,,,,,,435 kj(104 kcal),,"3,4",,"3,74",,"0,01",,"0,004",,,,,,,,,,,,,,,,,
975,Café pur arabica - Malongo,3187571105574,['Malongo'],,,['France'],[],[],?,?,?,?,?,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Al Alwani Dates Sagai - 400g,6281106251013,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,
977,Panettone Del Chiostro PM,8002873022082,,,,['France'],[],[],?,?,?,?,?,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,An apple a day- golden,3760033150178,,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,43,0,"9,4",0,,,,,,,,,,,,,,,,,,,,,,,,180 kj(43 kcal),,0,,"9,4",,0,,0,,,,,,,,,,,,,,,,,
979,Milk Chocolate Digestive,8710736950419,,,,['France'],[],[],?,508,24,65,"6,4",,,,,,,,,,,,,,,,,,,,,,,,2125 kj(508 kcal),,13,,29,,"0,6",,"0,24",,,,,,,,,,,,,,,,,
980,Sauce cheddar - 500g,3236330011257,,,,['France'],[],[],?,144,"8,9","11,2","4,6",,,,,,,,,,,,,,,,,,,,,,,,602 kj(144 kcal),,"6,6",,"5,8",,"2,2",,"0,88",,,,,,500 g,,,,,,,,,,,
981,Poulet fermier elevé en plein air,2209332006669,,['Label Rouge'],,['France'],[],[],?,149,7,"0,5",21,D,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",,+7%,+13%,+34%,+2%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,7 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,623 kj(149 kcal),+8%,"0,5",-69%,"0,5",+64%,"0,2",+24%,"0,08",+24%,-4,,A,,,,,,,,,,,,,
982,Original cola,,,,,['France'],[],[],?,40,"0,1","9,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,167 kj(40 kcal),,"0,1",,9,,"0,01",,"0,004",,,,,,,,,,,,,,,,,
983,Pasta in Brokkoli-Rahm - Alete,4251099612100,['Alete'],,,['France'],[],[],?,58,"1,9","7,6",2,,,,,,,,,,,,,,,,,,,,,,,,243 kj(58 kcal),,"0,5",,2,,"0,33",,"0,132",,,,,,,,,,,,,,,,,
984,Biotechnie Turbophyto Détox - 300 ML,3440819968387,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Salchichon culariberico,2263441005333,,['en:gluten-free'],,['France'],[],[],?,490,"41,47",28,"28,23",,,,,,,,,,,,,,,,,,,,,,,,2050 kj(490 kcal),,16,,1,,"4,25",,"1,7",,,,,,,,,,,,,,,,,
986,Sugo Arrabbiata - The Geometry Of Pasta,8051766960031,,,,['France'],[],[],?,53,"2,5","4,7","1,6",,,,,,,,,,,,,,,,,,,,,,,,222 kj(53 kcal),,"0,6",,"4,3",,"1,2",,"0,48",,,,,,,['Metal'],,,,,,,,,,
987,Fersan Jalapeno Biber Turşusu,8690816440118,,,,['France'],[],[],?,24,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,100 kj(24 kcal),,0,,0,,0,,0,,,,,,,,,,,,,,,,,
988,Lingot d'or au chocolat au lait -  - 100g,3564368510009,,,,['France'],"['sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiants: lécithine de soja', 'arôme:vanille', 'cacao 36%min']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,545,"33,3","55,5","5,6",D,"['Boissons', 'Snacks', 'Produits laitiers', 'Snacks sucrés', 'Cacao et dérivés', 'Boissons lactées', 'Chocolats', 'Laits aromatisés', 'Laits aromatisés au chocolat']",,+647%,+1859%,+405%,+73%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,,33.3 g,en quantité élevée,20.5 g,en quantité élevée,54.4 g,en quantité élevée,0.13 g,en faible quantité,2280 kj(545 kcal),+635%,"20,5",+1747%,"54,4",+423%,"0,13",+2%,"0,052",+2%,30,+142%,E,+142%,100 g,,,['Europe'],4,,['E322i - Lécithine'],"['Lait', 'Soja', 'en:cacao', 'Cacao']",,,,
989,Ragù alla Bolognese Geometry,8051766960079,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Strip Pompito Kauwgomballen,8690146645818,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Imperial stout,3760209800258,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,
992,Fromage - Leerdammer,0285385027815,['Leerdammer'],,,['France'],[],[],?,356,"27,5","0,5",27,,,,,,,,,,,,,,,"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,,1490 kj(356 kcal),,"18,5",,"0,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,
993,Lentille Au Naturel,5453000441857,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,While elderflower bubbly,5029212001082,,,,['France'],[],[],?,32,"0,3","7,2","0,2",,,,,,,,,,,,,,,,,,,,,,,,134 kj(32 kcal),,"0,1",,"7,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,
995,Crocodile - confiserie gélifiée fantaisie,2608101020019,,,,['France'],[],[],?,345,"0,5",79,"5,7",,,,,,,,,,,,,,,,,,,,,,,,1443 kj(345 kcal),,"0,1",,51,,"0,3",,"0,12",,,,,,,,,,,,,,,,,
996,Lipton Green Ice Tea,3320110010810,['Lipton'],,,['France'],[],[],?,19,0,"4,7",0,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Thés glacés']",,-14%,-100%,-11%,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,4.5 g,en quantité modérée,0.02 g,en faible quantité,79 kj(19 kcal),-14%,0,-100%,"4,5",-11%,"0,02",-29%,"0,008",-29%,6,-18%,D,-18%,,,,,,,,,,,,
997,4017645046665,4017645046665,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Stylo glaçage marron - 32g,00125437,,,,['France'],[],[],?,0,38,50,0,,,,,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,36,,48,,0,,0,,,,,,32 g,,,,,,,,,,,
999,Vache qui rit Légère,3073780827447,,,,['France'],[],[],?,147,7,6,15,,,,,,,,,,,,,,,,,,,,,,,,615 kj(147 kcal),,"4,7",,6,,"1,5",,"0,6",,,,,,,,,,,,,,,,,
1000,Black Truffle Slices,0609722912020,,,,['France'],[],[],?,314,"28,9",3,"5,7",,,,,,,,,,,,,,,,,,,,,,,,1314 kj(314 kcal),,"4,2",,"0,9",,"0,324",,"0,13",,,,,,,,,,,,,,,,,
1001,Ail blanc 250gr,3326505517100,,,,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Sel Cristallin Rose De L'Himalaya - 1kg,5200300105183,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
1003,mentha piperita -  - 70cl,8003750001039,,,,['France'],"['zuchero semolato raffinato', 'acqua', 'olio essenziale di Mentha Piperita trirettificata tipo piemontese', 'varieà Italo Mitcham', 'aromi naturali', 'coloranti: estratto vegetale', 'E 133']",[],?,319.9,0,"82,2",0,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,+34%,-100%,+34%,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,1338 kj(319 kcal),+30%,0,-100%,82,+38%,"0,002",-91%,"0,001",-91%,,,,,70 cl,['bouteille verre'],,,4,,"['E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,,,
