,name,bar_code,quantity,packaging,brand,labels,traceability_code,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,ingredients_origins,manufacturing,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,origin_detail,palm_ingredients,brand_owner,producer_info
667,Queso tierno mezcla,8433329127196,,,,,,['France'],[],,,[],,?,366,1531 kj(366 kcal),30,21,"0,8",0,23,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Chocolat au lait plein - Great Value,0628915381139,,,['Great Value'],,,['France'],[],,,[],,?,500,2092 kj(500 kcal),"23,81","14,286","71,429","64,286","4,762","0,119","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,La razione del furfante,20822408,,,,,,['France'],[],,,[],,?,170,711 kj(170 kcal),"8,7",1,"19,1","0,4","2,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Piri piri,5600491700981,,,,,,['France'],[],,,[],,?,44,184 kj(44 kcal),"0,3","0,1","1,7","0,8","0,5","11,2","4,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Passata di pomodoro,8000226919348,,,,,,['France'],[],,,[],,?,22,92 kj(22 kcal),"0,1","0,01","3,8","3,6",1,"0,4","0,16",,,['it:Passata di pomodoro'],,,,0.1 g,en faible quantité,0.01 g,en faible quantité,3.6 g,en faible quantité,0.4 g,en quantité modérée,,,,,,,,,,,1,,B,,,,,,,,,,,,,
672,Le petit marchand de glace orange sanguine pamplemousse - Picard,3270160842629,,,['Picard'],"['Nutriscore', 'Nutriscore A']","['FR 62.448.034 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",['France'],"[""INGRÉDIENTS/ INGREDIËNTEN: FR Jus et pulpe d'orange sanguine 63,3%"", 'jus de pamplemousse rose 15,2%', 'sucre', 'inuline', 'jus de citron jaune', 'gélifiant : pectines', ' Produit élaboré dans un atelier qui utilise : gluten', 'œuf', 'soja', 'lait', 'fruits à coque', ' NL Bloedsinaasappelsap en - pulp 63,3%', 'roze pompelmoessap 15,2%', 'suiker', 'inuline', 'citroensap', 'geleermiddel: pectines', ' Product verwerkt in een bedrijf waar de volgende zaken worden gebruikt: gluten', 'ei', 'soja', 'melk', 'noten', ' Conseil de dégustation/ Serveertip: FR Pour apprécier pleinement la saveur de ces mini-pots,']",['E440 - Pectines'],,[],4,?,96,402 kj(96 kcal),"0,5","0,1",21,21,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,
673,Spaghetti,8025916113240,,,,,,['France'],[],,,[],,?,355,1485 kj(355 kcal),2,"0,4",72,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Engagé et bon à la broche,3154230800279,,['Barquette en carton'],,,,['France'],[],,,[],,?,115,481 kj(115 kcal),3,1,1,"0,5",21,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Mayonnaise,3075980100221,,,,,,['France'],[],,,[],,?,797,3335 kj(797 kcal),87,10,"1,9","0,2","1,5","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Sauce volaille champignon,3760052158445,,,,,,['France'],[],,,[],,?,138.88,581 kj(138 kcal),"11,44","7,43","3,46","1,18","5,19","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
