,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,additives,allergens,nova_score,brand_owner,generic_name,packaging,ingredients_origins,markets,manufacturing,link,palm_ingredients,producer_info
77,Jambon cuit de Paris Superieur 4 tranches,0259337022173,,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['Qualité supérieure'],"['EMB 95018', ""Argenteuil (Val-d'Oise, France)"", 'FR 95.018.022 CE', ""Argenteuil (Val-d'Oise, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Gebäck & Waffelmischung (feine Vielfalt), 7 So. .. - 500g",4335896675107,,['France'],[],[],?,513,2146 kj(513 kcal),26,16,63,32,5,"0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
79,Croissant margarine ×10,0205114012790,,['France'],[],[],?,389,1628 kj(389 kcal),23,10,38,"5,8","7,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Haricots verts extra-Fins et tendres - Bonduelle,03817938,['Bonduelle'],['France'],[],[],?,31,130 kj(31 kcal),"0,3","0,1","3,7","0,6","1,7","0,65","0,26",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",,+15%,+18%,+22%,+8%,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,0.3 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.65 g,en quantité modérée,+18%,+86%,-36%,+25%,+25%,-4,,A,,,,,,,,,,,,,,
81,Gartenkrauter - K-Classic - 10g,4337185045707,['K-Classic'],['France'],[],[],?,305,1276 kj(305 kcal),2,"0,2",61,28,"3,6","19,6","7,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 g,,,,,,,,,,,,
82,Miel de Printemps - Manuel Roger - 250g,3760150260033,['Manuel Roger'],['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,['France'],,,,,
83,Crème de fois supérieur,3760187539072,,['France'],[],[],?,369,1544 kj(369 kcal),"35,2","14,5","3,4","1,6","9,7","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Champignons Bio -,8710609412082,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Pur jus d'orange - Marcel Bio - 25cl,3700749644080,['Marcel Bio'],['France'],[],[],?,45,188 kj(45 kcal),0,0,"10,4","9,7","0,7",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,+5%,-100%,+7%,+11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,+3%,-100%,+6%,-100%,-100%,4,+34%,C,+34%,25 cl,,,,,,,,,,,,
86,Filets de poulet - Carrefour - 3,0219967039880,['Carrefour'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,3,,,,,,,,['Carrefour'],,,,
87,Gelée framboise -,2270314005505,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de framboises']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Le tilleul menthe - Fauchon,3457041146032,['Fauchon'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Cuisse de canard - Nature de France,2448435041652,['Nature de France'],['France'],[],[],?,156,653 kj(156 kcal),"8,2","2,3",0,0,21,"1,4","0,56",D,"['Viandes', 'Volailles', 'Canards', 'Cuisses de canard']",,-34%,-50%,-100%,-2%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['Bio', 'Bio européen', 'Viande Française', 'AB Agriculture Biologique', 'FR-BIO-01', 'Volaille-francaise']",,8.2 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,-35%,-57%,-100%,+1%,+1%,4,-62%,C,-62%,,,,,,,,,,,,,
90,Miel Rouquette,3554316100017,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,3180300000331,3180300000331,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,"['EMB 27170A', 'Cormeilles (Eure, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Raclette au lait cru fabrique en Franche Comté -,0219928062513,,['France'],[],[],?,360,1506 kj(360 kcal),28,"18,3",1,1,"25,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Comté,0251447017971,,['France'],[],[],?,412,1724 kj(412 kcal),34,22,"0,2",0,27,"0,7","0,28",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+4%,+4%,-57%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,34 g,en quantité élevée,22 g,en quantité élevée,0.0001 g,en faible quantité,0.7 g,en quantité modérée,+4%,+1%,-100%,-28%,-28%,13,-3%,D,-3%,,,,,,,,,,,,,
94,Canette sauce forestiere au truffes de la saint jean - Sudreau,3760094104332,['Sudreau'],['France'],[],[],?,118,494 kj(118 kcal),"6,2","2,3","2,4","0,5",13,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Garlic pickle in oil,0054529502101,,['France'],[],[],?,270,1130 kj(270 kcal),20,3,15,0,5,"7,5",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,URFA KEBAB,5902082400561,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Les Nectars Multifruits - Jafaden - 1L,3564700644751,"['Jafaden', 'Marque Repère']",['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,1","9,3","9,3","0,5","0,01","0,004",D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",,-12%,+159%,-7%,+60%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,0.5 g,en faible quantité,0.1 g,en faible quantité,9.3 g,en quantité élevée,0.01 g,en faible quantité,-12%,+252%,-2%,+4%,+4%,13,+21%,E,+21%,1 L,,,,,,['Brique'],,['Leclerc'],,,,
98,baguette céréales,,,['France'],[],[],?,290,1213 kj(290 kcal),"5,8","0,6","47,5","2,4",10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Pains au lait - Trader Joe's,00603362,"[""Trader Joe's""]",['France'],[],[],?,130,544 kj(130 kcal),"4,5",2,5,4,3,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Spécialité de mûre sauvage,78798410,,['France'],[],[],?,138,577 kj(138 kcal),"0,5","0,1",31,30,"0,6","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Gluten Free 4 Triple Seeded Rolls - Genius,5060195900313,['Genius'],['France'],[],[],?,290,1213 kj(290 kcal),11,"0,9",38,"4,1","4,4","0,72","0,288",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
102,Sprinklez confetti,8718531930506,,['France'],[],[],?,419,1753 kj(419 kcal),"4,81","1,1","93,4","88,2","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Paleta curada - 80g,8410060686205,,['France'],[],[],?,331,1385 kj(331 kcal),25,10,"0,5","0,5",26,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,
104,Terrine de campagne,3269617103949,,['France'],[],[],?,420,1757 kj(420 kcal),41,"15,35","1,7","0,4","11,15","1,16","0,464",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,+30%,+45%,-26%,-20%,,,,,,,,,"['EMB 65375A', 'Rabastens-de-Bigorre (Hautes-Pyrénées, France)']",41 g,en quantité élevée,15.3 g,en quantité élevée,0.4 g,en faible quantité,1.16 g,en quantité modérée,+30%,+42%,-54%,-28%,-28%,20,+3%,E,+3%,,,,,,,,,,,,,
105,Pomme de terre,3760006310011,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Le pave de bonneuil - Leclerc,3000000191064,['Leclerc'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Cuisses de poulet fermier - Carrefour BIO - Classe A,0287566058847,['Carrefour BIO'],['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Bio'],,,,,,,,,,,,,,,,,,,Classe A,,,,,,,,['Carrefour'],,,,
108,Fizzy sweet,3395503031833,,['France'],[],[],?,333,1393 kj(333 kcal),0,0,"76,6","65,9","6,08",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Infusão Cavalinha,5602490000291,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Mélange Pour Cocktail Rhum Paradis - Quai Sud,3760057479217,['Quai Sud'],['France'],[],[],?,440,1841 kj(440 kcal),35,30,23,6,4,12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Arizona Thé Blanc Et Myrtille,0613008730383,['Arizona'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Boulettes petits pois haricots,7613404017432,,['France'],[],"['Végétalien', 'Végétarien']",?,161,674 kj(161 kcal),"4,4","0,5",22,"2,5","5,7","1,3","0,52",,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tulsi Chai Masala Bio Thé Indien épicé L'origin. ..,0801541080434,,['France'],[],[],?,3,13 kj(3 kcal),"0,06",0,"0,64","0,06","0,07",0,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Pain complet tranche,0206012007949,,['France'],[],[],?,259,1084 kj(259 kcal),"1,6","0,4",45,1,12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Arôme naturel citron,3102870046564,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Honey seed mix,5391526860632,,['France'],[],[],?,524,2192 kj(524 kcal),"35,3","4,9","30,3","23,7",18,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Purée de fruits Bio,8809360921886,,['France'],[],[],?,55,230 kj(55 kcal),"0,5","0,1",13,12,"0,5","0,01","0,004",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Piripiri,5601063007200,,['France'],[],[],?,14,59 kj(14 kcal),"0,5","0,2","1,1",1,"0,8","10,5","4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Filets Poulet blanc label rouge saint charmin,2860486030445,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cola d'Arthur,3175460200646,,['France'],[],[],?,2,8 kj(2 kcal),"0,55","0,5","8,2","0,1",2,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Rôti de porc fumé,0278401036410,,['France'],[],[],?,141,590 kj(141 kcal),"6,3","2,3","1,2","0,9",20,"2,2","0,88",E,"['Viandes', 'Porc', 'Rôtis de porc']",,-2%,+25%,+47%,-11%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,6.3 g,en quantité modérée,2.3 g,en quantité modérée,0.9 g,en faible quantité,2.2 g,en quantité élevée,-1%,+10%,+44%,+28%,+28%,12,+68%,D,+68%,,,,,,,,,,,,,
122,Provencal mélange - Ducros,3166298429507,['Ducros'],['France'],[],[],?,267,1117 kj(267 kcal),"2,1","0,4","38,3","13,6","12,8","11,6","4,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Le Nantais,3760037820039,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Coquilles saint jacques a la normande,8883710005150,,['France'],[],[],?,160,669 kj(160 kcal),"13,7","9,3","7,2","3,1",6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Päron Original,7311672270251,,['France'],[],[],?,45,188 kj(45 kcal),"0,5",0,"10,5","10,5","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Hjemmelaget,7039010013253,,['France'],"['Nora Hjemmelaget BRINGEBÆRSYLTETØY Ingredienser: bringebær 60 %', 'sukker', 'vann', 'fortykningsmiddel ', 'pektin', 'surhetsregulerende middel leplesyrel', 'konserveringsmiddel ', 'kaliumsorbat', 'Fremstilt av 60 g bær per 100 g syltetøy,']",[],?,141,590 kj(141 kcal),"0,6",0,32,31,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,
127,Insalatissime Messicana e Tonno,5415087001393,,['France'],[],[],?,200,837 kj(200 kcal),13,"1,7","9,5","2,5",10,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Crème panais trompette de la mort,3760201710333,,['France'],[],[],?,41,172 kj(41 kcal),"1,9","1,2",5,"1,4","0,66","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Les p'tits gris,33682402,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Chipolata Campagne Bio - Delhaize,2251850004146,['Delhaize'],['France'],[],[],?,244,1021 kj(244 kcal),"19,8","7,7","0,2","0,1","16,1","1,16","0,464",D,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,+2%,+5%,-83%,+5%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,19.8 g,en quantité modérée,7.7 g,en quantité élevée,0.1 g,en faible quantité,1.16 g,en quantité modérée,+2%,+7%,-84%,-36%,-36%,15,-10%,D,-10%,,,,,,,,,,,,,
131,Lentillade du midi Bio - Pellegrain - 100g,3770002924204,['Pellegrain'],['France'],"['Lentilles germées 54%', ""huile d'olive AOP*"", ""purée d'amande*"", 'jus de citron*', 'sel', 'oignon*', 'ail*', 'sarriette*', 'marjolaine*', 'HE laurier*', 'eau', ""*issu de l'agriculture biologique Certifié FR BIO 10 Agriculture:UE /Non UE""]",[],?,?,,?,,?,,?,,,,['Tartinade'],,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,100g,,,3,,,['Bocal'],"['Union européenne', 'Non Union Européenne']",['Bio Monde'],"['04190 Les Mées', 'France']",http://www.pellegrain.eu,,
132,dés de jambon - Saint Alby - 2x100g,01125290,['Saint Alby'],['France'],"['jambon de porc 93%', 'eau', 'sel', ""extrait d'épices"", 'dextrose', ""vinaigre d'alcool"", 'stabilisant : diphosphates ', ' antioxydant : ascorbate de potassium ', ' conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,['DE RP03001 EG'],,,,,,,,,,,,,,,,,,2x100g,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,,,['Union européenne'],['Lidl'],['Allemagne'],,,
133,01457476,01457476,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Dinutri - 100g,5600745706431,,['France'],[],[],?,328,1372 kj(328 kcal),"0,7","0,3",73,"45,4",2,"0,07","0,028",,,,,,,,,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
135,Carottes rapees,,,['France'],[],[],?,?,,?,,?,,?,,,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",,,,,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,['Sans conservateurs'],"['EMB 60267', 'Gallet (Oise, France)', 'EMB 50267', 'Lessay (Manche, France)', 'EMB 84054H', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,David Rio Chai,0658564603986,,"['France', 'États-Unis']","['Cane sugar', 'coconut oil', 'corn syrup solids', 'honey granules', 'green tea powder ', '5%', 'sodium caseinate ', 'a milk derivative', 'natural flavors', 'ground cinnamon', 'natural spice blend', 'emulsifier ', 'mono - and diglycerides', 'stabilizer ', 'dipotassium phosphate', 'emulsifier ', 'soy lecithin']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,429,1795 kj(429 kcal),"10,71","7,14",75,"64,29","3,57","0,222","0,089",,"['Boissons', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées']",,+45%,+105%,+72%,-74%,,,,,,,,['Sans lactose'],,,,,,,,,,+44%,+120%,+76%,-60%,-60%,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340ii - Phosphate dipotassique', 'E322i - Lécithine']",['Soja'],4,"David Rio Coffee & Tea, Inc.",,,,,,,,
137,Eveil fruité - Force Bio,13331573,['Force Bio'],['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,6","11,4","0,3","0,003","0,001",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Risotto d'épeautre - iglo,5414807005604,['Iglo'],['France'],[],[],?,119,498 kj(119 kcal),"5,4","1,3",12,"2,6","4,3","0,54","0,216",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Musligluck,4260445961458,,['France'],[],[],?,410,1715 kj(410 kcal),11,"1,4",65,23,"9,4","0,21","0,084",,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Baklavas -,5200102951148,,['France'],[],[],?,470,1966 kj(470 kcal),"10,1","2,3","70,5","34,1","7,4","0,38","0,152",D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Baklava']",,+19%,-26%,+17%,+29%,89.5%,5.3%,2.1%,2.0%,1.1%,0.0%,35,,,10.1 g,en quantité modérée,2.3 g,en quantité modérée,34.1 g,en quantité élevée,0.38 g,en quantité modérée,+18%,-39%,+12%,+46%,+46%,15,+1%,D,+1%,,,,,,,,,,,,,
141,Muffins pepites chocolat x2,2040200002983,,['France'],[],[],?,428,1791 kj(428 kcal),26,"7,5",42,24,6,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Feuillantine Jambon - Charculor,3327512646142,['Charculor'],['France'],[],[],?,347,1452 kj(347 kcal),"20,5","12,7","30,7","2,37","9,4","1,1","0,44",,,,,,,,,,,,,,,,"['FR 57.160.001 CE', 'Creutzwald (Moselle, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Chipolatas aux herbes,0209253038505,,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Meksika biber - Sera,8690777520522,['Sera'],['France'],[],[],?,40,167 kj(40 kcal),0,0,8,4,0,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Maroilles - 26%M.G. - Leduc - 750g,3340040000491,['Leduc'],['France'],[],[],?,340,1423 kj(340 kcal),26,17,"0,5","0,5",23,"2,5",1,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Maroilles']",,+4%,-3%,-14%,+8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['AOP'],,26 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,+4%,-4%,+6%,+17%,+17%,19,+9%,E,+9%,750g,,,,,,['Frais'],,,,,,
146,Pasta sauce mascarpone e rucola - 350g,4752050119206,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,,
147,Rillettes artisanale,7363365563935,,['France'],[],[],?,376,1573 kj(376 kcal),34,11,"0,5","0,5",16,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,poulet fermier élevé en plein air,2860294038053,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Bio'],"['FR 07.089.001 CE', 'Félines (Ardèche, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Miel de la Sierra gaditana,8437010048050,,['France'],[],[],?,315,1318 kj(315 kcal),0,0,77,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Véritable Merguez Boeuf/Mouton,3466140003177,,['France'],[],[],?,267,1117 kj(267 kcal),"22,3","10,5","2,4","1,2","14,2","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Château GRAND JOUAN - Bordeaux (appellation Bordeaux Contrôlée) - 75cl.  12 % volume,3423290196357,['Bordeaux (appellation Bordeaux Contrôlée)'],['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,75 cl.  12 % volume,,,,,,,['France'],,,,,
152,Thon al naturale,8001561500802,,['France'],[],[],?,113,473 kj(113 kcal),"0,8","0,2",0,0,26,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Aligot -,3303700004925,,['France'],[],[],?,141,590 kj(141 kcal),"8,4","5,6","8,3",1,"7,7","0,7","0,28",C,"['Plats préparés', 'Aligots']",,-29%,-32%,-23%,-14%,73.0%,13.9%,4.3%,4.6%,2.4%,1.7%,67,,,8.4 g,en quantité modérée,5.6 g,en quantité élevée,1 g,en faible quantité,0.7 g,en quantité modérée,-28%,-30%,+74%,-29%,-29%,5,-59%,C,-59%,,,,,,,,,,,,,
154,Piemontaise / Mexicaines - François Pralus,3760085327085,['François Pralus'],['France'],[],[],?,625,2615 kj(625 kcal),"49,7","18,7","24,8","24,8",13,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Pouletbrust mit Steinpilzsauce,4042115085783,,['France'],[],[],?,137,573 kj(137 kcal),5,3,15,1,7,"0,95","0,38",,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Eclaire au chocolat,74013357,,['France'],[],[],?,351,1469 kj(351 kcal),30,3,19,10,"6,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Velouté de Brocolis - 350ml,3701138111480,,['France'],[],[],?,49,205 kj(49 kcal),"2,9","1,9","4,5","0,6","1,3","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 ml,,,,,,,,,,,,
158,Crème de noisette,3452250001202,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
