,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,packaging,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,nova_score,quantity,brand,generic_name,eco_score,categories,labels,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,ingredients_origins,traceability_code,link,palm_ingredients,brand_owner,origin_detail
56,Milbona,4056489061960,['France'],[],[],?,?,?,?,?,,,,,,,,,,['Milbona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Les delicieux effiles en sauce chat,3256228115997,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,FRUTTI SQUIRT,5996071643725,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sardinillas aceite de oliva virgen extra ecológico,8411555060678,['France'],[],[],?,220,"14,4","0,3","22,3",,920 kj(220 kcal),3,0,"1,7","0,68",,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Rillette pur porc,2846116019295,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Circulation Bio Fruits - 20 Ampoules - Fitoform,3510130010079,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dodie +6 Mois Silicone Lot De 2 Bleu + Vert N°36,3700763500249,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sera Uzum Sirkesi / Grape Vinegar - 500 ML / Glass,8690777254014,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Mine Za Tehn.0.5 Ab05-Hercegtisak,0002000009403,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
