,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,brand,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,nova_score,quantity,ingredients_origins,manufacturing,additives,markets,palm_ingredients,generic_name,link,origin_detail
1341,Dinde farcie aux marrons et aux cepes,0208833143523,['France'],[],[],?,157,657 kj(157 kcal),"7,5","2,9","2,7","0,3",20,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,Sirop de caramel,3265262903804,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,Gateau génoise,5600301160028,['France'],[],[],?,333,1393 kj(333 kcal),"12,2","5,1","31,8","31,8","9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,Faux-Filet - Charal,0242742040603,['France'],[],[],?,148,619 kj(148 kcal),"6,7","1,7",0,0,22,"0,16","0,064",,,['Charal'],,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,Chocolats - Coop,7624841577335,['France'],[],[],?,142,594 kj(142 kcal),36,21,53,52,"6,6","0,16","0,064",,,['Coop'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,Pepites de raisins mi-cuit,3760300520413,['France'],[],[],?,265,1109 kj(265 kcal),"0,9","0,1","61,2","37,6",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,Gyoza,6922132400609,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Confiture Chardonnay,3525830000787,['France'],[],[],?,265,1109 kj(265 kcal),"0,5",0,64,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Melange aperitif salé,2609906042770,['France'],[],[],?,636,2661 kj(636 kcal),56,"8,8","8,4","5,9",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,Gressins,05955770,['France'],[],[],?,435,1820 kj(435 kcal),12,2,68,"3,5",12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
