,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,ingredients_origins,manufacturing,traceability_code,markets,quantity,link,additives,allergens,nova_score,palm_ingredients,generic_name,brand_owner,origin_detail
58,farine blé tendre T55 - 1kg,3770005276874,['France'],[],[],?,?,?,?,?,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,1 kg,,,,,,,,
59,Choucroute d’Alsace Cuisinée Bio,3760049230918,['France'],[],[],?,40,"2,9","2,2","0,5",B,"['Plats préparés', 'Choucroutes']",2.9 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,0.87 g,en quantité modérée,,-57%,167 kj(40 kcal),-57%,-57%,"0,3",-88%,-4%,"0,3",-57%,-89%,"0,87",-33%,"0,348",-33%,3,-36%,C,-36%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
60,Pur sirop d’érable - 250g,7633636565365,['France'],[],[],?,?,?,?,?,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",,,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,0,-100%,,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,
61,Lait concentré non sucré,3700279304195,['France'],[],[],?,132,"9,6","9,7","6,6",B,"['Produits laitiers', 'Laits concentrés', 'Laits concentrés non sucrés', 'Laits entiers concentrés']",9.6 g,en quantité modérée,4.5 g,en quantité modérée,9.7 g,en quantité modérée,0.3 g,en quantité modérée,,-48%,552 kj(132 kcal),-47%,+24%,"4,5",-10%,-74%,"9,7",-74%,-6%,"0,3",+24%,"0,12",+24%,4,-69%,C,-69%,80.3%,6.9%,7.8%,3.3%,1.7%,0.0%,83,,,,,,,,,,,,,,,,
62,Crepes,3770003851035,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Scrocchi,8015565030265,['France'],[],[],?,140,5,20,3,,,,,,,,,,,,,586 kj(140 kcal),,,"0,5",,,0,,,"0,488",,"0,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6807573216135,6807573216135,['France'],"['Farine de blé ', 'E épaississant: E1404', 'huile de palme', 'oignon en poudre 4,8% sucre', 'maltodextrine', 'sel', 'fécule de pomm de terre', 'extrait de levure', 'glucose', 'antioxydant : E306', 'exh steurs de goi t: 130', 'colorant : E101', ' İtions sur les allergènes : Fabriqué dans un ate er i utilise a ssi : crustacés', 'euf', 'poissuns', 'arachides', 'graie ca soja', 'lait graines de sésame et les nollusques', ' tats-Unis', 'fécule de mais', 'huile de riz', 'SNACK FOOD ASSOCIATION An Intenational Trade Association МЕMBER 국제스낵협회정회원']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E1404 - Amidon oxydé', 'E306 - Extrait riche en tocophérols', 'E101 - Riboflavine']","['Gluten', 'Arachides']",4,['Huile de palme'],,,
65,chaussons aux pommes,2010000002810,['France'],[],[],?,288,14,35,"4,2",B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",14 g,en quantité modérée,9.1 g,en quantité élevée,9.5 g,en quantité modérée,0.66 g,en quantité modérée,,-9%,1205 kj(288 kcal),-9%,-22%,"9,1",-21%,+6%,"9,5",-10%,+8%,"0,66",+10%,"0,264",+10%,16,-6%,D,-6%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,,,
66,Poulet Curry Rouge & riz basmati - Auchan,3596710491681,['France'],[],[],?,179,10,14,"7,3",,,,,,,,,,,,,749 kj(179 kcal),,,"4,5",,,"2,3",,,"0,81",,"0,324",,,,,,,,,,,,,,['Auchan'],"['Nutriscore', 'Nutriscore C']",,,,['Auchan'],,,,,,,,,
67,Poulet Curry Vert @ duo de riz - Auchan,3596710491698,['France'],[],[],?,164,"9,4",12,"6,8",,,,,,,,,,,,,686 kj(164 kcal),,,"5,5",,,"2,3",,,"0,73",,"0,292",,,,,,,,,,,,,,['Auchan'],"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,
