,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,ingredients_origins,manufacturing,traceability_code,markets,quantity,link,additives,allergens,nova_score,palm_ingredients,generic_name,brand_owner,origin_detail
68,Boisson kiwi avec graines de basilic,8936126164000,['France'],[],[],?,45,0,"11,2",0,,,,,,,,,,,,,188 kj(45 kcal),,,0,,,11,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Mes petites noisettes - Maison Guinguet,3760052690778,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Guinguet'],,,,,,,,,,,,,,
70,Flan vanille,0745110275060,['France'],[],[],?,392.5,"0,5",97,0,,,,,,,,,,,,,1642 kj(392 kcal),,,0,,,96,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Purée pomme fraise - Côteaux Nantais - 360g,3301597005131,['France'],[],[],?,59,0,"14,5",0,,,,,,,,,,,,,247 kj(59 kcal),,,0,,,"9,2",,,0,,0,,,,,,,,,,,,,,['Côteaux Nantais'],,,,,,360 g,,,,,,,,
72,Gourmandises aromatiseesà la noisette,3598960061379,['France'],[],[],?,396,"1,1","95,3","3,3",,,,,,,,,,,,,1657 kj(396 kcal),,,"0,02",,,"84,1",,,0,,0,,,,,,,,,,,,,,,,,,"['EMB 46263', 'Saint-Daunès (Lot, France)']",,,,,,,,,,
73,Le cœur de bruyere vache BIO,2458611028803,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Hibiscus,3563210027726,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Cake brioché aux 3 chocolats,3279840006498,['France'],[],[],?,393,18,49,"8,2",,,,,,,,,,,,,1644 kj(393 kcal),,,11,,,21,,,"0,78",,"0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Terrine campagnarde,1598669030043,['France'],[],[],?,324,29,1,15,,,,,,,,,,,,,1356 kj(324 kcal),,,11,,,"0,1",,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,San Benedetto Acqua Zero Ice Orange Mand.cl 50 SQ,8001620007600,['France'],[],[],?,1,0,0,0,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Crevette javelot,8716789012708,['France'],[],[],?,0,"0,3",0,"18,5",,,,,,,,,,,,,0 kj(0 kcal),,,"0,2",,,0,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Carre croustillant oaprika graines de chia,3770006856914,['France'],[],[],?,452,17,"6,2","8,8",,,,,,,,,,,,,1891 kj(452 kcal),,,"5,5",,,"3,6",,,"2,4",,"0,96",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
80,Flan,0206121018379,['France'],[],[],?,202,"7,4",7,"3,6",,,,,,,,,,,,,845 kj(202 kcal),,,"4,8",,,1,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Chocoo's chocolat blanc,3564717845790,['France'],[],[],?,512,25,65,"5,7",,,,,,,,,,,,,2142 kj(512 kcal),,,14,,,35,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Queues de crevettes décortiquées et cuites - Le grand frais,3574300037594,['France'],[],[],?,95,"0,5","0,5",22,,,,,,,,,,,,,397 kj(95 kcal),,,"0,5",,,0,,,"2,1",,"0,84",,,,,,,,,,,,,,['Le grand frais'],,,,,,,,,,,,,,
83,Coppini Aceite Al Rosmar Peper,8006724000830,['France'],[],[],?,899,"99,9",0,0,,,,,,,,,,,,,3761 kj(899 kcal),,,"16,37",,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Booster plus,080006484107001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Mochi framboise vanille,3770014397089,['France'],[],[],?,233.88,"2,54","49,23","3,11",,,,,,,,,,,,,979 kj(233 kcal),,,"1,45",,,"25,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Envia - 60g,4056489369363,['France'],"['Lait écrémé et crème pasteurisés', 'poudre de lait écrémé', 'ferments lactioques ', 'lait', ' ', ' conservateur: Sorbate de potassium ', 'papier traité']",['Non végétalien'],?,87,"3,8","4,1",9,,,,,,,,,,,,,364 kj(87 kcal),,,"2,54",,,"4,1",,,"0,13",,"0,052",,,,,,,,,,,,,['Plastique'],"['Envia', 'Lidl']","['Nutriscore', 'Nutriscore A']",,,"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,60g,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,
87,Pains au raisins,0202179018378,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Nostress - Yumi,3760099400583,['France'],[],[],?,34.7,"2,1","7,8","0,4",,,,,,,,,,,,,145 kj(34 kcal),,,"0,2",,,"6,2",,,0,,0,,,,,,,,,,,,,,['Yumi'],,,,,,,,,,,,,,
89,Génoises orange,2006050026173,['France'],[],[],?,374,"8,1",70,"3,7",,,,,,,,,,,,,1565 kj(374 kcal),,,"4,9",,,49,,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Beignets fourrés,2849158013122,['France'],[],[],?,404,20,50,"5,2",,,,,,,,,,,,,1690 kj(404 kcal),,,"2,4",,,20,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Yaourts Fermiers Abricots,3900000424790,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Magnifique gateau de eva,3760030110045,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Goose sfogliatine,8000105001775,['France'],[],[],?,533,31,56,"6,5",,,,,,,,,,,,,2230 kj(533 kcal),,,14,,,24,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Plateau plancha,2647878069494,['France'],[],[],?,263,20,"4,9",15,,,,,,,,,,,,,1100 kj(263 kcal),,,"9,3",,,"1,2",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Weider,8414192860205,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Weider'],,,,,,,,,,,,,,
96,Andouillettes Lyonnaises,2639989045528,['France'],[],[],?,145,"7,4","0,1",20,,,,,,,,,,,,,607 kj(145 kcal),,,"3,3",,,0,,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rochers Praliné noir et lait,3770012901233,['France'],[],[],?,545,34,54,"3,4",,,,,,,,,,,,,2280 kj(545 kcal),,,22,,,47,,,"0,54",,"0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"rainett aloe Vera lessive liquide - 1,5l",4009175953063,['France'],"['5-15% agents de surface non ioniques', 'agents de surface anioniques', '<5% savon', 'enzymes ', 'protease', 'amylase', 'lipase', 'cellulase', 'pectate lyase', 'mannanase', 'parfums', ' Autre composant: aloe vera barbadensis']",[],?,?,?,?,?,,['Lessive'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],['Rainett'],['EU Ecolabel'],,,,['Intermarché'],"1,5 l",https://www.rainett.fr/fr/nos_produits_ecologiques/linge/lessive/lessive_liquide_concentree_peauxs_ensibles_aloe_vera.html,"['E1101 - Protéases', 'E1100 - Amylases', 'E1104 - Lipases']",,4,,,,
99,1/4 de jambon sec supérieur,2868689074655,['France'],[],[],?,159,6,"0,5",26,,,,,,,,,,,,,665 kj(159 kcal),,,"2,2",,,"0,5",,,"5,7",,"2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6 crepes maison,0200768019614,['France'],[],[],?,212,6,33,"6,1",,,,,,,,,,,,,887 kj(212 kcal),,,"3,7",,,14,,,14,,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Piemontaise,3399130017789,['France'],[],[],?,132,"7,9",10,"4,2",,,,,,,,,,,,,552 kj(132 kcal),,,"0,9",,,1,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Nectar de peche,8501700419205,['France'],[],[],?,44,"0,5",11,"0,5",,,,,,,,,,,,,184 kj(44 kcal),,,"0,1",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bubble gum,8718858613137,['France'],[],[],?,13,0,0,0,,,,,,,,,,,,,54 kj(13 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Framboises,8720195160182,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Biscuits charcuterie chorizo,3701239902680,['France'],[],[],?,490,28,45,"9,9",,,,,,,,,,,,,2050 kj(490 kcal),,,17,,,"1,4",,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Ande uva morena,8032836360135,['France'],[],[],?,15,"0,46",79,4,,,,,,,,,,,,,63 kj(15 kcal),,,"0,15",,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Terre Da Vino Barbera Dalba Doc 750ML,8007430102702,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Kitlkat,3274664178482,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Penne lisce n°,8008343200592,['France'],[],[],?,356,"1,6","69,5","14,5",,,,,,,,,,,,,1490 kj(356 kcal),,,"0,3",,,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jambon d’auvergne,3564709189727,['France'],[],[],?,220,12,"0,5",28,,,,,,,,,,,,,920 kj(220 kcal),,,"5,2",,,"0,5",,,"5,5",,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Bouquet de thym de Laurier,3760304205491,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Rochers lait,2006050026920,['France'],[],[],?,554,35,53,"5,4",,,,,,,,,,,,,2318 kj(554 kcal),,,19,,,52,,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Bitter,6130093063799,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Foie Gras entier de canard,3701309000025,['France'],[],[],?,600,"62,5","1,5","7,9",,,,,,,,,,,,,2510 kj(600 kcal),,,"27,7",,,"1,1",,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Ail des ours,3760133678732,['France'],[],[],?,350,30,"2,3","0,6",,,,,,,,,,,,,1464 kj(350 kcal),,,"3,9",,,"2,3",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Pas Piquée des Vers - Brasserie des Garrigues - 33cl,3760281010972,['France'],"[""Bière sans gluten référencée par l'AFDIAG"", ' Ingrédients : eau', ""malts d'orge*"", 'malt de blé*', 'houblons et levure', "" * Produits issus de l'agriculture biologique""]",[],?,?,?,?,?,B,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières bio']",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre', 'Capsule', 'métal']",['Brasserie des Garrigues'],"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Déconseillé aux femmes enceintes', 'FR-208-006']",,"['France', 'Sommières']",,,33 cl,https://brasseriedesgarrigues.fr,,['Gluten'],3,,Bière bio artisanale sans gluten Berliner Weisse houblonnée à cru,,
117,Pavé Thym romarin,2410845042444,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Jambon braisé supérieur,2637603020739,['France'],[],[],?,137,"5,82","0,91","20,2",,,,,,,,,,,,,573 kj(137 kcal),,,"2,13",,,"0,77",,,"1,87",,"0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Poix chiches bio,0200081005714,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Bombones cremas surtidas,7750060386738,['France'],[],[],?,33,"3,5",27,1,,,,,,,,,,,,,138 kj(33 kcal),,,2,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Cachaça,3443210401002,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Empanadas au poulet,3386030006784,['France'],[],[],?,216,"7,2",27,10,,,,,,,,,,,,,904 kj(216 kcal),,,"1,6",,,"1,8",,,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Alubia Roja Extra,8410248000311,['France'],[],[],?,109.39,"0,51","16,9","6,42",,,,,,,,,,,,,458 kj(109 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Ingwer mango,4085900001193,['France'],[],[],?,346,10,58,"3,5",,,,,,,,,,,,,1448 kj(346 kcal),,,"3,3",,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Ketchup socariz,3367350440007,['France'],[],[],?,99,"0,2","21,7","1,5",,,,,,,,,,,,,414 kj(99 kcal),,,"0,06",,,21,,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Origano foglie,8003240280517,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Dorade royale,2232110005950,['France'],[],[],?,128,"4,8","0,5","20,8",,,,,,,,,,,,,536 kj(128 kcal),,,"1,16",,,0,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Chipolata,2473107053794,['France'],[],[],?,248,"20,1","1,4","15,3",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",20.1 g,en quantité élevée,8 g,en quantité élevée,1 g,en faible quantité,2.24 g,en quantité élevée,,+4%,1038 kj(248 kcal),+4%,+6%,8,+11%,+20%,1,+58%,-1%,"2,24",+24%,"0,896",+24%,19,+14%,E,+14%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,
129,Noix de cajou crue,2609956033858,['France'],[],[],?,595,"43,9","30,2","18,2",E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,,,,-1%,2489 kj(595 kcal),-0%,-5%,"7,8",-8%,+18%,"5,9",-9%,-3%,,,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,,,
130,Draineur peche,3770012084011,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Abondance AOP,0210843028141,['France'],[],[],?,399,33,"0,5",25,,,,,,,,,,,,,1669 kj(399 kcal),,,21,,,"0,5",,,"1,5",,"0,6",,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,,
132,Tortilla chips fajita,8410076482976,['France'],[],[],?,485,"22,6","59,1",8,,,,,,,,,,,,,2029 kj(485 kcal),,,2,,,"1,5",,,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Pudding Powder with Vanillin Flavour,8690906000840,['France'],[],[],?,111,"2,8","18,1","2,8",,,,,,,,,,,,,464 kj(111 kcal),,,"1,5",,,"13,3",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Creme caramel - 100g,3387270612100,['France'],[],[],?,1.2,"3,5",20,"4,5",,,,,,,,,,,,,5 kj(1 kcal),,,"1,2",,,"18,3",,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,"['EMB 42299B', 'Savigneux (Loire, France)']",,100 g,,,,,,,,
135,Vanilice confiture abricot,8606101653620,['France'],[],[],?,463,"16,5",68,"7,7",,,,,,,,,,,,,1937 kj(463 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Carottte,3601020494540,['France'],[],[],?,5,8,50,8,,,,,,,,,,,,,21 kj(5 kcal),,,3,,,33,,,8,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Courgette filet,3606760056577,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Ravioles à poêler BIO à la tomate mozarelle - SAINT JEAN - 310g,3266140062637,['France'],[],[],?,203,"7,6",25,"7,8",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",7.6 g,en quantité modérée,3.1 g,en quantité modérée,1.5 g,en faible quantité,1.1 g,en quantité modérée,,+10%,849 kj(203 kcal),+9%,+42%,"3,1",+51%,+0%,"1,5",-44%,+5%,"1,1",+11%,"0,44",+11%,5,+23%,C,+23%,,,,,,,,['Plastique Frais'],['SAINT JEAN'],,,,,,310 g,,,,,,,,
139,Les minis nature - Henri Raffin,3375220202792,['France'],[],[],?,521,43,3,31,,,,,,,,,,,,,2180 kj(521 kcal),,,15,,,"2,5",,,"4,3",,"1,72",,,,,,,,,,,,,,['Henri Raffin'],,,,,,,,,,,,,,
140,2 filets de poulet blanc,0203339033453,['France'],[],[],?,?,?,?,?,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,"['FR 53.048.002 CE', 'Chailland (Mayenne, France)']",,,,,,,,,,
141,Poivrons farcis au thon et câpres,8004980067024,['France'],[],[],?,258,"20,5","7,3",8,,,,,,,,,,,,,1079 kj(258 kcal),,,"2,2",,,"5,6",,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Ravioli poulet,3760299915672,['France'],[],[],?,187,"8,6",19,"7,3",,,,,,,,,,,,,782 kj(187 kcal),,,"2,4",,,"2,7",,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Iskander kebab,7436939649653,['France'],[],[],?,256,10,"4,4",36,,,,,,,,,,,,,1071 kj(256 kcal),,,"4,1",,,"0,5",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Dés cheddar,3257986760184,['France'],[],[],?,410,34,2,24,,,,,,,,,,,,,1715 kj(410 kcal),,,24,,,"0,5",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,,,,,,
145,Yaourt au lait entier nature - Auchan,3596710489923,['France'],[],[],?,60,"3,2","4,3","3,4",,,,,,,,,,,,,251 kj(60 kcal),,,"2,1",,,"4,3",,,"0,14",,"0,056",,,,,,,,,,,,,,['Auchan'],,,,,['Auchan'],,,,,,,,,
146,Tarte myrtille,3267180580792,['France'],[],[],?,244,"6,6",42,"3,1",,,,,,,,,,,,,1021 kj(244 kcal),,,"3,2",,,25,,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,"['EMB 49015C', 'Avrillé (Maine-et-Loire, France)']",,,,,,,,,,
147,Sparkling Marshmallow,8718858613199,['France'],[],[],?,3,0,0,0,,,,,,,,,,,,,13 kj(3 kcal),,,0,,,0,,,"0,108",,"0,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Mix gourmand blé et lentilles corail,3229820801490,['France'],[],[],?,342,"3,8",55,15,,,,,,,,,,,,,1431 kj(342 kcal),,,"0,7",,,"2,5",,,"1,01",,"0,404",,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
149,Marinade aigre douce - Picard,3270160863877,['France'],[],[],?,287,26,12,1,,,,,,,,,,,,,1201 kj(287 kcal),,,"4,6",,,"9,6",,,"0,65",,"0,26",,,,,,,,,,,,,,['Picard'],"['Nutriscore', 'Nutriscore C']",,,,['Picard'],,,,,,,,,
150,4 croissants et 4 croissant purs beurres,2644761025582,['France'],[],[],?,422,"24,33","43,7",8,,,,,,,,,,,,,1766 kj(422 kcal),,,16,,,7,,,"0,92",,"0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Cordon bleu au cantal a.o.p,3266980018108,['France'],[],[],?,238,13,15,14,,,,,,,,,,,,,996 kj(238 kcal),,,"3,3",,,"1,1",,,"0,83",,"0,332",,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,
152,Andouille de Vire,2282709023483,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Crème aux oeuf,4056489109907,['France'],[],[],?,160,8,"17,7","4,4",,,,,,,,,,,,,669 kj(160 kcal),,,"4,9",,,"16,1",,,"0,2",,"0,08",,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,
154,Mangues sechees,4260654789461,['France'],[],[],?,28,"0,9",72,2,,,,,,,,,,,,,117 kj(28 kcal),,,"0,5",,,56,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Pizza capricciosa,5060198644672,['France'],[],[],?,221,"8,4",26,"9,5",,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'it:Pizza capricciosa']",8.4 g,en quantité modérée,3.1 g,en quantité modérée,1.6 g,en faible quantité,1.5 g,en quantité modérée,,-3%,925 kj(221 kcal),-4%,+0%,"3,1",-21%,-3%,"1,6",-46%,-8%,"1,5",+20%,"0,6",+20%,11,+42%,D,+42%,,,,,,,,,,,,,,,,,,,,,,,
156,Bircolin Birkenzucker,4100520031419,['France'],[],[],?,240,0,100,0,,,,,,,,,,,,,1004 kj(240 kcal),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Pavé de bœuf bolognaise,2296069021126,['France'],[],[],?,184,"5,7","0,9","32,5",,,,,,,,,,,,,770 kj(184 kcal),,,"1,9",,,"0,7",,,1,,"0,4",,,,,,,,,,,,,,,,,,"['FR 61.181.001 CE', 'Gacé (Orne, France)']",,,,,,,,,,
158,Tamarind,8855273032560,['France'],[],[],?,256,0,63,3,,,,,,,,,,,,,1071 kj(256 kcal),,,0,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Monster munch,3336995409168,['France'],[],[],?,487,23,65,"4,7",,,,,,,,,,,,,2038 kj(487 kcal),,,"2,9",,,"4,5",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Corned beef,5035139205090,['France'],[],[],?,220,13,"1,1","24,8",,,,,,,,,,,,,920 kj(220 kcal),,,"6,5",,,"1,1",,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Noix de pécans sucrées,20088811,['France'],[],[],?,646,54,"28,4","8,5",,,,,,,,,,,,,2703 kj(646 kcal),,,"4,7",,,"28,3",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Souris d'agneau,2224658082586,['France'],[],[],?,125,5,"1,9",18,,,,,,,,,,,,,523 kj(125 kcal),,,"1,9",,,0,,,"0,96",,"0,384",,,,,,,,,,,,,"['Sachet en plastique', 'Etui en carton']",,,,,,,,,,,,,,,
163,Miel de montagne,3770011480234,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Steack halal,2409322027623,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Napolitan cubes,5310345005543,['France'],[],[],?,573,"36,3","55,8","4,2",,,,,,,,,,,,,2397 kj(573 kcal),,,"16,7",,,35,,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Dolce italia pisellini extrafini surgelati,8003495101254,['France'],[],[],?,55,"0,6","5,2","4,8",,,,,,,,,,,,,230 kj(55 kcal),,,0,,,"0,5",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Poitrine seche poivree,2693276022371,['France'],[],[],?,323,26,29,11,,,,,,,,,,,,,1351 kj(323 kcal),,,21,,,"0,8",,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Saucisson COSTA,2658952032938,['France'],[],[],?,381,28,"0,6",33,,,,,,,,,,,,,1594 kj(381 kcal),,,12,,,0,,,"5,2",,"2,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,老树椰汁,6928713850467,['France'],[],[],?,61.1,30,"7,4","1,1",,,,,,,,,,,,,256 kj(61 kcal),,,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Firma Italia Mashed Potatoesbaconcheese,8010205004644,['France'],[],[],?,347,3,66,11,,,,,,,,,,,,,1452 kj(347 kcal),,,"1,6",,,"3,1",,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Miel de tilleul de Picardie -,3437340069508,['France'],[],[],?,?,?,?,?,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,
172,Kose' Caffe' Blu Audace GR.250,8002200108885,['France'],[],[],?,1,0,"0,3","0,2",,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
