,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,markets,traceability_code,manufacturing,packaging,brand_owner,additives,allergens,nova_score,ingredients_origins,generic_name,link
178,Petit lait,3374604388855,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Cookie dough chocolate chunk,0788434105781,,['France'],[],[],?,210,879 kj(210 kcal),8,4,24,1,20,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Assortiment de viande de porc marinée et aromatisée,3245415838160,['Fabriqué en France'],['France'],[],[],?,246,1029 kj(246 kcal),19,"7,3","2,5","1,1",16,"0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Nectar d'abricot,3760227610310,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],[],[],?,49,205 kj(49 kcal),"0,03","0,005",12,"9,6","0,21",0,0,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]",0.03 g,en faible quantité,0.005 g,en faible quantité,9.6 g,en quantité élevée,0 g,en faible quantité,,-8%,-8%,-84%,-87%,-3%,-19%,-44%,-100%,-100%,14,-8%,E,-8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
182,Jus de pomme - Solevita,13068509,,['France'],[],[],?,47,197 kj(47 kcal),"0,1","0,1",11,"10,5","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Solevita'],,,,,,,,,,,
183,Sot-l'y-laisse de dinde,4011364223796,,['France'],[],[],?,112,469 kj(112 kcal),4,"0,8",0,0,19,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Chocolate flavour milk - 20cl,3760128640430,,['France'],[],[],?,62,259 kj(62 kcal),"1,1","0,8","9,4","9,3","3,3","0,1","0,04",20 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Infusion de coquelicot,3760185091435,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Slievenamon - Tesco,5057373700209,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,,,,,,,
187,Farine de Sarrasin,3770008073043,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",,,,,,,,,,,,,,,,,,,,,,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,,,,,
188,Kellogg trésor chocolat au lait,5053627199898,"['Sans arômes artificiels', 'Sans colorants']",['France'],[],[],?,441,1845 kj(441 kcal),14,4,70,28,"7,2","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Confiture abricot vanille,3760072744321,['Sans conservateurs'],['France'],[],[],?,200,837 kj(200 kcal),0,0,49,49,0,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0 g,en faible quantité,0 g,en faible quantité,49 g,en quantité élevée,0 g,en faible quantité,,-9%,-9%,-100%,-100%,-8%,-3%,-100%,-100%,-100%,11,+22%,D,+22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
190,Les toastinades - 100g,3760194212517,,['France'],[],[],?,384,1607 kj(384 kcal),"38,5","7,9","5,4","1,2","4,3","0,726","0,29",100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 83.129.009 CE', 'Six-Fours-les-Plages (Var, France)']",,,,,,,,,
191,Fantômes salés - Leader Price - 80g,2263755197991,,['France'],[],[],?,499,2088 kj(499 kcal),25,2,"62,5","3,9","4,5","2,3","0,92",80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leader Price'],['Leader Price'],,,,,,,,,,
