,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,additives,allergens,nova_score,generic_name,quantity,labels,markets,traceability_code,manufacturing,palm_ingredients,link,ingredients_origins
393,Donut Oreo -,3040409220194,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],29.6 g,en quantité élevée,15.9 g,en quantité élevée,22.3 g,en quantité élevée,0.51 g,en quantité modérée,?,,489,+20%,2046 kj(489 kcal),+20%,"29,6",+30%,"15,9",+50%,"49,7",+11%,"22,3",+33%,19,+221%,"0,51",-46%,"0,204",-46%,22,+13%,E,+13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,Donuts au cacao et  fourrage vanille,,"[""Fabriqué dans l'UE""]",,,,,,
394,Csm,3040409321600,,,['France'],[],[],,,,,,,,,?,,364,,1523 kj(364 kcal),,22,,15,,33,,"3,5",,"7,7",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,,,,,,,,,
395,Croissant - Csm Bakery Solutions,3040409325202,,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,24,,16,,31,,3,,7,,"0,87",,"0,348",,,,,,,,,,,,,,['Csm Bakery Solutions'],,,,,,,,,,,,
396,Spray antiseptique,3040690662536,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Vinaigrette legere,3040690922371,D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes', 'Vinaigrettes allégées en matières grasses']",['France'],[],[],40 g,en quantité élevée,4.7 g,en quantité modérée,5.2 g,en quantité modérée,1.6 g,en quantité élevée,?,,368,+38%,1540 kj(368 kcal),+39%,40,+47%,"4,7",+92%,"5,5",+31%,"5,2",+115%,"0,5",-9%,"1,6",-12%,"0,64",-12%,16,+33%,D,+33%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
398,"Lait Et Céréales Au Miel, Dès 6 Mois",3041090000270,,,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"2,9",,"1,4",,14,,5,,2,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,
399,Bledina Bledine Multicereales,3041090000324,,,['France'],[],[],,,,,,,,,?,,392,,1640 kj(392 kcal),,"1,3",,"0,25",,84,,19,,"9,6",,"0,009",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
400,Bledina Bledine Fruits,3041090000478,,"['Aliments pour bébé', 'Dès 6 mois']",['France'],[],[],,,,,,,,,?,,389,+305%,1628 kj(389 kcal),+348%,"1,2",-25%,"0,2",-69%,84,+522%,23,+207%,"9,3",+335%,0,-100%,0,-100%,,,,,,,,,,,,,['Bledina'],,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,
401,375G Bledicao Bledina,3041090000683,,,['France'],[],[],,,,,,,,,?,,379,,1586 kj(379 kcal),,"0,7",,"0,16",,91,,"32,9",,"2,2",,"0,014",,"0,006",,,,,,,,,,,,,,,,,,,,,,,,,,
402,Biscuit Bébé 6-36 Mois - Bledina,3041090002946,,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,"8,6",,"3,5",,"75,4",,25,,"8,5",,"0,7",,"0,28",,,,,,,,,,,,,,['Bledina'],,,,,,,,,,,,
403,Pack 4X50CL Cokctail Des 4 Saisons X 4 Bledina,3041090003523,,,['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"7,2",,0,,"7,5",,"7,2",,"0,3",,"0,008",,"0,003",,,,,,,,,,,,,,,,,,,,,,,,,,
404,Légumes Poulet Veau - Blédina - 200g,3041090004315,,"['Viandes', 'Aliments pour bébé', 'Plats principaux pour bébé', 'Dès 6 mois', 'Menus Viandes pour bébé', ""Produits vendus avant l'an 2000"", 'Produits vendus dans les années 1980']",['France'],"['Purée de légumes 84,6 % ', 'légumes 68 %', 'carottes', 'pommes de terre ', ' eau de cuisson', 'poulet 10 %', 'veau 5 %', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,213,,?,,213 kj(51 kcal),-83%,"1,6",-90%,,,"5,9",-78%,,,"3,3",-43%,,,,,,,,,,,,,,,,"['Bocal', 'Verre']",['Blédina'],,,3,,200 g,['en:gluten-free'],,,,,,
405,Printanière de légumes - Bledina - 2*130g,3041090007071,,['Printanière de légumes'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bledina'],,,,,2*130g,"['en:gluten-free', 'Sans additifs']",,"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,,
406,Bledine - Blédina - 250g,3041090007484,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Blédina'],,,,,250 g,['Sans colorants'],,,,,,
407,Mini Boisson Pommes Raisins - Bledina - 500ml (4 * 125ml),3041090010781,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments pour bébé', 'Boissons aux fruits', 'Goûters et desserts pour bébé', 'Boissons pour bébé', 'Dès 6 mois', 'Boissons sans sucre ajouté']",['France'],"['Jus de fruits à base de jus concentrés ', 'jus de pommes 42 %,jus de raisins 20 %', ' • Eau • Antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,31,-18%,130 kj(31 kcal),-18%,0,-100%,0,-100%,"7,5",-8%,"7,1",+6%,"0,1",-78%,0,-100%,0,-100%,,,,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,"['Carton', 'Plastique']","['Bledina', 'Blédina']",['E300 - Acide ascorbique'],,1,,500 ml (4 * 125 ml),"['en:gluten-free', 'Sans colorants']",,,,,,
408,MINI BIB Pomme banane - Bledina,3041090010811,,"['Boissons', 'Boissons avec sucre ajouté']",['France'],"['Fruits et jus de fruits à base de jus concentrés ', 'jus de pommes 25 %', 'purée de pommes 15 %', 'purée de bananes 12 %', 'jus de citron', ' - Eau - Sucre - Antioxydant : acide ascorbique', ' SANS GLUTEN']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.04 g,en faible quantité,0.01 g,en faible quantité,9 g,en quantité élevée,0.003 g,en faible quantité,?,,43,-49%,180 kj(43 kcal),-51%,"0,04",-89%,"0,01",-94%,"9,6",-52%,9,-51%,"0,2",-63%,"0,003",-92%,"0,001",-92%,10,-16%,E,-16%,,,,,,,,,['Bledina'],['E300 - Acide ascorbique'],['Gluten'],3,,,['Sans gluten'],,,,,,
409,Blédichef - Tendresse de semoule et son mouliné de carottes au lait - Blédina - 200g,3041090018220,,"['Aliments pour bébé', 'Dès 8 mois', 'Plats du soir pour bébé']",['France'],"['Légumes 40,8% ', 'Carottes 35', '5%', 'maïs', 'oignons', 'céleri', 'lait écrémé en poudre reconstitué 33%', 'pommes de terre', 'semoule de blé dur 7', '5%', 'maltodextrines', 'crème', 'amidon transformé de maïs', 'huiles végétales ', 'colza et tournesol', 'lait écrémé en poudre 0', '95%', 'sel arômes', 'lactose', 'vitamine C', 'vitamine E', 'vitamine PP', 'vitamine B1', 'vitamine B2', 'vitamine B5', 'vitamine B6', 'vitamine B8', 'vitamine B9', 'vitamine K', ' minéraux: diphosphate ferrique', 'sulfate de zinc', 'sulfate de cuivre', ' iodure de potassium', ' Présence de Gluten']",['Non végétalien'],,,,,,,,,332,+19%,?,,332 kj(79 kcal),+14%,"2,3",+2%,"0,52",-6%,"11,3",+23%,"3,97",+44%,"2,4",+7%,"0,295",+45%,"0,118",+45%,,,,,,,,,,,,"['Assiette', 'Plastique']","['Blédina', 'Blédichef', 'Danone']",['E14XX - Amidons modifiés'],"['Céleri', 'Lait']",4,Assiette pour bébé,200 g,,,"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,,
410,Blédichef Légumes et dinde à la méridionale - Blédina - 230g,3041090018367,,"['Aliments pour bébé', 'Dès 12 mois', 'Plats principaux pour bébé']",['France'],"['légumes 48', '1% ', 'purée de tomates 21', '8%', 'carottes 14%', 'poivrons rouges 7%', 'oignons 4', '9%', 'épinards', 'eau de cuisson', 'pâtes cuites ', 'semoule de blé dur ', 'gluten', ""blanc d'oeuf"", ' 14%', 'pommes de terre', 'viande de dinde 8%', 'amidon transformé de maïs', ""huile d'olive"", 'huiles végétales ', 'colza', 'tournesol', 'vitamine E', 'ail', 'coriandre', 'sel', 'sucre', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,274,-4%,?,,274 kj(65 kcal),-33%,"1,9",-21%,"0,3",-58%,"8,6",-31%,"1,4",-63%,"2,8",-5%,"0,368",+74%,"0,147",+74%,,,,,,,,,,,,"['Assiette', 'Plastique']","['Blédina', 'Blédichef']",['E14XX - Amidons modifiés'],"['Œufs', 'Gluten']",4,Plat adapté à bébé pour le déjeuner,230g,"['Viande-francaise', 'Sans conservateurs', 'Volaille-francaise', 'Petits morceaux']","['Intermarché', 'Magasins U']","['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",['France'],,https://www.bledina.com/produits-bebe/bledichef-230g-legumes-et-dinde-a-la-meridionale-des-12-mois,['France']
411,bledina ratatouille riz colin - 400g,3041090026645,,"['Aliments pour bébé', 'Dès 8 mois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bledina'],,,,,400 g,,,,,,,
412,Pack 2X200G Printaniere De Legumes+pates Bledina,3041090026881,,,['France'],[],[],,,,,,,,,?,,66,,276 kj(66 kcal),,"1,9",,"0,5",,"9,9",,"3,1",,"2,1",,"0,3",,"0,12",,,,,,,,,,,,,,['Bledina'],,,,,,,,,,,,
413,Pack 6X500ML Gallia 2e Age - Bledina,3041090040047,,,['France'],"[""de plus de '251"", ""' idéal et naturel d J noumssoll é4L1"", 'nutritionnistes et Videur', ': le lait réglementation', 'des ins nutritionnels Spécifiques de votre bébé', ' Caséine on protéine Ingrédients', ' GLUCIDI I Eau déminéralisée - lait écrémé - lactose ', 'lait', ' - huiles q Sucres végétales ', 'palme', 'colza', ""coprah' tournesol' mortierella alpina"", ' i"" ', ' au dont la -maltodextrines - galacto-oligosaccharides ', 'GOS', ' ', 'lait', ' - B LIPIDES t Protéines de lactosérum concentrées ', 'lait', "" - émulsifiant : mono- d'acides gras- fructo-oligosaccharides "", 'FOS', '- Acide Citrique-huiledepoisson-chlorure A Acide DHA en tocophérols', ""palmitate ARA d'ascorbyle - L-tryptophane - Vitamines : c"", ""A O D3 niacine' acide Pantothénique"", 'biotine', 'acide folique', ""82' calcium"", 'citrate de calcium S de potassium', 'hydroxyde de de potassium', ""lactate de' p iurn Ch}assium carbonate de sodium"", 'gluconate de Cuivre', 'de so Phosphore sulfate de manganèse']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,70,,293 kj(70 kcal),,"3,2",,"1,3",,"8,6",,"2,36",,"1,6",,0,,0,,,,,,,,,,,,,,['Bledina'],['E270 - Acide lactique'],['Lait'],4,,,,,,,['Huile de palme'],,
414,Pomme Banane - Blédina - 4 * 90g (360g),3041090046124,,"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Dès 12 mois', 'Desserts au fruit pour bébé']",['France'],['Purée de pomme 76% - purée de banane 24% - Vitamine C'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,238,-3%,?,,238 kj(57 kcal),-4%,"0,05",-87%,~ 0,-100%,"12,9",+4%,"12,5",+16%,"0,3",-35%,"0,03",+60%,"0,012",+60%,,,,,,,,,,,,"['Gourdes', 'Plastique', 'Carton']",['Blédina'],,,1,,4 * 90 g (360 g),"['Sans sucre ajouté', 'Sans colorants']",['Cora'],,,,,
415,PACK 6X60G PETIT BLEDINA FRUITS / ROUGES 6 MOIS BLEDINA,3041090050107,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,?,,"2,2",,?,,"10,9",,"2,7",,"0,14",,"0,056",,,,,,,,,,,,,,['Blédina'],,,,,,['Sans conservateurs'],,,,,,
416,Les mini lactés banane - Blédina - 360g (6x60g),3041090050121,,"['Aliments pour bébé', 'Goûters et desserts pour bébé', 'Desserts lactés pour bébé', 'Dès 6 mois']",['France'],"['lait écrémé et lactosérum ', 'lait', ' reconstitués 70%', 'crème ', 'lait', 'sucre', 'purée de banane 5%', 'eau', 'amidon transformé de maïs', 'amidon', 'maltodextrines', 'huiles végétales ', 'colza', 'tournesol', 'vitamine E', 'lactate de calcium ', 'lait', 'acidifiant : acide citrique', 'arômes', 'émulsifiants : monodiglycérides de colza', 'lécithine de soja', 'ferments lactiques ', 'lait', 'antioxydants : acide ascorbique', 'extraits riches en tocophérols', 'minéraux : diphosphate ferrique']",['Non végétalien'],,,,,,,,,475,+18%,?,,475 kj(114 kcal),+20%,"3,8",+28%,"2,2",+25%,"16,8",+24%,"11,4",+21%,"2,7",-8%,"0,137",+44%,"0,055",+44%,,,,,,,,,,,,"['Carton', 'Pots', 'Plastique']","['Blédina', 'les mini lactés']","['E14XX - Amidons modifiés', 'E327 - Lactate de calcium', 'E330 - Acide citrique', 'E322i - Lécithine', 'E300 - Acide ascorbique', 'E306 - Extrait riche en tocophérols']","['Lait', 'Soja']",4,Aliment pour bébés,360g (6x60g),['Sans conservateurs'],['intermarché'],"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,,
417,Pack 6X60G Bledilacte Framboise Bledina,3041090050169,,,['France'],[],[],,,,,,,,,?,,112,,469 kj(112 kcal),,?,,"2,2",,?,,"10,9",,"2,7",,"0,13",,"0,052",,,,,,,,,,,,,,['Bledina'],,,,,,,,,,,,
418,Pack 6X60G Bdilacte Abricot Bledina,3041090050176,,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,?,,"2,2",,?,,"10,8",,"2,7",,"0,13",,"0,052",,,,,,,,,,,,,,['Bledina'],,,,,,,,,,,,
419,Blédilait croissance vanille - Blédina - 500ml,3041090070198,D,"['Boissons', 'Produits laitiers', 'Aliments pour bébé', 'Boissons lactées', 'Laits pour bébé', 'Laits aromatisés', 'Dès 10 mois', 'Laits de croissance', 'Laits aromatisés à la vanille']",['France'],"['lait écrémé', 'eau', 'lactose ', 'lait', 'matières grasses végétales ', 'palme', 'coprah ', 'soja', 'colza', 'tournesol', 'saccharose', 'arôme naturel vanille', 'émulsifiant : lécithine de soja', 'vitamines ', 'A', 'D3', 'E', 'C', 'B1', 'B2', 'PP', 'B6', 'B9', 'B12', 'B8', 'B5', 'k1', 'minéraux ', 'citrates de calcium', 'magnésium et sodium', 'phosphate de calcium', 'sulfates de fer', 'zinc et cuivre', 'bicarbonate de sodium', 'iodure de potassium']","['Huile de palme', 'Non végétalien']",,,,,,,,,257,,?,,257 kj(61 kcal),-10%,"2,5",+163%,"1,2",+93%,"7,9",-13%,"7,9",-5%,"1,8",-31%,"0,074",-36%,"0,029",-36%,,,,,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,"['Bouteille', 'Plastique']","['Blédina', 'Blédilait', 'Danone']",['E322i - Lécithine'],"['Lait', 'Soja']",4,Lait de suite et aliment lacté liquide pour enfants en bas âge,500ml,['Arômes naturels'],['Intermarché'],"['FR 59.580.030 CE', 'Steenvoorde (Nord, France)']",,['Huile de palme'],,
420,Pommes fraises - Bledina - 1040g (8x130g),3041090502910,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Dès 6 mois', 'Compotes pour bébé']",['France'],"['pommes 74', '9%', 'fraises 25%', 'vitamine C']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,201,-13%,?,,201 kj(48 kcal),-13%,"0,2",-19%,"0,05",+28%,10,-16%,"7,9",-23%,"0,4",-8%,"0,001",-96%,0,-96%,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"['Pot en verre', 'Pot', 'Verre', 'Carton']","['Bledina', 'Danone']",,,1,Purée de fruits adaptée à bébé,1040g (8x130g),"['Sans sucre ajouté', 'Sans conservateurs', 'Charte qualité bébé Blédina']",['Intermarché'],,['France'],,,
421,Bledichef Pâtes et jambon à la romaine - Blédina,3041090526534,,,['France'],"['Légumes 45,7 % ', 'Purée de tomates 29,9%', 'Carottes 10,7 0%', 'Champignons Oignons', ' - Eau de cuisson - Pâtes cuites 14,0% ', 'se - / moule de blé dur ', 'GLUTEN', ""blanc d'OEUF"", ' - Pommes de terre - Viande de porc ', 'jambon', ' ', 'origine : France', 'Espagne', ' 8,0% - Amidon transformé de mats - Huiles végétales [', 'colza', 'tournesol', 'vitamine El - Ail - Sel - Arômes Analyse moyenne pour 100g: Valeur éner - gétique 287 kJ/']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,68,,285 kj(68 kcal),,20,,"0,3",,9,,"1,3",,3,,"0,39",,"0,156",,,,,,,,,,,,,,"['Blédina', 'Blédichef']",['E14XX - Amidons modifiés'],"['Œufs', 'Gluten']",4,,,,,,,,,
422,Velouté - Blédina,3041090529825,,"['Plats préparés', 'Soupes', 'Veloutés']",['France'],[],[],1.5 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.26 g,en faible quantité,?,,39,-2%,163 kj(39 kcal),-2%,"1,5",-6%,"0,2",-69%,"5,3",+11%,3,+65%,"0,6",-32%,"0,26",-60%,"0,104",-60%,1,-20%,B,-20%,,,,,,,,,['Blédina'],,,,,,,,,,,,
423,"Blediner Soup P.Pdt 2X250, - Bledina - 250ml",3041090529832,,,['France'],"['Eau de cuisson Légumes ', 'Poireaux 17 % Oignons', 'Epinards', '- Pommes de terre Lait écrémé en poudre 41 % - Amidon transformé de md', 's - Huiles végétales ', 'colza', 'tournesol', ' Vitamine E', ' - Crème ', 'lait} - Ail - Sel - Diphosphate ferrique']",['Non végétalien'],,,,,,,,,?,,66,,276 kj(66 kcal),,"2,4",,"0,5",,"7,9",,"2,8",,"2,8",,"0,19",,"0,076",,,,,,,,,,,,,,['Bledina'],['E14XX - Amidons modifiés'],['Lait'],4,,250ml,,,,,,,
424,4 assiettes Blédichef x2 purée aux épinards et saumon du Pacifique x2 spaghetti à la bolognaise des tout-petits - Blédina - 920g (4x230g),3041090595929,,"['Aliments pour bébé', 'Dès 12 mois', 'Plats principaux pour bébé']",['France'],"['Purée aux épinards et saumon du Pacifique : eau de cuisson', 'pommes de terre 21%', 'épinards 15%', 'carottes 10%', 'saumon kéta et/ou rose du Pacifique* 8% ', 'poisson', 'haricots verts', 'amidon transformé de maïs', 'crème ', 'lait', 'oignons', 'céleri', 'huiles végétales ', 'colza', 'tournesol', 'vitamine E', 'sucre', 'sel', 'arômes', ' *en proportions variables', '\r Spaghetti à la bolognaise des tout-petits : légumes ', '68', '9%', ' ', 'purée de tomates 50', '4%', 'carottes 10', '6%', 'oignons', 'céleri', 'pâtes cuites ', 'semoule de blé dur ', 'gluten', ""blanc d'oeuf"", ' 15', '2%', 'viande de boeuf ', 'VBF', ' 9', '2%', 'pommes de terre', 'amidon transformé de maïs', ""huile d'olive"", 'huiles végétales ', 'colza', 'tournesol', 'vitamine E', 'eau de cuisson', 'ail', 'sucre', 'sel', 'arômes']","['Non végétalien', 'Non végétarien']",,,,,,,,,263,-7%,?,,263 kj(63 kcal),-36%,"2,1",-13%,"0,8",+13%,"7,8",-38%,1,-74%,"2,5",-15%,"0,34",+60%,"0,136",+60%,,,,,,,,,,,,"['Pack', 'Carton', 'Plastique', 'Assiettes']","['Blédina', 'Blédichef', 'Danone']",['E14XX - Amidons modifiés'],"['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait']",4,Plat adapté à bébé pour le déjeuner,920g (4x230g),"['Viande-francaise', 'Viande-bovine-francaise', 'Poisson sauvage']",['Carrefour'],"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,,"['France', 'Pacifique']"
425,Bledine SV Vanille Pepite - Bledina - 500g,3041090677830,,,['France'],[],[],,,,,,,,,?,,397,,1661 kj(397 kcal),,?,,"1,1",,?,,30,,"9,5",,"0,03",,"0,012",,,,,,,,,,,,,,['Bledina'],,,,,500 g,,['Magasins U'],,,,,
426,Blédichef Couscous des tout petits - Blédina - 2 * 230g (460g),3041090689307,,"['Aliments pour bébé', 'Dès 12 mois', 'Plats principaux pour bébé', 'Assiettes pour bébé']",['France'],"['Légumes 48,4% ', 'Purée de tomates 17,1%', 'Carottes 15,8%', 'Courgettes 12,8%', 'Oignons', 'eau de cuisson', 'Boulghour cuit 16,0% ', 'gluten', 'pommes de terre', ""viande d'agneau 4,3%"", 'viande de poulet 3,8%', 'amidon transformé de maïs', 'huiles végétales [', 'colza', 'tournesol', 'vitamine E]', 'sel', 'ail', 'coriandre', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,273,-7%,?,,273 kj(65 kcal),-9%,"2,3",+0%,"0,5",-20%,"7,8",-15%,"1,2",-25%,"2,6",-9%,"0,28",+3%,"0,112",+3%,,,,,,,,,,,,"['Carton', 'Barquette', 'Plastique']","['Blédina', 'Danone']",['E14XX - Amidons modifiés'],['Gluten'],4,Aliment pour bébés,2 * 230 g (460 g),"['Sans conservateurs', 'en:palm-oil-free']",['Cora'],"['FR 19.031.003 CE', 'Brive-la-Gaillarde (Corrèze, France)']",['France'],,,
427,calisma relais - Gallia - 900g,3041090695162,B,"['Aliments pour bébé', 'Laits pour bébé']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,['Gallia'],,,,,900g,,,,,,,
428,BLEDINA BLEDINER BRIQUES CROISSANCE MAXI LOT 6x250ml 4 Légumes Variés / 2 Carottes Petits Pois - dès 12 mois - 1602g,3041090751189,,,['France'],"['Eau - Lait écrémé 42,2 % ', 'LAIT', ' - Maltodextrines - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Farine de riz 2,0 % - Lactose ', 'LAIT', ' - Amidon de maïs - Carottes en poudre 0,7 % - Lactosérum déminéralisé ', 'LAIT', "" - Flocons de petits pois 0,4 % - Sucre - Flocons de pomme de terre - Epinards en poudre - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Emulsifiant : lécithine de soja ', 'SOJA', ' - Oignons en poudre - Vitamines ', 'A', 'E', 'D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B6', 'B9', 'B12', 'B5 et B8', '- Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure de potassium', ' - Dextrose - Antioxydant : extraitriche en tocophérolsBLEDINA BLEDINER BRIQUES CROISSANCE 6x250ml 4 Légumes Variés /:Ingrédients : Eau - Lait écrémé 44,2 % ', 'LAIT', ' - Maltodextrines - Matières grasses végétales ', 'palme', 'coprah', 'colza', 'tournesol', ' - Farine de riz 2,0 % - Lactose ', 'LAIT', ' - Amidon de maïs - Carottes en poudre 0,5 % - Lactosérum déminéralisé ', 'LAIT', "" - Sucre - Oignons enpoudre 0,2 % - Epinards en poudre 0,2 % - Poireaux en poudre 0,1 % - Correcteurs d'acidité "", 'bicarbonate de sodium', 'hydroxyde de potassium', ' - Emulsifiant : lécithine de soja ', 'SOJA', ' - Minéraux ', 'carbonate de calcium', 'diphosphate ferrique', 'sulfate de zinc et iodure depotassium', ' - Vitamines ', 'A', 'E', 'D3', 'K1', 'C', 'B1', 'B2', 'B3', 'B6', 'B9', 'B12', 'B5 et B8', ' - Dextrose - Antioxydant : extrait riche en tocophérols']","['Huile de palme', 'Non végétalien']",,,,,,,,,311,,74,,311 kj(74 kcal),,"2,2",,1,,"11,3",,"4,8",,2,,"0,1",,"0,04",,,,,,,,,,,,,,"['BLEDINA', 'Blédiner']","['E500ii - Carbonate acide de sodium', 'E525 - Hydroxyde de potassium', 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols']","['Lait', 'Soja']",4,Céréales lactées pour bébés,1602 g,,,,,['Huile de palme'],,
