,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,quantity,packaging,labels,manufacturing,markets,allergens,nova_score,additives,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,ingredients_origins,generic_name,link,palm_ingredients,producer_info
1217,Mister Creamy,5310206006177,['France'],[],[],?,567,2372 kj(567 kcal),"29,6","1,4",60,"57,1","2,8","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Poivrons cerise,5310274003467,['France'],[],[],?,303,1268 kj(303 kcal),"26,67",10,"7,39","5,67","13,33","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,piment de Pélagonie - Balko,5310274003504,['France'],[],[],1200,?,1200 kj(287 kcal),9,1,63,0,15,"0,6","0,24",,['Balko'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Filets aubergines grillees,5310274003535,['France'],[],[],?,470,1966 kj(470 kcal),"4,98","0,44","14,42","1,93","1,66","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Confit légumes d'été - Startine - 200grammes,5310274003627,['France'],[],[],?,183,766 kj(183 kcal),15,"2,67","10,67",7,"7,67","0,52","0,208",,['Startine'],,,,,,,,,,,,,,,,,,,,,,,,200 grammes,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,,,,,,
1222,Apéritif Monaco,5318345939585,['France'],[],[],?,524,2192 kj(524 kcal),31,15,49,"6,1",11,"1,99","0,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,5318547601723,5318547601723,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,['DE BY-70534 EG'],,,,,,,,,,,,,,,,,,,,,
1224,Baš Ajvar,5319990172952,['France'],[],[],?,145,607 kj(145 kcal),"9,08","1,63","10,41","4,37","2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Gjuvec,5319990177025,['France'],[],[],?,51,213 kj(51 kcal),"1,5","0,1","3,2","1,9","2,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,
1226,Ljutenica,5319990177599,['France'],[],[],?,117,490 kj(117 kcal),7,1,9,3,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,
1227,AMIGO - SOKO GORICA DOOEL - 200ml,5319990227034,['France'],[],[],?,39,163 kj(39 kcal),"0,007","0,001","9,688","9,656","0,012","0,001",0,,['SOKO GORICA DOOEL'],,,,,,,,,,,,,,,,,,,,,,,,200ml,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,
1228,Bosnak Boregi,5319990516961,['France'],[],[],?,327,1368 kj(327 kcal),15,5,34,4,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Orbé,5319990822581,['France'],[],[],?,551,2305 kj(551 kcal),31,12,59,39,"6,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,4 U Croissants With Vanilla Cream Filling X5,5319991194175,['France'],[],[],?,182,761 kj(182 kcal),"9,1","4,5","18,9","4,8","3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,531010,531010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Muesli croustillant noix de cajou et coco,5323637625503,['France'],[],[],?,449,1879 kj(449 kcal),18,"1,9",59,12,"8,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Galettes de riz nappées chocolat noir - Carrefour,5328839697952,['France'],"['@ La teneur en sel est due à la naturelle de sodium', ' AR : Apports de Référence un BO']",[],?,479,2004 kj(479 kcal),23,14,59,22,"6,8","0,02","0,008",B,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']",,-0%,-1%,+6%,+6%,-4%,-3%,-1%,-66%,-66%,14,-14%,D,-14%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'CZ-BIO-001']",,['Carrefour'],,,,23 g,en quantité élevée,14 g,en quantité élevée,22 g,en quantité élevée,0.02 g,en faible quantité,,,,,
