,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,manufacturing,allergens,nova_score,ingredients_origins,additives,link,generic_name,brand_owner
101,Pate a colombo,3577722941487,['France'],[],[],?,386,"16,54","22,08","7,06",,,1615 kj(386 kcal),"2,73","2,54","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,petit basque brebis,0200144096239,['France'],[],[],?,413,"35,9","0,2","22,3",,"['FR 64.314.100 CE', 'Larceveau-Arros-Cibits (Pyrénées-Atlantiques, France)']",1728 kj(413 kcal),"25,5","0,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Poulet nourri aux graines de lin - Maître Coq,0215543030708,['France'],[],[],?,180,12,0,18,,,753 kj(180 kcal),"3,2",0,"0,21","0,084",,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Biere blonde Green du Velay,3760073640165,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Fraises guimauves,3760036352449,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Vin de bordeaux,3251091408108,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Pain aux 6 graines,0260641007879,['France'],[],[],?,294,"3,3",53,"10,45",,,1230 kj(294 kcal),"0,45","1,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Yaourt pur brebis sur lit de rhubarbe - Bergerie de la Rouye - 250g,3770012640064,['France'],"['Lart de brebis entier pasteurisé', 'confiture de rhubarbe 10% ', 'rhubarbe', 'saccharose', 'eau', 'épaississants', 'arôme', 'acidifiants', 'antioxygène', 'conservateurs', 'ferments lactiques']",[],?,?,?,?,?,,"['FR 26.059.001 CE', 'Bouvante (Drôme, France)']",,,,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la rhubarbe', 'Yaourts au lait de brebis']",,,,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Bergerie de la Rouye'],250 g,,,,,,,,,,,,,,,,,,,,,['Lait'],4,,,,,
109,Thym,3250541007892,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Patatas fritas palitas - 100g,8437007730203,['France'],[],[],?,537,"32,9","53,7","5,96",,,2247 kj(537 kcal),"4,9","4,88","0,5","0,2",,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Cantal AOP,2456304029458,['France'],[],[],?,413,34,"0,5",27,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",1728 kj(413 kcal),22,0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Viande des Grisons - Naturaplan,2412735009001,['France'],[],[],?,211,5,0,41,"['Bio', 'Bio européen', 'CH-BIO-006']",,883 kj(211 kcal),2,0,"5,5","2,2",,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,+7%,+30%,-100%,+4%,,,,,,,,['Naturaplan'],,,5 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,5.5 g,en quantité élevée,+7%,+30%,-100%,+17%,+17%,13,+2%,D,+2%,,,,,,,,,
113,3660989204409,3660989204409,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Rosette en tranches,2286101020279,['France'],[],[],?,322,25,9,25,,,1347 kj(322 kcal),10,0,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Comté 24 mois,2399623007939,['France'],[],[],?,418,35,"0,4",27,,,1749 kj(418 kcal),23,"0,4","0,9","0,36",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,-0%,+1%,-13%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,35 g,en quantité élevée,23 g,en quantité élevée,0.4 g,en faible quantité,0.9 g,en quantité modérée,-0%,+1%,+49%,+7%,+7%,13,0%,D,0%,,,,,,,,,
116,Croc Qui Crac aux algues,3760282430045,['France'],[],[],?,405,"7,8",71,11,,,1695 kj(405 kcal),"0,8","7,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,La Ruche Miel d'Acacia,3263620100346,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Huile d'olive picual,8437003800214,['France'],[],[],?,899,"99,9",0,0,,,3761 kj(899 kcal),"14,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Stilla Naturell,5449000131027,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Gâteau de lune saveur durian - 8x 50g,3379140028227,['France'],[],[],?,359,"11,6","58,9","5,4",,,1502 kj(359 kcal),"6,19","28,5","0,143","0,057",,,,,,,,,,,,,,,,8 x 50 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Cornichons à l'aigre doux,2800000001070,['France'],[],[],?,998,"0,08","1,76","0,44",,,4176 kj(998 kcal),"0,04","1,26","0,82","0,328",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,+3596%,-73%,-49%,-56%,,,,,,,,,,,0.08 g,en faible quantité,0.04 g,en faible quantité,1.26 g,en faible quantité,0.82 g,en quantité modérée,+3803%,-41%,-52%,-52%,-52%,8,+269%,C,+269%,,,,,,,,,
122,Demae ramen boeuf épicé - Nissin,2998523335137,['France'],[],[],?,85,"3,5","10,8",2,,,356 kj(85 kcal),"1,8","0,7","0,9","0,36",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,-72%,-70%,-73%,-69%,,,,,,,,['Nissin'],,,,,,,,,,,-72%,-66%,-71%,-66%,-66%,,,,,,,,,,,,,
123,Doudou,1335630048,['France'],[],[],?,0,0,0,0,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Caramels fondants au beurre salé,3561770003396,['France'],[],[],?,418,"12,5",72,"4,3",,,1749 kj(418 kcal),7,"47,4","1,07","0,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Vin blanc pouilly  fumé,3760028991090,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Vitamin water - 4x 250ml,8715600239348,['France'],[],[],?,19,0,"4,5",0,,,79 kj(19 kcal),0,"4,5",0,0,,,,,,,,,,,,,,,,4 x 250 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Les Fruitpotines,3770007344182,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Ail blanc,3700662360012,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Boeuf stroganoff bio,3770011048304,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Glaces fermieres,7104384677445,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Cancoillotte au pesto,3373831215590,['France'],[],[],?,140,8,"1,4",15,,,586 kj(140 kcal),6,1,"1,75","0,7",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",,-8%,-21%,+102%,+3%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,,8 g,en quantité modérée,6 g,en quantité élevée,1 g,en faible quantité,1.75 g,en quantité élevée,-7%,-9%,+187%,+26%,+26%,8,+2%,C,+2%,,,,,,,,,
132,American coffee - Erhard,3428420018370,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Erhard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Mango Juice - lambda,8426612002041,"['France', 'Espagne']",[],[],?,60,"0,5",15,"0,2",,,251 kj(60 kcal),0,"13,67","0,021","0,008",,['es:Zumo'],,+50%,+650%,+58%,-31%,,,,,,,,['Lambda'],,,0.5 g,en faible quantité,0 g,en faible quantité,13.7 g,en quantité élevée,0.021 g,en faible quantité,+49%,-100%,+56%,-35%,-35%,3,+133%,C,+133%,,,,,,,,,
134,Le yaourt brassé à la noisette,3770013072024,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Reglisse americain - 460g,3389681005304,['France'],[],[],?,381,2,87,2,,,1594 kj(381 kcal),1,64,10,4,,,,,,,,,,,,,,,,460 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Gouda,0233080024608,['France'],[],[],?,371,31,0,23,,,1552 kj(371 kcal),21,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Cotes de provence - Belle France,3258561345253,['France'],[],[],?,?,?,?,?,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence', 'Côtes du Rhône']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Belle France'],,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
138,"Herbes Provence Rustica, Flacon",3564700546635,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Olio extra Vergine di Oliva,8019514054302,['France'],[],[],?,824,92,0,0,,,3448 kj(824 kcal),14,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-4%,-4%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,0%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,
140,Gâteau de riz à la vanille - 180g,4015753505029,['France'],[],[],?,467,18,66,8,['en:gluten-free'],,1954 kj(467 kcal),12,27,"0,2","0,08",,,,,,,,,,,,,,,,180 g,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,
141,Sidra Natural,0705105020105,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,La grande Bastide,3760175967412,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,L'art de la glace saveur yaourt,3760130600330,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,sainte maure,3036859371319,['France'],[],[],?,288,24,0,18,,,1205 kj(288 kcal),17,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Jojo,3760253220385,['France'],[],"['Végétalien', 'Végétarien']",?,286,20,12,10,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01']",,1197 kj(286 kcal),4,3,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Filet de canard,2600170032146,['France'],[],[],?,212,15,0,18,,,887 kj(212 kcal),"4,7",0,"0,23","0,092",D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",,+8%,+19%,-100%,-7%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,15 g,en quantité modérée,4.7 g,en quantité modérée,0 g,en faible quantité,0.23 g,en faible quantité,+7%,+27%,-100%,-79%,-79%,2,-55%,B,-55%,,,,,,,,,
147,Crispy chilli wasabi flavour,8858867804475,['France'],[],[],?,550,30,50,10,,,2301 kj(550 kcal),"7,5",15,"1,778","0,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Lipton,3502110116406,['France'],[],[],?,20,0,"4,7",0,['Sans colorants'],,84 kj(20 kcal),0,"4,5","0,06","0,024",,,,,,,,,,,,,,,['Lipton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,French dressing,5000128674102,['France'],[],[],?,264,24,12,0,,,1105 kj(264 kcal),"2,1",9,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,M&S Just Add  Honey & Mustard Dressing,00154130,['France'],[],[],?,538,"52,6","15,3","0,7",,,2251 kj(538 kcal),"3,6","12,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Makdous,6210923277074,['France'],[],[],?,204,3,2,4,,,854 kj(204 kcal),3,0,"0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tradition - Leclerc,0064042006222,['France'],[],[],?,170,8,23,1,,,711 kj(170 kcal),5,13,"0,7","0,28",,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Patchs minceur,3770012084004,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Brioche tranchée - (sans marque) - 450g,,['France'],"['Farine de blé', 'sucre', 'oeufs', 'beurre concentré 10% ', 'contient lait', 'crème fraîche 5% ', 'contient lait', 'eau', 'arômes naturels ', 'dont blé et alcool', 'levure', 'émulsifiant E471', 'E472e', 'sel', 'gluten de blé', 'colorant : E160a', 'antioxydant : E300']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,377,"14,1","53,3","8,7",,"['EMB 44038A', 'Chauvé (Loire-Atlantique, France)']",1577 kj(377 kcal),"9,3","8,7","0,74","0,296",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",,+7%,+15%,+3%,+9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,['(sans marque)'],450 g,,14.1 g,en quantité modérée,9.3 g,en quantité élevée,8.7 g,en quantité modérée,0.74 g,en quantité modérée,+7%,+54%,-35%,-26%,-26%,17,+14%,D,+14%,['Sachet plastique transparent'],"['Loire atlantique', 'France']","['Œufs', 'Gluten', 'Lait']",4,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E160a - Carotènes mélangés', 'E300 - Acide ascorbique']",,,
155,Brioche tranchée aux pépites de chocolat - (sans marque) - 500g,,['France'],"['Farine de blé 47%', 'pépites de chocolat 11 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de tournesol', 'arôme naturel de vanille', 'huile de colza', 'oeufs frais 9', '4%', 'sucre', 'eau', 'levure', 'fibres de blé', 'sel', 'arômes naturels ', 'dont blé et alcool', 'émulsifiant E471', 'gluten de blé', 'colorant E160a', ""poudre d'acérola""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,369,14,50,"7,9",['Fabriqué en France'],"['EMB 44038A', 'Chauvé (Loire-Atlantique, France)']",1544 kj(369 kcal),"2,9",13,"1,1","0,44",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat', 'Brioches tranchées']",,+5%,+14%,-3%,-1%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,['(sans marque)'],500 g,,14 g,en quantité modérée,2.9 g,en quantité modérée,13 g,en quantité élevée,1.1 g,en quantité modérée,+4%,-52%,-2%,+10%,+10%,12,-19%,D,-19%,['Sachet plastique transparent'],"['Loire atlantique', 'France']","['Œufs', 'Gluten']",4,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160a - Carotènes mélangés']",,,
156,Pains au lait aux pépites de chocolat - (sans marque) - 10x 35g,,['France'],"['Farine de blé', 'eau', 'pépites de chocolat au lait 11% ', 'sucre lait en poudre', 'beurre de cacao', 'pâte de cacao', 'lactose', 'émulsifiant lécithine de tournesol', 'arôme naturel de vanille', 'oeufs', 'sucre', 'huile végétale de colza', 'fibres de blé levure', 'arômes naturels ', 'dont blé', 'lait et alcool', 'gluten de blé amidon modifié de maïs', 'poudre de lait écrémé 1%', 'sel', 'émulsifiants : E471,E481', 'antioxydant : E300']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,333,11,69,8,['Fabriqué en France'],"['EMB 44038A', 'Chauvé (Loire-Atlantique, France)']",1393 kj(333 kcal),"5,5",15,1,"0,4",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait', 'Pains au lait au chocolat']",,-9%,-15%,+32%,-6%,76.1%,14.7%,5.2%,3.5%,0.4%,0.0%,68,['(sans marque)'],10 x 35 g,,11 g,en quantité modérée,5.5 g,en quantité élevée,15 g,en quantité élevée,1 g,en quantité modérée,-9%,+12%,-11%,+8%,+8%,16,+9%,D,+9%,['Sachet plastique transparent'],"['Loire atlantique', 'France']","['Œufs', 'Gluten', 'Lait']",4,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,,
157,Pulpe d'Echalote,3547720000028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Jus de carotte Bio - U,3256220024006,['France'],[],[],?,31,0,7,"0,5",['Bio'],,130 kj(31 kcal),0,"6,7","0,08","0,032",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Jus et nectars', 'Boissons aux légumes', 'Jus de légumes', 'Jus de carotte']",,+3%,-100%,+3%,-6%,,,,,,,,['U'],,,0 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité élevée,0.08 g,en faible quantité,+1%,-100%,+11%,-16%,-16%,0,,B,,,,,,,,,,
159,Vive le thé Thé vert parfumé,2704960001012,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Ieris oinos,5213007930064,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Pain chocolat saveur U,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Gorgonzola,2629500019886,['France'],[],[],?,319,27,0,19,,,1335 kj(319 kcal),16,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Frollini cacao e nocciola -  - 350g,8004348906842,['France'],[],[],?,482,"19,5","68,3","7,2",,,2017 kj(482 kcal),"10,5","20,2","0,38","0,152",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,-2%,-17%,+10%,+10%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,350 g,,19.5 g,en quantité modérée,10.5 g,en quantité élevée,20.2 g,en quantité élevée,0.38 g,en quantité modérée,-2%,-11%,-38%,-31%,-31%,21,-2%,E,-2%,,,,,,,,,
164,Honey and nut clusters with chocolate milk,25081473,['France'],[],[],?,454,16,67,9,,,1900 kj(454 kcal),"4,5",30,"0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Petites sardines à l'huile d'olive,8426441161124,['France'],[],[],?,926,15,"0,5",21,,,3874 kj(926 kcal),"2,7","0,05","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Boutons d'ail des ours au vinaigre de cidre - 100g,3770008060104,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Café Intención ecológico Espresso,4006581082608,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Café moulu Moka Sidamo - Cafés Dagobert,3770001467108,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,['Cafés Dagobert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Little Jelly Men - Haribo,5012035947378,['France'],"['sugar', 'glucse syrup', 'gelatine', 'acid: citric acid', 'flavouring', 'fruit and plant concentrates: apple', 'aronia', 'blackcurrant', 'carrot', 'elderberry grape', 'hibiscus', 'kiwi', 'lemon', 'mango', 'orange', 'passion fruit safflower', 'spirulina', 'glazing agents: beeswax', 'carnauba wax caramelised sugar syrup', 'elderberry extract', 'best before enc ', 'see print on back of pack', 'store away from heat and humidity,']","['Non végétalien', 'Non végétarien']",?,349,"0,5",82,"4,5",,,1460 kj(349 kcal),"0,1",66,"0,03","0,012",,,,,,,,,,,,,,,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,4,,"['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille""]",,,
170,Pancetta Affumicata A Cubetti Levoni 140 GR.,8004767003450,['France'],[],[],?,193,13,1,18,,,808 kj(193 kcal),"4,7",1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Crème d'Anchoïade,3760146911413,['France'],[],[],?,485,"48,23","2,22","10,89",,,2029 kj(485 kcal),"6,39","0,13","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Magdalenas redondas,8410387018017,['France'],[],[],?,427,21,53,"5,2",['Point Vert'],,1787 kj(427 kcal),3,32,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Signature BBQ Sauce,0634868925351,['France'],[],[],?,60,0,25,1,,,251 kj(60 kcal),0,14,4,"1,6",B,"['Epicerie', 'Sauces', 'Sauces barbecue']",,-62%,-100%,-20%,+11%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,4 g,en quantité élevée,-62%,-100%,-46%,+98%,+98%,13,-10%,D,-10%,,,,,,,,,
174,Jus de pomme fermier,3760019913421,['France'],[],[],?,?,?,?,?,['Sans conservateurs'],"['EMB 27515A', 'Saint-Aubin-le-Guichard (Eure, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PERA,24127462,['France'],[],[],?,55,"0,1",13,"0,2",,,230 kj(55 kcal),0,"12,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Abricots - Les Comtes de Provence - 350g,09356566,['France'],[],[],?,167,0,41,"0,5",,,699 kj(167 kcal),0,41,"0,06","0,024",,,,,,,,,,,,,,,['Les Comtes de Provence'],350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Crème cuite Pruneaux,3193840669234,['France'],[],[],?,252,"0,3",61,"0,4",,,1054 kj(252 kcal),0,"52,8","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Sirop de caroube,4260377580253,['France'],[],[],?,280,0,70,0,,,1172 kj(280 kcal),0,"69,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Pain ROYANNAIS,0209810008866,['France'],[],[],?,251,"0,9",50,9,,,1050 kj(251 kcal),"0,1","0,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,23g,8710329513618,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,23 g,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Sauce tomate à l'ail des Ours,3760163631103,['France'],[],[],?,22,"0,4","2,6",1,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,92 kj(22 kcal),"0,01","1,9","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
