,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
1673,Luftgetrockneter Rohschinken - Die Schinken Manufaktur,2117880002036,,"['Viandes', 'Charcuteries', 'Jambons']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Die Schinken Manufaktur'],,,,['Kunststoff'],,,,,,,,,
1674,WHOLEWHEAT BISCUITS - Urtekram,5765228881989,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,2,,"0,3",,64,,"1,8",,1,,"0,02",,"0,008",,,,,,,,,,,,,,['Urtekram'],,,,,,,,,,,,,
1675,Fruitjuice,5603493004972,,,['France'],[],[],,,,,,,,,?,,67,,280 kj(67 kcal),,"0,06",,"0,06",,16,,14,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Croissant beurre x10,0208002016405,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,,,,
1677,Gail au paprika,3458450011010,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,2,,"0,7",,"2,5",,1,,18,,"1,8",,"0,72",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
1678,Mélange canadien,2600706020333,,,['France'],[],[],,,,,,,,,?,,472,,1975 kj(472 kcal),,29,,"2,6",,38,,36,,10,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Pain aux céréales sans gluten - 400g,0260563028211,,,['France'],[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,"10,2",,"0,9",,"39,7",,"1,8",,6,,"0,89",,"0,356",,,,,,,,,,,,,400 g,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,
1680,Mélange PEPS,2600697022569,,,['France'],[],[],,,,,,,,,?,,530,,2218 kj(530 kcal),,38,,"4,2",,28,,26,,15,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Mleczna,5900102310319,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées']","['France', 'États-Unis']","['Sugar', 'cocoa butter', 'whole milk powder', 'cocoa mass', 'vegetable fat ', 'palm oil', 'shea oil', 'milk fat', 'emulsifiers: lecithins ', 'soya', 'flavours']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",35 g,en quantité élevée,21 g,en quantité élevée,52 g,en quantité élevée,0.16 g,en faible quantité,?,,557,+7%,2330 kj(557 kcal),+7%,35,+15%,21,+27%,53,-1%,52,+10%,"6,4",+4%,"0,16",-18%,"0,064",-18%,26,+7%,E,+7%,,,,,,,,,,,,,,['E322 - Lécithines'],['Soja'],4,,,,,,WAWEL
1682,L'Originelle,3770010834007,,,['France'],[],[],,,,,,,,,?,,630,,2636 kj(630 kcal),,53,,5,,24,,17,,18,,0,,0,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,,,
1683,Klaus chocolatier macaron vanille,3256400158514,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,['Klaus'],,,,,,,,,,,,,
1684,etxaldia - 1litre,10571131,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1 litre,,['Bleu Blanc Cœur'],,,['Tetrabrick'],,,,,,,,,
1685,Tapenade aux olives lucques,1548979003152,,,['France'],[],[],,,,,,,,,?,,8,,33 kj(8 kcal),,25,,6,,25,,5,,7,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Saucisses Toulouse oignons,3274822368618,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],[],[],26 g,en quantité élevée,8.9 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,291,+33%,1218 kj(291 kcal),+33%,26,+59%,"8,9",+39%,"0,8",-52%,0,-100%,13,-13%,"1,7",-1%,"0,68",-1%,18,+19%,D,+19%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,"['FR 76.575.001 CE', 'Saint-Étienne-du-Rouvray (Seine-Maritime, France)']",,,,,
1687,08725677,08725677,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans lactose']",,,,,,,,,,,,
1688,Spéculoos Auchan - 500g,3596710467532,,,['France'],[],[],,,,,,,,,?,,484,,2025 kj(484 kcal),,"18,7",,"7,8",,"71,6",,"38,6",,"6,4",,"0,79",,"0,316",,,,,,,,,,,,,500 g,['Auchan'],,['Auchan'],,,,,,,,,,,
1689,Borlotti Italiani,7001406444446,,,['France'],[],[],,,,,,,,,?,,97,,406 kj(97 kcal),,"0,5",,"0,1",,"13,2",,"0,6",,7,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Sauce au maroilles,26076096,,,['France'],[],[],,,,,,,,,?,,135,,565 kj(135 kcal),,12,,"4,1",,"2,5",,"0,5",,"4,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,Mangue/ Passion,3289092002544,,,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,4",,"8,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,3274936003115,3274936003115,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Burn Out,0838948011235,,,['France'],[],[],,,,,,,,,?,,401,,1678 kj(401 kcal),,"1,1",,1,,97,,74,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Pain 6 céréales,3021990081876,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Roti cru d'épaule alsacienne,0233612039827,,,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,3,,3,,"0,4",,"0,4",,"24,5",,"1,6",,"0,64",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
1696,Cerelac - Nestlé,6033000084750,,,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,9,,"1,5",,66,,0,,15,,0,,0,,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,
1697,Palette à la diable,2657317048218,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"7,7",,3,,"0,7",,"0,5",,12,,"1,7",,"0,68",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,"['EMB 67008', 'Altorf (Bas-Rhin, France)']",,,,,
1698,Protein naturel isolate,3770009606004,,,['France'],[],[],,,,,,,,,?,,410,,1715 kj(410 kcal),,"6,7",,"0,6",,"4,6",,"4,6",,79,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Beignets fourrés parfum chocolat noisette - 280g,0260244013123,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],[],19 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,?,,394,+11%,1648 kj(394 kcal),+11%,19,+20%,"2,1",-39%,48,+6%,19,+17%,"6,7",+6%,"0,7",-5%,"0,28",-5%,13,+8%,D,+8%,,,,,,,,280 g,,,,,,,,,,,,,,
1700,Panados nuggets de frango - Continente - 300g,5601312886044,,,"['France', 'Portugal']",[],[],,,,,,,,,?,,215,,900 kj(215 kcal),,11,,"1,4",,15,,"0,5",,14,,"1,1",,"0,44",,,,,,,,,,,,,300 g,['Continente'],,['Continente'],,,,,,,,,,,
1701,Mochi - Hobbit,5412982005501,,,['France'],[],[],,,,,,,,,?,,164,,686 kj(164 kcal),,"1,4",,0,,"33,8",,0,,"2,8",,"0,2",,"0,08",,,,,,,,,,,,,,['Hobbit'],"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,
1702,Miel,3434830014024,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,Moringa,3701232010016,,,['France'],[],[],,,,,,,,,?,,205,,858 kj(205 kcal),,0,,0,,"38,2",,0,,"27,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,Chips creamy dill lentil,7310100570833,,,['France'],[],[],,,,,,,,,?,,467,,1954 kj(467 kcal),,20,,"1,4",,62,,"2,2",,"8,1",,"2,9",,"1,16",,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,
1705,Palette d'Alsace a la diable,0290701042571,,,['France'],[],[],,,,,,,,,?,,136,,569 kj(136 kcal),,"8,4",,"3,6",,"1,1",,"0,5",,14,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,"['FR 67.144.001 CE', 'Fouday (Bas-Rhin, France)']",,,,,
1706,Champignons de Paris entiers -,3760045771002,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Légumes frais', 'Champignons de Paris', 'Champignons frais', 'Champignons de Paris entiers']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,,,
1707,Merguez à griller,0210405014827,,,['France'],[],[],,,,,,,,,?,,225,,941 kj(225 kcal),,15,,"6,2",,"2,6",,0,,20,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Woda Z Wnätrza Kokosa Puszka,0818075009664,,,['France'],[],[],,,,,,,,,?,,24,,100 kj(24 kcal),,0,,0,,6,,"5,8",,0,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,Billes de fromage,26041339,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,19,,14,,5,,2,,13,,"1,3",,"0,52",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,
1710,Energy smoothie - Rabenhorst,4004192001247,,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"0,5",,"0,1",,14,,14,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,['Rabenhorst'],['Bio'],,,,,,,,,,,,
1711,Filets de poulet jaune fermier - Carrefour,0287458047492,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Carrefour'],,['Carrefour'],,,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,
1712,2 pavés marinés 2 poivres,0210734024993,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,
1713,Chicken breast bake,20384906,,,['France'],[],[],,,,,,,,,?,,161,,674 kj(161 kcal),,"10,3",,"4,9",,"3,8",,"1,9",,"12,6",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,escalopes poulet,0215197078651,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,Pilon de poulet - La Nouvelle Agriculture,0213328014769,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",['France'],[],[],6.9 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.3 g,en quantité modérée,?,,134,-25%,561 kj(134 kcal),-25%,"6,9",-26%,"1,8",-31%,0,-100%,0,-100%,18,-7%,"0,3",-67%,"0,12",-67%,-2,-159%,A,-159%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['La Nouvelle Agriculture'],"['Viande Française', 'Volaille-francaise']",,,,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,
1716,Bombay delight,5028266006449,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,207,,866 kj(207 kcal),,"5,9",,"1,8",,"31,9",,"7,3",,"5,2",,"0,9",,"0,36",,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,
1717,Gâteau aux Amandes - Huilerie Richard - 240g,3021885014194,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes']",['France'],"['Sucre', 'amandes 32 %', 'œufs', 'beurre de baratte AOP Charentes-Poitou', 'extrait pur de vanille']",['Non végétalien'],34 g,en quantité élevée,11 g,en quantité élevée,33 g,en quantité élevée,0.11 g,en faible quantité,2033,+12%,?,,2033 kj(486 kcal),+11%,34,+48%,11,+37%,33,-29%,33,+12%,"11,2",+37%,"0,11",-64%,"0,044",-64%,23,+28%,E,+28%,,,,,,,,240 g,['Huilerie Richard'],['en:gluten-free'],,Gâteau sans gluten - Gâteau aux Amandes,"['Carton', 'Plastique']",,"['Œufs', 'Lait', 'Fruits à coque']",3,,,"['France', 'Charentes-Poitou']",,,
1718,Ossau oraty au lait de brebis pasteurisé - 0.224kg,2637311021912,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",['France'],[],[],35.5 g,en quantité élevée,25.2 g,en quantité élevée,0.2 g,en faible quantité,1.8 g,en quantité élevée,?,,412,-2%,1724 kj(412 kcal),-2%,"35,5",-1%,"25,2",+2%,"0,2",-79%,"0,2",-32%,"22,9",-3%,"1,8",+2%,"0,72",+2%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,0.224 kg,,,,,,,,,,,,,,
1719,macédoine de légumes - Dia,8480017044563,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'en:canned-drained-diced-mixed-vegetables']",['France'],[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.7 g,en quantité modérée,?,,31,-26%,130 kj(31 kcal),-26%,"0,3",-21%,"0,1",-15%,5,-12%,"1,1",-13%,"2,1",-7%,"0,7",+8%,"0,28",+8%,-3,,A,,,,,,,,,,['Dia'],,['Dia'],,,,,,,,,,,
1720,Alici in salsa,80436836,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,32,,"5,1",,"2,3",,"1,5",,17,,8,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Caramels tendres,3256840851280,,,['France'],[],[],,,,,,,,,?,,448,,1874 kj(448 kcal),,"17,3",,"10,3",,"69,1",,"57,3",,"3,1",,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Olio di semi biologico di lino - Piave - 500ml,8058333350158,,['it:Olio-di-semi-di-lino'],"['France', 'Italie']","['INGREDIENTI BIOLOGICI: olio di semi di lino', 'estratti lipolici di rosmarino', 'salvia e alloro']",[],92 g,en quantité élevée,9.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,,3464 kj(828 kcal),,92,,"9,3",,0,,0,,0,,0,,0,,19,,E,,,,,,,,,500 ml,['Piave'],['Bio'],['Tigros'],,['bottiglia di alluminio'],,,,,['Italie'],['Italia'],,,
1723,Poitrine de porc,2241276029199,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,24,,9,,0,,0,,20,,13,,"5,2",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
1724,3 filets de poulet blanc,0253071032542,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,440,+236%,1841 kj(440 kcal),+239%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bleu Blanc Cœur'],,,,,,,,,,,,
1725,Rosette,8480940004795,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,27,,10,,"2,5",,"2,5",,26,,"5,3",,"2,12",,,,,,,,,,,,,,,,,,,,,,"['FR 62.907.002 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,
1726,Kaki persimon,8412276149345,,,['France'],[],[],,,,,,,,,?,,77,,322 kj(77 kcal),,"0,19",,"0,02",,"19,7",,"12,5",,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Tire à l'Érable -  - 150g,0838619000803,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']","['Canada', 'France']",[],[],0 g,en faible quantité,0 g,en faible quantité,72.5 g,en quantité élevée,,,?,,325,+16%,1360 kj(325 kcal),+17%,0,-100%,0,-100%,"82,5",+47%,"72,5",+39%,0,-100%,,,,,,,,,,,,,,,,150 g,,,,Maple taffy - Tire à l'Érable,"['Bocal', 'Verre', 'métal']",,,,,,,,,
1728,"Courge Muscade - 1,036kg",2803074015554,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"1,036 kg",,,,,,,,,,,,,,
1729,"Gros pate breton igp roti au four - 0,301kg",0212174020146,,,['France'],[],[],,,,,,,,,?,,248,,1038 kj(248 kcal),,"18,9",,"7,4",,"3,2",,"1,2",,"16,3",,"1,83",,"0,732",,,,,,,,,,,,,"0,301 kg",,,,,,,,,"['FR 56.246.008 CE', 'Sourn (Morbihan, France)']",,,,,
1730,4 pilons de poulet jaune,0253094012408,D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",['France'],[],[],6.9 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.25 g,en faible quantité,?,,134,-25%,561 kj(134 kcal),-25%,"6,9",-26%,"1,8",-31%,0,-100%,0,-100%,18,-7%,"0,25",-72%,"0,1",-72%,-2,-159%,A,-159%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,,,
1731,Chips de banane,2800745007672,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,,,,,,,,,,,,,
1732,Comte bio - Jura Flore,2285475464573,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,23,+6%,0,-100%,0,-100%,27,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Jura Flore'],['Bio'],,,,,,,,,,,,
1733,75916343,75916343,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Clémentines frutamine - Monte pilone - 1.5kg,26061993,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Mandarines', 'Clémentines', 'Clémentines fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1.5 kg,['Monte pilone'],,,,,,,,,,,,,
1735,Feuilles de vignes farcies au riz,5201119007330,,,['France'],[],[],,,,,,,,,?,,168,,703 kj(168 kcal),,"7,8",,"1,3",,"21,3",,"6,4",,"1,9",,"1,4",,"0,56",,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
1736,Tomme des bauges,2480335030244,,,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,31,,20,,1,,0,,26,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Véritable andouillette de Troyes,0219217019747,E,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes', 'Andouillettes de Troyes']",['France'],[],[],18 g,en quantité modérée,8.1 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,235,-0%,983 kj(235 kcal),+1%,18,+2%,"8,1",-1%,"0,5",+15%,"0,5",+44%,18,-2%,"1,9",+6%,"0,76",+6%,18,+3%,D,+3%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,"['EMB 10297', 'Pont-Sainte-Marie (Aube, France)']",,,,,
1738,Le picoreur,2448499042909,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Huile vierge biologique tournesol - Emile noel,3291960930224,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],[],[],100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,11,+4%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,['Emile noel'],['Bio'],,,,,,,,,,,,
1740,Commissaire,0203122013051,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Verduritas con pollo - Hero,8410175056610,,,['France'],[],[],,,,,,,,,?,,255,,1067 kj(255 kcal),,"2,3",,"0,7",,7,,"1,6",,"2,6",,"0,07",,"0,028",,,,,,,,,,,,,,['Hero'],"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,
1742,Primeluci Spaghetti No.4,8003477100046,,,['France'],[],[],,,,,,,,,?,,355,,1485 kj(355 kcal),,"1,2",,"0,2",,"72,5",,1,,"11,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,Herbes de provence,3760171230534,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,,,,,,,,,,,
1744,Saucisses de poulet - Delhaize,2227121003910,,,['France'],[],[],,,,,,,,,?,,163,,682 kj(163 kcal),,"8,8",,"2,3",,3,,"0,5",,18,,"1,8",,"0,72",,,,,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,
1745,Biftecks - Charal,0292472033451,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,['Charal'],,,,,,,,,,,,,
1746,Cafe 100% Arabica Torrefie Moulu,3410280017211,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,1/2 reblochon AOP,2218228022966,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
1748,La Pomme de Terre - Braquier,3700350700663,,,['France'],[],[],,,,,,,,,?,,552,,2310 kj(552 kcal),,"35,5",,"19,6",,"47,6",,47,,"7,6",,"0,07",,"0,028",,,,,,,,,,,,,,['Braquier'],,,,,,,,,,,,,
1749,Aiguillettes de poulet - Auchan,2600015029454,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,110,-13%,460 kj(110 kcal),-12%,"1,5",-19%,"0,5",+5%,"0,5",-45%,"0,5",+67%,24,+6%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Auchan'],,['Auchan'],,,,,,,,,,,
1750,Durian monthong,8859102008641,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Burger,4260131413025,,,['France'],[],[],,,,,,,,,?,,220,,920 kj(220 kcal),,16,,"6,2",,"7,3",,"0,6",,12,,"1,25",,"0,5",,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
1752,4 Nems,0205780011295,,,['France'],[],[],,,,,,,,,?,,136,,569 kj(136 kcal),,"2,9",,"0,2",,"19,2",,"2,7",,"7,3",,"1,4",,"0,56",,,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,,,
