,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
63,Cookies,0205017014761,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],25 g,en quantité élevée,15 g,en quantité élevée,33 g,en quantité élevée,?,,493,+4%,2063 kj(493 kcal),+4%,25,+20%,15,+49%,59,-8%,33,+12%,"7,6",+17%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"0,8","0,32",0.8 g,en quantité modérée,+36%,+36%,26,+31%,E,+31%,,,,,,,,,,,,,
64,0205021009128,0205021009128,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Pain Raisin XL,0205021013781,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",['France'],[],[],16 g,en quantité modérée,10 g,en quantité élevée,27 g,en quantité élevée,?,,377,+27%,1577 kj(377 kcal),+26%,16,+45%,10,+66%,51,+16%,27,+58%,"7,2",+25%,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,"0,66","0,264",0.66 g,en quantité modérée,+4%,+4%,20,+45%,E,+45%,,,,,,,,,,,,,
66,Chouquette assortie,0205022012141,,,['France'],[],[],,,,,,,?,,240,,1004 kj(240 kcal),,12,,"7,6",,28,,14,,"5,4",,,,,,,,,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,
67,Ficelle picarde traditionnelle -,0205022016408,E,"['Crêpes et galettes', 'Ficelle picarde']",['France'],[],[],10 g,en quantité modérée,6.2 g,en quantité élevée,8.7 g,en quantité modérée,?,,221,+10%,925 kj(221 kcal),+10%,10,+31%,"6,2",+64%,23,+46%,"8,7",+227%,"8,7",+6%,72.5%,18.3%,3.9%,1.4%,0.8%,3.0%,28,,"0,82","0,328",0.82 g,en quantité modérée,-18%,-18%,12,+66%,D,+66%,,,,,,,,,,,,,
68,1/2 baguette - E.Leclerc,0205023002301,,,['France'],"['farine de But', 'BLÈ farine de BLE malte', 'agent de traitement dB la farine ', 'acide ascorbique', 'enzymes ', 'alpha-amvlases', 'hémicellulases', 'x lanases', 'cellulases', ' trace eventuelles de ET COIUES', 'Eau', 'CROUSTILIS ', 'Farine de froment', ""émulsifiant : mono et di-glycéride d'acide gras"", 'levure désactivée', 'agent de traitement de la farine : acide ascorbique', 'enzyme ', 'alpha-amylase maltogèng amylo lucosidase', ' glucose-oxydase', 'xylanase', 'lipase ', 'auxiliare technologique : huile végetale ', 'IL', ' Fabri ué dans un atelier utilisant']","[""Pourrait contenir de l'huile de palme""]",,,,,,,?,,302,,1264 kj(302 kcal),,15,,"0,3",,61,,"1,7",,"9,8",,,,,,,,,['E.Leclerc'],"0,13","0,052",,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E1100 - Amylases', 'E1102 - Glucose oxydase', 'E1104 - Lipases']",['Gluten'],4,,,,
69,0205027022961,0205027022961,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Pain au maïs -,0205030010825,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains au maïs']",['France'],[],[],0.7 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,?,,145,-48%,607 kj(145 kcal),-48%,"0,7",-86%,"0,1",-82%,29,-38%,"0,9",-60%,"4,9",-51%,,,,,,,,,"0,13","0,052",0.13 g,en faible quantité,-91%,-91%,-2,-140%,A,-140%,,,,,,,,,,,,,
71,Baskeriu,0205030016865,,,['France'],[],[],,,,,,,?,,400,,1674 kj(400 kcal),,34,,25,,"1,5",,0,,22,,,,,,,,,,"1,6","0,64",,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,
72,Burger végétal courgette sauce burger -,0205033011683,,"['Sandwichs', 'Hamburgers']",['France'],[],"['Végétalien', 'Végétarien']",9.5 g,en quantité modérée,0.95 g,en faible quantité,3.5 g,en faible quantité,?,,223,-10%,933 kj(223 kcal),-11%,"9,5",-24%,"0,95",-80%,20,-2%,"3,5",+11%,"11,5",-12%,,,,,,,,,"1,1","0,44",1.1 g,en quantité modérée,-6%,-6%,1,-90%,B,-90%,,,"['Végétarien', 'Végétalien']",,,,,,,,,,
73,Museau de porc,0205040015551,,,['France'],[],[],,,,,,,?,,150,,628 kj(150 kcal),,27,,"5,4",,"1,1",,"0,8",,11,,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,
74,Pain Chocolat - Eleclerc,0205044006562,,,['France'],[],[],,,,,,,?,,426,,1782 kj(426 kcal),,?,,15,,?,,15,,"8,5",,,,,,,,,['Eleclerc'],"0,98","0,392",,,,,,,,,,,,,,,,,,,,,
75,Chouquettes - Leclerc - 0.300kg,0205044023613,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chouquettes']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,77.4%,13.4%,5.7%,3.0%,0.4%,0.0%,72,['Leclerc'],,,,,,,,,,,0.300kg,,,,,,,,,,,,
76,Maasdam - Leclerc,0205050021917,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Maasdam']",['France'],"['Lait pasteurisé de vache', '27% mg sur produit fini', 'origine Hollande']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,?,,356,+1%,1490 kj(356 kcal),+1%,27,-2%,19,+2%,0,-100%,0,-100%,32,+25%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Leclerc'],"1,2","0,48",1.2 g,en quantité modérée,-10%,-10%,14,-3%,D,-3%,,,,,,,,,3,,,,
77,Etchola vache brebis,0205053021525,,,['France'],[],[],,,,,,,?,,380,,1590 kj(380 kcal),,32,,23,,1,,"0,5",,22,,,,,,,,,,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,
78,Lait croisance 3 eme age,0205061013383,,,['France'],[],[],,,,,,,?,,63,,264 kj(63 kcal),,3,,"1,4",,"7,2",,"3,2",,"1,9",,,,,,,,,,"0,09","0,036",,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,
79,Pain complet,0205062009057,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en faible quantité,?,,266,+6%,1113 kj(266 kcal),+6%,"1,3",-62%,"0,2",-63%,50,+17%,"1,3",-64%,11,+26%,,,,,,,,,"1,5","0,6",1.5 g,en quantité modérée,+28%,+28%,4,+502%,C,+502%,,,,,,,,,,,,,
80,Boule blanche,0205063007540,,,['France'],[],[],,,,,,,?,,296,,1238 kj(296 kcal),,1,,"0,2",,61,,"1,3",,"9,7",,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,
81,Croissant au beurre AOP,0205064011485,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['France'],[],[],20 g,en quantité modérée,13 g,en quantité élevée,8.1 g,en quantité modérée,?,,365,-5%,1527 kj(365 kcal),-6%,20,-8%,13,-8%,38,-7%,"8,1",+15%,8,+7%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,1,"0,4",1 g,en quantité modérée,+1%,+1%,19,+2%,E,+2%,,,,,,,,,,,,,
82,Brie roitelet,0205065021582,,,['France'],[],[],,,,,,,?,,357,,1494 kj(357 kcal),,32,,22,,0,,0,,17,,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
83,Pizza orientale,0205066036080,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],[],8.9 g,en quantité modérée,4.9 g,en quantité modérée,3.7 g,en faible quantité,?,,221,-3%,925 kj(221 kcal),-4%,"8,9",+6%,"4,9",+25%,24,-11%,"3,7",+26%,11,+7%,,,,,,,,,"1,6","0,64",1.6 g,en quantité élevée,+28%,+28%,13,+67%,D,+67%,,,,,,,,,,,,,
84,cookie chocolat blanc et framboise,0205068019616,,,['France'],[],[],,,,,,,?,,484,,2025 kj(484 kcal),,26,,17,,57,,35,,"5,5",,,,,,,,,,"0,33","0,132",,,,,,,,,,,['Point Vert'],,,,,,,,,,
85,PAIN CHOCOLAT MARGARINE X10,0205080018376,,,['France'],[],[],,,,,,,?,,196,,820 kj(196 kcal),,"9,35",,"5,17",,"23,65",,"6,05",,"3,13",,,,,,,,,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,
86,Rosette de lyon - Carrefour,0205084016460,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['France'],"['Viande de porc', 'sel', 'lactose', 'vin aromatisé Macardan', 'dextrose', 'épices et plantes aromatique ', ' poivres', 'ail', 'muscade', 'coriandre', 'sucret conservateur : nitrate de potass iu n', 'arôme naturel', 'ferment', ' 150 g de viande de porc mis er c uvre pour 1 oog de produit fini', ' ', 'eut contenir des traces de fru ts à coque', 'soja', 'oeuf', 'moutarde', ' :abriqué en France à partir de vi?c nde de porc origine UEO 100 Nutrition - Valeurs mo ennes our:']","['Non végétalien', 'Non végétarien']",19 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,?,,293,-20%,1226 kj(293 kcal),-20%,19,-34%,"8,5",-25%,"1,5",-23%,1,-31%,29,+14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Carrefour'],4,"1,6",4 g,en quantité élevée,-11%,-11%,21,-11%,E,-11%,,,['Fabriqué en France'],,,['Carrefour'],,['Lait'],4,"['FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)', 'EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,
87,Rosette de Lyon - Carrefour,0205084016996,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['France'],"['Viande de porc', 'sel', 'lactose', 'vin aromatisé Macardan', 'dextrose', 'épices et plantes aromatiques ', 'poivres', 'ail', 'muscade', 'coriandre', 'sucre', 'conservateur : nitrate de potassium', 'arôme naturel', 'ferment', ' 150 g de viande de porc mis en oeuvre pour 100 g de produit fini', ' Peut contenir des traces de fruits à coque', 'soja', 'œuf', 'moutarde', ' Fabriqué en France à partir de viande de porc origine UE']","['Non végétalien', 'Non végétarien']",19 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,?,,293,-20%,1226 kj(293 kcal),-20%,19,-34%,"8,5",-25%,"1,5",-23%,1,-31%,29,+14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Carrefour'],4,"1,6",4 g,en quantité élevée,-11%,-11%,21,-11%,E,-11%,,,['Fabriqué en France'],,,['Carrefour'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,
88,Rosette de Lyon allégée en matière grasses,0205084017122,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['France'],[],[],19 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,?,,293,-20%,1226 kj(293 kcal),-20%,19,-34%,"8,5",-25%,"1,5",-23%,1,-31%,29,+14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,4,"1,6",4 g,en quantité élevée,-11%,-11%,21,-11%,E,-11%,,,['Fabriqué en France'],,,,,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,
89,rosette de Lyon - carrefour,0205084017580,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['France'],"['DE LYON ALLÉGÉE EN MATIÈRES GRASSES* rranché et conditionné en France par EMB 57032A pour Interdis', ' Moins 40% de matières grasses par rapport à la moyenne des rosettes du ma ngrédients :Viande de porc', 'sel', 'lactose', 'vin aromatisé Macardan', 'dext pices et plantes aromatiques ', 'poivres', 'ail', 'muscade', 'coriandre', 's onservateur : nitrate de potassium', 'arôme naturel', 'ferment', ' 50 g de viande de porc mis en œuvre pour 1 oog de produit fini', ' eut contenir des traces de fruits à coque', 'soja', 'œuf', 'moutarde', ' abriqué en France à partir de viande de porc origine UE']","['Non végétalien', 'Non végétarien']",19 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,?,,293,-20%,1226 kj(293 kcal),-20%,19,-34%,"8,5",-25%,"1,5",-23%,1,-31%,29,+14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Carrefour'],4,"1,6",4 g,en quantité élevée,-11%,-11%,21,-11%,E,-11%,,,,,,['Carrefour'],,['Lait'],4,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)', 'FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,,
90,Rosette de Lyon allégée en MG,0205084019942,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",['France'],[],[],19 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,?,,293,-20%,1226 kj(293 kcal),-20%,19,-34%,"8,5",-25%,"1,5",-23%,1,-31%,29,+14%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,4,"1,6",4 g,en quantité élevée,-11%,-11%,21,-11%,E,-11%,,,,,,,,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",,,
91,Royaltine 6 parts - Leclerc,0205087067247,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],[],[],28 g,en quantité élevée,9.5 g,en quantité élevée,42 g,en quantité élevée,?,,496,+32%,2075 kj(496 kcal),+32%,28,+67%,"9,5",+17%,51,+6%,42,+43%,"7,6",+42%,,,,,,,,['Leclerc'],"0,21","0,084",0.21 g,en faible quantité,-49%,-49%,24,+40%,E,+40%,,"['Frais', 'Plastique']",,,,['Leclerc'],,,,,,,
92,Saumon Atlantique Fumé - U,0205089089872,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons Atlantique fumés']",['France'],"['Saumon Atlantique* ', 'Salmo salar', "" 97% élevé en : voir sur l'emballage"", 'sel 3%', "" *Ingrédient issu de l'agriculture biologique""]","['Non végétalien', 'Non végétarien']",8.3 g,en quantité modérée,1.8 g,en quantité modérée,0.4 g,en faible quantité,?,,168,-11%,703 kj(168 kcal),-11%,"8,3",-23%,"1,8",-16%,"0,4",-25%,"0,4",+18%,"23,1",+5%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['U'],"2,9","1,16",2.9 g,en quantité élevée,+4%,+4%,13,-3%,D,-3%,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Magasins U'],,,3,"['FR 29.105.501 CE', 'Landivisiau (Finistère, France)']",,,
93,Chouquette x15 - Leclerc - 15chouquettes,0205093010824,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chouquettes']",['France'],[],[],,,9.5 g,en quantité élevée,17 g,en quantité élevée,?,,302,+7%,1264 kj(302 kcal),+7%,?,,"9,5",+6%,?,,17,+2%,"6,8",+5%,77.4%,13.4%,5.7%,3.0%,0.4%,0.0%,72,['Leclerc'],"0,7","0,28",0.7 g,en quantité modérée,+10%,+10%,,,,,15 chouquettes,['Plastique'],['Point Vert'],,,,,,,,,,
94,Fondant de boeuf cru marine,0205101015551,,,['France'],[],[],,,,,,,?,,132,,552 kj(132 kcal),,"4,6",,"1,8",,"1,8",,"1,2",,22,,,,,,,,,,2,"0,8",,,,,,,,,,,,,,,,,,,,,
95,Végétal curry - Wzigotos warchers - 300gr,0205104020606,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,['Wzigotos warchers'],,,,,,,,,,,300 gr,,,,,,,,,,,,
96,Filet de merlan pané - Casino,0205113032218,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de merlan', 'Filets de merlan pané']",['France'],[],['Sans huile de palme'],9.4 g,en quantité modérée,0.9 g,en faible quantité,1.7 g,en faible quantité,?,,220,+0%,920 kj(220 kcal),+0%,"9,4",-0%,"0,9",-2%,20,+2%,"1,7",+9%,13,+2%,,,,,,,,['Casino'],"0,5","0,2",0.5 g,en quantité modérée,-3%,-3%,-1,,A,,,,['en:palm-oil-free'],,,['Casino'],,,,,,,
97,Filet de merlan pané,0205113036087,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de merlan', 'Filets de merlan pané']",['France'],[],['Sans huile de palme'],9.4 g,en quantité modérée,0.9 g,en faible quantité,1.7 g,en faible quantité,?,,220,+0%,920 kj(220 kcal),+0%,"9,4",-0%,"0,9",-2%,20,+2%,"1,7",+9%,13,+2%,,,,,,,,,"0,5","0,2",0.5 g,en quantité modérée,-3%,-3%,-1,,A,,,,['en:palm-oil-free'],,,,,,,,,,
98,Casino filet de merlan pané - Variable,0205113039958,E,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Filets de poissons', 'Préparations de poisson', 'Produits panés', 'Poissons panés']",['France'],"['Filet de merlan 65% - Enrobage 35% : chapelure ', 'farine de blé', 'levure', 'sel', 'enrobant ', 'eau', 'farine de blé', 'huiles de tournesol et colza']",['Sans huile de palme'],8.8 g,en quantité modérée,1.84 g,en quantité modérée,0.88 g,en faible quantité,?,,214,+14%,897 kj(214 kcal),+16%,"8,8",+8%,"1,84",+93%,20,+28%,"0,88",-33%,"13,6",+13%,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,['Casino'],"0,345","0,138",0.345 g,en quantité modérée,-59%,-59%,-2,-717%,A,-717%,Variable,['Barquette'],['en:palm-oil-free'],,,"['Géant', 'Casino']",,['Gluten'],3,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)', 'EMB 56094C', 'Kervignac (Morbihan, France)']","Filet de merlan pané cuit à coeur, réfrigéré, sans arête",,
99,Filets de merlan pané - Casino,0205113040473,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Filets de merlan', 'Filets de merlan pané']",['France'],"['Filet de merlan ', 'poisson', ' 65%', ' Enrobage : chapelure ', 'farine de blé - levure - sel', ' - enrobant ', 'farine de blé - eau - gluten de blé - sel', ' - huiles végétales ', 'tournesol - colza', ' Elaboré dans un atelier pouvant utiliser du lait', 'des Œufs et des mollusques']","['Non végétalien', 'Non végétarien']",9.4 g,en quantité modérée,0.9 g,en faible quantité,1.7 g,en faible quantité,?,,220,+0%,920 kj(220 kcal),+0%,"9,4",-0%,"0,9",-2%,20,+2%,"1,7",+9%,13,+2%,,,,,,,,['Casino'],"0,5","0,2",0.5 g,en quantité modérée,-3%,-3%,-2,,A,,,,,,,['Casino'],,"['Œufs', 'Poisson', 'Gluten', 'Mollusques']",4,,,,
100,Galette aux légumes du soleil,0205115011624,,,['France'],[],[],,,,,,,?,,177,,741 kj(177 kcal),,"6,7",,"3,2",,21,,"3,2",,"7,1",,,,,,,,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,
101,Viande bovine 1 steak* à griller  - Auchan - 120g,0205116009385,E,"['Viandes', 'Bœuf', 'Frais', 'Steaks de bœuf', 'Viandes fraîches']",['France'],['Viande bovine'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,['Auchan'],,,,,,,,,,,120 g,"['Barquette', 'Plastique', 'Film']",,['France'],['France'],['Auchan'],,,1,"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,
102,Saucisse de boeuf Nature,0205118128787,,"['Viandes', 'Charcuteries', 'Saucisses']",['France'],[],[],60 g,en quantité élevée,50 g,en quantité élevée,1 g,en faible quantité,?,,220,-14%,920 kj(220 kcal),-14%,60,+188%,50,+531%,2,+40%,1,+33%,"3,6",-76%,,,,,,,,,"2,4","0,96",2.4 g,en quantité élevée,+22%,+22%,22,+26%,E,+26%,,,,,,,,,,,,,
103,Triangles Amandes - Leclerc - 3triangles aux amandes,0205123014433,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",['France'],[],[],,,14 g,en quantité élevée,20 g,en quantité élevée,?,,246,-33%,1029 kj(246 kcal),-33%,?,,14,+60%,?,,20,+25%,"8,5",+16%,,,,,,,,['Leclerc'],1,"0,4",1 g,en quantité modérée,+26%,+26%,,,,,3 triangles aux amandes,"['Plastique', 'boîte']",['Point Vert'],,,['Leclerc'],,,,,,,
104,Triangles amandes x3,0205123015096,,,['France'],[],[],,,,,,,?,,486,,2033 kj(486 kcal),,26,,14,,53,,20,,"8,5",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
105,Tomme de Savoir,0205124019949,,,['France'],[],[],,,,,,,?,,237,,992 kj(237 kcal),,13,,8,,0,,0,,30,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
106,Pizza au Poulet -,0205124036083,C,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizza au poulet']",['France'],[],[],7 g,en quantité modérée,3.7 g,en quantité modérée,3.2 g,en faible quantité,?,,203,-4%,849 kj(203 kcal),-1%,7,+1%,"3,7",+32%,24,-3%,"3,2",+17%,11,+13%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,"1,9","0,76",1.9 g,en quantité élevée,+68%,+68%,13,+302%,D,+302%,,,,,,,,,,,,,
107,Saint Agur 33%,0205125017258,,,['France'],[],[],,,,,,,?,,360,,1506 kj(360 kcal),,32,,21,,"0,1",,"0,1",,18,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
108,0205132025789,0205132025789,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,P'. Tit basque,0205141088690,,,['France'],[],[],,,,,,,?,,413,,1728 kj(413 kcal),,"35,9",,"25,5",,"0,2",,"0,2",,"22,3",,,,,,,,,,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,
110,Doony's x4 nature,0205151015747,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],24 g,en quantité élevée,10 g,en quantité élevée,17 g,en quantité élevée,?,,417,+2%,1745 kj(417 kcal),+2%,24,+5%,10,-6%,44,-2%,17,+1%,"6,1",+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,"1,7","0,68",1.7 g,en quantité élevée,+79%,+79%,24,+23%,E,+23%,,,,,,,,,,,,,
111,jesuite,0205153022965,,,['France'],[],[],,,,,,,?,,291,,1218 kj(291 kcal),,15,,"6,8",,35,,14,,"3,9",,,,,,,,,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,
112,Brioche leclerc - Le Leck,0205168022967,,,['France'],"['brioche ', 'FARINE DE FROMENT', 'beurre 12,4%', 'sucre', 'sel', 'dextrose', 'PROTÉINES DU LAIT', 'sirop de glucose', 'LEVAIN DE BLE DÉSHYDRATÉ DÉSACTIVÉ', 'FROMENT', 'LACTOSE', 'Et/UL81FlANT8 SOJA', 'oguf entier ', 'OEUF', 'raisins secs ', 'raisin 99,6%', 'huile végétale 0', '6%', 'ievure', 'Contient : LAIT', 'OEUF', 'EN', 'SOJA']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,?,,300,,1255 kj(300 kcal),,30,,20,,23,,12,,1,,,,,,,,,['Le Leck'],2,"0,8",,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,
113,Mini Viennoiseries,0205180018375,,,['France'],[],[],,,,,,,?,,364,,1523 kj(364 kcal),,17,,11,,45,,16,,"6,8",,,,,,,,,,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,
114,Taillefine,0205183022768,,,['France'],[],[],,,,,,,?,,55,,230 kj(55 kcal),,"0,1",,"0,05",,"6,8",,"6,3",,"6,4",,,,,,,,,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,
115,Dessert cacao e mascarpone,0205190012592,,,['France'],[],[],,,,,,,?,,302,,1264 kj(302 kcal),,"14,6",,"11,3",,"36,1",,"17,5",,"3,5",,,,,,,,,,"0,21","0,084",,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
116,Raclette Président,0205190023680,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes', 'Fromages en tranches']",['France'],[],[],28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,?,,347,0%,1452 kj(347 kcal),+1%,28,+2%,20,+8%,0,-100%,0,-100%,23,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"2,1","0,84",2.1 g,en quantité élevée,+25%,+25%,18,+15%,D,+15%,,,,,,,,,,,,,
117,0205193034904,0205193034904,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Porc côte filet x1 à griller - Auchan - 132g,0205196005444,D,"['Viandes', 'Porc', 'Côtes de porc']",['France'],['Porc origine france'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,['Auchan'],,,,,,,,,,,132 g,"['Barquette', 'Film', 'Plastique']",,['France'],,['Auchan'],,,1,,,,
119,Porc côte filet x1 à griller - Auchan - 136g,0205196005581,D,"['Viandes', 'Porc', 'Côtes de porc']",['France'],['Porc origine France'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,['Auchan'],,,,,,,,,,,136 g,"['Barquette', 'Film', 'Plastique', 'Frais']",,['France'],,['Auchan'],,,1,,,,
120,Emmental,0205196021543,,,['France'],[],[],,,,,,,?,,377,,1577 kj(377 kcal),,29,,"19,5",,2,,2,,27,,,,,,,,,,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,
121,Pavé Céréales Bio,0205199012791,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
