,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
587,Véritable pâte à tartiner,9457004583137,['France'],[],['Sans huile de palme'],?,633,2648 kj(633 kcal),50,"9,9",35,34,"8,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'en:palm-oil-free']",,,,,,,,,,,,,
588,Chocolat,8716618265572,['France'],[],[],?,528,2209 kj(528 kcal),"30,2","15,6","56,9","54,5",6,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Kweichow Moutai Chinesischer Getreidebranntwein Aus Weizen,6902952880041,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Agua de Manantial,96619309597,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Haldiram Ghatia - Haldiram's - 200g,8904063200228,['France'],[],[],?,?,,?,,?,,?,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],200 g,,,,,,,,,,,,
592,Escalope de dinde - Carrefour,0287556019483,['France'],[],[],?,?,,?,,?,,?,,,['Carrefour'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,['Carrefour'],,,,
593,Beurre,1320044422224,['France'],[],[],?,743,3109 kj(743 kcal),82,55,"0,6","0,6","0,7","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Chocolate Almonds - 25g,5060135240035,['France'],[],"['Végétalien', 'Végétarien']",?,607,2540 kj(607 kcal),"47,4","19,2","29,1",21,"11,7","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",25 g,,,,,,,,,,,,
595,Fromage,0284906019681,['France'],[],[],?,354,1481 kj(354 kcal),28,23,"0,5","0,5","22,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Bio Force Protéines Végétales à La Vanille Bio - 750 G,3700864300212,['France'],[],[],?,407,1703 kj(407 kcal),4,"1,8","17,6",13,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
597,pintade - deluxe lidl - 1kg 150,2260102005046,['France'],"['produit frais', ' classe a']",[],?,?,,?,,?,,?,,,['deluxe lidl'],,"['Viandes', 'Volailles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1kg 150,"['FR 49.332.001 CE', 'Séguinière (Maine-et-Loire, France)']",['Barquette'],,,,,['departement 49'],,['France'],,,
598,Mini Salamis Pur Poulet,5411328068590,['France'],[],[],?,426,1782 kj(426 kcal),34,15,"0,1","0,1",30,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Le coeur de museau Ardéchois,2402150024734,['France'],[],[],?,199,833 kj(199 kcal),"12,66","4,46","0,7","0,7",20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
