,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
412,Peinture,3700408380380,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Jambon cuit superieur - Brient,3346650215867,['France'],[],[],?,145,607 kj(145 kcal),"6,7","2,5","0,3","0,3",21,,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brient'],,,,,,,,,,,,,
414,Bonne musique,3149028084924,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Poitrine fumée au bois de hêtre - Jean Rozé,0290081035491,['France'],[],[],?,296,1238 kj(296 kcal),"25,1","9,4","0,5","0,5",17,"['Viande Française', 'Viande Porcine Française']","1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Jean Rozé'],,,,,,,,,,,,,
416,8 mini beignets fourrés,0202302022630,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Tenders crunchy - 1kg,3760261148312,['France'],[],[],?,912,3816 kj(912 kcal),"11,1","4,8","14,9","1,1","16,3",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,
418,250G Tagliolini Noir De Seiche Galileo,8005658008080,['France'],[],[],?,270,1130 kj(270 kcal),"1,3","0,4",52,1,11,,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Lait de coco,4796014572034,['France'],[],[],?,163,682 kj(163 kcal),17,16,"1,5","0,7",1,['Bio'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Farine de blé du loreau,3760246760010,['France'],[],[],?,?,,?,,?,,?,['Sans additifs'],,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,,,,,,,,,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,,
421,Poulet,2860050028014,['France'],[],[],?,?,,?,,?,,?,"['Nutriscore', 'Nutriscore C']",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Tillburry,0086232312241,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Energy tea,5060207696067,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Cipolle Borettane - Firenze - 280g,01798322,['France'],[],[],?,64,268 kj(64 kcal),"2,4","0,3","9,1","7,3","0,6",['Point Vert'],2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Firenze', ""Tradizioni D'italia""]",280 g,,,,,,,,,,,,
425,P'tit Basique,0200039042242,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Gourmet Vroca Cokolada Kokos - 200g,24235679,"['France', 'Italie']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,
427,Ananas entier - Hyper U,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hyper U'],,,,,,,,,,,,,
428,24235686,24235686,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Caramel au beurre salé carapack - 220g,3760262990262,['France'],[],[],?,395,1653 kj(395 kcal),15,10,64,58,2,,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 g,,,,,,,,,,,,
430,Yaourt aux Bananes,3484380080406,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Poudre de Piment rouge,8809166272076,['France'],[],[],?,0,0 kj(0 kcal),0,0,"56,4","15,6","14,5",,"0,12","0,048",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments']",0 g,en faible quantité,0 g,en faible quantité,15.6 g,en quantité élevée,0.12 g,en faible quantité,,-100%,-100%,-100%,-100%,+677%,+639%,+377%,-96%,-96%,,,,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,,,,,,,,,,,,,,
432,Farine boulangère,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Steack,0202168072091,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Axoa de porc au piment d'espelette,3272934005070,['France'],[],[],?,141,590 kj(141 kcal),"7,4","2,7","3,3","1,9",15,,"0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Goldähren - 1000g,98046621,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Goldähren'],1000 g,,,,,,,,,,,,
436,7024850011620,7024850011620,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Petit dej tout choco,3250392917258,['France'],[],[],?,432,1807 kj(432 kcal),"12,5",3,"68,7","29,4","7,8",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Ortie Magique,56133653,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
