,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
439,Chocolettre amelio,3250392917272,['France'],[],[],?,489,2046 kj(489 kcal),"21,2","7,8","67,2","36,1","6,2",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Terra Domitia 2018 Languedoc,3443660012308,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Domaine du causse d'Arboras 2012,3380330002361,['France'],[],[],?,12,50 kj(12 kcal),14,2,5,3,4,"['Bio', 'Bio européen', 'FR-BIO-01']",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Vin,3760205337376,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Saucisson cuit à l'ail - Bioporc,3483190091725,['France'],[],[],?,264,1105 kj(264 kcal),"21,9","8,4","0,5","0,5","16,7","['Bio', ""Saucisson à l'ail""]","1,8","0,72",E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",21.9 g,en quantité élevée,8.4 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-3%,-4%,-2%,-2%,-55%,-30%,+4%,-15%,-15%,18,-7%,D,-7%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,['Bioporc'],,,,,,,,,,,,,
444,Mentos pure fresh cherry flavour,80985891,['France'],[],[],?,189,791 kj(189 kcal),"0,7","0,6",71,"0,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mentos'],,,,,,,,,,,,,
445,Mini bâtonnet amélioré,3250392917296,['France'],[],[],?,490,2050 kj(490 kcal),"21,9",9,65,"33,6",7,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Baron de bordeaux,3423290178469,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Goûter rond tout choco amelio,3250392917852,['France'],[],[],?,453,1895 kj(453 kcal),"16,4","6,8","66,3","33,9","7,2",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Cèpes extra - 70g,3760237380005,['France'],[],[],?,299,1251 kj(299 kcal),"2,4","0,4","9,7","5,4","27,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70 g,,,,,,,,,,,,
449,Chipolatas aux herbes,2600248043364,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,,,,,,,,,,,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
450,Fromage blanc coulis citronvert-cactus,9909199000000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Dosettes souples Corsé,9238161030845,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,3156260017962,3156260017962,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Farine blé T65 ensemble,4056232453301,['France'],[],[],?,347,1452 kj(347 kcal),"1,9",0,72,"2,3","9,9",,"0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biocoop'],,,,,,,,,,,
454,Garam Masala - Fuchs,4027900567309,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fuchs'],,,,,,,,,,,,,
455,Le lapin Vichy et ses oeufs praliné.,3173286450603,['France'],[],[],?,542,2268 kj(542 kcal),31,19,59,58,"5,9",['Fabriqué en France'],"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,3400930085042,3400930085042,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Mini muffins coeur fondant,0203772009848,['France'],[],[],?,421,1761 kj(421 kcal),21,"3,9",53,37,"3,3",['Fabriqué en France'],"0,75","0,3",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",21 g,en quantité élevée,3.9 g,en quantité modérée,37 g,en quantité élevée,0.75 g,en quantité modérée,,+6%,+6%,+4%,+4%,+9%,+38%,-36%,+1%,+1%,19,+23%,E,+23%,,,,,,,,,,,['Barquette en plastique'],,,,,,,,,,
458,Les petits lapins Vichy chocolat au lait,3173286426806,['France'],[],[],?,556,2326 kj(556 kcal),34,21,54,53,"7,5",['Fabriqué en France'],0,0,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",34 g,en quantité élevée,21 g,en quantité élevée,53 g,en quantité élevée,0 g,en faible quantité,,+0%,+1%,-1%,+1%,+1%,+2%,+15%,-100%,-100%,26,-1%,E,-1%,,,,,,,,,,,,,,,,,,,,,
459,guise de dinde,2208578033453,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,4046234804690,4046234804690,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Oats & Whey - Prozis,5600499519615,['France'],[],[],?,410,1715 kj(410 kcal),"4,9","1,6",53,"2,1",32,,"0,29","0,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,,,,,
462,Rosette,2212398014103,['France'],[],[],?,376,1573 kj(376 kcal),"30,2","11,6","1,4",1,"24,7","['Viande Française', 'Viande Porcine Française']","4,7","1,88",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",30.2 g,en quantité élevée,11.6 g,en quantité élevée,1 g,en faible quantité,4.7 g,en quantité élevée,,+3%,+3%,+6%,+2%,-28%,-31%,-3%,+4%,+4%,24,+2%,E,+2%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,"['Rosette', 'Rosettes']","['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)""]",,,,,,,,,
463,50G Preparation Flan Vanille A. coudre,3287180000052,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour flans']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Porc demi sel,2689273030969,['France'],[],[],?,115,481 kj(115 kcal),"3,2","1,2","0,1","0,1",21,"['Viande Française', 'Viande Porcine Française']","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Troccoli,8003039014804,['France'],[],[],?,273,1142 kj(273 kcal),"1,3","0,3",55,"1,5",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Fourme d'Ambert,0202829016273,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
467,Pâte à tartiner,9900000038045,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Poitrine de porc demi sel,2669195040086,['France'],[],[],?,229,958 kj(229 kcal),17,"6,6",1,"0,5",18,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)"", 'FR 22.003.001 CE', ""Aucaleuc (Côtes-d'Armor, France)""]",,,,,,,,,
469,Pain,3289669181108,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Velouté de potimarron,3760283595514,['France'],[],[],?,36,151 kj(36 kcal),"1,8",1,"3,8","0,8","0,6",,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Pain seigle - Vitalis,22485991,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vitalis'],,,,,,,,,,,,,
472,Riz au lait nature sur lit de caramel - 690g,2023296446060,['France'],[],[],?,135,565 kj(135 kcal),"2,8","1,8","24,5","17,5","2,8",,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690 g,,,,,,,,,,,,
473,Fragrant Jasmine Rice,3364699011882,['France'],[],[],?,345,1443 kj(345 kcal),"0,5",0,"79,5",0,"6,8",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Tournesol geant,3569881141853,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Guarana en poudre,0701127659767,['France'],[],"['Végétalien', 'Végétarien']",?,322,1347 kj(322 kcal),"2,9","0,5",47,"2,2",14,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'GB-ORG-05']","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Chateau vrai Caillou,3760247170337,['France'],[],[],?,?,,?,0,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,-100%,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,['France'],,,,,,,,
477,Graines de chia,0711197958684,['France'],[],[],?,429,1795 kj(429 kcal),28,3,8,1,20,,"0,1","0,04",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",28 g,en quantité élevée,3 g,en quantité modérée,1 g,en faible quantité,0.1 g,en faible quantité,,-4%,-4%,-9%,-4%,-33%,+81%,-0%,+318%,+318%,2,+122%,B,+122%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,,,,,,,,,,,,
478,Gâteau au Fromage blanc,66634539,['France'],[],[],?,374,1565 kj(374 kcal),16,"1,5",52,26,6,['Sans conservateurs'],1,"0,4",,"['Biscuits et gâteaux', 'Gâteaux']",16 g,en quantité modérée,1.5 g,en quantité modérée,26 g,en quantité élevée,1 g,en quantité modérée,,-7%,-7%,-18%,-80%,+5%,-7%,+10%,+64%,+64%,14,-22%,D,-22%,,,,,,,,,,,,,,,,,,,,,
479,DOS DE CABILLAUD,2480558055697,['France'],[],[],?,?,,?,,?,,?,"['Pêche durable', 'Pêche durable MSC']",,,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",,,,,,,,,,,,,,,,,,,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,['MSC-C-53395'],,,,,,,,,
480,Cereal Cheerios Nestle 340GR,0016000461529,['France'],[],[],?,376,1573 kj(376 kcal),"6,4","1,5","73,4","4,5",12,,"0,497","0,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nestlé', 'Cheerios']",,,,,,,,,,,,,
481,Les découpes de poulet,2444675019819,['France'],[],[],?,65,272 kj(65 kcal),"1,2",0,8,0,12,,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Bagels véganes bio,3770015174047,['France'],[],"['Végétalien', 'Végétarien']",?,336,1406 kj(336 kcal),"7,4","1,3",55,"8,5",10,"['Bio', 'Végétarien', 'Végétalien']","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Parmigiano Regiano AOP 24 mois,0205140045656,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Summer berries all butter biscuits - Whittard,5022032131373,['France'],[],[],?,481,2013 kj(481 kcal),26,16,56,22,5,,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Whittard'],,,,,,,,,,,,,
485,5411168080257,5411168080257,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Plateau grill chipolatas merguez,2478744067241,['France'],[],[],?,283,1184 kj(283 kcal),"24,1","9,79","1,6","0,6","14,9",['Point Vert'],"1,9","0,76",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",24.1 g,en quantité élevée,9.79 g,en quantité élevée,0.6 g,en faible quantité,1.9 g,en quantité élevée,,+18%,+18%,+28%,+36%,+37%,-5%,-3%,+6%,+6%,20,+20%,E,+20%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
487,400g,4056453515512,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,
488,8718719782033,8718719782033,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Saucisse Sèche Perché au Piment d'Espelette,0246408026833,['France'],[],[],?,139,582 kj(139 kcal),45,3,21,19,"3,5",['Sans colorants'],"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,5425011828354,5425011828354,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,42306092,42306092,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Die Feine Linie,4260284213398,['France'],[],[],?,?,,?,,?,,?,"['Bio', 'Bio-dynamie', 'Demeter']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Die Feine Linie'],,,,,,,,,,,,,
493,Filet mignon de porc en croute - Tempé,3301091902066,['France'],[],[],?,288,1205 kj(288 kcal),15,"6,5",21,"1,9",16,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tempé'],,,,,,,,,,,,,
494,Soupe de légumes,3770014235008,['France'],[],[],?,14,59 kj(14 kcal),"0,11","0,02","2,51","0,76","0,38",,"0,66","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Crepes chocolat,2322674009966,['France'],[],[],?,468,1958 kj(468 kcal),24,"8,6",56,34,"6,9",['Sans conservateurs'],"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Morbier,0204524035030,['France'],[],[],?,353,1477 kj(353 kcal),29,20,0,0,23,,"1,3","0,52",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,-0%,-0%,+1%,+3%,-100%,-100%,+2%,-9%,-9%,14,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
497,confit de homard - La Pointe de Penmarc'h,3660902202802,['France'],[],[],?,135,565 kj(135 kcal),"8,1","5,6","4,5","0,7","0,7",,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""La Pointe de Penmarc'h""]",,,,,,,,,,,,,
498,Pate croute richelieu,2489917011022,['France'],[],[],?,266,1113 kj(266 kcal),"20,6","3,5","12,2","2,37","8,48",,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Il fuoco dell' Etna,8025447700056,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Rabarbaro,8006115002238,['France'],[],[],?,403,1686 kj(403 kcal),0,0,"99,2",81,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Jambon blanc cuit Haut Doubs,2295146053203,['France'],[],[],?,148,619 kj(148 kcal),"5,5","1,9","0,4","0,4",24,,"1,76","0,704",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",5.5 g,en quantité modérée,1.9 g,en quantité modérée,0.4 g,en faible quantité,1.76 g,en quantité élevée,,+12%,+13%,+15%,+3%,-40%,-33%,+14%,-6%,-6%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,"['FR 25.357.050 CE', 'Maisons-du-Bois-Lièvremont (Doubs, France)']",,,,,,,,,
502,Pain Boule blanche,0201915009182,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Healthy Skin Within,80002016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Magret de canard au piment d'Espelette,2249067043690,['France'],[],[],?,314,1314 kj(314 kcal),27,"8,2","3,3","1,5",15,['Sans colorants'],"1,4","0,56",E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",27 g,en quantité élevée,8.2 g,en quantité élevée,1.5 g,en faible quantité,1.4 g,en quantité modérée,,-8%,-7%,-8%,-18%,+164%,+124%,-16%,-15%,-15%,17,-8%,D,-8%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,,,,
505,Compote Pomme-Cannelle,3384830007826,['France'],[],[],?,86,360 kj(86 kcal),"0,1","0,04","19,48","19,41","0,31",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,2330343002095,2330343002095,['France'],[],[],?,?,,?,,?,,?,"['Sans OGM', 'en:Ohne Gentechnik']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Faux filet - Charal,0292452029122,['France'],[],[],?,148,619 kj(148 kcal),"6,7","1,7",0,0,22,"['Viande Française', 'Viande-bovine-francaise']","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Charal'],,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,
508,Chicken nuggets,8719497604333,['France'],[],[],?,271,1134 kj(271 kcal),"17,4","3,8","16,6","1,1","11,7",,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Pizza royale,0205014039033,['France'],[],[],?,559,2339 kj(559 kcal),"9,6","4,4","2,7","1,8","8,2",,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Bulldog 12KG,3182550719803,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Gingembre déshydraté,2003563009051,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Sirop de miel,4260161972929,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Metzger Muller,0286097018764,['France'],[],[],?,296,1238 kj(296 kcal),26,"10,8","1,9","1,2","13,7",,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Soda bicarbonate,8606015710143,['France'],[],[],?,2,8 kj(2 kcal),9,9,2,0,6,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Profiteroles,36445479,['France'],[],[],?,?,,?,,?,,"4,5",,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Beaufort AOP au lait cru - Reflets de France,0219751029585,['France'],[],[],?,415,1736 kj(415 kcal),34,20,"1,3",0,26,,1,"0,4",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",34 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+3%,+3%,+6%,-3%,+41%,-100%,-2%,-12%,-12%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Reflets de France'],,,,,,,,,,,,,
517,Navette à garnir - E.Leclerc,,['France'],[],[],?,355,1485 kj(355 kcal),14,"6,1",47,"9,7","8,3",,"1,19","0,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E.Leclerc'],,,,,,,,,,,,,
518,Chocolat pétillant,3760059939689,['France'],[],[],?,549,2297 kj(549 kcal),33,20,57,55,6,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Poitrine fumée - Oberti - 280g,3349010004989,['France'],[],[],?,306,1280 kj(306 kcal),"21,7","8,9","0,4","0,4","27,6",['Point Vert'],"4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Oberti'],280 g,,,,,,,,,,,,
520,Gourmet thon a l'huile,8413080002277,['France'],[],[],?,155,649 kj(155 kcal),"5,9","0,9",0,0,25,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Boudin blanc,2207010024271,['France'],[],[],?,?,,?,,?,,?,,0,0,,"['Viandes', 'Charcuteries', 'Boudins', 'Boudins blancs']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,"['FR 59.427.001 CE', 'Neuville (Nord, France)']",,,,,,,,,
522,"Eau De Vie Vieux Kirsch Nusbaumer, 45°, 35cl",3275570010354,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Les fruipotines la celtique,3770005785758,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Chien plusieurs saveurs,8719558018277,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Pain Complet,0200405008865,['France'],[],[],?,281,1176 kj(281 kcal),"1,7","0,4",52,"1,4",11,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,"Maïs frit ""Barbecue""",3760048335096,['France'],[],[],?,442,1849 kj(442 kcal),14,"1,9",69,1,"7,6",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,polpa de tomate,5600491709366,['France'],[],[],?,31,130 kj(31 kcal),"0,2","0,1","5,7","5,7","0,9",['Point Vert'],"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Strudel au gout de fraise,7290006463241,['France'],[],[],?,475,1987 kj(475 kcal),"20,6",19,"70,7","70,7","1,3",['en:gluten-free'],"0,197","0,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Wings de poulet roti tex mex,5901664008645,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Jambon cuit supérieur cuisiné à l'os - 240g,2631177036035,['France'],[],[],?,143,598 kj(143 kcal),"6,6","2,2","0,8","0,8",20,"['Viande Française', 'Viande Porcine Française']","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,"['EMB 87065', 'Feytiat (Haute-Vienne, France)', 'FR 87.065.001 CE', 'Feytiat (Haute-Vienne, France)']",,,,,,,,,
531,Tiramisu double cookie,0710535495225,['France'],[],[],?,382,1598 kj(382 kcal),"25,02","16,7","28,24","20,44","6,43",['Fabriqué en France'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,merguez,2232547025323,['France'],[],[],?,0,0 kj(0 kcal),"17,5","7,5","2,6","0,5","15,7",,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Rillettes de saumon bio,3288372651007,['France'],[],[],?,332,1389 kj(332 kcal),"30,88","8,2","0,66","0,59","12,81","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']","0,45","0,18",D,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",30.9 g,en quantité élevée,8.2 g,en quantité élevée,0.59 g,en faible quantité,0.45 g,en quantité modérée,,+51%,+51%,+80%,+69%,-70%,-35%,-5%,-61%,-61%,13,+48%,D,+48%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,,,
534,chipolatas aux herbes,2229331032476,['France'],[],[],?,0,0 kj(0 kcal),"16,9","6,1","1,5","0,5",16,,"1,4","0,56",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",16.9 g,en quantité modérée,6.1 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-100%,-100%,-16%,-21%,+18%,-19%,+7%,-21%,-21%,12,-30%,D,-30%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
535,Oeufs multicolores - Daniel Stoffel,3367270098470,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Daniel Stoffel'],,,,,,,,,,,,,
