,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,generic_name,quantity,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nutriment_energy_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,palm_ingredients
66,Latte parzialmente scremato microfiltrato uht,8002795011256,['France'],[],[],?,48,201 kj(48 kcal),"1,6","1,1",5,5,"3,3","0,1","0,04",,,,D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,+2%,+2%,+9%,+4%,+4%,+2%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,1.6 g,en faible quantité,1.1 g,en faible quantité,5 g,en quantité modérée,0.1 g,en faible quantité,0,B,,,,,,,,,+3%,-9%,-9%,,,
67,Musli Nuss-Crunch,4011800550615,['France'],[],[],?,451,1887 kj(451 kcal),16,"2,3",63,21,"9,9","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Microbiote Fort,3760143920807,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Compote,4850001117445,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Saucisse fumee au bois de hetre,2654215028472,['France'],[],[],?,243,1017 kj(243 kcal),18,"6,8","1,2","0,8",19,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Rillettes de canard -,7141047202774,['France'],[],[],?,438,1833 kj(438 kcal),39,14,"0,7","< 0,1",20,"1,1","0,44",,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,+9%,+6%,+12%,+21%,-60%,+23%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,39 g,en quantité élevée,14 g,en quantité élevée,0.1 g,en faible quantité,1.1 g,en quantité modérée,19,E,,,,,,,,,+9%,-20%,-20%,-2%,-2%,
72,Crème de Sésame,4260131410215,['France'],[],[],?,631,2640 kj(631 kcal),56,10,"9,2",1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Ontgeurde kokosolie,53987181,['France'],[],[],?,900,3766 kj(900 kcal),100,86,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Rooïbos Ice tea mangue citron bio,3665206104173,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,French Violette,3760271942146,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
