,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
1721,Gorgonzola et mascarpone,2804869018637,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Boudin blanc,15744744,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Macarons assortiments X12,0207421019356,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Nori,8437002393755,['France'],[],[],?,233,"2,7","4,8","27,3",0,0,975 kj(233 kcal),"1,4","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Bierhefe tabletten,4000345088776,['France'],[],[],?,186,"3,7","6,1","44,8","0,75","0,3",778 kj(186 kcal),"1,6","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Sauté  de porc,2887594029789,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Porc']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,Baguette,2644732002567,['France'],[],[],?,271,"1,8","52,6","9,4","1,5","0,6",1134 kj(271 kcal),"0,4","2,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,Sardinhas em limão,5601721818018,['France'],[],[],?,292,24,"0,1",18,1,"0,4",1222 kj(292 kcal),"3,8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Cidre de Rhuys brut - Ciderie de Rhuys Nicol - 33cl,3436460000095,['France'],"[""Cidre d'artisan"", 'pur jus non pasteurise']",[],?,?,?,?,?,,,,,,33 cl,['Verre'],['Ciderie de Rhuys Nicol'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres bruts']",['France'],['Surzur'],,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,
1730,Varia remote - Garmin - 1,0753759143213,['France'],[],[],?,?,?,?,?,,,,,,1,"['Carton', 'Plastique']",['Garmin'],['Télécommande Varia'],,,['Garmin.fr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
