,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
1737,Cubes d'oranges et de citrons confits,3612645700442,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,Compote Fruit et Biscuit - Kruidvat,8717333608231,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kruidvat'],,,,,,,,,,,,
1739,Snack Size Pitta Pockets,5391521690692,['France'],"['water', 'rice', 'flour', 'potato flour', 'corn starch', 'tapioca starch', 'buckwheat flour', 'glycerol', 'inulin', 'psyllium husk', 'pea protein', 'pea fibre', 'maize flour', 'apple juice concentrate', 'thickening agents ', 'xanthan gum', 'guar gum hydroxypropyl methylcellulose', 'rapeseed oil', 'yeast', 'salt', 'sourdough ', 'fermented corn and quinoa flour', 'raising agent ', 'glucono-delta-lactone', 'acids ', 'citric acid', 'malic acid', 'tartaric acid', 'preservative ', 'sorbic acid', 'acidity regulator ', 'calcium gluconate', ',@']",[],?,232,2,"43,6","5,3",971 kj(232 kcal),"0,5","3,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,"['E422 - Glycérol', 'E415 - Gomme xanthane', 'E464 - Hydroxypropylméthylcellulose', 'E575 - Glucono-delta-lactone', 'E330 - Acide citrique', 'E296 - Acide malique', 'E334 - Acide L-tartrique', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E578 - Gluconate de calcium']",4,,,,,,,
1740,Chirimoya Hierba buena Te verde,8436032130378,['France'],[],[],?,47,0,12,0,197 kj(47 kcal),0,"8,3","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Musligluck,4260445960277,['France'],[],"['Végétalien', 'Végétarien']",?,369,"7,1","57,8","13,2",1544 kj(369 kcal),"1,2","6,8","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
1742,Gx 17 - Eric Favre,3525722021340,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Eric Favre'],"['Végétarien', 'Végétalien']",,,,,,,,,,,
1743,Rouille de méditerrannée,3770004133253,['France'],[],[],?,531,"55,4","4,04","2,75",2222 kj(531 kcal),"6,24","1,64","0,754","0,302",,"['Epicerie', 'Sauces']",55.4 g,en quantité élevée,6.24 g,en quantité élevée,1.64 g,en faible quantité,0.754 g,en quantité modérée,,+123%,+125%,+206%,+189%,-59%,-75%,+2%,-69%,-69%,15,+29%,D,+29%,,,,,,,,,,,,,"['FR 13.092.001 CE', 'Saint-Chamas (Bouches-du-Rhône, France)']",,,,,,,,,
1744,Cad Biscuits Caramel,0072417129353,['France'],[],[],?,478,"23,6","60,8","5,3",2000 kj(478 kcal),"11,9","40,1","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,Aloe vera drink,8332857005900,['France'],[],[],?,0,0,5,0,0 kj(0 kcal),0,"4,9","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Pensee sauvage,3481899003315,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1747,RISTRETTO,7617014172918,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'Fabriqué en Suisse', 'en:UTZ Certified']",,,,,,,,,,,
1748,Trafilatura al bronzo,8006434550403,['France'],[],[],?,347,"1,5","70,3","14,5",1452 kj(347 kcal),"0,3","4,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Pure Butter ShortBread Fingers - Campbells,5010909005476,['France'],[],[],?,515,"27,5","61,7","5,8",2155 kj(515 kcal),"17,4","21,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Campbells'],,,,,,,,,,,,
1750,Pancake mix,0041498131012,['France'],"['enriched bleached flour ', 'wheat flour', 'malted barley flour', 'niacin', 'iron', 'thiamin mononitrate', 'riboflavin', 'folic acid', 'sugar', 'leavening ', 'baking soda', 'moñocalcium phosphate', 'dextrose', 'contains 2% or less of each of the following: whey', 'soybean oil', 'salt', 'buttermilk', 'contains: wheat', 'milk,']",['Non végétalien'],?,210,"1,5",7,5,879 kj(210 kcal),0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,"['E500ii - Carbonate acide de sodium', 'E341i - Phosphate monocalcique']",4,,,"['Gluten', 'Lait']",,,,
1751,8400097045687,8400097045687,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,Cream Soda,5060375090056,['France'],[],[],?,49,0,"12,1",0,205 kj(49 kcal),0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,0220704044876,0220704044876,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Luxury Hot Chocolate - Whittard,5022032118817,['France'],[],[],?,397,8,66,9,1661 kj(397 kcal),5,59,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Whittard'],,,,,,,,,,,,
1755,Cote a griller,2299329015941,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,Haricots blanc,3435640001402,['France'],[],[],?,98,"0,5",14,"6,5",410 kj(98 kcal),"0,1","0,6","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Le chocolat des princes - Chocolats des Princes,3760243012594,['France'],[],[],?,383,"11,8",49,"10,8",1602 kj(383 kcal),"7,1","44,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chocolats des Princes'],,,,,,,,,,,,
1758,Radis noir - Intermarché,3250392509200,['France'],[],[],?,?,?,?,?,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Radis', 'Radis noirs', 'Radis noirs frais']",,,,,,,,,,,,,,,,,,,,,,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,,['Intermarché'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture France']",['Intermarché'],,,,,,,,,,
1759,Chocolat blanc sans sucres -,3760288360049,['France'],"['Maltitol', 'beurre cacao', 'lait entier en poudre', 'extrait naturel de vanille', 'lécithine de soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,,,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats blancs', 'Chocolats blancs édulcorés']",,,,,,,,,,,,,,,,,,,,,,,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,['Avec édulcorants'],,,"['E965 - Maltitol', 'E322i - Lécithine']",4,,,['Soja'],,,,
