,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nova_score,additives,origin_detail,generic_name
40,Sours,0041498116224,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Asda,5057172029723,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,,,,,,,,,,,,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Boite en Plastique', 'Plastique']",['Asda'],,,,,,,,,,
42,Good bite -,0057961033493,"['Canada', 'France']",[],[],?,478.26086956522,2001 kj(478 kcal),"34,783","30,435","52,174","17,391","4,348","0,435","0,174",,['Bouchées de noix de coco'],,34.8 g,en quantité élevée,30.4 g,en quantité élevée,17.4 g,en quantité élevée,0.435 g,en quantité modérée,,,,,,,,,,,19,,E,,,,,,,,,,"['Sachet Plastique', 'Plastique']",,,,,,,,,,,
43,Pop Corn Sabor Caramelo con trocitos de Mani -,7802420005084,"['Chili', 'France']","['INGREDIENTES:Azucar', 'maiz', 'trozos de mani ', '20%', 'glucosa', 'aceitevegetal ', 'aceite de maravilla', 'TBHQ', 'acido citrico', 'dimetilpolisiloxano', 'agua', 'sal', 'sabor mani identico alnatural', 'emulsificante ', 'lecitina de sSoya', 'aceite de soya', 'monooleato de glicerilo', 'colorante caramelo IV', 'Puede contener trazas de gluten', 'nueces', 'soya', 'leche,sulfitos y otros frutos secos']",[],?,?,,?,,?,,?,,,B,"['Snacks', 'Snacks sucrés', 'Popcorn', 'Popcorn sucré']",,,,,,,,,,,,,,,,,,,,,,,,57.3%,1.4%,8.6%,4.7%,11.7%,16.3%,90,,"['Sachet Plastique', 'Plastique']",,,,,,,['Soja'],,['E319 - Butylhydroquinone tertiaire'],,
44,Tartares de saumon citron & aneth,3435020036574,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Salade méchouia piquante,0710535818321,['France'],[],[],?,110,460 kj(110 kcal),"9,11","0,99","6,03","2,94","1,04","1,74","0,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Pain de seigle,0209886022179,['France'],[],[],?,348,1456 kj(348 kcal),"1,4","0,3",73,"1,4",8,0,0,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",,1.4 g,en faible quantité,0.3 g,en faible quantité,1.4 g,en faible quantité,0 g,en faible quantité,,+51%,+51%,-29%,-12%,+75%,-52%,+16%,-100%,-100%,0,-100%,B,-100%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,,,
47,9317490326574,9317490326574,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Chocolate reduce fat milk,03431306,['France'],[],[],?,58.333333333333,244 kj(58 kcal),"1,875","1,25","5,417",5,"5,417","0,156","0,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Lentilles,3760025042467,['France'],[],[],?,54,226 kj(54 kcal),"0,3",0,"6,8",0,4,"0,55","0,22",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.55 g,en quantité modérée,,-78%,-78%,-80%,-100%,-79%,-100%,-78%,+90%,+90%,0,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,
50,Ail extra fort,3760046254979,['France'],[],[],?,?,,?,,?,,?,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pate de viande pizza,2875080021386,['France'],[],[],?,247,1033 kj(247 kcal),20,"8,9","1,51","1,2",14,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2955006005635,2955006005635,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Terrine de campagne,3269617106353,['France'],[],[],?,316,1322 kj(316 kcal),27,9,"2,3","0,5",16,"1,8","0,72",,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,27 g,en quantité élevée,9 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-2%,-2%,-5%,-17%,+0%,-42%,+14%,+12%,+12%,18,-7%,D,-7%,,,,,,,,,,,,,,,,,,,,
