,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,generic_name,traceability_code,link,palm_ingredients,manufacturing,brand_owner,origin_detail,producer_info
30,Cracottes croustillantes - Céréal,5410063035942,,,,['Céréal'],"['Snacks', 'Snacks salés']","['Bio', 'Point Vert', 'Sans lactose']",,['France'],[],,,[],,18 g,en quantité modérée,6.2 g,en quantité élevée,1.9 g,en faible quantité,1.5 g,en quantité modérée,?,,438,-5%,1833 kj(438 kcal),-5%,18,-26%,"6,2",+47%,45,-6%,"1,9",-42%,18,+112%,"1,5",-3%,"0,6",-3%,17,+39%,D,+39%,,,,,,,,,Crackers,,,,,,,
31,Bosto brown,5410106019847,,,,['Bosto'],,,,['France'],"['eau', 'riz complet', 'huile de tournesol', 'lécithine de soja: émulsifiant', ' Met de ""11/2 minute"" van Bosto heeft u perfect gaar gestoomde rijst', ' Dankzij dit verfijnd kookprocédé', 'kunt u genieten van een rijst die zijn smaak behouden heeft', 'met stevige', 'zachte korrels', ' Avec te 11/2 minute"" de Bosto retrouvezta cuisson parfaite d\'un riz cuit à la vapeur', ' Grâce à ce procédé de cuisson délicat', 'dégustez un riz aux saveurs préservées avec des grains fermes et fondants', ' 1']",['E322i - Lécithine'],,[],4,,,,,,,,,?,,172,,720 kj(172 kcal),,3,,"0,5",,32,,"0,6",,4,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,
32,Rice Toasts (sans sel) - Bosto,5410106095001,,,,['Bosto'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,['Delhaize'],"['Belgique', 'France']","['RIZ COMPLET ', '100%']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.2 g,en quantité modérée,0.9 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,393,+13%,1644 kj(393 kcal),+13%,"3,2",-44%,"0,9",-43%,"81,7",+39%,"0,5",-91%,"7,8",-17%,0,-100%,0,-100%,-3,-284%,A,-284%,,,,,,,,,,,,,,,,
33,Vitalinea 0% M.G,5410146404580,,,,['Vitalinea'],,,,['France'],[],,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,"0,1",,"0,1",,"4,5",,"4,5",,"7,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
34,Actimel Original - Danone,5410146416583,E,,"['Frais', 'Plastique', 'Carton']",['Danone'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Boissons avec sucre ajouté']",,['Delhaize'],"['Belgique', 'France']","['Yaourt ', 'lait', 'lait écrémé', 'sucre ou sucre liquide ', 'saccharose: 7,3 %', 'dextrose', 'concentré de minéraux du lait', ' lactobacillus casei  Danone ', 'lait', 'vitamines ', 'B6', 'D']",,['Lait'],['Non végétalien'],4,1.6 g,en quantité modérée,1 g,en quantité modérée,10.8 g,en quantité élevée,0.1 g,en faible quantité,?,,73,+1%,305 kj(73 kcal),+0%,"1,6",+6%,1,+6%,"10,8",-4%,"10,8",+1%,3,+3%,"0,1",-6%,"0,04",-6%,18,+12%,E,+12%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,,,,
35,Danonino - Danone - 600grammes,5410146957741,,600 grammes,,['Danone'],,,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hachis Parmentier - Iglo - 450grammes,5410148486102,E,450 grammes,,['Iglo'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']","['Sans colorants', 'Sans conservateurs']",['Delhaize'],"['Belgique', 'France']","['Purée de pommes de terre 49% [pommes de terre cuites', 'eau', 'huile de tournesol', 'lait maigre en poudre', ""jaune d'oeuf "", 'sel', 'poivre', 'noix de muscade]', 'Préparation de viande 33% [viande hachée 99% ', 'bœuf 50%', 'porc 49%', 'sel', 'épices', 'dextrose', 'antioxydants: E301', 'E300', 'eau', 'céleri', 'oignons', 'carottes', 'huile de tournesol', 'farine de blé', 'purée de tomates', 'bouillon de légumes ', 'sel', 'extrait de levure', 'amidon de pommes de terre', 'huile de tournesol', 'céleri', 'oignons', 'poireaux', 'tomates', 'carottes', ""poudre d'oignons"", 'ail', 'plantes aromatiques', 'épices', 'sel', 'persil', 'ail', 'thym', 'poivre]', ""Préparation d'épinards 18% "", 'épinards 57%', 'eau', 'lait entier en poudre', 'crème ', 'lait', 'farine de blé', 'huile de tournesol', 'sel', 'noix de muscade', 'poivre],']","['E301 - Ascorbate de sodium', 'E300 - Acide ascorbique']","['Céleri', 'Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,5.4 g,en quantité modérée,1.4 g,en faible quantité,1.7 g,en faible quantité,0.7 g,en quantité modérée,?,,107,-15%,448 kj(107 kcal),-14%,"5,4",-12%,"1,4",-52%,"8,9",-11%,"1,7",+6%,"4,7",-24%,"0,7",-4%,"0,28",-4%,1,-65%,B,-65%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,,,,,,,,,
37,"Soupe froide Carotte, orange et coriandre - Alvalle - 1L",5410188020328,A,1 L,['Brique'],['Alvalle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Réfrigérés', 'Soupes de légumes', 'Soupes froides', 'Plats préparés réfrigérés', 'Soupes réfrigérées', 'Soupes de légumes réfrigérées']","['Sans additifs', 'Sans colorants', 'Sans conservateurs']",,['France'],"['Eau', 'carotte ', '35,5 %', ""jus d'orange "", '16,6 %', ""purée d'oignon"", 'crème', ""huile d'olive extra vierge"", 'sucre', 'sel', 'vinaigre de vin', 'coriandre ', '0,2 %', 'laurier', 'thym et poivre blanc']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,3 g,en quantité modérée,1 g,en faible quantité,4.6 g,en faible quantité,0.6 g,en quantité modérée,248,+54%,?,,248 kj(59 kcal),+38%,3,+39%,1,+49%,"6,3",+44%,"4,6",+146%,"0,6",-37%,"0,6",-4%,"0,24",-4%,2,+63%,B,+63%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,
38,Pure Premium Douceur Orange avec pulpe - Tropicana - 1l,5410188031010,C,1 l,"['Brique', 'Carton']",['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]","['en:FSC', 'en:fsc-c081801', 'FSC Mix']",['Cora'],['France'],"[""Jus d'orange""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,9.9 g,en quantité élevée,0 g,en faible quantité,193,+5%,?,,193 kj(46 kcal),+6%,0,-100%,0,-100%,"9,9",+2%,"9,9",+8%,"0,7",+11%,0,-100%,0,-100%,4,+34%,C,+34%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,Jus d'orange flash pasteurisé,['FSC-C081801'],,,,,,
39,Boisson pomme,5410221233401,,,,,,,['Delhaize'],"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,"8,5",,"8,4",,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
40,Jupiler Beer,5410228196662,,,,['Jupiler'],,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,43,,180 kj(43 kcal),,0,,0,,"3,2",,"0,1",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,
41,Radler Lemon & Lime - Diekirch,5410228226659,,,,['Diekirch'],['Boissons'],,,"['France', 'Allemagne']",[],,,[],,0 g,en faible quantité,0 g,en faible quantité,2.7 g,en quantité modérée,0.1 g,en faible quantité,?,,23,-59%,96 kj(23 kcal),-60%,0,-100%,0,-100%,"3,8",-66%,"2,7",-71%,"0,1",-80%,"0,1",+141%,"0,04",+141%,6,-22%,D,-22%,,,,,,,,,,,,,,,,
42,"Radler mojito, bière aromatisée sans alcool",5410263920130,C,,,,"['Boissons', 'Boissons sans alcool', 'Bières sans alcool']","['Sans alcool', 'Produits faisant référence au Mojito']",,['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,6.8 g,en quantité élevée,0.01 g,en faible quantité,?,,33,+14%,138 kj(33 kcal),+15%,"0,1",+35%,0,-100%,"8,3",+29%,"6,8",+73%,"0,1",-61%,"0,01",+10%,"0,004",+10%,10,+28%,E,+28%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
43,Lait frais entier - Campina - 1l,5410281002436,C,1l,['elopak purepak classic'],['Campina'],"['Produits laitiers', 'Laits']",,['Delhaize'],"['Belgique', 'France']",[],,,[],,3.5 g,en quantité modérée,2.3 g,en quantité modérée,4.8 g,en faible quantité,0.13 g,en faible quantité,?,,64,-3%,268 kj(64 kcal),-2%,"3,5",+70%,"2,3",+93%,"4,8",-20%,"< 4,8",-12%,"3,4",-4%,"0,13",+5%,"0,052",+5%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,"['Belgique', 'Allemagne', 'Pays-Bas']",,['DE NW 401 EG'],,,['België for Friesland Campina Belgium'],,,
44,Mozarella sans lactose - Diléa,5410298086634,D,,,['Diléa'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella', 'Fromages sans lactose']",,,['France'],"['Lait de vache pasteurisé', 'coagulant microbien', 'sel', 'ferments lactiques']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,0.46 g,en quantité modérée,?,,266,+2%,1113 kj(266 kcal),+3%,22,+6%,15,+7%,"0,5",-51%,"0,5",-34%,18,+7%,"0,46",-32%,"0,184",-32%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
45,Puree Bintje - Lutosa - 750g,5410376711472,,750 g,"['surgelé', 'Sachet', 'Plastique', 'LDPE', '♶']",['Lutosa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Plats préparés', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre']",,,['France'],"['Pommes de terre 92%', 'eau', 'sel', 'poivre', 'noix de muscade', ""émulsifiant : mono - et diglycérides d'acides gras"", 'stabilisant : diphosphate disodique', 'curcuma']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450i - Pyrophosphate de sodium acide']",,"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,1.1 g,en faible quantité,0.69 g,en quantité modérée,?,,71,-71%,297 kj(71 kcal),-71%,?,,,,15,-68%,"1,1",-51%,"1,5",-73%,"0,69",+15%,"0,276",+15%,,,,,,,,,,,,,,,,,['Belgique'],,,
46,Trefin Hartmint 20X200G,5410381001742,E,,['Individuel'],['Trefin'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Fabriqué en Belgique', 'Sans colorants']",['Delhaize'],"['Belgique', 'France']","['Sucre', 'sirop de glucose', 'arômes naturels', ""correcteur d'acidité : acide lactique "", 'lactate de sodium']","['E270 - Acide lactique', 'E325 - Lactate de sodium']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0 g,en faible quantité,?,,395,+11%,1653 kj(395 kcal),+10%,0,-100%,0,-100%,97,+16%,76,+31%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,http://www.trefin.com,,['Belgique'],,,
47,Sauce andalouse - La William,5410426115212,,,['Plastique'],['La William'],['Boissons'],,,['France'],"['huile de colza', 'moutarde ', 'eau', 'vinaigre', 'graine de moutarde', 'sel', 'épices', 'vinaigre', ""jaune d'oeuf de poules élevées au sol "", '7%', 'dextrose', 'eau', 'poudre de tomates', 'oignons', 'épices', 'sel', 'cerfeuil', 'câpres', 'vinaigre ', ""contient de l'orge"", 'sauve soja ', 'eau', 'graines de soja', 'blé', 'sel', 'sucre', 'sirop de glucose', 'caramel', 'arômes ', 'contient du poisson', 'sirop de sucre inverti', 'mélasse', 'jus de citron vert', 'tamarin', 'stabilisants ', 'gomme guar', 'farine de graines de caroube', 'conservateur ', 'acide sorbique', 'antioxydant ', 'calcium disodium EDTA']","['E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Céleri', 'Poisson', 'Gluten', 'Moutarde', 'Soja']",[],4,59.7 g,en quantité élevée,37.1 g,en quantité élevée,7.3 g,en quantité élevée,1.9 g,en quantité élevée,?,,585.70001220703,+946%,2451 kj(585 kcal),+917%,"59,7",+17105%,"37,1",+31341%,9,-20%,"7,3",-23%,"2,4",+384%,"1,9",+4478%,"0,76",+4478%,32,+318%,E,+318%,,,,,,,,,,,,,,,,
48,Peren van't LAND Poires du pays,5410438040090,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,"11,4",,"9,1",,"0,4",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,
49,Belgian Chocolate Thins - Jules Destrooper - 100g,5410471130901,B,100 g,"['Boite', 'Carton']",['Jules Destrooper'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,"['Stand Destrooper', 'Delhaize']","['Belgique', 'France']","['Chocolat au lait 24% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'chocolat noir 24% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'matières grasses laitières anhydres', 'émulsifiant : lécithine de soja', 'farine de froment', 'sucre de candi 14%', 'chocolat blanc 12% ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'émulsifiant : lécithine de soja', 'beurre 5%', 'sel de mer', 'poudre à lever : carbonate acide de sodium']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,25.2 g,en quantité élevée,16.3 g,en quantité élevée,51 g,en quantité élevée,0.508 g,en quantité modérée,?,,510,+4%,2134 kj(510 kcal),+4%,"25,2",+8%,"16,3",+38%,"63,4",+2%,51,+57%,"6,3",-4%,"0,508",-8%,"0,203",-8%,26,+21%,E,+21%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Belgique'],Biscuits au sucre de candi enrobés de chocolat,,,,,,,
50,Limonade Citron - Villers (Saint Amand),5410499641656,,,,['Villers (Saint Amand)'],['Boissons'],,,['France'],"[""Boisson gazeuse rafraichissante à l'arôme naturel de citron avec autres arômes naturels Verfrissende koolzuurhoudende drank met natuurlijke citroensmaak en andere natuurlijke aromats"", ' Ingrédients t eau minérale naturelle gazéifiée', 'sucrer acidifiant : acide citique', 'arôme naturel de citron avec autres arômes naturels', 'conservateur : benzoate de sodium', ' A conserver à labri de la lumière dans un endroit propre', 'sec', 'tempéré et sans odeur']","['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,[],4,0.5 g,en faible quantité,0.5 g,en faible quantité,8 g,en quantité élevée,0.0036 g,en faible quantité,?,,32,-43%,134 kj(32 kcal),-44%,"0,5",+44%,"0,5",+324%,8,-29%,8,-15%,"0,5",+1%,"0,004",-91%,"0,001",-91%,11,+44%,E,+44%,,,,,,,,,,,,,,,,
51,"Pâte à Pizza, Fine et Rectangulaire - Herta",5410573000126,B,,"['Frais', 'Plastique']","['Herta', 'Nestlé']",['Pâtes à pizza'],,,"['France', 'Allemagne']","['Farine de blé', 'eau', 'huiles végétales ', 'palme', 'colza', ' amidon de blé', 'alcool ', ""s'évapore lors de la cuisson"", 'levure']",,['Gluten'],['Huile de palme'],1,6.4 g,en quantité modérée,2.3 g,en quantité modérée,0.1 g,en faible quantité,1.8 g,en quantité élevée,?,,276,-1%,1155 kj(276 kcal),-2%,"6,4",+14%,"2,3",+109%,"44,3",-6%,"0,1",-94%,"6,7",-7%,"1,8",+17%,"0,72",+17%,12,+67%,D,+67%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,,,,,['Huile de palme'],,,,
52,Lardons herta - Nature,5410573037207,,,['Barquette'],['Herta'],"['Viandes', 'Charcuteries', 'Charcuteries diverses']",['en:gluten-free'],,['France'],[],,['Gluten'],[],,20 g,en quantité modérée,7.8 g,en quantité élevée,0.4 g,en faible quantité,2.2 g,en quantité élevée,?,,250,-15%,1046 kj(250 kcal),-14%,20,-18%,"7,8",-16%,"0,4",-77%,"0,4",-49%,17,+13%,"2,2",+13%,"0,88",+13%,19,+1%,E,+1%,,,,,,,,,,,,,,,,
53,Gevogette volaille - The Sosi Factory - 40g,5410611010216,E,40 g,['Plastique'],['The Sosi Factory'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']","['Sans gluten', 'Point Vert']",,['France'],[],,,[],,40 g,en quantité élevée,4.1 g,en quantité modérée,0.59 g,en faible quantité,0 g,en faible quantité,?,,207,+15%,866 kj(207 kcal),+13%,40,+239%,"4,1",+13%,"5,4",+332%,"0,59",+13%,13,-21%,0,-100%,0,-100%,1,-90%,B,-90%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,['BE B 397 EC'],,,['Belgique'],,,
54,Quinoa+Petit Epautre,5410724400157,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,246,,1029 kj(246 kcal),,"4,2",,"0,4",,"39,4",,2,,"9,3",,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,
55,Cornichons aigres doux - Colona,5410803007888,,,,['Colona'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons aigres-doux']",,,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,1.1 g,en quantité modérée,?,,20,-43%,84 kj(20 kcal),-38%,0,-100%,0,-100%,"3,4",-34%,3,-33%,"0,3",-68%,"1,1",-21%,"0,44",-21%,-1,-203%,A,-203%,,,,,,,,,,,,,,,,
56,950ML Sauce Cheezy Easy Colona,5410803300712,,,,['Colona'],,,,['France'],[],,,[],,,,,,,,,,?,,732,,3063 kj(732 kcal),,"80,2",,"6,3",,1,,"0,6",,"1,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
57,Mayonnaise - Colona,5410803300828,D,,,['Colona'],"['Epicerie', 'Sauces', 'Mayonnaises']",,,['France'],[],,,[],,5.91 g,en quantité modérée,0.414 g,en faible quantité,0.154 g,en faible quantité,0.177 g,en faible quantité,?,,53.191489361702,-91%,223 kj(53 kcal),-91%,"5,91",-91%,"0,414",-93%,"0,461",-83%,"0,154",-89%,"0,165",-87%,"0,177",-87%,"0,071",-87%,0,-100%,B,-100%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
58,Sauce brazil - colona - 936g,5410803300897,,936 g,['Plastique'],['Colona'],"['Epicerie', 'Sauces']",,['Metro'],['France'],[],,,[],,45.5 g,en quantité élevée,3.8 g,en quantité modérée,17.9 g,en quantité élevée,1.1 g,en quantité modérée,?,,510,+114%,2134 kj(510 kcal),+116%,"45,5",+151%,"3,8",+76%,23,+132%,"17,9",+177%,"2,1",-22%,"1,1",-55%,"0,44",-55%,16,+38%,D,+38%,,,,,,,,,,,,,,,,
59,Sauce Samourai Colona,5410803809048,D,,,['Colona'],"['Epicerie', 'Sauces', 'Sauces samouraï']",,,['France'],"['Huile de colza', ""jaunes d'oeufs"", 'purée de piments ', '4%', ' ', 'piments rouges', 'sel', 'acidifiant : E260', 'conservateur: E211', 'vinaigre', 'eau', 'moutarde', 'sel', 'epices', 'arôme', 'conservateur : E202', 'colorant : extrait de paprika', 'antioxydant : E385']","['E260 - Acide acétique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Œufs', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,79 g,en quantité élevée,6 g,en quantité élevée,0.1 g,en faible quantité,2.1 g,en quantité élevée,?,,719,+26%,3008 kj(719 kcal),+26%,79,+27%,6,+26%,"0,7",-78%,"0,1",-93%,"1,2",+7%,"2,1",+0%,"0,84",+0%,22,+14%,E,+14%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
60,Baronie 75G Stick Mint Utz Suklaatikku,5410850739848,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,524,,2192 kj(524 kcal),,"28,4",,"17,4",,62,,"60,1",,"2,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
61,Sauce samourai,5410920900277,D,,,,"['Epicerie', 'Sauces', 'Sauces samouraï']",,,['France'],[],,,[],,75 g,en quantité élevée,6.2 g,en quantité élevée,0.8 g,en faible quantité,2.1 g,en quantité élevée,?,,688,+21%,2879 kj(688 kcal),+21%,75,+21%,"6,2",+31%,1,-69%,"0,8",-48%,"1,2",+7%,"2,1",+0%,"0,84",+0%,23,+19%,E,+19%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
62,oignon sauce,5410920900888,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,342,,1431 kj(342 kcal),,27,,23,,21,,16,,14,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,
63,Pavé à la Leffe Brune - 200g,5410942821031,D,200 g,"['Sachet', 'Plastique']","['Leffe', 'Passendale', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée non cuite', 'Fromages pasteurisés', 'Fromages à la bière']",,"['Carrefour', 'Delhaize']","['Belgique', 'France']","['Lait de vache pasteurisé', 'bière 3 % ', 'Leffe brune : eau', ""malt d'orge"", 'maïs', 'sucre', 'houblon', 'extrait de houblon', 'sel', 'coagulant', 'ferments lactiques', 'conservateur : lysozyme ', ""issu de l'oeuf"", 'colorant : rocou', 'colorant de croûte : caramel']","['E1105 - Lysozyme', 'E160b - Rocou', 'E150 - Caramel']","['Œufs', 'Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,31 g,en quantité élevée,22 g,en quantité élevée,0.3 g,en faible quantité,2 g,en quantité élevée,1611,+24%,?,,1611 kj(385 kcal),+23%,31,+19%,22,+24%,"0,3",-73%,"0,3",-61%,27,+45%,2,+39%,"0,8",+39%,17,+19%,D,+19%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['BE K425 EC'],,,['Belgique'],,,
64,Hb Oignons bruns le bocal de 400g - 400g,5410966111316,,400 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,17,,71 kj(17 kcal),,"0,1",,0,,"2,7",,"2,18",,"0,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
65,Boerinneke marino,5411146223140,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,568,,2377 kj(568 kcal),,"37,3",,"6,6",,"48,66",,"48,66",,"5,33",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,
66,Alpro 4xMirtilo - 4x125g,5411188100324,,4x125g,['Plástico'],['Alpro'],['pt:Preparado de soja'],"['Végétarien', 'Végétalien', 'Sans lactose']",['Pingo Doce'],"['France', 'Portugal']",[],,,"['Végétalien', 'Végétarien']",,2.2 g,en faible quantité,0.4 g,en faible quantité,7.9 g,en quantité modérée,0.015 g,en faible quantité,?,,70,,293 kj(70 kcal),,"2,2",,"0,4",,"8,2",,"7,9",,"3,7",,"0,015",,"0,006",,-2,,A,,,,,,,,,,Alpro Mirtilo Soya with yoghurt culture,['SL00925'],,,,,,
67,Boisson Au Riz Plus Calcium - Provamel - 1litro,5411188109198,E,1 litro,['Tretrapak'],['Provamel'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']","['Bio', 'en:gluten-free', 'Sans lactose']",,['France'],"['INGRÉbiENTS: eau', 'riz européen* ', '15%', 'algues Lithothamnium calcareum ', '0,4%', 'sel marin', "" * = issus de l'agriculture biologique""]",,,[],3,1.1 g,en faible quantité,0.2 g,en faible quantité,6.5 g,en quantité élevée,0.09 g,en faible quantité,?,,54,-7%,226 kj(54 kcal),-7%,"1,1",-10%,"0,2",-15%,11,-1%,"6,5",+14%,"0,1",-71%,"0,09",-5%,"0,036",-5%,1,+23%,B,+23%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['EU/non eu'],,,,,['Europa'],,,
68,Vanilla soy milk,5411188300243,,,"['carton', 'composite-carton']",,,,,['France'],[],,,[],,,,,,,,,,?,,54,,226 kj(54 kcal),,"1,7",,"0,3",,"6,5",,"6,4",,3,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,
