,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,quantity,labels,traceability_code,markets,nova_score,manufacturing,additives,generic_name,ingredients_origins,link,brand_owner,allergens
58,Leche semi desnatada - Reny Picot - 1L,8410379942283,['Reny Picot'],['France'],[],[],?,45,188 kj(45 kcal),"1,6",1,"4,8","4,8","3,1","0,13","0,052",D,"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits de vache', 'Laits sans lactose']",1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.13 g,en faible quantité,,-24%,-12%,+9%,+6%,-2%,+2%,-4%,+19%,+19%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,1 L,['Sans lactose'],,,,,,,,,,
59,Aiguillette de poulet tandoori,2278954024665,,['France'],[],[],?,158,661 kj(158 kcal),63,13,9,6,25,15,6,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",63 g,en quantité élevée,13 g,en quantité élevée,6 g,en quantité modérée,15 g,en quantité élevée,,+25%,+26%,+3305%,+2631%,+896%,+1907%,+10%,+3332%,+3332%,22,,E,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
60,Eclair framboise - Leclerc,0208633012463,['Leclerc'],['France'],[],[],?,326,1364 kj(326 kcal),18,6,36,24,"3,3","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pompadour Chamomile And Menta Tea,8412900100100,['Pompadour'],['France'],[],[],?,2,8 kj(2 kcal),1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pâtes aux aubergines et aux tomates,3760133675892,,['France'],[],[],?,336,1406 kj(336 kcal),1,"0,1","73,8","0,5","6,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sauce aux Cèpes,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tourte aux cerises confites,3760135970308,,['France'],[],[],?,408,1707 kj(408 kcal),"18,5","7,2","54,4","28,2","5,4","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 31.324.013 CE', 'Martres-Tolosane (Haute-Garonne, France)']",,,,,,,,,
65,Biscuits amande - Continente - 350g,5601312065579,['Continente'],['France'],[],[],?,446,1866 kj(446 kcal),17,"5,8",62,25,"9,6","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,
66,Lard paysan,0252873044876,,['France'],[],[],?,512,2142 kj(512 kcal),40,13,"1,9","0,5",35,"7,6","3,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Cantal jeune aop,2488691017657,,['France'],[],[],?,372,1556 kj(372 kcal),30,21,"1,5","0,5",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
