,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
196,mozzarella minis,20161989,['France'],[],[],?,0,0 kj(0 kcal),"8,5","5,5",1,1,"19,6",,,,,,,,,,,,,,,,,,,,,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,
197,Poche a gniole,3276161108191,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Olives cassées aux herbes de Provence,2609828010369,['France'],[],[],?,191,799 kj(191 kcal),"19,8","2,8","2,2","0,5","1,2",,,,,,,,,,,,,,,,,,,,,,,"4,7",,"1,88",,,,,,,,,,,,,,,,,,,,,,,
199,Mini croissant aperitif,3760298510533,['France'],[],[],?,330,1381 kj(330 kcal),19,12,29,"6,3",11,,,,,,,,,,,,,,,,,,,,,,,"1,1",,"0,44",,,,,,,,,,,,,,['Barquette en carton'],,,,,,,,,
200,Sushi 12 pièce,3760022330024,['France'],[],[],?,188,787 kj(188 kcal),"7,1","1,8",23,"4,5","5,8",,,,,,,,,,,,,,,,,,,,,,,"1,96",,"0,784",,,,,,,,,,,,,,,,,,,,,,,
201,1/4 jambon sec supérieur,2652620137109,['France'],[],[],?,?,,?,,?,,?,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,
202,Poitrine fumée bio,2231710023357,['France'],[],[],?,244,1021 kj(244 kcal),20,"8,1",0,0,15,,,,"['Bio', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,"2,4",,"0,96",,,,,,,,,,,,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,
203,Cervelas Romans salaison,2608339013715,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
204,Terrine de canard au jus de truffes,3760028713692,['France'],[],[],?,257,1075 kj(257 kcal),21,"7,7","0,54","0,2",17,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,21 g,en quantité élevée,7.7 g,en quantité élevée,0.2 g,en faible quantité,1.4 g,en quantité modérée,,-16%,-16%,-20%,-19%,-69%,-68%,+20%,"1,4",-8%,"0,56",-8%,16,-11%,D,-11%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,
205,Cerneaux de noix,8717973296041,['France'],[],[],?,679,2841 kj(679 kcal),"62,5",6,7,"2,6","15,2",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,,62.5 g,en quantité élevée,6 g,en quantité élevée,2.6 g,en faible quantité,,,,-1%,-1%,-2%,+2%,-28%,-19%,+1%,,,,,,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,
