,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,generic_name,link,brand_owner,palm_ingredients
53,Préparation Cookie chocolat blanc et pralines roses,3604071105465,['France'],[],[],?,375,"2,6",80,"6,3",,1569 kj(375 kcal),"1,6",45,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Poivrons California wonder bicolore - 300g,8436568238302,['France'],[],[],?,?,?,?,?,,,,,,,,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Chunks chocolat - 180g,3543020120022,['France'],[],[],?,?,?,?,?,,,,,,,,180 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Cordon bleu de poulet - 1kg,3181780202772,['France'],[],[],?,?,?,?,?,,,,,,,,1 kg,D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",,,,,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,"['FR 22.321.008 CE', ""Saint-Nicolas-du-Pélem (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,
57,Milkybar Wowsomes - Nestlé,8593893760622,['France'],[],[],?,105,"6,4","8,6","2,7",['Nestlé'],439 kj(105 kcal),"3,3","7,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bifsteacks - Charal,0292472034700,['France'],[],[],?,113,"2,3",0,23,['Charal'],473 kj(113 kcal),"0,8",0,"0,17","0,068","['Viande-bovine-francaise', 'Viande-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Aïoli pesto - La délicieuse - 190g,4008164727265,['France'],"['Huile de colza*', 'eau', 'basilic ', '5,7%', '*', ""jaune d'ŒUF en poudre*"", 'sirop de riz""', 'vinaigre“', 'sel', ""granulat d'ail* "", '1%', 'poudre d\'ail""', 'persil""', 'acidifiant: acide lactique', 'poivre blanc', 'épaississant: gomme de guar*', 'antioxydant: extrait de romarin*', ' Peut contenir des traces de moutarde', ' ""ingrédients issus de l\'agriculture biologique']",['Non végétalien'],?,609,"65,2","3,3","1,7",['La délicieuse'],2548 kj(609 kcal),"5,8","2,1","2,05","0,82",['Bio'],190 g,,,,,,,,,,,,,,,,,,,"['E270 - Acide lactique', 'E412 - Gomme de guar', 'E392 - Extrait de romarin']",['Œufs'],4,,,,,,,,,,,,,,,,,,,,,,
60,Frutti di Mare - Escal - 450g,3261080844220,"['France', 'Allemagne']",[],[],?,51,"0,7","1,2",15,['Escal'],213 kj(51 kcal),"0,5",0,"0,85","0,34",,450 g,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Appareil à crème brûlée saveur vanille - Metro Chef,3439496602110,['France'],"['Lait entier', 'crème', 'sucre', 'sirop de glucose', ""jaune d'œuf"", 'amidon transformé de maïs', 'arôme', 'stabilisant : carraghénanes', 'colorants : riboflavines et rocou']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,191,12,17,"2,4","['Metro Chef', 'Metro']",799 kj(191 kcal),"8,6",12,"0,1","0,04",['Produits destinés aux professionnels'],,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour crèmes dessert']",,,-35%,+171%,-67%,-46%,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E101i - Riboflavine', 'E160b - Rocou']","['Œufs', 'Lait']",4,,,,,,,,,-39%,+317%,-65%,-61%,-61%,,,,,,,,,
62,Pancake Cranberry - Spar Enjoy - 90,2209075000993,"['Autriche', 'France']",[],[],?,311,14,40,"5,7",['Spar Enjoy'],1301 kj(311 kcal),"2,7",19,1,"0,4",,90,,['Pancakes'],['Spar'],,+2%,+52%,-3%,-38%,,,,,,,,,,,,,,14 g,en quantité modérée,2.7 g,en quantité modérée,19 g,en quantité élevée,1 g,en quantité modérée,+2%,+36%,+17%,-1%,-1%,12,+10%,D,+10%,,,,,
63,Gourmand nature,3414960100125,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
