,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,manufacturing,link,additives,nova_score,generic_name,markets,allergens,traceability_code,ingredients_origins,brand_owner,palm_ingredients
286,Laima - Gingerbread Biscuits,4750007848698,['France'],"['wheat flour', 'sugar', 'vegetable fat ', 'palm', 'shea', 'seasonings 1,7% ', 'coriander', 'allspice', 'black pepper 0,2%', 'ginger 0,2%', 'cloves', 'nutmeg', 'raising agents ', 'sodium hydrogen carbonate', 'ammonium hydrogen carbonate', 'emulsifier sunflower lecithin', ' May contain traces of nuts', 'sesame', 'eggs and milk', ' Keep dry ', '18+5', '° C', 'Imbieriniai sausainiai', ' Sudedamosios dalys: kvietiniai miltai', 'cukrus', 'augaliniai riebalai ', 'palmiu', 'sviestmedžio', 'prieskoniai 1,7% ', 'kalendra', 'kvepiantieji pipirai', 'juodieji pipirai 0,2%', 'imbieras 0,2%', 'gvazdikeliai', 'muskato riešutas', 'tešlos kildymo medžiagos ', 'natrio karbonatai', 'amonio karbonatai', 'emulsiklis saulégrażų lecitinas', ' Gali but riešuty', 'sezamų', 'kiaušinių ir pieno pedsakų', ' Piparkoogid', ' Koostisosad: nisujahu', 'suhkur', 'taimsed rasvad ', 'palm', 'shea', 'kuivained 1,7% ', 'koriander', 'aromaatne pipar', 'must pipar 0,2%', 'ingver ,2%', 'nelk', 'muskaatpähkli', 'kergitusained ', 'naatriumvesinikkarbonaat', 'ammooniumvesinikkarbonaat', 'emulgaator päevalille letsitiin', ' Võib sisaldada pähklit', 'seesam', 'muna ja piima lisandeid']",['Huile de palme'],?,428,1791 kj(428 kcal),14,"5,6",68,25,"7,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Laima'],,,,"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine']",,,,['Gluten'],,,,
287,Pastry biscuits,4750007848902,['France'],[],[],?,404,1690 kj(404 kcal),16,"1,3",56,"9,9","9,1","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,4750007898228,4750007898228,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Rïgas maisyums - karameles - Laima - Boite 200g,4750011849582,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boite 200 g,,['Laima'],,,,,,,,,,,,
290,Brisling Sardines in Oil - Puresea - 106g,4750017001786,['France'],"['Sprats de la mer Baltique traités à la chaleur ', ' Sprattus sprattus balticus', 'huile de tournesol', 'sel']",[],?,328,1372 kj(328 kcal),"29,6","4,1",0,0,"15,3","0,82","0,328",B,"['Conserves', 'Produits de la mer', 'Poissons', 'Plats préparés', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Plats préparés au poisson', ""Sardines à l'huile"", 'Sprat', ""Sardines à l'huile de tournesol""]",29.6 g,en quantité élevée,4.1 g,en quantité modérée,0 g,en faible quantité,0.82 g,en quantité modérée,,+50%,+51%,+113%,+25%,-100%,-100%,-29%,-10%,-10%,11,+198%,D,+198%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,106 g,"['boîte', 'métal']",['Puresea'],['Kascher'],['Lettonie'],,,3,Sprats à l'huile de tournesol,,['Sprats'],,"['FAO N°27', 'Mer Baltique']",,
291,Penne - Dobele,4750020052690,['France'],[],[],?,360,1506 kj(360 kcal),?,"0,2",?,4,"13,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dobele'],,,,,,,,,,,,
292,Makaronikaste,4750022505118,['France'],[],[],?,95,397 kj(95 kcal),3,2,"13,6",9,"3,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Sēnes krējuma mērcē - Ádazu,4750024101448,['France'],"['potatoes ', '61%', 'palm oil', 'spices: saut', 'mattodextrine', 'flavouring ', 'mushrooms and cream', 'taste enhancers ', 'monosodium glutamate', 'disodium guanylate', 'disodium inosinate', 'flour ', 'rice', 'vegetable fat ', 'palm', ' ', 'contains lactose from milk', 'glucose syrup', 'anticaking agent ', 'silicium dioxide', 'colour ', 'curcumin', ' Made in Latvia']",[],?,542,2268 kj(542 kcal),32,13,55,"0,3","6,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ádazu'],,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E100 - Curcumine']",4,,,,,,,
294,Multiauglu mix,4750042300557,['France'],[],[],?,44,184 kj(44 kcal),"0,1","0,1",11,11,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Izlases Gaišais Eils (5.2%) - Aldaris - 50cl,4750049001334,['France'],"[""Contient de l'orge""]",[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières lettonnes']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,50 cl,"['Bouteille', 'Verre']",['Aldaris'],"['Déconseillé aux femmes enceintes', 'Fabriqué en Lettonie']","['Tvaika iela 44', 'Ziemeļu rajons', 'Rīga', 'LV-1005', 'Lettonie']",https://aldaris.lv/products/aldaris-izlases/aldaris-izlases-gaisais-eils/,,,,['Noz'],['Gluten'],,,,
296,Izlases - Aldaris,4750049001570,['France'],"['399808 6 437 455 li Il I Il I II III ', ""0,45 Eur EUR/ Contient de I 'eau"", 'malt de blé', ""du malt d'orge"", 'sirop de -S glucose', 'houblon', 'malt caramel', 'levures', 'aromes naturelles']",[],?,30,126 kj(30 kcal),0,0,"6,3","2,3",0,0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,2.3 g,en faible quantité,0 g,en faible quantité,,-46%,-48%,-100%,-100%,-44%,-76%,-100%,-100%,-100%,7,-9%,D,-9%,,,,,,,,,,['Aldaris'],,,,,1,,,['Gluten'],,,,
297,Herkuless,4750121172037,['France'],[],[],?,368,1540 kj(368 kcal),7,1,58,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,chips - 75g,4750127300625,['France'],[],[],?,532,2226 kj(532 kcal),29,3,60,"1,1","6,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 g,,,,,,,,,,,,,,
299,Wasabi Long Chipsy - Longchips - 75g,4750127300700,['France'],"['flocons de pommes fécule de pomme de terre', 'mélange dtépi&s au wasabi [maltodextrinetarôme ', 'Wasabi', 'Jn0tjdrêvéqétaïe', 'goût ', 'glutamate sel', 'antiAdant ', 'extrait de Peutcontefllr des traces deÌaftet de moutardeA t conserver dans un endroit frais etsecv Chips metwasabi smaak', ' koolzaadolie', 'tarwe maaltijd', 'aardappelzetmeel', 'wasabi kruidenmix ', 'maitodext', 'ine', 'aroma ', 'wasabi', 'r plantaardige zout', 'smaakversterker ', 'glutamaat natrium', 'l', 'zout', 'antioxidant ', 'extract rozema', 'ijn', ' Kan sporen van melk en mosted bevatten', ' Bewaar op een koele', 'droge plaats Uzturyërtiba/ Nutritional values [Valeursnutriti nelles/Voedingswaarden/ NihrwertdekiarationIValorinutri ionalePâ41SJlL', 'JI vërtïba / Energy / Énergie / Energie / Energie-/']",[],?,532,2226 kj(532 kcal),29,3,61,"0,9","7,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 g,,['Longchips'],,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,,,,,
300,Wasabi Long Chipsy - Longchips - 75g,4750127300700,['France'],"['flocons de pommes fécule de pomme de terre', 'mélange dtépi&s au wasabi [maltodextrinetarôme ', 'Wasabi', 'Jn0tjdrêvéqétaïe', 'goût ', 'glutamate sel', 'antiAdant ', 'extrait de Peutcontefllr des traces deÌaftet de moutardeA t conserver dans un endroit frais etsecv Chips metwasabi smaak', ' koolzaadolie', 'tarwe maaltijd', 'aardappelzetmeel', 'wasabi kruidenmix ', 'maitodext', 'ine', 'aroma ', 'wasabi', 'r plantaardige zout', 'smaakversterker ', 'glutamaat natrium', 'l', 'zout', 'antioxidant ', 'extract rozema', 'ijn', ' Kan sporen van melk en mosted bevatten', ' Bewaar op een koele', 'droge plaats Uzturyërtiba/ Nutritional values [Valeursnutriti nelles/Voedingswaarden/ NihrwertdekiarationIValorinutri ionalePâ41SJlL', 'JI vërtïba / Energy / Énergie / Energie / Energie-/']",[],?,532,2226 kj(532 kcal),29,3,61,"0,9","7,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 g,,['Longchips'],,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,,,,,,,
301,"Long chips ""sea salt vinegar""",4750127300717,['France'],[],[],?,522,2184 kj(522 kcal),29,3,60,"0,9","6,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Long chips cheese & spring onion - 75g,4750127300731,['France'],"[""Chips au g09t de fromage et d'oignons' maltodextrine"", 'lactose', 'exhausteur de goûi ', 'glutamate monosodique', ""5'-ribonucléotide disodique"", '01anon', 'sucre', 'poudre de lactosérum', 'extrait de levure', ""correcteur d'acidité "", 'acide lactique', 'acide citrique', 'ciboulette', 'moutardAersil', 'arôme ', 'lait', 'fromage', '] sel antioxydant ', 'extrait de romarin']",['Non végétalien'],?,536,2243 kj(536 kcal),"29,4",3,61,"1,3","7,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 g,,['Long Chips'],,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E270 - Acide lactique', 'E330 - Acide citrique', 'E392 - Extrait de romarin']",4,,,['Lait'],,,,
303,Valdo,4750133001028,['France'],[],[],?,346,1448 kj(346 kcal),"3,3","0,6","63,4","0,7","12,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Rice Valdo Basmati 1KG 1 / 16 - 1kg,4750133073100,['France'],['BASMATI RICE'],[],?,344,1439 kj(344 kcal),"0,5","0,1","77,1","0,4",7,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,['Valdo'],,,,,,,,,,,,
305,Sprats de la baltique fumés - Sprotes - 160grammes,4750571001352,['France'],[],[],?,?,,?,,?,,?,,,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Sprats fumés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 grammes,,['Sprotes'],,,,,,Sprats fumés,,,,,,
306,400g,4751004792137,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,
307,Calamars séchés - 20g,4751013350014,['France'],[],[],?,293,1226 kj(293 kcal),"0,6",0,"1,88","0,5",53,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 g,,,,,,,,,,,,,,
308,BLACKCURRANT COOKIES,4751018890126,['France'],[],[],?,535,2238 kj(535 kcal),"31,32","17,78","49,67","2,34","8,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Onion crispbread,4751018890188,['France'],[],[],?,296,1238 kj(296 kcal),"23,2",2,"16,4","3,2","9,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Tomato chips,4751018890638,['France'],[],[],?,320,1339 kj(320 kcal),"6,8","1,4","39,8","1,5","16,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Apple cookies,4751018890744,['France'],[],[],?,175,732 kj(175 kcal),"6,4","0,3","26,6","18,15","2,15","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
312,Biscruits aux flocons d'avoine et myrtilles - The beginnings,4751018890904,['France'],"[""flocons d'avoine germés sans gluten* 32%"", 'noix de coco rapée*', ""sirop d'agave* "", 'myrtilles séchées 13%*', 'beurre de cacao cru* ', 'eau', "" * issus de l'agriculture biologique"", ' Note allergènes: peut contenir des traces de fruits à coque', 'noix', 'sésame', 'arachide', 'céleri', 'moutarde', ' Peut contenir des morceaux de coquille']",[],?,499,2088 kj(499 kcal),"32,4","23,49",42,"15,1","6,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The beginnings'],"['Bio', 'Bio européen', 'en:gluten-free', 'LV-BIO-02']",,,,,,,['Fruits à coque'],,,,
313,Biscuits au coco et gingembre - The beginnings,4751018890911,['France'],"[""noix de coco r àpd:e noix d'Indo?"", 'dattes?', ' raisins secs ? ', 'racine de gingembre 2%?', "" cosses de vanille'"", ""sel marin ? ? issus de l'agriculture biologique"", "" Note allergènes: noix d'Inde"", ' Peut contenir des traces de fruits à coque', 'noix', 'sésame', ' arachide', ' céleri', 'moutarde', ' Peut contenir des morceaux de coquille']",[],?,534,2234 kj(534 kcal),"34,1","2,13","42,7",26,"8,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The beginnings'],"['Bio', 'Bio européen', 'LV-BIO-02']",,,,,,,,,,,
314,Banana Rolls,4751018890942,['France'],[],"['Végétalien', 'Végétarien']",?,545,2280 kj(545 kcal),"40,1","16,97","36,7","17,2","8,1","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
315,Quinoa seed muesli,4751018891079,['France'],[],[],?,270,1130 kj(270 kcal),3,"0,7","56,2","16,8","7,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
316,The Beginnings Kakao-inkabeeren Granola Merken,4751018891086,['France'],"['buckwheat 40%', 'water', 'dried dates 16%', 'inca berries 11%', 'cocoa powder 8%', 'raisins', 'crumbled cocoa beans 3%']","['Végétalien', 'Végétarien']",?,277,1159 kj(277 kcal),"4,4","2,07","50,8","18,2","7,02","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['The beginnings'],"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,
317,Goji berry muesli,4751018891093,['France'],[],[],?,427,1787 kj(427 kcal),"22,9","2,3","44,5","16,5","11,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
318,Barre proteine ananas,4751018891499,['France'],[],[],?,399,1669 kj(399 kcal),"21,4","2,7","30,9",22,"4,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Speks - Milzu!,4751022360042,['France'],"['Farine ', 'seigle à grains entiers 56%', ""flaucon d'avoine 16%"", ' Sirop de sucre', 'Sucre', 'Cacao pauvre en graisse 4%', 'Cacao en poudre 2%', 'Sel de mer']",[],?,349,1460 kj(349 kcal),"2,9","0,7","72,4",17,"8,3","0,5","0,2",C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",2.9 g,en faible quantité,0.7 g,en faible quantité,17 g,en quantité élevée,0.5 g,en quantité modérée,,-13%,-13%,-67%,-68%,+9%,+2%,-11%,+40%,+40%,4,-26%,C,-26%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,['Milzu!'],,,,,3,,,,,,,
320,Sable - Poesia,4752050200508,['France'],"['KIUDAINEALLIKAS', ' Koostisosad: nisujahu', 'palmiôli', 'suhkur', 'üisteranisu•ahu 13%', 'glukoosi-fruktoosisiirup', 'kergitugined ', 'E500', '830', 'E503', 'sooL Vôlb sigldada seesami ja plgi', ' paim aine ôppu: vaata Peale avamist tûda ôhukhdlas RIMI 56333', ' mitüem', ' S51ELtJAV0fS Sasüvda!as: kviesu palm durs', 'kviéu 1304 glikœfruktozes ', ""Efl,'E330"", '603', 'sezama un piena fidz ""âm: skatit uzgojum Glabàt sausà', 'no gules stariem pagrqàtâ Péc Épakojuma uzqlabàt slégtà Ùaukà', ' su güo kvieürgais mus QAIDŒNIV SAITINtf LaMjà 800 180', ' Sudedamoios dalys: mllui', 'cufrus Pilno grüdo kvimai rntlai 13%', 'tdo RIMI IJAB„Nmi Lietuva ', 'Kedry LT-03116 Vdnius Lktl', '5 029 n', ' c genH03epwB0/ nueHMHH0i MYKOi', ' MCTOQH RIML -201']",[],?,495,2071 kj(495 kcal),"22,2","10,8","65,4","19,3","6,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Poesia'],,,,"['E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium"", 'E330 - Acide citrique']",,,,,,,,
321,Moutarde douce au epices  un monde de saveurs,4755355169464,['France'],[],[],?,114,477 kj(114 kcal),"7,1","0,5",2,"1,5","5,3","4,5","1,8",B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",7.1 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en faible quantité,4.5 g,en quantité élevée,,-33%,-33%,-34%,-39%,-71%,-61%,-19%,-4%,-4%,11,-5%,D,-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,
322,Champignons de Paris miniatures -,4759615010008,['France'],"['Champignons de Paris 1er choix entiers surgeles \rChampignons de Paris ', 'Agaricus bisporus']",[],?,18,75 kj(18 kcal),"0,5","0,1","0,5","0,5","1,7","0,03","0,012",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Champignons et produits dérivés', 'Champignons', 'Champignons surgelés', 'Champignons de Paris surgelés']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.03 g,en faible quantité,,-14%,-11%,+22%,+7%,-56%,+71%,-11%,-54%,-54%,-6,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,1,,,,,,,
323,Cognac XO - Tovuz - 70cl,4760011000074,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Cognac']",,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,70 cl,,['Tovuz'],,,,,,,,,,,,
324,4766670197070,4766670197070,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Brioche Tranchée - Harrys - 500g,47660847,['France'],[],[],?,361,1510 kj(361 kcal),"13,1","5,3","52,3",14,"7,7","1,03","0,412",C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",13.1 g,en quantité modérée,5.3 g,en quantité élevée,14 g,en quantité élevée,1.03 g,en quantité modérée,,+3%,+2%,+7%,-12%,+1%,+5%,-4%,+3%,+3%,16,+7%,D,+7%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,500 g,"['Sachet', 'Plastique']",['Harrys'],,,,,,,,,,,,
326,4770047233704,4770047233704,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Ananas déshydraté - Calvo,4770082304025,['France'],[],[],?,360,1506 kj(360 kcal),0,0,86,80,0,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Calvo'],,,,,,,,,,,,
328,Грузди,4770103202330,['France'],[],[],?,159,665 kj(159 kcal),"0,5","0,1","6,5","1,8","1,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,"Chocolate With Nuts And Fruits, - Chocolat Amandes Noisettes Raisins Lituanien",4770123194998,['France'],"['BKBV09 poigloeroic poincinceetes', '$ kvepio', 'i med±iega 14% ', 'razinos', 'seubgrgty cukruot', ' er', 'engsai 11$4% ', 'anenesei cukrus 47 ACA tog{tingumq reguhuojanti med}ltgg korservgntes 7% med2iggq ne k3P bûti kitq seusoje vetqe 18±3eC', 'Sokoledes gel pabalti', 'jei paioid2iomog Vaikymo sqygog', 'eau jr meÌst', 'nés sevybès gefiojimo leikoteroiu nesikeiòie', ' Seugoti nuo tiesiogniu seubs LV/SOKOLADEAR RIEKSTIEM UN AUGIIEM SestAvde{es Soko}Ade ', 'cukurSi kekeo mesah kekao sviests', 'ornulgatori ', 'sqas bcit!nss poFrTcinoéAtsJ> venifins', ' rozÏnes 14% ', 'rozïnes', 'saubspubu elle', 'iecukurot3 ananà3\\ 01 4% ', 'ana 51%L cukut$', ' A79%y skabuma regulëtAjs citron skâbe', ""konservants sera 10 7% Kakec 'sgturs SokolAdê - vismaz 50% Ver saturét neteb daudzumu c\\tus Uzglebêt 1E30c pekëpti uzg}abêéenes nosecÏjum"", ' uz Sokolade ver veidoties batts apikums']",[],?,500,2092 kj(500 kcal),"31,3","12,2","47,4","39,5","7,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chocolat Amandes Noisettes Raisins Lituanien'],,,,,,,,,,,,
330,Kaledinis pyragas,4770140196333,['France'],[],[],?,375,1569 kj(375 kcal),"6,9","1,9","69,1","30,1","8,5","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Kramsi Vanille - Oho! - 175g,4770149208112,['France'],"['Fourrage saveur vanille 40% : sucre', 'huile de colza', 'protéine de lait en poudre', 'lactosérum en poudre ', 'lait', 'huiles végétales ', 'palme', 'karité', 'lécithine de colza', 'arôme ', 'vanilline', 'farine de blé', 'sucre', 'blé complet', 'farine de riz', 'cacao maigre en poudre', 'sel']","['Huile de palme', 'Non végétalien']",?,434,1816 kj(434 kcal),"12,7","1,7","71,6","38,6","5,8","0,15","0,06",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales fourrées']",12.7 g,en quantité modérée,1.7 g,en quantité modérée,38.6 g,en quantité élevée,0.15 g,en faible quantité,,-0%,-1%,-8%,-55%,+5%,+35%,-23%,-77%,-77%,9,-31%,C,-31%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,175 g,"['Sachet', 'Plastique']",['Oho!'],"[""Fabriqué dans l'UE""]",,,['E322i - Lécithine'],4,Coussins de céréales fourrées d'une crème à base de lait et huiles végétales arômatisée à la vanilline,,"['Gluten', 'Lait']",,,,['Huile de palme']
332,Cocoa Crunch - Fun Zaurus,4770149210078,['France'],"['farine de blé ', 'contient du gluten', ' 6100', 'sucre', ""sirop de glucose-fruct0f' poudre deRacao 3,200"", 'matières 2/ I Co', 'extrait de malt ', 'conttent du gluten', 'sucre caramélisé', 'sel', 'emulsifiant ', 'lecithine de colza', 'melanqe de vitamiries ', 'acetate de DL<lpha-toc0Dheryle', 'L -ascorbique', 'mononitrate de thiamine', 'riboflavine', 'nicotinamide', 'chlorhydrate de pyridoxine', 'acide ptéroylmonoglutamique', 'cyanocobalamine', 'Q-biotine', 'calcium:D- pour les allergènes', 'voir les ingrédients en gras', ' Peut contenir des traces delait', ' Ce pack contient env', ' 7 portions', ' Conserver dans un endroit sel et frais', ""à l'abri de""]",[],?,395,1653 kj(395 kcal),"4,9",1,76,27,"9,5","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fun Zaurus'],,,,['E322i - Lécithine'],4,,,['Gluten'],,,,
333,Cocoa balls,4770149210092,['France'],[],[],?,115,481 kj(115 kcal),"0,9","0,2",24,"7,2","2,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Honey Rongs - Funzaurus,4770149210108,['France'],[],[],?,387,1619 kj(387 kcal),"3,9","0,6",77,26,"7,8","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Funzaurus'],,,,,,,,,,,,
335,"Dione Van. Ice Cream In a Waffle With Milk CH. GL. And Hazelnuts,150ml",4770175049291,['France'],[],[],?,304,1272 kj(304 kcal),"19,1","13,9","28,8",19,"4,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dione'],,,,,,,,,,,,
336,WINTER GINGER & SPICES,4770179107997,['France'],[],[],?,548,2293 kj(548 kcal),35,23,50,45,"5,3","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Mini Gyoza au Poulet - Vici - 400g e,4770190079372,['France'],"['Viande de poulet 35 %', 'farine de blé ', 'contient gluten', 'eau', ""blanc d'œuf"", 'oignons', 'carottes', 'sel', 'gluten', 'huile de colza', 'épices', 'ail semoule', 'piment de la Jamaïque moulu']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,174,728 kj(174 kcal),"4,2","0,7","21,6","0,2","11,5","1,2","0,48",E,"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Pates farcies à la viande', 'Plats à la volaille', 'Ravioli', 'Plats préparés surgelés', 'Ravioli à la viande', 'Ravioli surgelés', 'Ravioli japonais', 'Ravioli à la volaille']",4.2 g,en quantité modérée,0.7 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en quantité modérée,,+49%,+46%,+22%,-26%,+29%,-92%,+116%,+23%,+23%,2,-12%,B,-12%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,400 g e,"['surgelé', 'Sachet', 'Plastique']",['Vici'],,,,,4,Mini Gyoza au Poulet,,"['Œufs', 'Gluten']",,,,
338,Hummerschwanze - Vici,4770190081511,['France'],[],[],?,112,469 kj(112 kcal),"1,9","0,2","15,14","3,6",9,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Vici'],"['Pêche durable', 'Pêche durable MSC']",,,,,,,,['MSC-C-53520'],,,
