,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,brand,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,markets,additives,nova_score,allergens,generic_name,ingredients_origins,brand_owner,manufacturing,link
55,Alpine Milk Chocolat - Milka - 200g,7622210582218,"['Autriche', 'France']",[],[],?,530,2218 kj(530 kcal),"29,5","17,5",59,58,"6,2","0,43","0,172",200 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,-4%,-14%,+14%,-14%,E,['Milka'],+85%,+85%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,29.5 g,en quantité élevée,17.5 g,en quantité élevée,58 g,en quantité élevée,0.43 g,en quantité modérée,-4%,-11%,+18%,26,+2%,E,+2%,,,,,,,,,,
56,Mork palægs-chokolade - Coop - 120g,7340011402749,"['Danemark', 'France']","['Økologisk kakaomasse', 'økologisk rørsukker', 'økologisk kakaosmør', 'emulgator ', 'E 322 af soja', ' Kan indeholde spor af mælk', ' Mindst 72% kakaotørstof']",[],?,535,2238 kj(535 kcal),41,25,31,27,"8,1","0,03","0,012",120 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,-4%,+4%,-20%,+6%,D,['Coop'],-36%,-36%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,"['Bio', 'Bio européen', 'DK-ØKO-100']",41 g,en quantité élevée,25 g,en quantité élevée,27 g,en quantité élevée,0.03 g,en faible quantité,-4%,+8%,-15%,21,-1%,E,-1%,,,['E322 - Lécithines'],4,,,,,,
57,Brioche Tressée Bio,38000416,['France'],[],[],?,348,1456 kj(348 kcal),12,"2,4",52,"9,8",7,"1,1","0,44",,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",,-3%,-6%,+1%,-13%,C,,+10%,+10%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,['Bio'],12 g,en quantité modérée,2.4 g,en quantité modérée,9.8 g,en quantité modérée,1.1 g,en quantité modérée,-2%,-62%,-32%,12,-25%,D,-25%,,,,,,,,,,
58,Crème fraîche oldenburger,4036300066749,"['Chine', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,['Oldenburger'],,,,,,,,,,,,,,,,,,,,,,,,,,,['Frais'],,,,,,,,,
59,Pain norvegien,0207710010828,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Myrtille Bio - Moulin des moines,3347438021311,['France'],[],[],?,35,146 kj(35 kcal),0,0,"8,7","5,2","0,1","0,007","0,003",,,,,,,,,['Moulin des moines'],,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,
61,Château La Roberterie,3295890194992,['France'],[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Biscuits fins pour beurre - Delaunay Léveillé,0654479233034,['France'],[],[],?,514,2151 kj(514 kcal),26,17,65,31,"5,3","0,8","0,32",,,,,,,,,['Delaunay Léveillé'],,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,
63,Crudité selection,06867548,['France'],[],[],?,21,88 kj(21 kcal),"0,3","0,1","3,1","2,9","0,6","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Pain au raisins,0213915017388,['France'],[],[],?,322,1347 kj(322 kcal),12,"7,7",48,20,"6,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
