,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,labels,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,quantity,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,link,allergens,nova_score,markets,generic_name,packaging,additives,brand_owner,palm_ingredients
66,Busiate trapanesi,8033993110014,,['France'],[],[],,,,,,,?,,360,,1506 kj(360 kcal),,"1,8",,"0,2",,"72,5",,3,,"12,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Thon Albacore à l'huile d'olive et aux tomates séchées,8410972200124,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",['France'],[],[],29 g,en quantité élevée,6.2 g,en quantité élevée,5.1 g,en quantité modérée,?,,372,+47%,1556 kj(372 kcal),+48%,29,+67%,"6,2",+105%,7,+2667%,"5,1",+4757%,19,-20%,E,,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,"1,2","0,48",,1.2 g,en quantité modérée,+23%,+23%,16,+197%,D,+197%,,,,,,,,,,,
68,Orange&Caramel Fève de Tonka,3660806505955,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Parmigiano reggiano,0203066046313,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['France'],[],[],28 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,?,,392,-2%,1640 kj(392 kcal),-2%,28,-6%,21,+6%,0,-100%,0,,33,+2%,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"1,6","0,64",,1.6 g,en quantité élevée,0%,0%,16,-4%,D,-4%,,,,,,,,,,,
70,Orégãos em pasta,4068300544040,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Araignée de porc à la landaise,0261527038185,,['France'],[],[],,,,,,,?,,281,,1176 kj(281 kcal),,"24,2",,"8,1",,"1,1",,"0,6",,"14,8",,,,,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,
72,Carotte rapée - Ma salade du potager - 230g,3760054095731,"['Plats préparés', 'Légumes préparés', 'Carottes râpées']",['France'],[],[],6 g,en quantité modérée,0.5 g,en faible quantité,6.1 g,en quantité modérée,?,,89,+16%,372 kj(89 kcal),+17%,6,+29%,"0,5",+23%,"6,9",+15%,"6,1",+24%,"0,8",-9%,A,['Sans additifs'],"['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,['Ma salade du potager'],"0,4","0,16",230 g,0.4 g,en quantité modérée,-35%,-35%,3,+450%,C,+450%,,,,,,,Variété Nantaise,"['Frais', 'Barquette']",,,
73,Confit de vin,3469674501102,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Comté fruité,2404966031036,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,?,,410,-2%,1715 kj(410 kcal),-2%,34,-2%,22,-3%,"0,5",+8%,"0,5",+87%,26,-3%,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"0,8","0,32",,0.8 g,en quantité modérée,-5%,-5%,13,0%,D,0%,,,,,,,,,,,
75,Macarons provencaux,3770015089297,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
