,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
1242,Rosé de Loire,3760155110081,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1243,Viande de grisons,2111142011101,,,,"['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine', 'Viandes séchées', 'Viande des grisons']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Cookies vegan figue et noix,3760074410644,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,"['EMB 22278K', ""Saint-Brieuc (Côtes-d'Armor, France)""]",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,498,,2084 kj(498 kcal),,22,,"2,2",,53,,35,,9,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,
1245,Panier de Yoplait 0% avec morceaux de fruits - 4x 125g,3291330006788,4 x 125 g,,['Yoplait'],,,,,,['France'],[],[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,1",,0,,12,,12,,"4,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1246,"Caffo Liquorice Lakritzlikör 0, 5 l",8004499500593,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1247,Joya 2018,3233960067432,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1248,5453000833034,5453000833034,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Amédée Excellence Luberon Rosé,3256811113973,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
1250,Kéfir citron - Maritsa,5200348900047,,,['Maritsa'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées']",,,,,['France'],"['Lait entier', 'jus de citron', 'arôme naturel de citron', 'stévia avec inuline', 'cultures de Kefir']",[],,3.4 g,en quantité modérée,2.3 g,en quantité modérée,3 g,en quantité modérée,0.2 g,en quantité modérée,?,,61,-10%,255 kj(61 kcal),-12%,"3,4",+110%,"2,3",+131%,"4,5",-56%,3,-69%,"3,1",+5%,"0,2",+85%,"0,08",+85%,13,-15%,E,-15%,,,,,,,,,,,,,,,,
1251,babybio,9218231510941,,['pot verre'],['Babybio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Compotes pour bébé']",['Bio'],,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,
