,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,packaging,ingredients_origins,generic_name,allergens,additives,nova_score,palm_ingredients,manufacturing,link,markets,producer_info
1612,Saumon traiteur,5414646029731,['France'],[],[],?,188,787 kj(188 kcal),10,"1,5","0,5","0,3",24,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Huile de tournesol - Biocoop,3760121216274,['France'],[],[],?,828,3464 kj(828 kcal),92,"9,2",0,0,0,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,92 g,en quantité élevée,9.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-5%,-5%,-5%,-13%,-100%,-100%,-100%,-100%,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,['Biocoop'],,,,,,,,,,,,
1614,Les broyés bio,3593551177682,['France'],[],[],?,548,2293 kj(548 kcal),27,17,68,29,"7,1","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Certosa formaggini alla crescenza,8000430240740,['France'],[],[],?,204,854 kj(204 kcal),16,11,4,"1,3",11,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Hokkaido Milk Castella,4573347089275,['France'],[],[],?,124,519 kj(124 kcal),"5,2","3,3","17,4","16,5","1,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Maxi pain au chocolat x2,3602826451584,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,Tarte citron meringuée,0202106045262,['France'],[],[],?,378,1582 kj(378 kcal),17,11,49,37,"5,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Cuisse de dinde - Cora - 731,2231096020070,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 61.096.020 CE', ""Chapelle-d'Andaine (Orne, France)""]",['Cora'],731,['Plastique'],,,,,,,,,,
1620,Suprême soufflé au brochet,3138140058289,['France'],[],[],?,211,883 kj(211 kcal),14,"1,8",14,"0,5","7,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Tartidou - Casino Bio,3222477640535,['France'],[],[],?,225,941 kj(225 kcal),21,15,"3,7","3,7","5,2","0,7","0,28",,,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore D', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino Bio'],,,,,,,,,,,,
1622,Pomodorino del piennolo del vesuvio d o p,8033891220822,['France'],[],[],?,32,134 kj(32 kcal),"0,03",0,"6,3",6,"1,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
