,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,producer_info,origin_detail,brand_owner
243,Thoionade fraiche - Au Bec Fin,3466090021009,D,,,,['Au Bec Fin'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve']",,,['France'],"['Huile de colza', 'thon 30% ', 'thon ', 'poisson', 'huile de tournesol', 'eau', 'sel', ""jaune d'œuf"", 'ail ', 'sulfites', 'moutarde ', 'sulfites', 'câpres', ""vinaigre d'alcol 8% d'acidité 1%"", ""piment d'Espelette 0"", '3%', 'jus de citron concentré', 'poivre blanc', 'conservateur: sorbate de potassium']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,?,,564,+186%,58,+423%,1,+57%,"9,5",-58%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,"['Œufs', 'Poisson', 'Moutarde', 'Anhydride sulfureux et sulfites']",2360 kj(564 kcal),"4,8","0,5","1,4","0,56",58 g,en quantité élevée,4.8 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,+192%,+170%,+39%,+35%,+35%,17,+474%,D,+474%,,,,,,,,
244,Semoule de millet etui 400g adicom - Par'mil - 400g,3476080104407,,,400 g,"['Carton', 'Boîte']","[""Par'mil""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-09']",,['France'],"[""Semoule de millet bio issu de l'agriculture biologique,""]",,[],,?,,388,+12%,4,+106%,73,+5%,11,+1%,,,,,,,,,1623 kj(388 kcal),"0,4","1,06","0,005","0,002",4 g,en quantité modérée,0.4 g,en faible quantité,1.06 g,en faible quantité,0.005 g,en faible quantité,+11%,+15%,-54%,-96%,-96%,-6,,A,,,['Magasins U'],,,,,,
245,Farine de sarrasin - Treblec,3483050001451,B,,,,['Treblec'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",,,['France'],"['Farine de sarrasin ', 'dit blé noir', ' Traces éventuelles de gluten']",,[],1,?,,338,-3%,"3,17",+15%,70,+4%,12,+3%,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,1414 kj(338 kcal),"0,7","2,6","0,025","0,01",3.17 g,en quantité modérée,0.7 g,en faible quantité,2.6 g,en faible quantité,0.025 g,en faible quantité,-4%,+32%,+93%,+59%,+59%,-6,,A,,,,,,,,,
246,Thé Noir Breakfast 20 x - Terra Etica - 20sachets,3483981001049,A,,20 sachets,"['Carton', 'Etui en carton']",['Terra Etica'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs', 'Boissons sans alcool', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen', 'Commerce équitable', 'ES-ECO-020-CV', 'Symbole des Producteurs Paysans']",,['France'],"['thé noir ', '100%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,['jardin gambola'],"['Carrefour', 'Biocoop']",,['Sri Lanka'],,,,
247,Pollen multifloral,3490090011043,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],[],,[],,?,,265,,5,,35,,20,,,,,,,,,,1109 kj(265 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
248,Ravioli au Bœuf Bio - 340 g - La Réserve de Champlat,3493833100387,C,Pâtes farcies issues de l'agriculture biologique. Ravioli au Bœuf Bio,340 g,"['Bocal', 'Verre', 'Conserve', 'Couvercle', 'Metal']",['La Réserve de Champlat'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes farcies', 'Plats au bœuf', 'Pates farcies à la viande', 'Ravioli', 'Plats préparés en conserve', 'Ravioli à la viande', 'Raviolis au bœuf', 'Ravioli en conserve']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs', 'Fabrication artisanale']",,['France'],"['Ravioli : Pâte ', '70%', ' : Semoule de blé dur*', 'eau', 'œufs*', ' Farce ', '30%', ' : bœuf* 17% origine France', 'couscous*', 'carottes*', 'oignons*', 'sel', 'huile de tournesol*', 'épices*', 'ail*', "" Sauce : Coulis de tomate de Provence à l'Ancienne*"", 'eau', 'oignons*', 'carottes*', 'sel de Guérande', ""huile d'olive vierge extra*"", 'herbes*', "" *Produit issu de l'agriculture biologique""]",,['Non végétalien'],3,269,-28%,269,+196%,1,-60%,"9,6",-23%,"3,8",+2%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,"['Œufs', 'Gluten', 'Couscous']",269 kj(269 kcal),"0,3","1,8","0,5","0,2",1 g,en faible quantité,0.3 g,en faible quantité,1.8 g,en faible quantité,0.5 g,en quantité modérée,-29%,-66%,-24%,-42%,-42%,0,-100%,B,-100%,"['Champlat Sarl', 'Saint-Quentin-la-Poterie', 'Gard', 'Languedoc-Roussillon', 'France']","['Biocoop', 'Biocoop Caluire']",,"['France', 'Viande de Boeuf origine France']","['FR 30.295.002 CE', 'Saint-Quentin-la-Poterie (Gard, France)', 'FR 30.331.001 CE', 'Tresques (Gard, France)']",,,
249,Chips artisanales aux crevettes légères et croustillantes - Le Vieux Bistrot - 100g,3502799023156,C,,100 g,,['Le Vieux Bistrot'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de manioc', 'Chips de manioc à la crevette']",,,['France'],"['aients • e de Maniocz huile de tournesol', 'ciTMettes 5%', 'épices', 'sel', 'sucre', ' consommer']",,[],,?,,517,+3%,"27,4",+8%,67,+4%,"0,6",-64%,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,,2163 kj(517 kcal),"2,3","10,8",2,"0,8",27.4 g,en quantité élevée,2.3 g,en quantité modérée,10.8 g,en quantité modérée,2 g,en quantité élevée,+3%,-2%,+40%,+1%,+1%,18,+9%,D,+9%,,,,,,,,
250,Multifruits BIO - Granini,3503780008497,,,,,['Granini'],,['Bio'],,['France'],[],,[],,?,,40,,"0,5",,9,,5,,,,,,,,,,167 kj(40 kcal),0,"8,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,
251,Pur jus de Raisin du Lot-et-Garonne Bio Equitable - Vallée Verte - 1l,3505040240159,B,,1 l,"['Bouteille verre 1L', 'capsule métal « twist off » avec bouchon de sécurité', 'Capsule en métal', 'Bouteille', 'bouteille verre', 'capsule en métal']",['Vallée Verte'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin', 'Jus de fruits pur jus']","['Bio', 'Bio européen', 'Commerce équitable', 'Fair for Life', 'AB Agriculture Biologique']",,['France'],"[""Jus de raisin issu de l'agriculture biologique et issu ducommerce équitable contrôlé selon de référentiel Fair ForLife""]",,[],,290,+2%,68,+1%,0,-100%,16,-2%,"0,5",+65%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,290 kj(68 kcal),0,16,0,0,0 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,+3%,-100%,+1%,-100%,-100%,10,+3%,E,+3%,"['Chemin de cazeaux', '47200 Marmande']",,,['France'],,LES JUS DU SOLEIL,Lot-et-Garonne,LES JUS DU SOLEIL
252,Spécialité de saucisson séché - Rostain - 180g,3507170901856,B,Saucisson,180 g,['Plastique'],['Rostain'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-12', 'Sans additifs', 'Clean Label', 'Clean-label']",,['France'],"['*VIANDE DE PORC ', '96% - ORIGINE FRANCE', 'SEL DE MER', '*DEXTROSE DE MAYS', '*SUCRE DE CANNE', '*POIVRE', '#ROMARIN', '*POUDRE DE BETTERAVE ROUGE', ""*EXTRAIT D'ACÉROLA"", '*MUSCADE', '*GINGEMBRE', '#FENOUIL', '*GIROFLE', '*LAURIER,*BASILIC', '*ORIGAN', 'FERMENT', 'BOYAU NATUREL DE PORC', 'VALEURS']",,"['Non végétalien', 'Non végétarien']",3,?,,466,+16%,40,+27%,1,-55%,26,-6%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,1950 kj(466 kcal),17,"0,5",4,"1,6",40 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,4 g,en quantité élevée,+15%,+38%,-64%,-14%,-14%,25,+4%,E,+4%,['France'],['Biocoop'],,['France'],"['FR 05.092.001 CE', 'Neffes (Hautes-Alpes, France)']",,,
253,Autrement - Gérard Bertrand - BIB 3l,3514120210104,C,,BIB 3 l,['Carton'],['Gérard Bertrand'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins rosés', ""IGP PAYS D'OC""]","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",https://www.gerard-bertrand.com/,['France'],['Grenache'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,?,,?,,?,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,['Anhydride sulfureux et sulfites'],,,,,,,,,,,,,,,,,,,,,,,['France'],"['AUCHAN SUPERMARCHE', 'AUCHAN', 'FRANPRIX', 'CASINO', 'CARREFOUR', 'INTERMARCHE']",,,,Gérard Bertrand,France,Gérard Bertrand
254,Bio Nutrisanté Verveine Relaxation - 28g,3515451061557,,,28 g,,['Nutrisante'],['Boissons'],"['Bio', 'Fabriqué en France']",,['France'],[],,[],,?,,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,0 kj(0 kcal),0,0,0,0,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,
255,Champgne - Veuve Delattre - 75cl,3516910019409,C,,75 cl,"['Bouteille', 'Verre', 'Bouchon', 'Liège', 'Muselet', 'Métal']",['Veuve Delattre'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins effervescents', 'Champagnes', 'Champagnes français']","['Point Vert', 'Déconseillé aux femmes enceintes']",,['France'],['Contient des sulfites'],,[],3,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Anhydride sulfureux et sulfites'],,0,0,,,,,,,,,,,,,-100%,,,,,,,['France'],,,['France'],,,,
256,SUCRE DE CANNE ROUX - Philia - 750g,3520831330871,A,,750g,"['Sachet', 'papier']",['Philia'],"['Édulcorants', 'Sucres', 'Sucres de canne']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],['100% sucre de canne roux'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,?,,0,-100%,0,-100%,100,+2%,0,-100%,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,0 kj(0 kcal),0,100,0,0,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,0 g,en faible quantité,-100%,,+3%,-100%,-100%,10,-30%,C,-30%,,,,,,,,
257,CREME UHT 30% - Grand Fermage - 20cl,3523230019538,B,,20 cl,,['Grand Fermage'],"['Produits laitiers', 'Crèmes']",,,['France'],"['Crème de lait ', 'origine : France', 'protéines de lait', 'stabilisant : E407 ', 'carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,,293,+11%,30,+17%,"3,4",-24%,"2,4",-2%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Lait'],1226 kj(293 kcal),21,3,"0,07","0,028",30 g,en quantité élevée,21 g,en quantité élevée,3 g,en faible quantité,0.07 g,en faible quantité,+14%,+23%,-21%,-26%,-26%,13,+6%,D,+6%,,['Magasins U'],,,['FSC-C111449'],,,
258,Tartelette citron meringuee,3523680246317,C,,,,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes au citron', 'Biscuit sec nappé aux fruits', 'Tartes au citron meringuées']",,,['France'],[],,[],,?,,344,-1%,13,-12%,51,+8%,6,+18%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,1439 kj(344 kcal),"8,2",35,"0,1","0,04",13 g,en quantité modérée,8.2 g,en quantité élevée,35 g,en quantité élevée,0.1 g,en faible quantité,-1%,-9%,+4%,-53%,-53%,19,-1%,E,-1%,,,,,,,,
259,"Gotxoki, Piperade basquaise, le bocal de",3524670306042,,,,,['Gotxoki'],"['Plats préparés', 'Légumes préparés']",,,['France'],"['tomates', 'poivrons,oignons,huile', 'sucre', 'sel', 'ail', 'acide citrique']",['E330 - Acide citrique'],"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",3,?,,74,-18%,"4,2",-8%,"7,7",+12%,"1,5",-27%,,,,,,,,,310 kj(74 kcal),"0,5","7,6","0,3","0,12",4.2 g,en quantité modérée,0.5 g,en faible quantité,7.6 g,en quantité modérée,0.3 g,en quantité modérée,-16%,-30%,+141%,-59%,-59%,0,-100%,B,-100%,,,,,,,,
260,Terrine campagnarde à la moutarde - La Frairie - 180g,3525168333168,,,180g,['Conserve'],['La Frairie'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne', 'Terrines de porc']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],"['Gorge de porc 56%', 'foie de porc 23%', 'œufs', 'moutarde 4,7% ', 'eau', 'graines de moutarde', ""vinaigre de cidre ou d'alcool"", 'sel de mer', 'vin blanc', 'sel Atlantique', 'farine de blé', 'oignons', 'ail', 'thym', 'poivre']",,"['Non végétalien', 'Non végétarien']",3,?,,296,-3%,24,-9%,"2,1",+5%,18,+24%,,,,,,,,"['Œufs', 'Gluten', 'Moutarde']",1238 kj(296 kcal),"8,9","0,7","1,6","0,64",24 g,en quantité élevée,8.9 g,en quantité élevée,0.7 g,en faible quantité,1.6 g,en quantité élevée,-3%,-9%,+11%,+4%,+4%,18,-3%,D,-3%,,,,,,,,
261,Lot Confit de foie - Terrine de Campagne - Terrine Forestière - Hénaff - 3x 180g,3537580701364,,,3 x 180 g,"['Verrines', 'Carton', 'Verres']","['Hénaff', 'J.Hénaff']","['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne', 'Terrines de porc', 'Confit de foie']","['Sans colorants', 'Sans conservateurs', 'Produit en Bretagne', 'Bleu Blanc Cœur', 'Bleu Blanc Cœur Bœuf', 'Origine France']",,['France'],[],,[],,?,,300,-2%,26,-2%,"2,5",+25%,14,-3%,,,,,,,,,1255 kj(300 kcal),10,"1,3","1,2","0,48",26 g,en quantité élevée,10 g,en quantité élevée,1.3 g,en faible quantité,1.2 g,en quantité modérée,-1%,+2%,+106%,-22%,-22%,17,-9%,D,-9%,"['Bretagne', 'Finistère', 'Pouldreuzic']",,,,,,,
262,Le Pâté Hénaff Oignons et Petits Lardons - 156g (2x 78g),3537580701777,,,156 g (2 x 78 g),"['Conserve', 'Métal', 'Carton']",['Hénaff'],"['Conserves', 'Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Charcuteries diverses', 'Pâté', 'Porc', 'Pâtés de porc']","['Point Vert', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,['France'],"['Viande de porc* 69%', 'oignons rissolés 10% ', ""à l'huile de tournesol"", 'lardons fumés ', '10%', ' ', 'poitrine de porc*', 'eau', 'sel', 'fumet', 'foie de porc*', '1', '1%', 'sel', 'épices', ' *Origine France']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,1061,-13%,256,-17%,21,-21%,"0,7",-70%,16,+13%,,,,,,,,,1061 kj(256 kcal),8,"< 0,5","1,5","0,6",21 g,en quantité élevée,8 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-18%,-21%,-44%,-10%,-10%,16,-15%,D,-15%,"['France', 'Bretagne']",,,,"['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",,,
263,Saucisses aux oignons Hénaff - 5,3537580800364,,,5,"['Barquette', 'Sous-vide']","['Hénaff', 'Finistère']",,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,['France'],"['Viande de porc* ', '86 %', ' dont jambon ', '20 %', 'oignon ', '8 %', 'sel de mer', 'poivre bio', ' *Origine France', ' Boyau naturel de mouton']",,[],,893,,215,,17,,"0,5",,15,,,,,,,,,,893 kj(215 kcal),7,"0,5","1,4","0,56",,,,,,,,,,,,,,,,,,"['Bretagne', 'Finistère', 'Pouldreuzic']",,,,,,,
264,La Saucisse aux Oignons - Hénaff - 332g,3537580800456,,,332g,"['Barquette', 'Plastique', 'Sous atmosphère protectrice']",['Hénaff'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises']","['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,['France'],"['Viande de porc 86% dont jambon 20%', 'oignon 8%', 'sel de mer', 'poivre bio', ' *Origine France', ' Boyau naturel de mouton']",,[],3,893,-20%,215,-19%,17,-23%,"1,5",+19%,15,-3%,,,,,,,,,893 kj(215 kcal),7,"1,3","1,4","0,56",17 g,en quantité modérée,7 g,en quantité élevée,1.3 g,en faible quantité,1.4 g,en quantité modérée,-20%,-17%,+76%,-30%,-30%,14,-24%,D,-24%,"['France', 'Bretagne']",,,['France'],,,,
265,La Saucisse Epicée - Hénaff - 277g (x 5),3537580800494,,,277 g (x 5),"['Barquette', 'Plastique', 'Sous atmosphère protectrice']",['Hénaff'],"['Viandes', 'Charcuteries', 'Frais', 'Saucisses', 'Saucisses françaises', 'Porc', 'Charcuteries à cuire']","['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,['France'],"['Viande de porc 86% dont jambon 20%', 'tomate', 'sel de mer', 'épices ', '1', '1%', 'plantes aromatiques', ' *Origine France', ' Boyau naturel de mouton']",,[],3,859,-20%,207,-21%,16,-26%,"0,7",-28%,15,-6%,,,,,,,,,859 kj(207 kcal),6,"0,5","1,5","0,6",16 g,en quantité modérée,6 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-20%,-28%,-26%,-31%,-31%,13,-31%,D,-31%,"['France', 'Bretagne']",,,['France'],,,,
266,Saucisse brasse nature - Hénaff - 430g,3537580800517,,,430 g,"['Sous-vide', 'Barquette']",['Hénaff'],,"['Viande Française', 'Sans gluten', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']",,['France'],"['Viande de porc* ', '93%', ' dont jambon ', '20%', 'sel de mer', 'poivre bio', ' *Origine France', ' Boyau naturel de porc', ' SANS GLUTEN']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,1002,,241,,19,,"0,6",,17,,,,,,,,,,1002 kj(241 kcal),6,"0,4","1,5","0,6",,,,,,,,,,,,,,,,,,"['Bretagne', 'Pouldreuzic', 'Finistère']",,,['France'],,,,
267,La Saucisse Nature - Hénaff - 500g (x 4),3537580800586,,,500 g (x 4),"['Barquette', 'Plastique', 'Sous atmosphère protectrice']",['Hénaff'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises']","['en:Produit en Bretagne', 'en:Sans colorants', 'en:Sans conservateurs', 'en:Sans gluten', 'en:Viande Française', 'en:Viande Porcine Française']",,['France'],"['Viande de porc 93% dont jambon 20%', 'sel de mer', 'poivre bio', 'boyau naturel de porc']",,"['Non végétalien', 'Non végétarien']",3,1002,-10%,241,-10%,19,-14%,"0,6",-52%,17,+10%,,,,,,,,,1002 kj(241 kcal),6,"< 0,5","1,5","0,6",19 g,en quantité modérée,6 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-11%,-29%,-32%,-25%,-25%,13,-29%,D,-29%,"['France', 'Bretagne']",,,['France'],,,,
268,Cannelle poudre - Niclaus,3543020140570,B,,,,['Niclaus'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,['France'],['Ingrédit Cannelle finement moulue'],,[],,?,,0,-100%,0,-100%,0,-100%,0,-100%,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,0 kj(0 kcal),0,0,0,0,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,
269,Tofu traditionnel - Lakovo - 500g,3547230200024,A,,500g,"['Plastique', 'Film en plastique']","['Lakovo', 'Tan Hung']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']","['Végétarien', 'Sans OGM', 'Sans conservateurs', 'Pasteurisé']",,['France'],"['Graines de soja sans OGM', 'eau', 'gélifiant : sulfate de calcium']",,['Végétarien'],4,472,-20%,113,-24%,6,-31%,0,-100%,13,-6%,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,['Soja'],472 kj(113 kcal),"0,9",0,"0,01","0,004",6 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,-24%,-37%,-100%,-99%,-99%,-8,,A,,['France'],['Paris Store'],,,,,,
270,Cookies bio toutchocolat,3555140040647,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,['France'],[],,[],,?,,527,,29,,"60,4",,"7,8",,,,,,,,,,2205 kj(527 kcal),"17,7","29,3","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,
271,Nectar framboise - Alain Milliat,3556001010267,D,,,,['Alain Milliat'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de framboise']",,,['France'],"['Eau', 'pulpe de framboise 40%', 'sucre', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']","['E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,63,+7%,"0,5",+64%,"15,8",+5%,"0,5",-16%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,264 kj(63 kcal),0,"15,8","0,026","0,01",0.5 g,en faible quantité,0 g,en faible quantité,15.8 g,en quantité élevée,0.026 g,en faible quantité,+8%,-100%,+10%,+11%,+11%,19,+14%,E,+14%,,,,,,,,
272,Pain pita,3556071234921,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pains Pita']",,,['France'],[],,[],,?,,269,+7%,"1,8",+20%,"53,6",+9%,"8,3",+0%,49.6%,26.4%,15.7%,7.2%,1.0%,0.0%,95,,1125 kj(269 kcal),"0,23","3,3","1,21","0,484",1.8 g,en faible quantité,0.23 g,en faible quantité,3.3 g,en faible quantité,1.21 g,en quantité modérée,+6%,+1%,+26%,+12%,+12%,3,+226%,C,+226%,,,,,,,,
273,8 pains panini - Pain concept services - 1000g,3556071235263,,,1000 g,"['Barquette', 'Opercule', 'Plastique', 'Sous atmosphère protectrice']",['Pain concept services'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux', 'Panini Rolls']",,,['France'],"['Farine de blé', 'eau', 'huile de colza', 'levure', 'sel', 'gluten de blé', 'conservateur : propionate de calcium']",['E282 - Propionate de calcium'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1106,-8%,262,-10%,"3,6",-30%,"48,4",-1%,"7,5",-19%,,,,,,,,['Gluten'],1106 kj(262 kcal),"0,3","1,9","1,2","0,48",3.6 g,en quantité modérée,0.3 g,en faible quantité,1.9 g,en faible quantité,1.2 g,en quantité modérée,-9%,-66%,-57%,-2%,-2%,2,-47%,B,-47%,['France'],,,,,,,
274,Smoothie NU,3556740116084,C,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies']",['Fabriqué en France'],,['France'],[],,[],,?,,54,-5%,"0,2",-44%,"11,9",-2%,1,+59%,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,226 kj(54 kcal),0,"11,5",0,0,0.2 g,en faible quantité,0 g,en faible quantité,11.5 g,en quantité élevée,0 g,en faible quantité,-5%,-100%,+7%,-100%,-100%,16,+54%,E,+54%,,,,,,,,
275,Vikoroffvodka - Carrefour - 70cl,3560070118373,C,Vodka Pur Grain,70 cl,['bouteille verre'],['Carrefour'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",,,"['France', 'Italie']",[],,[],,?,,?,,?,,?,,?,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,"['EMB 14047A', 'Bayeux (Calvados, France)']",Fabriqué par EMB 14047A pour Interdis - TSA 91431 - 91343 MASSY Cedex - France,,
