,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
54,thé  vert de Chine - temple du ciel Shanghaï - 250gr,6931708306023,A,['temple du ciel Shanghaï'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés verts chinois']",['France'],[],[],?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,250gr,,,,,,,,,,,,,,,,,,['boite cartonnée'],,,,,,,['république de Chine'],,,,,,
55,RAHATLOKUM - Adria - 15,3858890261868,,['Adria'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,le cremeux - casino - 300g,22018038,D,['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],[],[],?,,343,+4%,31,+17%,0,-100%,16,-22%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1435 kj(343 kcal),22,0,"1,3","0,52",300g,31 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,+5%,+24%,-100%,0%,0%,14,+2%,D,+2%,,,,,['Casino'],,,,,,,,,
57,Unsere muffins schoko,4002809028151,,,,['France'],[],[],?,,413,,"24,8",,"41,1",,"5,5",,,,,,,,,1728 kj(413 kcal),"3,4","21,8","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,
58,Café Moulu Dégustation 250 g - Planteur des Tropiques,3250390101079,E,['Planteur des Tropiques'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",['France'],['100 % café'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,1,"['Labels de distributeurs', 'Sélection Intermarché']",,,,,,,,,,
59,Holunder bluten sirup,4250859300080,,,,['France'],[],[],?,,196,,0,,"48,7",,0,,,,,,,,,820 kj(196 kcal),0,"48,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,01118740,01118740,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Oeufs - Les œufs bien de chez nous - 9,3332930010130,D,['Les œufs bien de chez nous'],"[""Produits d'élevages"", 'Œufs']",['France'],[],[],?,,145,+10%,"10,3",+10%,"0,7",+3%,"12,3",0%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,607 kj(145 kcal),"2,7","0,7","0,32","0,128",9,10.3 g,en quantité modérée,2.7 g,en quantité modérée,0.7 g,en faible quantité,0.32 g,en quantité modérée,+9%,+12%,+44%,+22%,+22%,-1,,A,,,,,,,,,,,,,,,
62,Palets Solognots aux Raisins de Smyrne Macérés au Rhum110 g - Albert Ménès - 12biscuits,3162900001239,,['Albert Ménès'],,['France'],"['Farine de froment', 'sucre', 'beurre concentré 19%', 'raisins secs de Smyrne macerés au Rhum antillais 18% ', 'raisins secs de Smyrne 12%', 'Rhum antillais 5%', 'huile de coton', 'oeufs entiers pasteurisés', 'poudre à lever ', 'carbonate acide de sodium et diphosphate disodique', 'sel']",['Non végétalien'],1738,,415,,20,,52,,6,,,,,,,,,1738 kj(415 kcal),12,27,"0,45","0,18",12 biscuits,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",4,,,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",,,,Palets Solognots aux Raisins de Smyrne Macérés au Rhum110 g,,,,
63,Proteines de soja - Le Bio de Manon,3760240723271,,['Le Bio de Manon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Protéine végétale texturée']",['France'],[],[],?,,360,+29%,8,+1%,12,+9%,52,+53%,,,,,,,,1506 kj(360 kcal),5,11,2,"0,8",,8 g,en quantité modérée,5 g,en quantité modérée,11 g,en quantité modérée,2 g,en quantité élevée,+31%,+270%,+180%,+138%,+138%,18,+5305%,D,+5305%,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,
64,Ready To Eat Red And White Quinoa - Merchant Gourmet - 250gr,5018095185798,,['Merchant Gourmet'],,"['France', 'Royaume-Uni']",[],[],?,,185,,"4,2",,"28,6",,"6,1",,,,,,,,,774 kj(185 kcal),"0,5","1,5","0,18","0,072",250 gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Saucisson sec hallal,2987087003002,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],?,,?,,?,,?,,?,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dammann Frères,3259920052225,,['Dammann Frères'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Chips piment d'espelette,3760198100070,,,,['France'],[],"['Végétalien', 'Végétarien']",?,,576,,"39,7",,"48,1",,"6,5",,,,,,,,,2410 kj(576 kcal),"3,3","0,3","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,
68,Soja Nature - Bjorg - 1l,3362290015209,A,['Bjorg'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons végétales de soja nature']",['France'],[],[],?,,46,+12%,"2,6",+38%,"1,5",-32%,"3,9",+18%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,192 kj(46 kcal),"0,6","1,2","0,03","0,012",1 l,2.6 g,en quantité modérée,0.6 g,en faible quantité,1.2 g,en faible quantité,0.03 g,en faible quantité,+12%,+70%,-29%,-52%,-52%,-2,,A,,['Brique'],,,"['Bio', 'Bio européen', 'IT-BIO-006', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,,,,,,,,
69,Orange juice,20913342,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],"['orange juice from concentrate', 'fruit content: 100%,']",[],?,,42,-2%,"0,1",-40%,9,-7%,1,+60%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,176 kj(42 kcal),"0,1",8,0,0,,0.1 g,en faible quantité,0.1 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,-3%,+266%,-12%,-100%,-100%,2,-33%,C,-33%,['carton'],,1,,,,,,,,,,,
70,Purity-light Digest Whey Protein Banana 500GR - 500g,5425002407759,,,,['France'],[],[],?,,383,,"4,7",,"9,1",,77,,,,,,,,,1602 kj(383 kcal),"3,3","8,6","0,42","0,168",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Cuvée Saint Julien - 75cl,3760059820352,,,,['France'],"[""Cuvée Saint Julien D O C Indication Géographique Protégée 2016 sou 'une sdlection de parcelles cultivées dans le respect de Penvitog ment"", 'du teroir', 'et de nos traditions', ""cet assemblage de Syrah Grenache et Carignan reflète l'identité méditerranéenne du Sud del France"", ' Ses arôm ce', ' Ses arômes de fruits rouges', 'sa bouche ronde et souple', 'en fon partenaire idéal des viandes grillées et des fromages ienir 1 6/17o C environ', ' selection of organic specified vines', 'respecting oforganic specified vines', 'respecting enviro ail and tradition aprus trihi d Cariga mtMterranean identity of South of France', ' ts l chests s blend of Syrah', 'Grenache an outh', 'will complement grilled meats an PAR MAISON ALBERT DOMAINE DE BOFRANCE red fruis d atomas', 'its round ht at 16/17 MIS EN BOUTEILLE A F 11560RCE 1 1100 NARBONNE - PRODUIT DE FRAN ONNE SoURCE THALI SULETTE', 'TSULPHTES', 'SISALTAA SULFITTEJA', 'Co znYINrITE', 'INDEHOLDER SULFITTER', 'BEVAINyCONTIE ACONTIENT DES SULATES SULFIETEN ZAWI - SOLFITER OBSAHUTE SIRICITANY', 'CON nd de trance VIN BIOLOGIQU 7600591 820352 www', 'les-bugadelles', 'com FR-BIO-ac Agriculture Frane']",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,75 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Épices pour poulet - boni - 750g,5400141168396,,['Boni'],,"['Belgique', 'France']","['Sel', 'curry ', 'coriandre', 'curcuma', 'moutarde', 'légumineuses', 'cumin', 'poivre', 'pili-pili', 'fenugrec', 'fenouil', 'clou de girofle', 'clou de girofle', 'cardamone', 'sel', 'Poivrons', 'oignons', 'dextrose', 'poivre blanc', 'ail', 'pili-pili']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,750g,,,,,,,,,,,,,,,,,,['pot en plastic'],['Moutarde'],4,,['Colruyt'],,,['Italie'],,,,,,
73,5317470331165,5317470331165,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Marmelade,23375208,,,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Friandise au lait,50159826,,,,['France'],[],[],?,,415,,"3,7",,"11,6",,"23,4",,,,,,,,,1736 kj(415 kcal),"2,6","10,9","0,1","0,04",,,,,,,,,,,,,,,,,,,['Paquet'],,,,,,,,,,,,,
76,Salchichas aves - Nobre,5601119942608,,['Nobre'],"['Viandes', 'Charcuteries', 'Saucisses']","['France', 'Espagne']",[],[],?,,153,-40%,11,-47%,"3,3",+131%,11,-27%,,,,,,,,640 kj(153 kcal),"3,4","0,5","1,5","0,6",,11 g,en quantité modérée,3.4 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,-40%,-57%,-34%,-23%,-23%,5,-71%,C,-71%,,,,,,,,,,,,,,
77,Sirop de fraise - Védrenne - 100cl,3104948173028,A,['Védrenne'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise', 'Boissons avec sucre ajouté']",['France'],"['Sucre liquide', 'eau', 'jus concentrés de fraises et de fruits rouges - acidifiant : acide citrique', 'arôme - colorant : E129 - conservateur E202', ' Total jus de fruits : 19', '8% dont jus de fraise 19% minimum', ' ""le colorant E129 peut avoir des effets indésirables sur l\'activité et l\'attention chez les enfants""']",[],?,,50,-81%,0,-100%,12,-83%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,209 kj(50 kcal),0,"9,3",0,0,100 cl,,,,,,,,,-82%,-100%,-86%,-100%,-100%,,,,,['Bouteille'],,4,,,"['E330 - Acide citrique', 'E129 - Rouge allura AC', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,Sirop de fraise,,,,
78,"Tomaten Gehackt ""pezzetoni Di Pomodoro"" 400g Dose Piacelli - 400g",9002859071072,,,,"['France', 'Allemagne']",[],[],?,,20,,"0,2",,3,,"1,2",,,,,,,,,84 kj(20 kcal),0,3,"0,01","0,004",400 g,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,,
79,Melange Bien-Etre,2600289030767,,,,['France'],[],[],?,,494,,"29,7",,"41,5",,"9,5",,,,,,,,,2067 kj(494 kcal),"2,7",26,"0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Rasa Ayam Bawang - Rasa Ayam Bawang onion chicken flavour - 65g,8992388133642,,['Rasa Ayam Bawang onion chicken flavour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],"['Ingredients: Noodles: Wheat flour', 'palm oil', 'alt', 'acidity ABC Rasa E500', 'E501', 'stabiliser ', 'E452', 'thickener ', 'E412', 'colour ', 'E160a', ' Seasoning powder: salt', 'sugar,flavour enhancer ', 'E621', 'flavouring', 'pepper udetonion powder', 'garlic powder', 'leek flakes', 'chili powder', ' Seasoning oil: palm oil', 'onion']",['Huile de palme'],?,,?,,?,,?,,?,,,,,,,,,,,,,,65g,,,,,,,,,,,,,,,,,,['Paquet'],,4,,,"['E500 - Carbonates de sodium', 'E501 - Carbonates de potassium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E160a - Carotènes mélangés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,,,,,
81,Penne Rigate 30,8003740638474,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",['France'],[],"['Végétalien', 'Végétarien']",?,,323,-8%,"2,9",+72%,60,-14%,"8,3",-31%,,,,,,,,1351 kj(323 kcal),"0,4",2,0,0,,2.9 g,en faible quantité,0.4 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,-9%,+7%,-32%,-100%,-100%,-1,,A,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Fabriqué en Italie']",,,,,,,,,,
82,Palets bretons Les p'tits macarel - 250g,3770011734061,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",['France'],[],[],?,,?,,?,,?,,?,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,La piautre blanche - 75cl,3760130120029,,['LA PIAUTRE'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,75 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Orange-Karotte-ingwer - EOS bio - 0,7l",4021829082448,,['EOS bio'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Jus et nectars', 'Jus de fruits et légumes']",['France'],[],[],?,,44,+5%,"0,26",+13%,"9,5",-5%,"0,5",+14%,,,,,,,,184 kj(44 kcal),"0,03","9,1","0,05","0,02","0,7 l",0.26 g,en faible quantité,0.03 g,en faible quantité,9.1 g,en quantité élevée,0.05 g,en faible quantité,+2%,-31%,+6%,-10%,-10%,14,+142%,E,+142%,['Verre'],,,['Bio'],,,,,,,,,,
85,12 Merguez - Royal Bernard - 600g,3276280085380,E,['Royal Bernard'],"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",['France'],"['Viande de dinde ', 'Origine: France', ' 70%', 'gras de veau', 'eau', 'sel', 'épices', ""extrait d'épices"", 'sirop de glucose', 'vinaigre', 'arômes naturels', 'betterave rouge', 'plantes aromatiques', 'colorant : carmin de cochenille', 'ferments', 'boyau naturel de mouton']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,232,-12%,19,-12%,0,-100%,15,+5%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,971 kj(232 kcal),"7,2",0,"1,8","0,72",600 g,19 g,en quantité modérée,7.2 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,-12%,-21%,-100%,-6%,-6%,16,-15%,D,-15%,,['Aucun'],4,['Sans conservateurs'],,['E120 - Acide carminique'],,,,,,,,
86,Rollini soeck et scamorza fumée,3700656404180,,,,['France'],[],[],?,,340,,26,,"0,4",,27,,,,,,,,,1423 kj(340 kcal),15,"0,4",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,bordeaux supérieur - 75cl,3251093016738,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Bordeaux supérieur']",['France'],[],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,75cl,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,,,,
88,Oeufs frais,3287251002121,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 32.361.021 CE', 'Saint-Arroman (Gers, France)']",,,,,
89,Dressing miel et moutarde - Delhaize - 150ml,5400112362921,D,['Delhaize'],"['Epicerie', 'Sauces', 'Sauces salades']","['Belgique', 'France']",[],[],?,,287,-14%,"25,2",-24%,"12,5",+126%,2,+203%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,1201 kj(287 kcal),"1,8","12,5","1,95","0,78",150 ml,25.2 g,en quantité élevée,1.8 g,en quantité modérée,12.5 g,en quantité modérée,1.95 g,en quantité élevée,-14%,-47%,+232%,+3%,+3%,14,-3%,D,-3%,,,,,['Delhaize'],,,,,,,,,
90,Riz basmati - Albert Heijn,8710400243113,C,['Albert Heijn'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",['France'],[],[],?,,350,+6%,1,-4%,77,+8%,"8,5",+13%,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1464 kj(350 kcal),"0,2","0,1",0,0,,1 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,+5%,-17%,-59%,-100%,-100%,-1,,A,,,,,,['Albert Heijn'],,,,,,,,,
91,Rasta troll - 1,5411551171074,,['Rasta troll'],"['Boissons', 'Boissons alcoolisées']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Flocons d'avoine BIO - Actibio - 5kg,3760169760524,B,['Actibio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],['Avoine'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,332,-10%,"7,1",+0%,"55,7",-6%,"10,7",-13%,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,1389 kj(332 kcal),"1,5","1,1","0,02","0,008",5 kg,7.1 g,en quantité modérée,1.5 g,en quantité modérée,1.1 g,en faible quantité,0.02 g,en faible quantité,-10%,+20%,-33%,-35%,-35%,0,,B,,"['Sachet', 'Plastique']",['Avoine'],1,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
93,Lime bio,3760042971504,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,
94,Gyoza Mandu au Kimchi - Maison de Corée - 280g,8805957019189,B,['Maison de Corée'],"['Surgelés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies aux légumes', 'Ravioli', 'Plats préparés surgelés', 'Raviolis aux légumes', 'Ravioli surgelés']",['France'],"['Kimchi 29', '1% ', 'chou chinois 75 %', 'poudre de piment rouge', 'oignon vert', 'oignon', 'ail', 'gingembre', 'sel', 'eau', 'pâte 20', '6% [farine de blé ', 'gluten', 'eau', 'soja 5,96 %', 'tofu 5,96  %', 'soja', 'eau', 'huile de soja', 'épaississant:  sel de magnesium]', 'oignon 4', '996', 'radis 37%', 'vermicelles 2,9 %', 'ail 2,5 %', 'gingembre', 'huile de maïs', 'sauce soja [soja', 'Blé ', 'gluten', 'eau', 'sel]', 'farine de tapioca', 'sucre', 'sel', 'poudre de piment rouge', 'émulsifiant : diphosphates', 'antioxydant: extrait riche en tocophérols', 'poivre noir', '\r Sauce spéciale 10*2g : sauce soja 52 % ', 'soja', 'eau', 'sel', 'blé ', 'gluten', 'eau', 'vinaigre', 'sucre', 'sel', 'huile de piment rouge']",[],?,,152,-15%,"1,8",-68%,"27,6",+18%,"6,4",-22%,69.0%,12.8%,6.9%,6.1%,3.0%,2.2%,77,636 kj(152 kcal),"0,3","1,5","0,8","0,32",280 g,1.8 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en faible quantité,0.8 g,en quantité modérée,-15%,-80%,-32%,-17%,-17%,1,-56%,B,-56%,"['Carton', 'Plastique', 'surgelé']","['Gluten', 'Soja']",4,"['Lacto-végétarien', 'Ovo-végétarien', 'Ovo-lacto-végétarien']",,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']",,"['Corée du Sud', 'Corée']",,,,,,
95,Filet de bar -,2869733047434,,,"['Produits de la mer', 'Poissons', 'Bars', 'Filets de bar']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,,,,,,,
96,Pizza Saumon - Match - 1,0242288045599,,['Match'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Choquise dark and ginger,8719179256966,E,"['Choquise', 'Kruidvat']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs au gingembre']",['France'],"['PÄTE DE CACAO', 'SUCRE', 'BEURRE DE CACAO', 'HUILE BUTYRIQUE ', 'LAIT', 'POUDRE DE GINGEMBRE 1%', 'EMULSIFIANT LÉCITHINE ', 'SOJA', 'AROMES NATURELS', ' Peut contenir des traces de noix et de gluten', ' Chocolat noir:cacao:50% minimum']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,524,-3%,32,-13%,48,+19%,"5,2",-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,2192 kj(524 kcal),20,46,"0,02","0,008",,32 g,en quantité élevée,20 g,en quantité élevée,46 g,en quantité élevée,0.02 g,en faible quantité,-3%,-11%,+37%,-52%,-52%,26,+25%,E,+25%,,"['Lait', 'Soja']",4,,,['E322i - Lécithine'],,,,,,,,
98,Oranges -  - 2kg,8414870616605,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Oranges', 'Oranges fraîches']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Émincés de filet de poulet rôti,3525310000252,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],?,,122,-7%,"1,6",-44%,0,-100%,27,+18%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,510 kj(122 kcal),"0,6",0,"0,9","0,36",,1.6 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,-6%,-20%,-100%,+20%,+20%,-1,,A,,,,,,,,,,,,,,,
100,Émincés de filet de poulet rôti,3525310000252,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],?,,122,-7%,"1,6",-44%,0,-100%,27,+18%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,510 kj(122 kcal),"0,6",0,"0,9","0,36",,1.6 g,en faible quantité,0.6 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,-6%,-20%,-100%,+20%,+20%,-1,,A,,,,,,,,,,,,,,,
101,3255611121119,3255611121119,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Huile olive extra vierge -,8437016222225,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],?,,824,-4%,"91,6",-4%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,3448 kj(824 kcal),"12,8",0,0,0,,91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-9%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,,,,
103,Gourmet Veggie Nuggets -,7610745205870,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']",['France'],"['Protéine de soja 26%', ' protéine de froment 26%', ' farine de froment', ' eau', ' huiles végétales ', 'colza', 'tournesol', ' sésame 4,7%', ' condiment en poudre', ' amidon de froment partiellement modifié', ' fibres de blé', ' agent épaississant: E 461', ' épices ', 'contient céleri', ' fibres de pois', ' oignons', ' sel', ' levure', ' bouillon de légumes', ' fécule de mais']",['Sans huile de palme'],?,,279,+13%,15,+30%,15,-20%,19,+37%,,,,,,,,1167 kj(279 kcal),"1,5",2,"1,7","0,68",,15 g,en quantité modérée,1.5 g,en quantité modérée,2 g,en faible quantité,1.7 g,en quantité élevée,+14%,+21%,+16%,+33%,+33%,11,+326%,D,+326%,,"['Céleri', 'Gluten', 'Graines de sésame']",4,,,['E461 - Méthylcellulose'],,,,,,,,
104,3430690000511,3430690000511,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Twisties Cheese,9556072460033,,,,"['France', 'Maurice']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Pruneaux d'Agen,3330319900010,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['France'],[],[],?,,238,-1%,"0,5",+39%,54,+1%,"1,8",-4%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,996 kj(238 kcal),"0,1",37,"0,01","0,004",,0.5 g,en faible quantité,0.1 g,en faible quantité,37 g,en quantité élevée,0.01 g,en faible quantité,-1%,-12%,+2%,-28%,-28%,4,+83%,C,+83%,,,,,,,,,,,,,,
