,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
529,Beurre de la ferme demi sel,3760275580115,,['France'],[],[],?,732,3063 kj(732 kcal),80,50,"0,1",0,"0,1",5,2,,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']",80 g,en quantité élevée,50 g,en quantité élevée,0 g,en faible quantité,5 g,en quantité élevée,,+2%,+2%,+1%,-8%,-87%,-100%,-85%,+143%,+143%,28,+6%,E,+6%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
530,Caramel au sarrasin,3277777016184,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Cranberries,2600298031625,,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,5","83,2",65,"0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Coulommiers,2227489039033,,['France'],[],[],?,265,1109 kj(265 kcal),21,15,"0,1","0,1",19,"1,3","0,52",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers']",21 g,en quantité élevée,15 g,en quantité élevée,0.1 g,en faible quantité,1.3 g,en quantité modérée,,-5%,-4%,-6%,-3%,-80%,-62%,+1%,-13%,-13%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
533,Zumo de manzana,8414892771481,,['France'],[],[],?,41,172 kj(41 kcal),0,0,10,10,"0,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Le Moelleux aux graines,20166854,"['en:gluten-free', 'Sans lactose']",['France'],[],[],?,267,1117 kj(267 kcal),"8,3","1,8",40,"6,8","5,3","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Chouquettes x30,0204003012996,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Confiture de framboise,3339500704116,,['France'],[],[],?,246,1029 kj(246 kcal),"0,6","0,09",61,55,"0,47","0,05","0,02",,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.6 g,en faible quantité,0.09 g,en faible quantité,55 g,en quantité élevée,0.05 g,en faible quantité,,+10%,+10%,+121%,+94%,+14%,+7%,-30%,+135%,+135%,12,+36%,D,+36%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,
537,Cookies aux noisettes,3770006927126,"['Sans additifs', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,437,1828 kj(437 kcal),"21,31","9,85","52,59","26,48","7,08","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Miel d'Acacia,3770002216132,,['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
539,NOUGAT TRUFFES,3760129548018,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Emmental - Fromapac,3529380007258,,['France'],[],[],?,369,1544 kj(369 kcal),29,19,"0,5","0,5",27,"0,5","0,2",,,['Fromapac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,NOUGATS ENROBES chocolat noir,3217662903014,,['France'],[],[],?,451,1887 kj(451 kcal),22,"6,7",58,53,"6,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Guisantes extrafinos cocinados - Cassegrain,3083680082150,,['France'],[],[],?,?,,?,,?,,?,,,,,['Cassegrain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Rillettes de saumon aux zestes de citron bio,3389090021728,,['France'],[],[],?,172,720 kj(172 kcal),13,"5,8","3,5","1,1",10,1,"0,4",,E,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",13 g,en quantité modérée,5.8 g,en quantité élevée,1.1 g,en faible quantité,1 g,en quantité modérée,,-22%,-22%,-24%,+20%,+58%,+21%,-26%,-12%,-12%,11,+25%,D,+25%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,,,,,,,,,
544,Pain complet,3605580000937,,['France'],[],[],?,244,1021 kj(244 kcal),"1,5","0,4",45,"2,4",11,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Terrine de sanglier aux chataignes - Le Bois Jumel,3176630120085,,['France'],[],[],?,280,1172 kj(280 kcal),23,"8,9",4,"0,8",15,"1,8","0,72",,,['Le Bois Jumel'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Charcuteries diverses', 'Terrines', 'Terrines de sanglier']",23 g,en quantité élevée,8.9 g,en quantité élevée,0.8 g,en faible quantité,1.8 g,en quantité élevée,,-9%,-9%,-14%,-10%,+93%,+30%,+7%,+14%,+14%,18,-1%,D,-1%,,,,,,,,,,,,,,,,,,,
546,Cote de porc - Carrefour,2299327006897,,['France'],[],[],?,?,,?,,?,,?,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
547,Filet de porc roti,2282937026577,,['France'],[],[],?,195,816 kj(195 kcal),9,"1,9",0,0,26,"1,5","0,6",,E,,"['Viandes', 'Porc', 'Rôtis de porc']",9 g,en quantité modérée,1.9 g,en quantité modérée,0 g,en faible quantité,1.5 g,en quantité modérée,,+35%,+37%,+79%,-9%,-100%,-100%,+16%,-13%,-13%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,
548,Bananes -,2402334008000,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,A,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,['Sachet'],,,,,,,,,,
549,Achard de mangue,6091189104430,,['France'],[],[],?,130,544 kj(130 kcal),10,0,10,0,0,"5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Amandes Quiriga - Medicis,3340390007874,,['France'],[],[],?,573,2397 kj(573 kcal),"37,23",16,"50,9","46,8","8,63","0,1","0,04",,E,['Medicis'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",37.2 g,en quantité élevée,16 g,en quantité élevée,46.8 g,en quantité élevée,0.1 g,en faible quantité,,-8%,-8%,-28%,+285%,+324%,+1022%,-61%,-60%,-60%,17,+1859%,D,+1859%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,
551,Skyr,5603342519022,,['France'],[],[],?,81,339 kj(81 kcal),"1,1","0,3",7,"4,6","9,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Sucralys,3760195985045,,['France'],[],[],?,380,1590 kj(380 kcal),0,0,94,"66,5",0,"0,007","0,003","['EMB 59386', 'Marquette-lez-Lille (Nord, France)']",,['Sucralys'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Bananes Chips,0208450008007,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Quidarré yaourt aromatisé panache - 125g,3760140940242,,['France'],[],[],?,100,418 kj(100 kcal),"4,2","2,7","12,3","10,4","3,3","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,
555,Pâté de volaille au pignons,3443800000639,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Pâtes Dentelle,3683080189604,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Tarrito de manzana y pera con cereales ecológico,8437014583373,['Bio'],['France'],[],[],?,54,226 kj(54 kcal),"0,5",0,"12,6","8,9","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Escalope extra fine de dinde - Monoprix - 165g,2614162015871,,['France'],[],[],?,?,,?,,?,,?,,,,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,165 g,,['Monoprix'],,,,,,,,,
559,Filets de poulet - La Nouvelle Agriculture,0253080064558,,['France'],[],[],?,?,,?,,?,,?,,,,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
560,"""1L Creme Cassis Giffard 16 °""",3180290500606,,['France'],[],[],?,?,,?,,?,,?,,,,,['Giffard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Nutri-PH,5400433210291,['en:gluten-free'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Bananes - Intermarché,2600480010049,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",['France'],[],[],?,?,,?,,?,,?,,,,B,['Intermarché'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,['Intermarché'],,,,,,,,,
563,Les milanaises,0217217030830,,['France'],[],[],?,121,506 kj(121 kcal),"0,8",0,"5,8","1,9",22,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Sandwich nordique au saumon - 265g,6164702300005,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265 g,,,,,,,,,,,
565,Naan au curry,5060460300084,,['France'],[],[],?,209,874 kj(209 kcal),"8,43","2,1","25,6","1,32","6,22","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Lentille Verte du Puy AOP - 1kg,3760287490020,,['France'],[],[],?,331,1385 kj(331 kcal),"1,2","0,2",49,"1,4",25,"0,012","0,005",,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes', 'Lentille verte du Puy']",1.2 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,0.012 g,en faible quantité,,+13%,+14%,-2%,-11%,+24%,+9%,+10%,-92%,-92%,-1,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,1 kg,,,,,,,,,,,
567,Carrefour Mandorle Sgusciate 100GR,8012666030576,,['France'],[],[],?,596,2494 kj(596 kcal),50,"3,8","9,1","4,4",21,"0,01","0,004",,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
568,Garniture pour Bouchées à la Reine,3153575929010,,['France'],[],[],?,136,569 kj(136 kcal),"9,8","4,9",8,"0,9","3,9","1,2","0,48",,,,['Garniture pour bouchées à la reine'],9.8 g,en quantité modérée,4.9 g,en quantité modérée,0.9 g,en faible quantité,1.2 g,en quantité modérée,,,,,,,,,,,8,,C,,,,,,,,,,,,,,,,,,,,
569,Filets de poulet,0212548015877,,['France'],[],[],?,?,,?,,?,,?,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
570,La baguette tradigraines,3289667214600,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,French monument - Andros,3608580803836,['Fabriqué en France'],['France'],[],[],?,332,1389 kj(332 kcal),0,0,77,0,"4,5",7,"2,8",,,"['Andros', 'Pierrot Gourmand']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Jambon de Savoie,3449865314292,['Sans conservateurs'],['France'],[],[],?,274,1146 kj(274 kcal),18,"7,4",1,1,27,"5,7","2,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Salade Crous Bowl - Crous Languedoc Roussillon - 425g,00015769,,['France'],"['Salade mélangée 35', '3%', ' salade quinoa BOULGOUR cranberry 35,3% ', 'boulgour de BLE réhydraté 37,9% [eau', 'BLE dur précuit ] quinoa cuit 20%', 'tomate 10%', 'huile de colza', 'concombre 7%', 'courgette 5%', 'cranberries 4% [cranberries', 'sucre', 'huile de tournesol]', ""raisin golden 4% [agent d'enrobage : huile de tournesol]"", 'jus concentré de citron', 'menthe', ""vinaigre d'alcool"", 'sel', 'persil', 'ail', 'conservateur : E202', 'piment doux', 'pomme 11,8%', 'chou rouge émincé 4,7%', 'carottes râpées 4,7%', 'NOIX DE CAJOU grillées 4,7%', 'radis']",[],?,107,448 kj(107 kcal),"5,2","0,7","11,5","5,1","2,3","0,4","0,16",,,['Crous Languedoc Roussillon'],"['Plats préparés', 'Salades', 'Salades composées']",5.2 g,en quantité modérée,0.7 g,en faible quantité,5.1 g,en quantité modérée,0.4 g,en quantité modérée,,-30%,-29%,-42%,-48%,+14%,+126%,-58%,-54%,-54%,-5,-429%,A,-429%,,,,,,,,425 g,['Barquette plastique'],['Crous Languedoc Roussillon'],"['Gluten', 'Fruits à coque']",4,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,
574,Chirizo,3540190000468,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Espresso Allegro,5415150350014,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Douceur à base d'Aceto Balsamico di Moderna IGP - Auchan - 250ml,3596710726684,,['France'],"['Jus de raisin concentré ', 'contient sulfites', 'Aceto Balsamico di Modena IGP 35% ', 'vinaigre de vin ', 'contient sulfites', 'moût de raisin concentré ', 'contient sulfites', 'colorant E150d ', 'contient sulfites', 'sirop de glucose-fructose', 'amidon modifié', 'colorant E150d ', 'contient sulfites']",[],1042,?,1042 kj(249 kcal),0,0,60,40,"1,3","0,17","0,068",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 ml,,['Auchan'],['Anhydride sulfureux et sulfites'],4,,"[""E150d - Caramel au sulfite d'ammonium"", 'E14XX - Amidons modifiés']",,,Condiment alimentaire à base d'Aceto Balsamico di Modena IGP,,
577,Purée Poivron rouge,10954058,,['France'],[],[],?,34,142 kj(34 kcal),0,0,"5,6","4,3","1,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Studenten futte,4004980562707,,['France'],[],[],?,536,2243 kj(536 kcal),37,"5,4",32,20,16,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Chocolate negro con flor de sal - Pancracio,8437009284001,,['France'],[],[],?,590,2469 kj(590 kcal),40,25,50,28,"8,1","0,08","0,032",,,['Pancracio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Kabaro nahandro kreola - Codal,3760153581715,,['France'],[],[],?,117,490 kj(117 kcal),"3,6","0,6",12,"0,9","6,5","0,59","0,236",,,['Codal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,L'ensoleillade,3558180021058,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Chok'Aubois,3770013658105,['Sans sucre ajouté'],['France'],[],[],?,428,1791 kj(428 kcal),0,0,26,22,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Fibraplus,14574184,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Roti de porc BIO,2456420055034,['Bio'],['France'],[],[],?,170,711 kj(170 kcal),"3,2","3,2","1,4",0,22,"1,6","0,64",,E,,"['Viandes', 'Porc', 'Rôtis de porc']",3.2 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,1.6 g,en quantité élevée,,+18%,+19%,-36%,+53%,+71%,-100%,-2%,-7%,-7%,12,+68%,D,+68%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,
585,Escalope de dinde,0217752017518,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
586,"Muesli bio, céréales toastées - 350g",3111702100305,"['Bio', 'Sans sucre ajouté']",['France'],[],[],?,433,1812 kj(433 kcal),17,"4,8",50,"1,6",13,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,,
587,2 filets Poulet fermier Périgord,2233108022898,,['France'],[],[],?,?,,?,,?,,?,,,"['FR 24.437.001 CE', 'Saint-Laurent-des-Vignes (Dordogne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Granella Di Nocciole,8004828600239,,['France'],[],[],?,720,3012 kj(720 kcal),68,6,11,4,14,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Mokate Gold Cappuccino Chocolate,5900649063501,,['France'],[],[],?,448,1874 kj(448 kcal),13,11,76,47,"5,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Sablé aperitifs - mimolette sésame,3770013887062,"['Bio', 'Bio européen', 'Sans sucre ajouté', 'Sans additifs', 'Sans conservateurs', 'en:palm-oil-free', 'AB Agriculture Biologique']",['France'],[],['Sans huile de palme'],?,476,1992 kj(476 kcal),27,"3,98",44,"0,7",12,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Huile d olives extra vierge,5600872190035,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
592,Sheep Tin,5019605002314,,['France'],[],[],?,511,2138 kj(511 kcal),26,13,64,36,"5,1","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Harina Sin Gluten - Schär,8436012580032,,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,1",86,"4,6","0,5","0,8","0,32",,,['Schär'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Coupelle Fraise,3276550577973,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Bebida De Té Al Limón - Milford,4002221008007,,['France'],[],[],?,32,134 kj(32 kcal),"0,1","0,1","7,5","7,5","0,1",0,0,,,['Milford'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Azúcar de abedul ecológica individuales - Drasanvi,8436044518294,['Bio'],['France'],[],[],?,240,1004 kj(240 kcal),0,0,100,"0,2",0,0,0,,,['Drasanvi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Bruschetta jurassienne,3483130021898,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Tiburón - La Isleña,8410361001196,,['France'],[],[],?,344,1439 kj(344 kcal),2,"0,5",60,"3,5",12,"0,025","0,01",,,['La Isleña'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Miel de sapin BIO,5214000075011,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
600,Poisson sauce beurre citron - Auchan - 400g,3596310275360,,['France'],[],[],?,78,326 kj(78 kcal),"3,3","1,4","2,5","1,2",9,"0,41","0,164",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,['Auchan'],,,,,,,,,
601,sablés pépites de chocolat - 240g,3760029680085,,['France'],[],[],?,482,2017 kj(482 kcal),"22,5","14,3","61,8","29,2","6,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,,,,,,,,
602,Gnocchi frais a la sorrentina - Rana - 525g,8001665708364,"['Sans arômes artificiels', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,120,502 kj(120 kcal),"4,6","2,3",16,"2,1","3,7","0,87","0,348",,,['Rana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525 g,,,,,,,,,,,
603,Mélange Zen - 50g,3418659102384,,['France'],[],[],?,352,1473 kj(352 kcal),10,1,58,52,7,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,
604,Sandwich poulet,2030000077281,,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",,,,,,,,,,,,,,,,,,,,,,,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,
605,Assortiment de nougat,3760129545109,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Cuisse de dinde,2614146036601,,['France'],[],[],?,139,582 kj(139 kcal),"6,2","1,9","1,3","0,1",20,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Lily O'brien Sticky Toffee Pouch 110G,5390394005398,,['France'],[],[],?,494,2067 kj(494 kcal),"25,6",17,66,"61,8","4,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Muesli Chocolat Vrac - Grillon d'Or - 005.000kg,0113421557920421,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",['France'],[],[],?,417,1745 kj(417 kcal),13,"6,1",59,12,10,"0,16","0,064",,,"[""Grillon d'Or""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005.000 kg,,,,,,,,,,,
609,Infusion aux fruits,3700438700851,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Quatre-quarts - Joubard,3328076003808,,['France'],[],[],?,464,1941 kj(464 kcal),"25,4","16,1","53,2",29,6,1,"0,4",,D,['Joubard'],"['Biscuits et gâteaux', 'Gâteaux', 'Quatre-quarts']",25.4 g,en quantité élevée,16.1 g,en quantité élevée,29 g,en quantité élevée,1 g,en quantité modérée,,+9%,+9%,+11%,+32%,+9%,+3%,+4%,-2%,-2%,25,+10%,E,+10%,83.1%,9.9%,3.4%,1.8%,1.8%,0.0%,50,,,,,,,,,,,,
611,Filets de poulet - Carrefour,0219965027629,"['Viande Française', 'Volaille-francaise']",['France'],[],[],?,?,,?,,?,,?,,,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",C,['Carrefour'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['Barquette', 'Plastique', 'Frais']",['Carrefour'],,,,,['France'],,,,
612,8433329074902,8433329074902,,['France'],[],[],?,336,1406 kj(336 kcal),"0,5",0,79,62,5,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
