,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
1789,Financiers amandes - Bonne Maman,3770001776309,D,,,"['Sachet', 'Plastique']",['Bonne Maman'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Financiers']",,,['France'],[],,,[],,23 g,en quantité élevée,10 g,en quantité élevée,37 g,en quantité élevée,0.55 g,en quantité modérée,?,,439,-3%,1837 kj(439 kcal),-3%,23,-14%,10,-21%,48,+11%,37,+14%,"8,2",+0%,"0,55",+66%,"0,22",+66%,24,+11%,E,+11%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,,,,,
1790,Beignet Chocolat Noisette,0206254013128,,,,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,,['France'],[],,,[],,19 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,?,,394,+11%,1648 kj(394 kcal),+11%,19,+20%,"2,1",-39%,48,+6%,19,+17%,"6,7",+6%,"0,7",-5%,"0,28",-5%,13,+8%,D,+8%,,,,,,,,,,,,,
1791,Beemster de Chèvre,2852658024666,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,32,,"21,4",,0,,0,,"27,6",,2,,"0,8",,,,,,,,,,,,,,,,"['FR 59.343.030 CE', 'Lesquin (Nord, France)']",,
1792,Pain,3602826450235,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1793,Poulet fermier jaune,2209679008463,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers', 'Poulets fermiers jaunes']",,,['France'],[],,,[],,7 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,?,,149,+6%,623 kj(149 kcal),+6%,7,+8%,0,-100%,0,-100%,0,-100%,21,+4%,"0,2",+18%,"0,08",+18%,-4,,A,,,,,,,,,,,,,,
1794,Bebo vida cola,8437011767349,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1795,Saucisson de l'ardeche artisanal,2488526028216,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,"32,5",,"13,3",,"2,6",,"1,5",,25,,5,,2,,,,,,,,,,,,,,,,,,
1796,Poivre noir de Madagascar - Terre exotique,3760063339062,,,,,['Terre exotique'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1797,Confit d oignons au monbazillac - Pierre Champion - 90g,3598964200828,,,90 g,,['Pierre Champion'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,['France'],"['Oignons 78%', 'Monbazillac 10% ', 'sulfites', 'huile de tournesol', 'vin blanc ', 'sulfites', 'sucre', 'vinaigre balsamique ', 'sulfites', 'sel', 'cannelle', 'poivre']",,['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1798,Noix du bresil,5410667150447,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,692,,2895 kj(692 kcal),,67,,"17,2",,5,,2,,15,,"0,025",,"0,01",,,,,,,,,,,,,,,,,,
