,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
536,Red is Dead - Sainte-Cru - 33cl,3760084330093,['Sainte-Cru'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières rousses']",['France'],"['eau', ""malts d'orge"", 'malts de blé', 'houblons']",,,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,['Déconseillé aux femmes enceintes'],,"['Bouteille', 'Verre']",,,,['France'],,,,
537,Rooibos Caramel - Lidl - 50g,20079291,['Lidl'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,50 g,"['Agriculture durable', 'Fabriqué en Allemagne', 'en:UTZ Certified']",,,,['FSC-C115415'],,,,,,
538,Chocolat noir Tanzanie 74% - Chapon,3700251999838,['Chapon'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['pâte de cacao origine Tanzanie', 'beurre de cacao', 'SUcre de canne']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,41 g,en quantité élevée,24 g,en quantité élevée,28 g,en quantité élevée,0.005 g,en faible quantité,?,,555,-0%,2322 kj(555 kcal),+0%,41,+4%,24,+4%,28,-27%,28,-12%,11,+44%,"0,005",-89%,"0,002",-89%,22,+4%,E,+4%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
539,8851717902253,8851717902253,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Dalor Grenadine,5410483213104,,,['France'],[],,,,[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,0,,0,,84,,84,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
541,Rice & Rice Dribk,8018699009008,,,['France'],[],,,,[],,,,,,,,,,?,,55,,230 kj(55 kcal),,1,,"0,1",,11,,"7,5",,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
542,Snickers,0040000542506,,,['France'],"['almonds', 'sugar', 'vegetable oil ', 'palm oil', 'hydrogenated palm kernel oil', 'hydrogenated cottonseed oil and/or hydrogenated rapeseed oil', 'invert sugar', 'lactose', 'corn syrup', 'cocoa butter', 'skim milk', 'corn syrup solids', 'chocolate', 'dextrose', 'less than 2% - vegetable glycerine', 'milkfat', 'salt', 'calcium carbonate', 'soy lecithin', 'cocoa powder processed with alkali', 'tbhq to maintain freshness', 'natural flavor', 'allergy information: contains almonds', 'milk and soy', 'may contain other tree nuts', 'peanuts and egg,']","['E422 - Glycérol', 'E322i - Lécithine']",,"['Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,200,,837 kj(200 kcal),,12,,5,,18,,16,,3,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
543,Brownie bites - Coop,5000128763561,['Coop'],,['France'],[],,,,[],,,,,,,,,,?,,388,,1623 kj(388 kcal),,15,,"6,3",,54,,33,,"5,9",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,
544,Chocolat,3760078999572,,,['France'],[],,,,[],,,,,,,,,,?,,546,,2284 kj(546 kcal),,33,,14,,52,,45,,7,,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,,,
545,Citrus delight,5410188017687,,,['France'],[],,,,[],,,,,,,,,,?,,18,,75 kj(18 kcal),,0,,0,,"3,6",,"3,5",,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
546,mini saucissons secs piment,3466250035709,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs au piment', ""Saucissons secs au piment d'espelette""]",['France'],[],,,,[],,42 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,4.5 g,en quantité élevée,?,,492,+22%,2059 kj(492 kcal),+22%,42,+33%,15,+22%,"0,5",-78%,"0,5",-64%,28,+1%,"4,5",-4%,"1,8",-4%,26,+8%,E,+8%,D,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,
547,Riz rond gluant,8717624000454,,,['France'],[],,,,[],,,,,,,,,,?,,230,,962 kj(230 kcal),,"1,5",,0,,"79,9",,"0,12",,"7,13",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
548,Mini Vanilla Cream Puffs,8713189007761,,,['France'],[],,,,[],,,,,,,,,,?,,315,,1318 kj(315 kcal),,"23,2",,"14,9",,"21,6",,"14,2",,"4,9",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
549,Crackers mix salty - artur,5907471408999,['Artur'],,['France'],"['wheat flour', ' vegetable fat coconut', 'rapeseed oil', 'glucose syrup', 'whey powder from milk', 'sugar', ' e503', 'e500', 'e450', 'salt', 'lecithin', 'traces of sesame', 'eggs', 'soy', 'sulphites']","[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",,['Gluten'],[],4,,,,,,,,,?,,477,,1996 kj(477 kcal),,20,,11,,64,,8,,10,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
550,Moules fumées - Le choix du Président - 85g,0060383865429,['Le choix du Président'],,['France'],[],,,,[],,,,,,,,,,?,,372,,1560 kj(372 kcal),,"34,9",,"6,98",,0,,0,,"16,3",,"0,532",,"0,213",,,,,,,,,,,,,,85 g,,,['boîte'],,,,,,,,
551,9 mini flamm'kueche aperitives - Thiriet,3292590801908,['Thiriet'],,['France'],[],,,,[],,,,,,,,,,?,,342,,1431 kj(342 kcal),,24,,14,,24,,"2,4",,7,,"1,2",,"0,48",,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,
552,Ptingles paprika,5410076068128,,,['France'],[],,,,[],,,,,,,,,,?,,504,,2109 kj(504 kcal),,31,,"3,4",,51,,4,,"4,7",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
553,Aiguillettes de poulet,0211633035820,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
554,3180290100653,3180290100653,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Bonbon Cravate,3770001102177,,,['France'],[],,,,[],,,,,,,,,,?,,325,,1360 kj(325 kcal),,1,,0,,76,,56,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
556,Bread snacks,5711070509472,,,['France'],[],,,,[],,,,,,,,,,?,,493,,2063 kj(493 kcal),,25,,"2,2",,"57,7",,"7,9",,"9,2",,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,
557,Diabolo grenadine Sprink's -,3564800814269,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Diabolo']",['France'],"['Eau gazéifiée ', ' sucre ', ' jus de fruits à base de concentrés ', 'fraise 0,1 %', 'framboise 0,1 %', ' colorants : anthocyanes', 'E120 ', ' acidifiant: acide citrique ', ' arôme naturel']","['E163 - Anthocyanes', 'E120 - Acide carminique', 'E330 - Acide citrique']",,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,9.2 g,en quantité élevée,0.01 g,en faible quantité,?,,37,+9%,155 kj(37 kcal),+8%,"0,5",+82%,"0,1",+90%,"9,2",+10%,"9,2",+10%,"0,5",+58%,"0,01",-20%,"0,004",-20%,13,+12%,E,+12%,,,,,,,,,,,,,,,,,,,,
558,Miso,4710783088473,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Rhum Bielle,3760002990064,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Tomme des Pyrénées IGP,2225661020015,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",['France'],[],,,,[],,29 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.75 g,en quantité élevée,?,,343,-1%,1435 kj(343 kcal),-1%,29,+2%,19,-5%,1,-22%,0,-100%,20,-7%,"1,75",-2%,"0,7",-2%,16,-1%,D,-1%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
561,Pilons de poulet,0225343017120,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Manchons de poulet']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,
562,15606600,15606600,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Chou frisé,7613312118245,,,['France'],[],,,,[],,,,,,,,,,?,,30,,126 kj(30 kcal),,1,,"0,5",,4,,"0,6",,1,,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,,,,
564,Filets de poulet roti,2917253002713,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],,,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,2 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,4,+593%,2,+362%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,"['Viande Française', 'Volaille-francaise']",,,,,,,,,,
565,Santal Frutos Vermelhos,5603089006663,['Santal'],,['France'],[],,,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,0,,0,,12,,12,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
566,Terrine à la Royale,3382562770124,,,['France'],[],,,,[],,,,,,,,,,?,,342,,1431 kj(342 kcal),,30,,11,,"2,4",,"0,6",,15,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
567,Sardine a l'huile pimentée -,6111260550229,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile""]",['France'],[],,,,[],,10.3 g,en quantité modérée,2.73 g,en quantité modérée,0.1 g,en faible quantité,1.01 g,en quantité modérée,?,,193,-20%,808 kj(193 kcal),-19%,"10,3",-39%,"2,73",-26%,"0,4",-3%,"0,1",-58%,"24,9",+17%,"1,01",+11%,"0,404",+11%,3,-43%,C,-43%,D,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,['Conserve'],,,,,,,,
568,Il pesto di pra,8032649300403,,,['France'],[],,,,[],,,,,,,,,,?,,557,,2330 kj(557 kcal),,56,,13,,3,,0,,"8,9",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
569,pate de thon et citron,5411736113257,,,['France'],[],,,,[],,,,,,,,,,?,,266,,1113 kj(266 kcal),,"21,2",,"1,7",,"1,9",,"0,2",,"16,6",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,
570,Fromage blanc framboises 3% MG,17545051,,,['France'],[],,,,[],,,,,,,,,,?,,96,,402 kj(96 kcal),,3,,2,,12,,12,,"5,1",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
571,Emilia,8004735065077,,,['France'],[],,,,[],,,,,,,,,,?,,546,,2284 kj(546 kcal),,32,,"19,7",,"55,8",,"55,8",,"8,7",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
572,Galaxy Counters Chocolate Pouch,5000159491310,['Galaxy'],,['France'],[],,,,[],,,,,,,,,,?,,528,,2209 kj(528 kcal),,"28,9",,"17,3",,"58,8",,"58,3",,"7,1",,"0,31",,"0,124",,,,,,,,,,,,,,,,,,,,,,,,,
573,Caol Ila Moch Islay Single Malt Scotch Whisky (1 x 0.7 L),5000281028026,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Sirop Mojito,3275130007671,,,['France'],[],,,,[],,,,,,,,,,?,,358,,1498 kj(358 kcal),,0,,0,,89,,89,,0,,0,,0,,,,,,,,,,,,,,,['Produits faisant référence au Mojito'],,,,,,,,,,
575,Sauce Carbonara,00670289,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Couilles celtes bio sarrasin chancre,3760099510725,,,['France'],[],,,,[],,,,,,,,,,?,,432,,1807 kj(432 kcal),,"25,3",,"2,7",,"41,9",,"26,8",,"7,7",,"0,61",,"0,244",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
577,Soupe de cresson,3346751112065,,,['France'],[],,,,[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"2,2",,"1,3",,"3,2",,"0,4",,"0,8",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,
578,Cheetos Pandilla,8410656007636,['Cheetos'],"['Snacks', 'Snacks salés']","['France', 'Espagne']",[],,,,[],,23 g,en quantité élevée,3.34 g,en quantité modérée,2.67 g,en faible quantité,1.5 g,en quantité modérée,?,,480,+4%,2008 kj(480 kcal),+4%,23,-5%,"3,34",-21%,"59,8",+25%,"2,67",-18%,"5,8",-32%,"1,5",-3%,"0,6",-3%,14,+15%,D,+15%,,,,,,,,,,,,,,,,,,,,
579,Limonade,3770010656012,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Tortillons -,8413760011032,,,['France'],"['Farine de BLE', 'margarine végétale ', 'graisses végétales ', 'palme', 'coco', 'huile vegétale ', 'tournesol', 'eau', 'émulsifiants ', 'E-471', ' E-322', 'sel', "" corecteur d'acidité "", 'E-330', 'conservateur ', 'E-202', 'antioxydants ', 'E-306', 'E-3041', ' arômes]', 'sucre', 'eau', 'gluten de BLE', 'extrait de MALTE en poudre', 'maltodéxtrines', 'protéines de SOJA', 'sel', 'miel et arôme', ' POUVANT CONTENIR DES TRACES DE FRUITS A COQUE', 'DE SESAME', 'DE LAIT ET DE PRODUITS A BASE DE CEUX-CI']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols']",,"['Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,540,,2259 kj(540 kcal),,31,,15,,59,,20,,"5,4",,"0,92",,"0,368",,,,,,,,,,,,,,,,,,,,,,,,,
581,Yoggi líquido,8435257040745,,,['France'],[],,,,[],,,,,,,,,,?,,76,,318 kj(76 kcal),,"1,1",,"0,7",,14,,14,,"2,9",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,
582,Croquante aux amandes - dhv - 250g,31000000,['Dhv'],['Confiseries des voges'],['France'],[],,,,[],,4.5 g,en quantité modérée,0.37 g,en faible quantité,91.5 g,en quantité élevée,0.0188 g,en faible quantité,?,,?,,,,"4,5",,"0,37",,"91,5",,"91,5",,"1,2",,"0,019",,"0,008",,,,,,,,,,,,,,250g,"['Sans colorants', 'Dhv']",,['Sachet'],,,,,,,,
583,Ch Lions des Aubrots bio,3496631330086,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
584,Fraise,5410057195942,,,['France'],[],,,,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,0,,0,,90,,68,,0,,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,
585,Pasteis de nata,0202180023941,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Pastel de nata']",['France'],[],,,,[],,10 g,en quantité modérée,7.7 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en quantité modérée,?,,251,-8%,1050 kj(251 kcal),-9%,10,-11%,"7,7",+35%,33,-11%,20,-4%,"4,7",+15%,"0,5",+11%,"0,2",+11%,16,+17%,D,+17%,,,,,,,,,,,,,,,,,,,,
586,Rôti de filet de dinde saumuré - Thiriet,3292590851354,['Thiriet'],,['France'],[],,,,[],,,,,,,,,,?,,103,,431 kj(103 kcal),,1,,"0,2",,"0,8",,"0,8",,23,,"0,86",,"0,344",,,,,,,,,,,,,,,,['Thiriet'],,,,,,,,,
587,Gluten free organic wholegrain puffed rice cereal,5013665101413,,,['France'],[],,,,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,2,,"0,5",,81,,"0,7",,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
588,Galette - quaker,8410199015495,['Quaker'],['es:Galletas con avena'],"['France', 'Espagne']",[],,,,[],,14.2 g,en quantité modérée,2.1 g,en quantité modérée,13.8 g,en quantité élevée,0.5 g,en quantité modérée,?,,433,,1812 kj(433 kcal),,"14,2",,"2,1",,"65,2",,"13,8",,"8,1",,"0,5",,"0,2",,12,,D,,,,,,,,,,,,,,,,,,,,,
589,Mousse au chocolat,5425016570708,,"['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']",['France'],[],,,,[],,16.9 g,en quantité modérée,10.5 g,en quantité élevée,22.7 g,en quantité élevée,0.3 g,en quantité modérée,?,,280,+2%,1172 kj(280 kcal),+4%,"16,9",+2%,"10,5",+4%,"23,9",+9%,"22,7",+14%,"6,9",+17%,"0,3",+37%,"0,12",+37%,19,+44%,E,+44%,D,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,,,,,,,,,,
590,Del Valle,7802820000030,,,['France'],[],,,,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,4,,0,,"4,7",,"4,7",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
591,Isotónico - loading - 420g,8410191802109,['Loading'],['Compléments alimentaires'],"['France', 'Espagne']",[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.12 g,en faible quantité,?,,22,-92%,92 kj(22 kcal),-92%,0,-100%,0,-100%,"5,52",-71%,"5,1",-28%,0,-100%,"0,12",-78%,"0,048",-78%,1,-85%,B,-85%,,,,,,,,,420 g,,,,,,,,,,,
592,Selection fruits,6111242103429,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Confiture de fraises de plougastel,3260260212057,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],,,,[],,0.2 g,en faible quantité,0 g,en faible quantité,38.7 g,en quantité élevée,0.018 g,en faible quantité,?,,165,-24%,690 kj(165 kcal),-24%,"0,2",-17%,0,-100%,"40,4",-24%,"38,7",-24%,"0,8",+81%,"0,018",-21%,"0,007",-21%,9,+3%,C,+3%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
594,Boule froment,,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Three friends,4770149203407,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,SiBIO,3760227110742,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Lait demi écrémé,8413176922366,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",['France'],[],,,,[],,1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,6",-5%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,1",-10%,"0,04",-10%,0,-100%,B,-100%,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,
598,Sedaap Mie Goreng Cup 81Gr - 10,8998866200813,,,['France'],['Rh-60'],,,,[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,17,,7,,54,,5,,7,,"1,05",,"0,42",,,,,,,,,,,,,,10,,,,,,,,,,,
599,Fromage de tête piment x2 - Le Fleuron - 160g,3700337101841,['Le Fleuron'],"['Viandes', 'Charcuteries']","['France', 'La Réunion']","['Ingrédients Viande de tête de porc ', '90%', 'sel', 'épices', 'piment ', '1,5%', 'plantes aromatiques', 'huile végétale', 'protéine de porc', 'dextrose', 'acidifiants : E200', 'E330', 'E331', 'conservateur E202', 'épaississants E407', 'E415', 'E508', 'arômes', ' Origine de la viande : Réunion', ' Sans sel nitrité et sans polyphosphates']","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition']",,,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,20 g,en quantité modérée,7.3 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,?,,257,-2%,1075 kj(257 kcal),-0%,20,+4%,"7,3",+0%,0,-100%,0,-100%,19,+2%,"2,3",-3%,"0,92",-3%,20,+25%,E,+25%,,,,,,,,,160 g,['Sans colorants'],,['Frais'],['La Réunion'],"['FR 97.416.003 CE', 'Saint-Pierre (La Réunion, France)']",Fromage de tête piment x2,['Réunion'],,,,
600,Aperi Crock Noisette - Le Fleuron - 100g,3700337100646,['Le Fleuron'],"['Viandes', 'Charcuteries']","['France', 'La Réunion']","['Viande de porc', 'noisette ', '4,5%', 'sel', 'lactose', 'dextrose', 'épices', 'sucre', 'ferment', 'boyau naturel de mouton', 'arôme naturel de poivre', 'flore de surface', ' Antiagglomérant: ESS1', ' Conservateur E252', ' 175g de viande de porc utilisée pour 100g de produit fini', ' Produit sujet à dessiccation', ' Origine de la viande: Réunion', ' FR']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,"['Lait', 'Fruits à coque']","['Non végétalien', 'Non végétarien']",4,23 g,en quantité élevée,9.1 g,en quantité élevée,1.8 g,en faible quantité,5.5 g,en quantité élevée,?,,342,+31%,1431 kj(342 kcal),+32%,23,+19%,"9,1",+25%,"1,8",+22%,"1,8",+126%,31,+66%,"5,5",+131%,"2,2",+131%,23,+44%,E,+44%,,,,,,,,,100g,,,['Plastique'],['La Réunion'],,Aperi crock Noisette,['Réunion'],,,,
601,Earl Grey goût Russe,3760166261819,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Ahmad Green Mint Tea,0054881007511,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",['France'],[],,,,[],,,,,,,,,,?,,2,-83%,8 kj(2 kcal),-83%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,1,-76%,B,-76%,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
603,Gratin pomme de terre - Bofrost - 720g,0999769006791,['Bofrost'],"['Plats préparés', 'Gratins', 'Gratins de pomme de terre']","['France', 'Allemagne']",[],,,,[],,7.9 g,en quantité modérée,5.6 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,?,,153,+16%,640 kj(153 kcal),+18%,"7,9",+14%,"5,6",+38%,"17,7",+59%,2,+27%,"2,4",-43%,1,+38%,"0,4",+38%,9,+77%,C,+77%,B,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,720g,,,['Barquette'],,,,,,,,
604,Haribo Tagada,8691216050495,['Haribo'],,['France'],[],,,,[],,,,,,,,,,?,,376,,1573 kj(376 kcal),,"0,1",,"0,1",,90,,77,,"3,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
605,Miettes de thon à l'huile de tournesol - auchan - 80g,3596710438693,['Auchan'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", 'Miettes de thon', ""Thons à l'huile de tournesol""]",['France'],"['Thon ', 'poisson', 'huile de tournesol', ' sel']",,,['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,15 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,225,+15%,941 kj(225 kcal),+15%,15,+20%,"1,8",+8%,0,-100%,0,-100%,23,+29%,"1,2",+14%,"0,48",+14%,3,+32%,C,+32%,E,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,80 g,['Produit en braille'],['Auchan'],['Conserve'],,['ES 12.06648/C CE'],Miettes de thon à l'huile de tournesol,['auchan production'],,,,
606,Hydratempo - Soin minute Swiss Expert,3700100721061,['Soin minute Swiss Expert'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Truffade recette Auvergnate,3701062200380,,,['France'],[],,,,[],,,,,,,,,,?,,146,,611 kj(146 kcal),,"7,3",,"3,3",,13,,"0,573",,"6,2",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
608,Haricots géants,3276350021874,,,['France'],[],,,,[],,,,,,,,,,?,,297,,1243 kj(297 kcal),,"1,2",,"0,3",,"41,3",,"2,3",,"21,2",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,
