,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
37,Tournesol grillé et salé - Grau,8413762250200,,['Grau'],,['France'],"['graine} de toumesol', 'sel', 'farine de riz', ' Origine: Argentine']",[],,,,,,,,,?,,657,,2749 kj(657 kcal),,"58,2",,"5,7",,"5,6",,"3,5",,24,,"8,1",,"3,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Caldo Vegetal - Knorr - 240g,8413800085313,,['Knorr'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons de légumes', 'Bouillons cubes', 'Bouillons de légumes déshydratés', 'Bouillons cube de légumes']","['France', 'Espagne']","['Sal', 'grasas y aceite vegetales ', '20%', ' ', 'grasa de palma', 'grasa de palma totalmente hidrogenada', 'aceite de oliva virgen extra ', '9,7%', 'potenciadores del sabor ', 'glutamato monosódico', 'inosinato y guanilato disódicos', 'hortalizas y verduras deshidratadas ', '7,5% ', ' ', 'cebolla', 'puerro', 'espinacas', 'tomate', 'col', 'zanahoria', 'extracto de levadura', 'almidón de patata', 'azúcar', 'especias ', 'contiene APIO', 'zumo de zanahoria deshidratado', 'jarabe de caramelo', 'aromas']","['Huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,271,+39%,1134 kj(271 kcal),+48%,21,+96%,13,+156%,11,-44%,"3,2",-44%,"9,2",+156%,"49,4",+83%,"19,76",+83%,,,,,,,,,,,,240 g,"['Végétarien', 'en:gluten-free', 'Agriculture durable', 'Végétalien', 'Sans colorants', 'Sans conservateurs']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,['Céleri'],"['Caja', 'Cartón', 'Papel']",['España'],,['Carrefour'],,,Caldo de verduras (vegetal) en cubitos,,,,
39,Fruits secs,8413895002677,,,,['France'],[],[],,,,,,,,,?,,449,,1879 kj(449 kcal),,13,,"5,3",,71,,"0,5",,"7,2",,2,,"0,8",,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,,,,,
40,Paella Seasoning Sachets (5X3G) 30 x 15G -,8413900081079,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",['France'],"['Piment Rouge', 'Poivre', 'Safran des Indes', 'Laurier', 'Ail', 'Thym et Safran 2%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
41,Burriac Pimientas Exóticas,8413900081581,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Chocolats au lait - Chocolate Amatller,8413907866600,E,['Chocolate Amatller'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],[],[],36 g,en quantité élevée,23 g,en quantité élevée,52 g,en quantité élevée,0.25 g,en faible quantité,?,,568,+3%,2377 kj(568 kcal),+3%,36,+4%,23,+17%,54,+4%,52,+6%,7,-2%,"0,25",+7%,"0,1",+7%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,28,+10%,E,+10%,,,,,,,,,,,,,,,,
43,Chocolate con leche - Simón Coll,8413907959302,E,['Simón Coll'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],[],[],39 g,en quantité élevée,25 g,en quantité élevée,47 g,en quantité élevée,0.2 g,en faible quantité,?,,577,+4%,2414 kj(577 kcal),+5%,39,+13%,25,+28%,48,-8%,47,-4%,7,-2%,"0,2",-14%,"0,08",-14%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,27,+6%,E,+6%,,,,,,,,,,,,,,,,
44,Coulis de tomates fraîches - Capell - 700g e,8414092002026,A,['Capell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Coulis de tomates']","['Belgique', 'France']",['Tomates biologiques'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.77 g,en faible quantité,0 g,en faible quantité,2.4 g,en faible quantité,0.14 g,en faible quantité,?,,33.65,-11%,141 kj(33 kcal),-8%,"0,77",+217%,0,-100%,"4,44",-27%,"2,4",-53%,"1,69",+6%,"0,14",-64%,"0,056",-64%,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,-6,,A,,700 g e,"['Bio', 'Bio européen', 'ES-ECO-019-CT', 'Agriculture UE', 'AB Agriculture Biologique']",,1,,"['Verre', 'Bocal', 'métal']",['Espagne'],,['The Barnes'],,,Sauce tomate bio,,,,
45,Tomates Entière  pelées bio - Capell - 660g,8414092002064,A,['Capell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Tomates et dérivés', 'Tomates', 'Tomates en conserve', 'Tomates pelées', 'Tomates entières pelées']","['Belgique', 'France']","['Tomates biologiques', ' e 60 g Poids net']",[],0 g,en faible quantité,0 g,en faible quantité,3.3 g,en faible quantité,0 g,en faible quantité,?,,20,-20%,84 kj(20 kcal),-18%,0,-100%,0,-100%,"4,5",+21%,"3,3",+2%,"1,1",-5%,0,-100%,0,-100%,67.0%,0.0%,0.0%,15.7%,13.1%,4.3%,97,-5,,A,,660g,"['Bio', 'Bio européen', 'ES-ECO-019-CT', 'AB Agriculture Biologique']",,1,,['Bocal'],,,['Bio'],,,,,,,
46,Schweppes Naranja 1L,8414100305453,,['Schweppes'],,['France'],[],[],,,,,,,,,?,,29,,121 kj(29 kcal),,0,,0,,"6,9",,"6,7",,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sunny fraise -,8414100332442,,,['Boissons'],"['France', 'Espagne']",[],[],0.1 g,en faible quantité,0 g,en faible quantité,2.4 g,en faible quantité,0.1 g,en faible quantité,?,,12,-79%,50 kj(12 kcal),-79%,"0,1",-71%,0,-100%,"2,5",-78%,"2,4",-75%,0,-100%,"0,1",+141%,"0,04",+141%,,,,,,,,4,-48%,C,-48%,,,,,,,,,,,,,,,,
48,May Tea menthe - 1l,8414100364047,,['May Tea'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons sans alcool', 'Thés glacés']","['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,4.7 g,en quantité modérée,0.03 g,en faible quantité,?,,20,-9%,84 kj(20 kcal),-9%,0,-100%,0,-100%,"4,8",-9%,"4,7",-7%,0,-100%,"0,03",+7%,"0,012",+7%,,,,,,,,7,-4%,D,-4%,1 l,"['Sans colorants', 'Sans conservateurs', 'Sans édulcorants']",,,,['botella de plástico'],,,['Amazon'],,,,,,,
49,Iberian Ham Jamón Ibérico - 100g,8414139005430,,,,['France'],[],[],,,,,,,,,?,,456,,1908 kj(456 kcal),,"27,1",,"3,3",,"42,8",,"2,3",,7,,"0,89",,"0,356",,,,,,,,,,,,,100 g,,,,,,,,,,,,,,,
50,Toca Honey Raw Organic Chestnut Honey 270G,8414260178546,B,['Toca'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",['France'],['miel de châtaignier biologique'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",0.01 g,en faible quantité,0 g,en faible quantité,65.4 g,en quantité élevée,0.01 g,en faible quantité,?,,313,+16%,1310 kj(313 kcal),+16%,"0,01",-92%,0,-100%,"77,9",+12%,"65,4",+6%,1,+207%,"0,01",+291%,"0,004",+291%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['Bio'],,2,,,,,,,,,,,,
51,Chorizo extra picante - Serra - 140g,8414384801504,D,['Serra'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['France'],"['Viande et graisse de porc', 'poivrons', 'sel', 'lactose', 'dextrine', 'protéines de lait', 'épices', 'ail', 'sucre', 'stabilisant ', 'E-450iii', 'antioxydant ', 'E-301', 'conservateurs ', 'E-250', 'E-252', ' et colorant ', 'E-120']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",39 g,en quantité élevée,14 g,en quantité élevée,4.4 g,en faible quantité,3.4 g,en quantité élevée,?,,485,+19%,2029 kj(485 kcal),+19%,39,+15%,14,+9%,"8,5",+191%,"4,4",+146%,25,+9%,"3,4",-9%,"1,36",-9%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,26,+9%,E,+9%,140 g,,"['E1400 - Dextrines', 'E450iii - Diphosphate tétrasodique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",4,['Lait'],,,,,,,,,,,
52,Chorizo extra dulce - Sera,8414384821502,,['Sera'],"['Viandes', 'Charcuteries', 'Saucissons']",['France'],"['INGRPDIENTES Carne y grasa de cerdo', 'pimentones', 'sal', 'lactosa', 'dextrina', 'proteinas de la leche', 'especias', 'ajo', 'azúcar', 'estabilizante ', 'E-450iii', 'antioxidante ', 'E-301', 'conservadores ', 'E-250', 'E-252', ' colorante ', 'E-120', ' Tripa natural comestible', ' Producto sujeto a desecaci6n']","['Non végétalien', 'Non végétarien']",39 g,en quantité élevée,14 g,en quantité élevée,4.4 g,en faible quantité,3.35 g,en quantité élevée,?,,485,+26%,2029 kj(485 kcal),+25%,39,+27%,14,+18%,"8,5",+294%,"4,4",+231%,25,-1%,"3,35",-20%,"1,34",-20%,,,,,,,,26,+11%,E,+11%,,,"['E1400 - Dextrines', 'E450iii - Diphosphate tétrasodique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",4,['Lait'],,,,,,,,,,,
53,Mielcaña Ms. Honey Carmen Reed - Ingenio Nuestra Señora del Carmen,8414445101222,B,['Ingenio Nuestra Señora del Carmen'],"['Édulcorants', 'Sirops', 'Sirops simples', 'Mélasses']","['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0 g,en faible quantité,?,,290,+1%,1213 kj(290 kcal),+0%,0,-100%,0,-100%,75,+5%,75,+16%,0,-100%,0,-100%,0,-100%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,13,0%,D,0%,,,,,,,,,,,,,,,,
54,Cebolla Frita Muy Crujiente - Santa Rita,8414452010258,E,['Santa Rita'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']","['France', 'Espagne']",[],[],45.1 g,en quantité élevée,23 g,en quantité élevée,8.5 g,en quantité modérée,1.5 g,en quantité modérée,?,,590,+4%,2469 kj(590 kcal),+4%,"45,1",+7%,23,+26%,"42,5",+6%,"8,5",-20%,6,+2%,"1,5",+36%,"0,6",+36%,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,16,+19%,D,+19%,,,,,,,,,,,,,,,,
55,Frutas del bosque,8414500210319,,,,['France'],[],[],,,,,,,,,?,,338,,1414 kj(338 kcal),,"1,6",,"1,1",,13,,13,,"3,4",,"0,125",,"0,05",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
56,Manzana - Florette - 80g,8414516000232,B,['Florette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']","['France', 'Espagne']","['Manzana', 'Antioxidante ', 'E-302']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0 g,en faible quantité,10.4 g,en quantité modérée,0 g,en faible quantité,?,,53,+13%,222 kj(53 kcal),+16%,"0,2",-32%,0,-100%,"11,4",+8%,"10,4",+28%,"0,3",-17%,0,-100%,0,-100%,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,-5,,A,,80 g,,['E302 - Ascorbate de calcium'],1,,['Plástico'],,,['Eroski'],,,,http://www.florette.es/,,,
57,Picatistes césar - Florette,8414516091094,,['Florette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']","['Belgique', 'France', 'Espagne']","['cubos de pan de trigo tostado ', '82,6%', ' ', 'harina de trigo', 'semillas de sésamo', 'aceite vegetal ', 'girasol', 'dextrosa', 'gluten de trigo', 'levadura', 'sal', 'suero de leche', 'extracto de malta de cebada', 'antioxidante ', 'E300', 'aceite de oliva', 'aroma de queso ', '5%', ' ', 'suero de leche', 'sal', 'azúcar', 'queso en polvo', 'potenciador del sabor ', 'E621', 'cebolla en polvo', 'leche en-polvo', 'queso cheddar maduro en polvo', 'ajo en polvo', 'extracto de levadura', 'aroma']",['Non végétalien'],15 g,en quantité modérée,2.6 g,en quantité modérée,6.5 g,en quantité modérée,1.9 g,en quantité élevée,?,,446,+21%,1866 kj(446 kcal),+20%,15,+320%,"2,6",+245%,66,-7%,"6,5",+44%,"9,7",-13%,"1,9",+40%,"0,76",+40%,,,,,,,,16,+156%,D,+156%,,,"['E300 - Acide ascorbique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",4,"['Gluten', 'Graines de sésame']",['Plastico'],,,,,,,,,,
58,5 semillas - Florette,8414516108570,,['Florette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']","['France', 'Espagne']",[],[],46 g,en quantité élevée,5.8 g,en quantité élevée,2.2 g,en faible quantité,0.04 g,en faible quantité,?,,549,+81%,2297 kj(549 kcal),+82%,46,+585%,"5,8",+567%,"2,2",-95%,"2,2",+69%,26,+117%,"0,04",-84%,"0,016",-84%,,,,,,,,11,,D,,,,,,,['Plástico'],,,,,,,,,,
59,Fragata Sweet Orange - La Vieja Fábrica,8414555001009,D,['La Vieja Fábrica'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]","['France', 'Espagne']","['Naranjas', 'azúcar', 'gelificante ', 'pectina', 'corrector de acidez ', 'acido citrico', 'conservador ', 'E-202', ' antioxidante ', 'acido ascorbico']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,,216,+0%,904 kj(216 kcal),+1%,0,-100%,0,-100%,53,+1%,53,+5%,"0,4",-19%,0,-100%,0,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,7,-25%,C,-25%,,['en:gluten-free'],"['E440 - Pectines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,
60,Alo'e mango - Alo Drink Canarias - 250ml,8414606821921,B,['Alo Drink Canarias'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'aloe-vera"", 'Boissons avec sucre ajouté']",['France'],"['Aloe vera ', '46 %', ' jus et pulpe', 'eau', 'sucre', ""correcteur d'acidité "", 'acide citrique', 'arôme mangue']",['Sans huile de palme'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.075 g,en faible quantité,?,,40,+33%,167 kj(40 kcal),+31%,0,,0,,"9,5",+25%,0,-100%,0,-100%,"0,075",+397%,"0,03",+397%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,4,-53%,C,-53%,250 ml,,['E330 - Acide citrique'],4,,"['Canette', 'métal', 'Aluminium']","['Vietnam', 'Asie']",,,,,Boisson,https://www.alo-e.es,,,
61,Trident - Hierbabuena,8416400914052,,['Trident'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']",['France'],[],[],0.2 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.03 g,en faible quantité,?,,156,-7%,653 kj(156 kcal),-7%,"0,2",-16%,"0,1",-25%,63,-1%,"0,1",-98%,"0,4",+145%,"0,03",+14%,"0,012",+14%,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Gelatina Sabor Ananás - Royal,84100825,,['Royal'],"['Desserts', 'Desserts gélifiés']",['France'],"['Agua', 'açúcar', 'gelatina ', '1,5 %', ' ', 'reguladores de acidez ', 'ácido fumarico', 'citrato trisódico', 'aromas', 'antioxidante ', 'ácido ascórbico', 'corante ', 'E-100']",[],0.1 g,en faible quantité,0.1 g,en faible quantité,13.5 g,en quantité élevée,0.13 g,en faible quantité,?,,60,+15%,251 kj(60 kcal),+14%,"0,1",+183%,"0,1",+277%,"13,5",+30%,"13,5",+50%,"1,3",+10%,"0,13",-8%,"0,052",-8%,,,,,,,,2,+89%,B,+89%,,,['E100 - Curcumine'],4,,,,,,,,,,,,
63,Batido Fresa - choleck,84150066,D,['Choleck'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés à la fraise']","['France', 'Espagne']",[],[],1 g,en faible quantité,0.7 g,en faible quantité,11 g,en quantité élevée,0.13 g,en faible quantité,?,,60,+3%,251 kj(60 kcal),+2%,1,+59%,"0,7",+71%,11,+7%,11,+10%,"1,6",-38%,"0,13",+20%,"0,052",+20%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,17,+34%,E,+34%,,,,,,,,,,,,,,,,
64,Trident Max Spearmint,84199089,,['Trident'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']","['France', 'Espagne']",[],[],1.4 g,en faible quantité,1.1 g,en faible quantité,0.1 g,en faible quantité,0.02 g,en faible quantité,?,,168,+5%,703 kj(168 kcal),+5%,"1,4",+611%,"1,1",+848%,64,+2%,"0,1",+72%,"0,4",+210%,"0,02",-7%,"0,008",-7%,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,
65,Campifood Tortilla Pomme De Terre Poivron 500G - Te gusta - 500g,8420056030509,B,"['Te gusta', 'Campifood', 'Campifood France']","['Plats préparés', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Omelettes de pommes de terre']",['France'],"['Pommes de terre ', '45%', 'œuf pasteurisé ', '26%', 'poivron rouge ', '11%', 'poivron vert ', '5,5%', 'huile de tournesol', 'oignon frit ', 'oignons', ""huile d'olive"", 'sel et jus de citron', ""huile d'olive "", '1%', ' et sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",10 g,en quantité modérée,1.5 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,169,+6%,707 kj(169 kcal),+7%,10,+6%,"1,5",-15%,13,+10%,"0,6",-36%,"4,8",-8%,"1,3",+21%,"0,52",+21%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,6,+59%,C,+59%,500 g,"['Point Vert', 'Fabriqué en Espagne']",,3,['Œufs'],"['Frais', 'Plastique', 'Pasteurisé']",['Espagne'],"['ES 26.03635/SG CE', 'ES 26.5665/M CE']",['Cora'],,,,,,,
66,chips croustillantes au poivron et piment d’espelette AOP - te gusta,8420056439302,,['te gusta'],,['France'],"['Pomme de terre', 'huile de tournesol', ""piment d'Espelette "", '1 ,5%', 'piment et sel', ' A conserver dans un endroit frais et sec', ""à l'abri de la lumière""]",[],,,,,,,,,?,,513,,2146 kj(513 kcal),,30,,"3,3",,30,,1,,"7,1",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Miel,8420433003164,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,75.1 g,en quantité élevée,,,?,,302,+4%,1264 kj(302 kcal),+4%,0,-100%,0,-100%,"75,1",-2%,"75,1",+8%,"0,4",+23%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,
68,Miel - valle del pirineo - 1kg,8420433003300,,['valle del pirineo'],['Alimentaire'],['France'],"['MEZCLA DE MIELES ORIGINARIAS Y NO ORIGINARIAS DE LA U', 'E', '/BARREJADE MELS ORIGINARIES NO ORIGINARIES DE LA U', 'E', '/MELANGE DE MIEL ORIGINAIRES ET NON ORIGINAIRES DE LA ULE Intormación Nutricional/Informació Nutricional/']",[],0 g,en faible quantité,0 g,en faible quantité,75.1 g,en quantité élevée,0 g,en faible quantité,?,,302.2,+17%,1264 kj(302 kcal),+30%,0,-100%,0,-100%,"75,1",+140%,"75,1",+418%,"0,4",-90%,0,-100%,0,-100%,,,,,,,,13,+43%,D,+43%,1kg,['en:gluten-free'],,,,['pot en verre de 1kg'],['Espagne'],,,['Espagne'],,,,,,
69,Kinder blanco - La Ibense Bornay,8420720043118,B,['La Ibense Bornay'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']","['France', 'Espagne']",[],[],8.2 g,en quantité modérée,5.2 g,en quantité élevée,26.5 g,en quantité élevée,0.09 g,en faible quantité,?,,195,-11%,816 kj(195 kcal),-11%,"8,2",-25%,"5,2",-24%,"27,7",+6%,"26,5",+18%,"2,6",-22%,"0,09",-40%,"0,036",-40%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,12,-5%,D,-5%,,,,,,,,,,,,,,,,
70,Gelli sweet - Reina,8420756003926,,['Reina'],,['France'],"['Eau', 'sucre', 'dextrose', 'stabilisants', ' E407', 'E410', 'E509', ""correcteurs d'acidité "", 'E330', 'E331', 'E332', 'arômes et colorants ', 'E100', 'E140ii']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,323,,1351 kj(323 kcal),,0,,0,,19,,18,,0,,"0,2",,"0,08",,,,,,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E332 - Citrates de potassium', 'E100 - Curcumine', 'E140ii - Chlorophyllines']",4,,,,,,,,,,,,
71,Flan vanilla - Reina,8420756004466,,['Reina'],,['France'],[],[],,,,,,,,,?,,115,,481 kj(115 kcal),,"1,8",,"1,2",,"22,4",,18,,"2,2",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tortilla receta Casera - Palacios,8420878591004,B,['Palacios'],"['Plats préparés', 'Omelettes de pommes de terre']",['France'],[],[],11 g,en quantité modérée,1.8 g,en quantité modérée,0.6 g,en faible quantité,0.81 g,en quantité modérée,?,,173,+9%,724 kj(173 kcal),+9%,11,+17%,"1,8",+2%,12,+2%,"0,6",-36%,"5,7",+9%,"0,81",-24%,"0,324",-24%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,3,-20%,C,-20%,,"['en:gluten-free', 'Sans colorants', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,,,,,
73,Queso fresco 0% -,8420891010520,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['France'],"['LECHE desnatada pasterizada de vaca', 'cuajo y sal', ' E', 'S', ' min', ' 18%']",[],0.19 g,en faible quantité,0.12 g,en faible quantité,4 g,en faible quantité,1 g,en quantité modérée,?,,296,-10%,1238 kj(296 kcal),-10%,"0,19",-99%,"0,12",-99%,4,+231%,4,+439%,"12,5",-39%,1,-23%,"0,4",-23%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,2,-85%,B,-85%,,,,3,['Lait'],,,,,,,,,,,
