,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
39,Vegetarian Southern Fried Burger - Quorn,5019503023251,['Quorn'],,"['Belgique', 'France']","['La Quorn Burgers Southern Fried ne contiennent pas de viande et sont fabriqués à partir de mycoprotéine', 'Protéines végétales ', '50 %', 'farine de I blé ', 'contient un ajout de calcium', 'fer', 'niacine & thiamine', 'eau', 'huile végétale ', 'huile de tournesol', 'I huile de colza', 'blanc d œuf de ferme réhydraté', 'protéines de lait', 'arômes naturels', 'sel', ""épices et I extraits d'épices "", 'poivre noir', 'poivre de cayenne', 'I fenugrec', 'noix de muscade', 'extrait de poivre noir', 'extrait de fenouil', 'extrait de piment', 'gluten de bléf amidon de blé', 'levure', 'raffermissant: chlorure da calcium', 'acétate de calcium', 'couleur: extrait de paprika gélifiant: pectine', ' farine de riz Aux Allergies: Pour les allergènes', 'y compris les céréales qui contiennent du gluten', 'voir ingrédients imprimés en gras', ' Il ya eu quelques rares cas connus de réaction allergique au produits Quorm Celui-ci contient de la protéine végétale et fait partie de la famille des ±ampignons La mycoprotéine est riche en protéines intolérance']",['Non végétalien'],?,230,962 kj(230 kcal),"9,5","1,1","18,8","2,2","14,6","1,3","0,52",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits panés', 'Substituts de viande']",,['Delhaize'],"['E263 - Acétate de calcium', 'E160c - Extrait de paprika', 'E440 - Pectines']","['Gluten', 'Lait']",4,9.5 g,en quantité modérée,1.1 g,en faible quantité,2.2 g,en faible quantité,1.3 g,en quantité modérée,,+20%,+20%,+8%,-19%,+81%,+36%,+3%,+20%,+20%,-2,-290%,A,-290%,,,,,,,,,,,,,
40,Mature cheddar - Wyke Farms - 200g,5021427903748,['Wyke Farms'],"['Bio', 'Bio européen', 'GB-ORG-05', 'Soi association organic']",['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques ', 'lait', 'coagulant végétal', "" Lait issu de l'agriculture biologique"", ' Sel non-bio']",['Non végétalien'],?,416,1741 kj(416 kcal),"34,9","21,7","0,1","0,1","25,4","1,8","0,72",200 g,['Plastique'],C,Fromage cheddar à pâte pressée non cuite au lait de vache pasteurisé,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars', 'Cheddar mûr']",,,,['Lait'],3,34.9 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,,+1%,+1%,+3%,+3%,-85%,-55%,+4%,+7%,+7%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,['UK SS209 EC'],,
41,Colin d Alaska pané - 500g,20933869,,"['Point Vert', 'Fabriqué en Belgique', 'Pêche durable', 'Pêche durable MSC']",['France'],[],[],?,191,799 kj(191 kcal),"9,1","1,1",17,"0,9",10,"1,2","0,48",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-50356'],,
42,Lentilles Sachet Cuisson - Tipiak,3600900021166,['Tipiak'],,['France'],[],[],?,345,1443 kj(345 kcal),"1,8","0,3",47,"4,3",25,"0,5","0,2",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles brunes']",,,,,,1.8 g,en faible quantité,0.3 g,en faible quantité,4.3 g,en faible quantité,0.5 g,en quantité modérée,,+42%,+41%,+22%,+15%,+43%,+247%,+40%,+73%,+73%,1,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,
43,Puré de manzana y piña ecológico - Clearspring,5021554986133,['Clearspring'],"['Bio', 'Sans sucre ajouté']",['France'],[],[],?,59,247 kj(59 kcal),"0,2","0,1",13,13,"0,5","0,01","0,004",,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes ananas']",,,,,,0.2 g,en faible quantité,0.1 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,,+2%,+2%,-42%,-19%,+3%,+12%,+13%,+62%,+62%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,
44,Clipper Organic White Tea X26 Tea Bags - 45g,5021991999710,['Clipper'],"['Bio', 'Bio européen', 'GB-ORG-05', 'en:Soil Association Organic']","['France', 'Royaume-Uni']",['ORGANICALLY GROWN WHITE TEA'],[],7,4,,"0,007",,"0,637",,"0,1",,,45 g,['Box'],A,White tea,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés en sachets']",['UK'],['Sainsburys'],,,,,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,
45,70% Cocoa Hot Chocolate - Whittard,5022032097181,['Whittard'],,['France'],"['Cacao ', '70%', 'Sucre', 'Arôme', ' \rContient solides de Cacao 70% minimum']",[],?,403,1686 kj(403 kcal),"14,6","8,8","43,1","30,2","15,3","0,025","0,01",,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Flavour instant tea mango & passionfruit - Whittard,5022032114925,['Whittard'],,['France'],"['Sucre', ""Régulateur d'acidité: E330 "", 'Acide Citrique', 'Extrait de Thé Noir ', 'l %', 'Arôme']",[],?,383,1602 kj(383 kcal),0,0,96,94,0,0,0,,,,,,,,['E330 - Acide citrique'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tropicana Orange and Mango Juice - 850ml,5022313312101,['Tropicana'],"['Produit compensé carbone', 'en:FSC', 'FSC Mix', 'Source de vitamine C', 'en:Contains naturally occurring sugars', 'en:Not from concentrate']","['France', 'Royaume-Uni']","['Orange juice ', '85%', 'Mango purée ', '15%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",201,47,201 kj(47 kcal),0,0,10,10,"0,8",0,0,850ml,"['Brick', 'composite-carton', 'mixed plastic-lid']",D,Orange and mango juice,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,,,1,0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,+4%,+2%,+5%,-100%,-100%,-6%,+3%,+105%,-100%,-100%,4,+5%,C,+5%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,https://tropicana.co.uk/our-products/our-fruit-blends/orange-and-mango/,,,,,
48,Orange & Lime Juice - Tropicana,5022313313160,['Tropicana'],,['France'],"['Orangc juicc ', '94', '5%', 'grapc juicc ', '5%', 'limc juicc ', '0', '5%', ' NOT FROM CONCENTRATE']",[],?,43,180 kj(43 kcal),0,0,"9,1","9,1","0,7",0,0,,,,,['Boissons'],,,,,,0 g,en faible quantité,0 g,en faible quantité,9.1 g,en quantité élevée,0 g,en faible quantité,,-23%,-25%,-100%,-100%,-19%,-4%,+41%,-100%,-100%,13,+70%,E,+70%,,,,,,,,,,,,,
49,Sanitary Pads - Tropicana,5022313333298,"['Tropicana', 'Always']",,['France'],"['Fruit juices and purees ', 'Orange 339%', 'Anole Gape', 'Pineapple 8%', 'Passionfruit 5%', 'Aprict aa Mango 2', '5%', 'Peach', 'Guava', 'Pear', 'Lemon', ',Vitamins EE2 Riboflavin', 'B6', 'B1 ', 'Thiamin', ' and Beta cargtene ES and purees not from concentrate', ' Shake well for hea']",[],?,48,201 kj(48 kcal),0,0,11,11,"0,5",0,0,,['pet-bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Penis Pasta - Spencer & Fleetwood,5022782000936,['Spencer & Fleetwood'],,"['France', 'Espagne']",[],[],?,376,1573 kj(376 kcal),2,0,74,4,14,0,0,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",,,,,,2 g,en faible quantité,0 g,en faible quantité,4 g,en faible quantité,0 g,en faible quantité,,+13%,+13%,-23%,-100%,+20%,+44%,+21%,-100%,-100%,-1,,A,,,,,,,,,,,,,,
51,Barres NINE Cacahuète - 9nine - 160g,5024278001434,"['9nine', 'Nine']","['en:gluten-free', 'Sans arômes artificiels']",['France'],"['MÉLANGE DE GRAINES ', 'TOURNESOL', 'POTIRON', 'SÉSAME', 'CHANVRE DÉCORTIQUÉ', ' ', '45%', 'CACAHUÈTES ', 'ARACHIDES', ' CUITES ', '33%', 'SIROP DE RIZ', 'SUCRE', 'HUILES VÉGÉTALES ', 'HUILE DE PALME', 'HUILE DE COLZA', 'SEL']",['Huile de palme'],2291,551,2291 kj(551 kcal),42,"7,7",21,15,20,,,160 g,"['Carton', 'Papier', 'Boîte en carton']",,Barre aux graines,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques', 'Barres de cacahuètes', 'Barres de graines']",,"['Magasins U', 'Noz']",,"['Arachides', 'Graines de sésame']",3,42 g,en quantité élevée,7.7 g,en quantité élevée,15 g,en quantité élevée,,,,+5%,+3%,+17%,+7%,-32%,-40%,+22%,,,,,,,,,,,,,,,['Huile de palme'],,,,
52,Protein Bar - SIS,5025324009169,['SIS'],,['France'],"[',Tablctta à protétncs aromatiséo chocolat ct cacahoutto Ingrédlcrtts: Mélange do protéines à 25% ', 'caséinate de calcium ', 'lait', 'gluten de blé hydrolysé', 'protéine lactosérique ', 'lait', 'protéine de soja', 'protéine du lait', 'sirop de glucose', 'chocolat au lait à ', 'sucre', 'beurre do cacao', 'mdre de tan entier', 'pâto de cacao', 'émulsifiant ', 'lécithine de soja', 'arocnatiWib', 'sirop da sucre inverÜ', 'hydrolysat de gelatino', 'à 3', '7%', 'pailcttes au soja ', 'yotéine do soja', 'tapioca amidon', 'sel', 'graisse de palme', 'agents arornatisarrts', 'émulsifiant ', 'lécithine de sola', 'de L-Carnitine', 'extrait de thé ved', 'sel', ' Informations sur Contient ca±uètes', 'lait', 'soja', 'gluten']","['Huile de palme', 'Non végétalien']",?,405,1695 kj(405 kcal),12,6,39,33,36,"0,6","0,24",,,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,,['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']",4,12 g,en quantité modérée,6 g,en quantité élevée,33 g,en quantité élevée,0.6 g,en quantité modérée,,+9%,+9%,-8%,+2%,+19%,+148%,+23%,+22%,+22%,19,+84%,E,+84%,,,,,,,,,['Huile de palme'],,,,
53,Hummus Chips Tomato and Basil Flavour - Cofresh,5026489483962,['Cofresh'],,['France'],[],[],?,480,2008 kj(480 kcal),24,"1,8","57,5","2,6","6,4","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Extra Virgin Olive Oil - Tesco - 1l,5031021679253,['Tesco'],"['Végétarien', 'Végétalien']","['France', 'Royaume-Uni']",['Extra virgin olive oil'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,900,3700 kj(900 kcal),100,"14,3",0,0,0,0,0,1l,"['Bottle', 'Plastic', 'pet-bottle']",D,Extra virgin olive oil,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['United Kingdom'],['Tesco'],,,2,100 g,en quantité élevée,14.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+5%,+3%,+5%,+2%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,https://www.tesco.com/groceries/en-GB/products/254516076,,,,,
55,Purée d'Amande Biologique - Biona Organic - 170g,5032722305830,['Biona Organic'],"['Bio', 'Bio européen', 'Agriculture UE', 'NL-BIO-01', 'en:palm-oil-free']",['France'],"[""Amandes* = ISSUS de l'agriculture biologique""]",['Sans huile de palme'],2492,595,2492 kj(595 kcal),"49,9","3,8","9,1","4,3","21,2","< 0,01","0,004",170 g,,,Organic Almond Butter - Beurre d'amande biologique,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,,['Fruits à coque'],1,49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.3 g,en faible quantité,0.01 g,en faible quantité,-5%,-6%,-6%,-7%,-15%,+7%,-13%,-3%,-40%,-40%,-1,-126%,A,-126%,,,,,,,,,,,,,
56,Houmous - Al'fez - 160g,5034444112666,"[""Al'fez""]","['Végétarien', 'Végétalien']","['Belgique', 'France', 'Suisse']","['pois chiches 39%', 'eau', 'pâte de sésame', ""huile d'olive"", ""purée d'ail "", 'avec acidifiant: acide citrique', 'jus de citron concentré', 'sel de cuisine', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",765,182,765 kj(182 kcal),"12,7","2,1",12,"0,4",7,"1,09","0,436",160 g,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",,['Delhaize'],['E330 - Acide citrique'],,3,12.7 g,en quantité modérée,2.1 g,en quantité modérée,0.4 g,en faible quantité,1.09 g,en quantité modérée,-30%,-31%,-30%,-37%,-15%,+13%,-70%,+8%,+5%,+5%,0,-100%,B,-100%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,
57,Noisette - Innocent - 750ml,5038862130707,['Innocent'],"['Végétarien', 'Végétalien', 'Sans additifs', 'en:The Vegan Society', 'Source de vitamine E', 'Sans ajout de produit laitiers', 'en:No stabilisers', 'en:Sourced sustainably']","['France', 'Royaume-Uni']","['Spring water', 'rice ', '11%', 'hazelnuts ', '5', '8%', 'sea salt']","['Sans huile de palme', 'Végétalien', 'Végétarien']",302,72,302 kj(72 kcal),"3,9","0,3","8,3","2,9",1,"0,05","0,02",750 ml,['01 PET'],E,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Fruits à coques', 'Noisettes', 'Boissons végétales', 'Boissons végétales de fruits à coque', 'Boissons végétales de noisette']",,"[""Sainsbury's""]",,['Fruits à coque'],3,3.9 g,en quantité modérée,0.3 g,en faible quantité,2.9 g,en quantité modérée,0.05 g,en faible quantité,,+41%,+44%,+47%,+6%,+43%,-19%,+43%,-50%,-50%,-5,-6102%,A,-6102%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,1,https://www.innocentdrinks.co.uk/things-we-make/dairy-free-range/hazelnut,,,,,
58,Coco pops - Kellogg's - 295g,5050083545221,"[""Kellogg's""]",,"['France', 'Irlande', 'Espagne']",[],[],?,382,1598 kj(382 kcal),"1,9","0,9",84,17,"6,3","0,65","0,26",295g,"['Carton', 'Plastique']",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,,,1.9 g,en faible quantité,0.9 g,en faible quantité,17 g,en quantité élevée,0.65 g,en quantité modérée,,-4%,-4%,-78%,-59%,+26%,+2%,-32%,+82%,+82%,6,+11%,C,+11%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,
59,Mug Shot Deliciously Creamy Cheese Pasta,5050665031487,['Mug Shot'],,['France'],"['Pâtes déshydratées ', '56%', ' [semoule de blé dur', ' sirop de glucose déshydraté', 'amidon de pomme de terre', 'poudre de fromage ', '5,8%', ' ', 'lait', ' lactosérum en poudre ', 'lait', 'huile de palme', 'arômes ', ""contient de l'orge"", 'du lait', 'sel', 'oignon en poudre', 'protéines de lait', 'persil déshydraté', 'stabilisateur ', 'phosphate dipotassique', 'émulsifiant ', ""mono et diglycérides d'acides gras"", 'extrait de levure']","['Huile de palme', 'Non végétalien']",?,108,452 kj(108 kcal),"1,7","0,9","19,5","2,1","3,4","0,725","0,29",,,,,,,,"['E340ii - Phosphate dipotassique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,
60,Onion Rings Snacks - Tesco,5051008187991,['Tesco'],,['France'],[],[],?,515,2155 kj(515 kcal),"27,1","2,6",61,"7,3",6,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Free From Natural Yogurt - Tesco,5052909067979,['Tesco'],,"['France', 'Royaume-Uni']","['Water', 'Hulled Soya Bean ', '9%', 'Calcium Phosphate', 'Bacterial Cultures']",[],?,46,192 kj(46 kcal),"2,6","0,4",1,"0,4","4,6","0,1","0,04",,['pp-pot'],,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,1,2.6 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,,-50%,-50%,-20%,-80%,-91%,-96%,+22%,-13%,-13%,-2,-165%,A,-165%,,,,,,,,,,,,,
62,Honey Nut Chocolate Clusters - Tesco,5052910392978,['Tesco'],,"['France', 'Royaume-Uni']","['Oat Flakes ', '39%', 'Milk Chocolate ', '15%', 'Sugar', 'Cornflakes', 'Rapeseed Oil', 'Peanut ', '5%', 'Crisped Rice', 'Germ ', 'Maize', 'Honey ', '2%', 'Desiccated Coconut', 'Salt', 'Malted Barley Extract', ' Milk Chocolate contains: Sugar', 'Cocoa Mass', 'Cocoa Butter', 'Dried Whole Milk', 'Dried Skimmed Milk', 'Flavouring', 'Emulsifier ', 'Soya Lecithins', ' Cornflakes contain: Maize', 'Sugar', 'Barley Malt', 'Salt', 'Niacin', 'Iron', 'Vitamin B6', 'Folic Acid', 'Vitamin B2', 'Vitamin B1', 'Vitamin B12', ' Crisped Rice contains: Rice Flour', 'Wheat Flour ', 'Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Barley Malt', 'Sunflower Oil', 'Emulsifier ', 'Sunflower Lecithins']",['Non végétalien'],?,454,1900 kj(454 kcal),"16,7","4,3","64,3","26,1","8,8","0,5","0,2",,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat', 'Pépites de céréales croustillantes', 'Pépites de céréales au chocolat']",,,['E322 - Lécithines'],"['Gluten', 'Arachides', 'Soja']",4,16.7 g,en quantité modérée,4.3 g,en quantité modérée,26.1 g,en quantité élevée,0.5 g,en quantité modérée,,-2%,-2%,-10%,-24%,+5%,+24%,+11%,+33%,+33%,16,+45%,D,+45%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,
63,Kellogs extra fruit - kellogg's,5053827137195,"[""kellogg's""]",,"['France', 'Espagne']",[],[],?,471,1971 kj(471 kcal),21,11,62,27,"6,2","0,63","0,252",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,,,,,21 g,en quantité élevée,11 g,en quantité élevée,27 g,en quantité élevée,0.63 g,en quantité modérée,,+18%,+18%,+141%,+400%,-7%,+62%,-34%,+76%,+76%,22,+308%,E,+308%,,,,,,,,,,,,,
64,Free From Chocolate Chip Cookie Dairy Free - Tesco,5054775347322,['Tesco'],['en:gluten-free'],"['France', 'Royaume-Uni']",[],[],?,488,2042 kj(488 kcal),22,"10,2","65,6","29,4","5,2","0,4","0,16",,"['mixed plastic film-wrapper', 'tray']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Myprotein Creatine Monohydrate 250 Tablets,5055534300206,['Myprotein'],,"['France', 'Espagne']",[],[],?,1,4 kj(1 kcal),1,1,1,0,1,0,0,,,,,['Compléments alimentaires'],,,,,,1 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-84%,-60%,-95%,-100%,-97%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,
66,Myprotein Impact Whey Protein Banana 1000 GM,5055534302583,['Myprotein'],,['France'],"['Concentré de Protéine de Whey ', 'Lait', ' [96%]', 'Emulsifiant ', 'Lécithine de Soja', ' Arôme', 'Colorant [Curcumin', 'Edulcorant ', 'Sucralose']",['Non végétalien'],?,409,1711 kj(409 kcal),"7,4",5,"5,2","5,2",80,"0,2","0,08",,,,,,,,"['E322i - Lécithine', 'E100 - Curcumine', 'E955 - Sucralose']","['Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Impact Whey, Strawberry - Myprotein",5055534302842,['Myprotein'],['en:gluten-free'],['France'],[],[],?,395,1653 kj(395 kcal),"7,1","4,8","7,9","3,8",75,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Impact Whey Isolat - Myprotein,5055534303139,['Myprotein'],,['France'],"['INGREDIENTS isolat de Protéine ce Whey ', 'Lait', ' ', '96%', 'Emulsifiant ', 'Lécithine deSoja Arôma Ecul:arant ', 'Sucratse', ' ALLERGÈNES Pour les allergènes', ""va r ingrédients en gras Peut aussi contenir œuf DOSAGE SUGGERÉ Les protéines ctnt'iouent à la croissan% et au maintien de la masse musculaire donc"", 'afin de tirer parti au mieux', ' de ce produit', 'nous recomman±ns dajouter grandes mesa* ', ""25} à ISO-250mI d'eau cu de lait tans un shaker Myprotein 30 minutes avant et/ou après v:tie Séance d'ent•aînement Comme alternative"", 'consommerà tout moment de la ,cuenée pour augmente - votre apport quotidien en proté nes INFORMATIONS IMPORTANTES Accnserver dans un endroit frais et sec', ""à l'abri de la lumière 2e produit est destiné à être utilisé en complément d'un mode de vie actif' directe du solei dtun2 alimentat équilibrée Convient aux végéta - iens""]",['Non végétalien'],?,369,1544 kj(369 kcal),"0,3","0,2","5,4","5,4",86,"0,5","0,2",,,,,,,,['E322i - Lécithine'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,MyVegan Pea Protein Isolate - MyProtein,5055534303436,['MyProtein'],"['Végétarien', 'Végétalien']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,388,1623 kj(388 kcal),"5,5",1,"2,6",1,80,"1,9","0,76",,['Product'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Impact Whey Protein, Natural Chocolate - Myprotein - 5Kg",5055534320273,['Myprotein'],,['France'],"['Concentré de Protéine de Whey ', 'Lait 91%', 'Émulsifiant ', 'Lécithine de Soja', 'Cacao en Poudre', 'Arôme', 'Édulcorant ', 'Sucralose']",['Non végétalien'],?,387,1619 kj(387 kcal),"7,6",5,6,"4,4",72,"0,25","0,1",5Kg,['Plastique'],,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,,"['E322i - Lécithine', 'E955 - Sucralose']","['Lait', 'Soja']",4,7.6 g,en quantité modérée,5 g,en quantité modérée,4.4 g,en faible quantité,0.25 g,en faible quantité,,+4%,+4%,+75%,+187%,-15%,+42%,+2%,-67%,-67%,1,-77%,B,-77%,,,,,,,,,,,,,
71,"Impact Whey Isolate, Chocolate Banana - Myprotein",5055534336878,['Myprotein'],,['France'],[],[],?,364,1523 kj(364 kcal),"1,4","0,9","4,5",4,82,"0,5","0,2",,,,,['Compléments alimentaires'],,,,,,1.4 g,en faible quantité,0.9 g,en faible quantité,4 g,en faible quantité,0.5 g,en quantité modérée,,+25%,+26%,-78%,-64%,-76%,-44%,+140%,-10%,-10%,-1,-115%,A,-115%,,,,,,,,,,,,,
