,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
43,Paté au piment d'espelette bio,3529358615515,['France'],[],[],?,354,1481 kj(354 kcal),32,11,"1,9","0,7",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
44,Bethmale - Fromapac,3529380007166,['France'],[],[],?,371,1552 kj(371 kcal),31,22,1,"0,5",22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,,
45,Bleu auvergne (28% MG) - Fromapac - 200g,3529380007173,['France'],"['lait pasteurisé de vache', 'sel', 'présure', 'ferments lactiques', 'pénicillium']","['Sans huile de palme', 'Non végétalien']",1419,?,1419 kj(339 kcal),28,20,"1,5","0,5",21,"2,6","1,04",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages pasteurisés', ""Bleus d'Auvergne""]",28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,-1%,,-1%,-2%,-0%,+108%,+67%,+2%,-3%,-3%,19,0%,E,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,200 g,['Fromapac'],,['Lait'],3,,['Frais'],,"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,['AOP'],,"['Saint-Flour', 'Cantal', 'Auvergne Rhône-Alpes', 'France']",,,,
46,Fromage brie 60%mg - Fromapac,3529380007197,['France'],[],[],?,351,1469 kj(351 kcal),31,22,1,"0,5",17,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,,
47,Fromage cantal jeune - Super u,3529380007203,['France'],"['LAIT pasteurisé de vache', 'sel', 'présure', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,372,1556 kj(372 kcal),30,22,"1,5","0,5",24,"1,9","0,76",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Cantal', 'Cantal jeune']",30 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+1%,+1%,+2%,+6%,0%,+52%,0%,+2%,+2%,17,+2%,D,+2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Super u'],,['Lait'],3,,,,,,,,,,,,
48,Edam - Fromapac,3529380007241,['France'],[],[],?,321,1343 kj(321 kcal),"23,7",16,"0,5","0,5","26,2","2,5",1,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Edam']",23.7 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,+1%,+1%,-2%,-2%,+121%,+178%,+4%,+18%,+18%,19,+12%,E,+12%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Fromapac'],,,,,,,,,,,,,,,
49,"Gouda au lait pasteurise, 30%MG",3529380007302,['France'],[],[],?,371,1552 kj(371 kcal),"30,5",21,"0,5","0,5","23,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Fromage gouda au cumin - Gouda de hollande - 200g,3529380007319,['France'],[],[],?,375,1569 kj(375 kcal),"30,8",21,"0,5","0,5","23,7","1,9","0,76",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",30.8 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+0%,+1%,0%,0%,+122%,+131%,0%,+4%,+4%,17,+3%,D,+3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,200g,['Gouda de hollande'],,,,,,,,,,,,,,,
51,"Mimolette au lait pasteurise, 23%MG - Na",3529380007333,['France'],"['MIMOLETTE JEUNE Ingrédients LAIT pasteurisé de vache ', 'Origine : UE', 'sel', 'ferments lactiques', 'chlorure de calcium', 'colorant E160b', 'conservateur de croûte E235']",[],?,321,1343 kj(321 kcal),"23,7","16,1","0,4","0,1","26,1","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Na'],['E160b - Rocou'],['Lait'],4,,,,,,,,,,,,
52,"Fromage Morbier, - Perrin",3529380007357,['France'],"['LAIT cru de vache', 'sel', 'ferments lactiques', 'présure', 'charbon végétal']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,361,1510 kj(361 kcal),29,18,"1,7","0,5",23,"1,5","0,6",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",29 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,+2%,+2%,+1%,-8%,+119%,+20%,+2%,+5%,+5%,15,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Perrin'],['E153 - Charbon végétal médicinal'],['Lait'],4,,,,,,,,,,,,
53,"Fromage Reblochon Laitier,",3529380007388,['France'],[],[],?,330,1381 kj(330 kcal),"27,6","16,9","0,1","0,1","20,8","1,2","0,48",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",27.6 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.2 g,en quantité modérée,,+2%,+2%,+3%,-10%,-73%,-56%,+4%,-10%,-10%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,
54,3529380008866,3529380008866,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Brie - U,3529380010463,['France'],[],[],?,351,1469 kj(351 kcal),31,22,1,"0,5",17,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U'],,,,,,,,,,,,,,,
56,Bleu d auvergne - Fromapac,3529380010470,['France'],[],[],?,342,1431 kj(342 kcal),28,20,"1,5","0,5",21,"2,6","1,04",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', ""Bleus d'Auvergne""]",28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,,-1%,-1%,-2%,-0%,+108%,+67%,+2%,-3%,-3%,19,0%,E,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Fromapac'],,,,,,,,,,,,,,,
57,Selles sur cher aop,3529380012887,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sainte Maure de Touraine (23% MG) - Sans marque - 250g,3529380013037,['France'],"['Lait cru de chèvre', 'sel', 'ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,299,1251 kj(299 kcal),23,"19,3","0,5","0,5",18,"1,6","0,64",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages au lait cru', 'Fromages à pâte molle à croûte naturelle', 'Sainte-Maure de Touraine']",23 g,en quantité élevée,19.3 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+7%,+7%,+1%,+14%,-49%,-12%,+1%,+14%,+14%,15,+11%,D,+11%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,250 g,['Sans marque'],,['Lait'],3,,"['Barquette', 'Plastique']",['Intermarché'],"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,['AOP'],,,,,,
59,Saint Marcellin (20% MG) - Sans marque - 160g,3529380013235,['France'],"['Lait entier cru de vache', 'sel', 'ferments lactiques', 'présure', 'chlorure de calcium']",[],?,?,,20,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages au lait cru', 'Saint-Marcellin']",20 g,en quantité modérée,,,,,,,,,,-12%,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,160 g,['Sans marque'],,['Lait'],3,,"['Barquette', 'Plastique']",['Intermarché'],"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,
60,Abondance AOP - Fromapac,3529380014348,['France'],[],[],?,420,1757 kj(420 kcal),35,"23,8","0,8","0,3","25,3","1,6","0,64",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",35 g,en quantité élevée,23.8 g,en quantité élevée,0.3 g,en faible quantité,1.6 g,en quantité élevée,,+5%,+5%,+6%,+10%,+25%,+7%,+1%,+1%,+1%,17,+8%,D,+8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Fromapac'],,,,,,,,,['AOP'],,,,,,
61,Brie - Le Chef Crémier,3529380014683,['France'],"['100% farine de sarrasin ', 'dite blé noir']",[],?,351,1469 kj(351 kcal),31,22,1,"0,5",17,"1,4","0,56",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",31 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+13%,+13%,+20%,+21%,+43%,+32%,-10%,-12%,-12%,11,-26%,D,-26%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"['Le Chef Crémier', 'Tradition Bretagne']",,,3,,,,,,,,,,,,
62,Plateau 4 fromages -,3529380014874,['France'],[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,['Dia'],,,,,,,,,
63,Brie pasteurisé - Fromapac,3529380016526,['France'],[],[],?,351,1469 kj(351 kcal),31,22,1,"0,4",17,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,,
64,Tomme Blanche - Fromapac,3529380016533,['France'],[],[],?,360,1506 kj(360 kcal),32,28,"0,5","0,5",18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,,
65,Brie pasteurisé - Fromapac,3529380016540,['France'],[],[],?,351,1469 kj(351 kcal),31,22,1,"0,5",17,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,,
66,Buche de chevre - Fromapac,3529380016755,['France'],[],[],?,309,1293 kj(309 kcal),25,18,1,"0,5",20,"1,6","0,64",E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",25 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+8%,+8%,+9%,+12%,-30%,-15%,+7%,+13%,+13%,15,+9%,D,+9%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,['Fromapac'],,,,,,,,,,,,,,,
67,Edam Hollande - Fromapac,3529380016885,['France'],[],[],?,324,1356 kj(324 kcal),"23,9","16,6","0,5","0,5","26,3","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fromapac'],,,,,,,,,,,,,,,
68,Gouda au cumin - Fromapac,3529380016892,['France'],[],[],?,376,1573 kj(376 kcal),"30,6","21,4","0,5","0,5","23,8","1,7","0,68",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas au cumin']",30.6 g,en quantité élevée,21.4 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,,+1%,+1%,-1%,+2%,+122%,+131%,+0%,-7%,-7%,16,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Fromapac'],,,,,,,"['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,
69,Emmental - Fromapac,3529380017011,['France'],[],[],?,368,1540 kj(368 kcal),28,20,1,"0,1",28,"0,5","0,2",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",28 g,en quantité élevée,20 g,en quantité élevée,0.1 g,en faible quantité,0.5 g,en quantité modérée,,-2%,-2%,-4%,+2%,+50%,-76%,+1%,-23%,-23%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Fromapac'],,,,,,,,,,,,,,,
70,Tomme des Pyrénées igp - Fromapac,3529380017080,['France'],[],[],?,346,1448 kj(346 kcal),28,20,"1,5","0,5",22,"1,8","0,72",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-0%,-0%,-1%,+1%,+17%,+54%,+2%,+1%,+1%,16,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Fromapac'],,,,,,,,,['Point Vert'],,,,,,
71,La Cadenette - Vignoble Dideron - 5litre,3529592105018,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,5litre,['Vignoble Dideron'],,,,,['Cubi'],,,['Domaine de la Cadenette'],,,['pays du Gard'],http://www.domaine-cadenette.fr,,,
72,Siracanta - Vignobles Dideron - 75cl,3529592105704,['France'],"['Vin rouge biologique ', 'sulfites']",['Sans huile de palme'],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Costières de Nîmes', 'Vins Biologiques']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75 cl,"['Vignobles Dideron', 'Domaine de la Cadenette']",,['Anhydride sulfureux et sulfites'],3,Vin bio,"['Verre', 'Bouteille']",,,['France'],"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'Contient des sulfites', 'AB Agriculture Biologique', 'Déconseillé aux femmes enceintes', 'Origine France', 'Agriculture France', 'Vendanges manuelles']",,['France'],,,,
73,Rôti de porc cuit choix en gelée - Pierre Champion,3529670500209,['France'],[],[],?,104,435 kj(104 kcal),"3,5","1,3","0,5","0,5",18,"0,97","0,388",E,"['Viandes', 'Porc', 'Rôtis de porc']",3.5 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,0.97 g,en quantité modérée,,-28%,-27%,-30%,-38%,-39%,-20%,-20%,-44%,-44%,1,-86%,B,-86%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,['Pierre Champion'],,,,,,,,,,,,,,,
74,Le bloc de Foie Gras de Canard du Sud-Ouest - Pierre Champion - 65g,3529670500711,['France'],"['Foie gras de canard', 'eau', 'sel', 'Armagnac', 'poivre', 'sucre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,485,2029 kj(485 kcal),50,21,"2,3","0,9",6,"1,1","0,44",A,"['Conserves', 'Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,,-1%,-1%,-1%,-2%,+8%,-32%,-2%,-10%,-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,65 g,['Pierre Champion'],,,3,,['Conserve'],,,['France'],,,['France'],,,,
75,Galantine de volaille - Pierre Champion,3529670501237,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pierre Champion'],,,,,,,,,,,,,,,
76,Coq au vin de Bergerac - Pierre Champion - 400g,3529670501718,['France'],"['Cuisses de poules assaisonnées 60% ', 'cuisse de poule', 'vin rouge', 'sel', 'amidon modifié E1422', 'sucre', 'poivre', 'sauce ', 'vin rouge de Bergerac 15%', 'eau', 'farine de blé', 'amidon modifié E1422', 'graisse de canard', 'fond de volaille ', 'fécule de pomme de terre', 'sel', 'arômes', 'graisse de poulet', 'plantes aromatiques', 'poulet déshydraté', 'poireaux déshydratés', 'carotte déshydratée', 'épices', 'sang de porc déshydraté', 'sucre', 'poivre', ""pulpe d'ail "", 'ail', 'sel', 'lardons fumés ', 'poitrine de porc', 'eau', 'sel', 'dextrose', 'sucre', 'nitrite de sodium et salpêtre', 'érythorbate de sodium']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Pierre Champion'],"['E1422 - Adipate de diamidon acétylé', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",['Gluten'],4,Coq au vin,['Conserve'],,"['FR 19.031.002 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,,,,,,
77,Garniture pour salade landaise - Pierre Champion - 160g,3529670503101,['France'],"[""Gésiers d'oie émincés 80% "", ""gésiers d'oie"", 'sel', 'conservateur : nitrite de sodium', 'huile de tournesol', 'maïs doux en grains 6% ', 'maïs', 'sucre', 'sel', 'pignons de pin 6%']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 g,['Pierre Champion'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,['Conserve'],,,,,,,,,,
78,La tajine de poulet aux fruits séchés - Pierre Champion - 400g,3529670503668,['France'],"['Cuisse de poulet 60% ', 'poulet', 'sel', 'sauce ', 'eau', 'amidon modifié', 'sucre', 'plantes aromatiques', 'arômes', 'épices', 'farine de blé', 'fécule de pomme de terre', 'sel tomate déshydratée', 'épaississant : gomme xanthane', 'fruits séchés 12', '5% ', 'abricots séchés', 'figues séchées', 'raisins secs', ""agents d'enrobage : amidon de riz"", 'dextrose et huile de tournesol', 'conservateur : anhydride sulfureux ', 'sulfites']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,D,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés en conserve', 'Plats au poulet', 'Tajine', 'Tajines de poulet']",,,,,,,,,,,,,,,,,,,,,,,79.2%,13.1%,2.3%,3.2%,1.3%,0.9%,42,400g,['Pierre Champion'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']","['Gluten', 'Anhydride sulfureux et sulfites']",4,tajine de poulet aux fruits séchés,"['Conserve', 'Métal']",['Noz'],"['FR 19.031.002 CE', 'Brive-la-Gaillarde (Corrèze, France)']",,,,,,,,
79,"La terrine au Foie de Canard et au Piment d'Espelette, 65g,m. - Pierre Champion",3529670503736,['France'],[],[],?,?,,?,,?,,?,,,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,['Pierre Champion'],,,,,,,,,,,,,,,
80,Crème légère,3529674500236,['France'],[],[],?,140,586 kj(140 kcal),12,"8,5","4,4","4,4",3,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Jus de fruits bio pomme framboise,3529751120135,['France'],[],[],?,42,176 kj(42 kcal),"0,15","0,01",10,"9,6","0,2","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Sans sucre ajouté']",,,,,,
82,1L Jus Pomme Poire,3529751120241,['France'],[],[],?,48,201 kj(48 kcal),"0,01","0,01",12,12,"0,1","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
83,Galets des aresquiers,3529820190007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bougnette catalane,3529820700008,['France'],[],[],?,30,126 kj(30 kcal),"39,4","6,8","50,6","22,2","6,7","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Pain biologique au seigle,3529900500603,['France'],[],[],?,255,1067 kj(255 kcal),"1,4","0,3",51,"1,9","7,1","1,6","0,64",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de seigle']",1.4 g,en faible quantité,0.3 g,en faible quantité,1.9 g,en faible quantité,1.6 g,en quantité élevée,,+10%,+11%,-29%,-12%,+22%,-35%,+3%,+40%,+40%,6,+445%,C,+445%,51.1%,24.1%,13.7%,10.1%,1.0%,0.0%,94,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,
86,Crostie choco noisette,35283485,['France'],[],[],?,429,1795 kj(429 kcal),14,"2,8",62,29,"9,2","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,
87,Avoine chocolata - Bjorg,35286165,['France'],[],[],?,454,1900 kj(454 kcal),18,"3,1",61,16,"7,9","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bjorg'],,,,,,,,,['Fabriqué en France'],,,,,,
88,Chocolat noir - Monsieur Txokola - 95g,3530019003787,['France'],[],[],2260,?,2260 kj(540 kcal),38,"8,5",33,30,3,1,"0,4",E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",38 g,en quantité élevée,8.5 g,en quantité élevée,30 g,en quantité élevée,1 g,en quantité modérée,-1%,,-3%,-4%,-63%,-15%,-5%,-61%,+2041%,+2041%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,95 g,['Monsieur Txokola'],,,,,,,,,,,,,,,
89,Soupe paysane en morceaux,3530340000011,['France'],[],[],?,16,67 kj(16 kcal),"0,1","0,01","2,85","0,95","0,45","0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Soupe paysanne,3530340000028,['France'],[],[],?,16,67 kj(16 kcal),"0,1","0,01","2,85","0,95","0,45","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Soupe de carottes,3530340000035,['France'],[],[],?,17,71 kj(17 kcal),"0,06","0,01","3,4","1,22","0,48","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Soupe de poireaux pommes de terre,3530340001032,['France'],[],[],?,19,79 kj(19 kcal),"0,1",0,"3,6","0,21","0,56","0,51","0,204",,"['Plats préparés', 'Soupes']",0.1 g,en faible quantité,0 g,en faible quantité,0.21 g,en faible quantité,0.51 g,en quantité modérée,,-67%,-67%,-95%,-100%,-37%,-88%,-75%,-41%,-41%,2,+22%,B,+22%,,,,,,,,,,,,,,,,,,,,,,,,
93,Soupe à l'oigon,3530340001094,['France'],[],[],?,58,243 kj(58 kcal),"4,69","0,64","2,55","1,74","0,47","0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Soupe De Carottes,3530340003029,['France'],[],[],?,17,71 kj(17 kcal),"0,1",0,"3,4","1,22","0,47","0,53","0,212",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de carottes']",0.1 g,en faible quantité,0 g,en faible quantité,1.22 g,en faible quantité,0.53 g,en quantité modérée,,-48%,-52%,-94%,-100%,-12%,-37%,-38%,-23%,-23%,2,+3%,B,+3%,21.3%,35.1%,16.9%,11.3%,10.8%,4.5%,98,,,,,,,,,,,,,,,,,
95,La crème fraîche épaisse - Paysan Breton Professionnel - 1kg,3530383015102,['France'],"['Crème', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,30,,?,,?,,,B,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",30 g,en quantité élevée,,,,,,,,,,+1%,,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,1 kg,"['Paysan Breton Professionnel', 'Paysan Breton']",,['Lait'],3,,"['Pot', 'Plastique']",,"['FR 22.389.001 CE', ""Yffiniac (Côtes-d'Armor, France)""]","['France', 'Bretagne', 'Pays de la Loire']",['en:produced-in-bretagne'],,"[""Côtes d'Armor"", 'Bretagne', 'France']",,,,
96,Miel de fleurs crémeux - RUCHER DU DONON - 500g,3530469000039,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels crémeux']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,500 g,['RUCHER DU DONON'],,,2,,"['Pot', 'Verre', 'Couvercle', 'Aluminium']",,,,,,,,,,
