,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,allergens,additives,link,palm_ingredients,brand_owner
1663,Balisto,4339378635634,,,,['Balisto'],,,,,['France'],[],[],,?,,518,,"27,7",,"58,5",,"6,8",,,,,,,,,2167 kj(518 kcal),"11,2","42,1","0,66","0,264",['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,
1664,Jambon cuit le prestige - 150g,2152323006004,,150 g,['Tranche'],,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Poivron,8437006788939,,,,,,,,,['France'],[],[],,?,,29,,"0,35",,"4,5",,"1,12",,,,,,,,,121 kj(29 kcal),"0,055","4,13","0,012","0,005",,,,,,,,,,,,,,,,,,,,,,,,,
1666,Viande hachée - 247g,2185349004907,,247 g,['barquette plastique'],,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,Espresso - U - 11,3256227087769,,11,,['U'],,,,['Super U'],['France'],"['100% café Arabica de Colombie torréfié en capsules - I', 'G', 'P', ' : Café de Colombia torreie', ' Conservation']",[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['IGP'],,,,,,,,,,,,,,,,,,,,,,,,
1668,Ailes de poulet - 405g,2121308005455,,405 g,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,07920165,07920165,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,Hauts de cuisse de poulet - 541g,2121306007550,D,541 g,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,['France'],[],[],,?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,3339720411443,3339720411443,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,
1672,Chair nature artisanale - Saveur des Mauges,3340584108417,,,,['Saveur des Mauges'],,,,,['France'],[],[],,?,,304,,27,,1,,15,,,,,,,,,1272 kj(304 kcal),11,"0,4",2,"0,8",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,
1673,Hydro gel - Mule bar - 50gr,5060269760300,,50 gr,,['Mule bar'],,,,,"['France', 'Suisse']",[],[],,770,,?,,"0,1",,45,,"0,4",,,,,,,,,770 kj(184 kcal),,41,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,
1674,Fromage,0277132013585,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,['France'],[],[],,?,,370,+12%,30,+13%,"0,9",-26%,23,+13%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,1548 kj(370 kcal),20,0,0,0,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+13%,+12%,-100%,-100%,-100%,9,-34%,C,-34%,,,,,,,
1675,"Decoupe de poulet fermier bio - 0,102kg",0213053020738,,"0,102 kg",,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,"['FR 85.223.001 CE', 'Sainte-Hermine (Vendée, France)']",,,,,,
1676,Roquefort société - 100g,0200011014892,D,100g,,['Roquefort'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",,,,['France'],[],[],,?,,?,,?,,?,,?,,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,"38367 STEAKS HACHES SURGELES HALAL RONDS 60 X100G - 6,0kg",3265980383674,E,"6,0 kg",,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,,,['France'],[],[],,?,,215,+15%,15,+21%,0,-100%,20,+5%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,900 kj(215 kcal),"6,1",0,"0,22","0,088",['Halal'],15 g,en quantité modérée,6.1 g,en quantité élevée,0 g,en faible quantité,0.22 g,en faible quantité,+15%,+17%,-100%,+0%,+0%,3,+9%,C,+9%,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,,,
1678,Taste Sri Lanka Kingdom Prawn Curry - M&S - 350g,821005513800067500575,,350 g,,['M&S'],,,,['Marks & Spencer'],"['France', 'Royaume-Uni']",[],[],,492,,118,,"6,7",,"7,3",,"6,3",,,,,,,,,492 kj(118 kcal),"2,6","2,8","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,
1679,Mini Viennoiseries - Monoprix,3350033099142,,,,['Monoprix'],,,,['Monoprix'],['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
