,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
42,Le Cavalier,2165530002790,,,['Le Cavalier'],,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
43,Emmental Français - Le Cavalier - 581g,2165532003696,581 g,"['Frais', 'Plastique']",['Le Cavalier'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['Point Vert'],,,['France'],"['Lait de vache pasteurisé', 'sel', 'ferments lactiques', 'coagulant']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.711 g,en quantité modérée,1495,-4%,360,-5%,1495 kj(360 kcal),-5%,28,-5%,20,+1%,~ 0,-100%,~ 0,-100%,27,-3%,"0,711",+21%,"0,284",+21%,12,+7%,D,+7%,,['France'],,D,"['FR 53.061.001 CE', 'Charchigné (Mayenne, France)']",82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
44,Fourme d'Ambert AOP  - Ets Schoepfer - 221g,2165606001689,221 g,"['Frais', 'Film plastique']",['Ets Schoepfer'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', 'Fromages pasteurisés', ""Fourme d'Ambert"", 'en:Fromages AOC', 'en:Fromages labellisés', 'en:Produits AOC', 'en:Produits labellisés']","['AOP', 'Point Vert', 'Eco-Emballages']",http://www.fromages-laqueuille.fr/portion-frais-emballe.asp,,['France'],"['lait pasteurisé', 'sel', 'ferments lactiques', 'présure', 'penicillium roqueforti']",,['Lait'],"['Sans huile de palme', 'Non végétalien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"Fromage de France AOP, à pâte persillée, au lait pasteurisé de vache","['Ets Schoepfer - 7 Avenue Fontcouverte - Zone Industrielle - 84000 Avignon', 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']",,B,"['FR 84.007.011 CE', 'Avignon (Vaucluse, France)']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['France', 'Auvergne', 'Puy-de-Dôme', 'Société Laitière de Laqueuille - Lieu dit Laqueuille-Gare - 63820 Saint-Julien-Puy-Lavèze']"
45,Comté - Le Berger Comtois,2165740005116,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
46,Comté Portion Affinage 6 mois minimum au lait cru - Le Berger comtois - 0.495kg,2165740005192,0.495 kg,"['Film', 'Plastique']",['Le Berger comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['AOP', 'Point Vert']",,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,Comté,,,C,"['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
47,Comté au lait cru - Le Berger Comtois,2165742004797,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,8 g,en quantité élevée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,8,+722%,"3,2",+722%,20,+49%,E,+49%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
48,Comté - Le berger comtois - 1,2165743004246,1,['Comté'],['Le berger comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
49,Comté  au lait cru 6 mois affinage - Le Berger Comtois,2165743004253,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,0,-100%,"0,8",-18%,"0,32",-18%,18,+34%,D,+34%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
50,Comté portion - Le Berger Comtois,2165744004863,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
51,Comté - Le Berger Comtois,2165744004870,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
52,Comte - Le Berger Comtois,2165745005081,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,"['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)', 'FR 25.531.001 CE', 'Santoche (Doubs, France)']",82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
53,Conté - Le Berger Comtois,2165746003581,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,2.3 g,en quantité modérée,1 g,en faible quantité,8 g,en quantité élevée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,"2,3",-89%,1,+116%,1,+260%,27,+7%,8,+722%,"3,2",+722%,12,-10%,D,-10%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
54,Comte - Le Berger Comtois,2165747004617,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],"['Cognté Fromage patc pressée culte au lait cru Ingrédlonts : lait cru', 'sel', 'fertnente„ présure', ' fabriqué', 'affiné et conditionné dans 10 zone d*appellotion Affiné par PFCE 25170 tnvernay', 'onditionne par : Av Frotn,jqerie de Clerv Santoche ou PFCE 25580 Guyans Dl Conditionné sous atmospher', '?']",,,['Non végétalien'],,10.5 g,en quantité modérée,6.9 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,535,+35%,2238 kj(535 kcal),+36%,"10,5",-68%,"6,9",-68%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,10,-25%,C,-25%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
55,Le Berger Comtois - Comté - Lidl,2165747004631,,,['Lidl'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['Lidl'],['France'],"['lait *Cru', 'sel', 'ferments', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
56,"Comté portion au lait cru - Le Berger Comtois - 0,455kg",2165747004648,"0,455 kg",,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],,,['France'],"['lait cru', 'sel', 'ferments', 'présure', ' Fabriqué', ""affiné et conditionné dans la zone d'appellation d'origine""]",,['Lait'],['Non végétalien'],3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
57,Comté Portion au lait Cru - Le Berger Comtois,2165747004655,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],"['lait cru', 'sel', 'ferments', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
58,Comté - Le Berger Comtois,2165749004981,,,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,['France'],[],,,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
59,"3 escalopes de Dinde - Corril - 0,384kg",2167690003112,"0,384 kg","['Frais', 'Barquette', 'Polystyrène', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['Corril', 'Aldi']","['Viandes', 'Frais', 'Viandes fraîches', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Viande-francaise', 'Point Vert', 'Volaille-francaise', 'Classe A', 'Eco-Emballages']",,['Aldi'],['France'],['Escalopes de dinde'],,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,0.7 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,452,-39%,107,-37%,452 kj(107 kcal),-37%,"0,7",-93%,"0,3",-93%,"0,1",-89%,"< 0,1",-73%,25,+35%,"0,1",-85%,"0,04",-85%,-4,-196%,A,-196%,Escalope de dinde,"['DUC (Filiale DUC) - ZA de Kérandréo - 29340 Riec-sur-Belon', 'Finistère', 'Bretagne', 'France']",,C,"['FR 29.236.010 CE', 'Riec-sur-Belon (Finistère, France)']",84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['France']
60,Filet de poulet - Carril,2167700004054,,,['Carril'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Bio'],,,['France'],[],,,[],,2 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,110,-16%,460 kj(110 kcal),-15%,2,-31%,1,+34%,1,+109%,1,+312%,24,+5%,1,+33%,"0,4",+33%,0,,B,,,,,D,"['FR 56.081.001 CE', 'Guiscriff (Morbihan, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
61,"3 filets de Poulet - Corril - 0,668kg",2167705005346,"0,668 kg","['Frais', 'Barquette', 'Polystyrène', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['Corril', 'Aldi']","['Viandes', 'Frais', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande-francaise', 'Point Vert', 'Volaille-francaise', 'Classe A', 'Eco-Emballages']",,['Aldi'],['France'],['Filets de poulet'],,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1,1 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.0762 g,en faible quantité,439,-10%,?,,439 kj(105 kcal),-19%,1,-65%,"0,1",-87%,1,+109%,"0,5",+106%,23,+1%,"0,076",-90%,"0,03",-90%,-4,,A,,Filet de poulet,"['Société Normande de Volailles - SNV (Filiale Groupe Lambert Dodard Chancereul - LDC) - 75 Rue Etienne Lenoir - ZI des Touches - 53000 Laval', 'Mayenne', 'Pays de la Loire', 'France']",,C,"['FR 53.130.001 CE', 'Laval (Mayenne, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France']
62,saucisson de porc noir de bigorre,2172786002405,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,426,,1782 kj(426 kcal),,"34,2",,"13,9",,"1,3",,"1,3",,"28,2",,"4,2",,"1,68",,,,,,,,,,,,,,,,,,
63,Saucisson de porc noir de bigorre,2172786002566,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,425,,1778 kj(425 kcal),,"34,2",,"13,9",,"1,3",,"1,3",,"28,2",,"4,2",,"1,68",,,,,,,,,,"['FR 64.191.005 CE', 'Coarraze (Pyrénées-Atlantiques, France)']",,,,,,,,
64,Saucisson de porc noir de Bigorre,2172786002580,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,425,,1778 kj(425 kcal),,"34,2",,"13,9",,"1,3",,"1,3",,"28,2",,"4,2",,"1,68",,,,,,,,,,,,,,,,,,
65,Schweinefilet,2176971003529,,,,,,,,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
66,Salame - Galbanetto,2189460005829,,,['Galbanetto'],,['en:gluten-free'],,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
67,Bleu des Causses,2191554013368,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Bleu des Causses']",,,,['France'],[],,,[],,30 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,3.2 g,en quantité élevée,?,,352,+1%,1473 kj(352 kcal),+1%,30,+0%,20,-5%,"0,5",+125%,"0,5",+297%,20,0%,"3,2",-4%,"1,28",-4%,19,0%,E,0%,,,,D,"['FR 12.155.001 CE', 'Fondamente (Aveyron, France)']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
68,2196949005386,2196949005386,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
69,Magret de canard,2197886005712,,,,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,,,['France'],[],,,[],,27 g,en quantité élevée,9 g,en quantité élevée,1.4 g,en faible quantité,1.2 g,en quantité modérée,?,,314,-8%,1314 kj(314 kcal),-7%,27,-8%,9,-10%,"1,7",+36%,"1,4",+109%,16,-11%,"1,2",-27%,"0,48",-27%,16,-13%,D,-13%,,,,E,"['EMB 56109A', 'Lauzach (Morbihan, France)', 'FR 56.810.9001 CE']",81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,
70,Bio Vollkornzwieback -,2200000523754,,,,,"['Bio', 'Végétarien', 'Végétalien', 'Sans lactose']",,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,392,,1640 kj(392 kcal),,7,,"0,6",,64,,3,,14,,"0,87",,"0,348",,,,,,,,,,,,,,,,,,
71,Crousticks - Semilia - 125g,2200005552001,125g,,['Semilia'],,"['en:gluten-free', 'en:palm-oil-free']",,,['France'],[],,,['Sans huile de palme'],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
72,SensiDent WHITE - 65g,2200041388534,65g,"['Kunststoffdose', '♴', 'HDPE', '2-HDPE']","['SensiDent', 'asCom']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",['Fabriqué en Allemagne'],,['Müller'],"['France', 'Allemagne', 'Suisse']","['Süssungsmittel: Xylit', 'Sorbit', ' Kaumasse', ' Süssungsmittel: Mannit', 'Maltitsirup', ' Verdickungsmittel: Gummi Arabicum', ' Aromen', ' Farbstoff: Titandioxid', ' Stabilisator: Polyphosphat', ' Feuchthaltemittel: Glycerin', ' Süssungsmittel: Aspartam', 'Acesulfam K', ' Emulgator: Sonnenblumenlecithine', ' Überzugsmittel: Carnaubawachs']","['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E965ii - Sirop de maltitol', ""E414 - Gomme d'acacia"", 'E171 - Oxyde de titane', 'E422 - Glycérol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E903 - Cire de carnauba']",,[],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.08 g,en faible quantité,?,,163,+2%,682 kj(163 kcal),+2%,0,-100%,0,-100%,66,+5%,0,-100%,0,-100%,"0,08",+274%,"0,032",+274%,,,,,Zahnpflegekaugummi,"['Walldorf', 'Baden-Würrtemberg', 'Deutschland']",,,,,,,,,,,
73,Dinkel Brezeln Mit Sesam - Bio Primo - 125g,2200052852666,125 g,,['Bio Primo'],,['Bio'],,,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,402,,1682 kj(402 kcal),,"11,8",,"3,1",,"57,8",,1,,"13,4",,"2,5",,1,,,,,,,,,,,,,,,,,,
74,Bio Pro Erdnussmus - Bio Primo Müller,2200060674410,,,['Bio Primo Müller'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'DE-ÖKO-006', 'Fabriqué en Allemagne']",,,['France'],"[""Erdnüsse 'aus kontrolliert-ôkologisc Landwirtscha Müller GroAhandels Ltd"", ' & Co', ' KG • DE-89081 MADE IN Hergestellt in Deutschland/ Fabriqué en Allemagne DE-ÔKO-006 2 Nicht-EU - Landwirtschaft']",,,"['Végétalien', 'Végétarien']",,49 g,en quantité élevée,10 g,en quantité élevée,6.2 g,en quantité modérée,0.01 g,en faible quantité,?,,615,+2%,2573 kj(615 kcal),+3%,49,+2%,10,+20%,12,-17%,"6,2",-2%,29,+18%,"0,01",-98%,"0,004",-98%,12,+9%,D,+9%,,,,C,,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,
75,"Multivitamin+mineral, Mango - müller - 20Stk.",2200077294618,20 Stk.,,['müller'],"['Compléments alimentaires', 'Vitamines']",,,,"['France', 'Allemagne', 'Espagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
76,Vollkorn Knäckerbrot,2200098273876,,,,,['Fabriqué en Allemagne'],,,['France'],[],,,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,21,,"2,9",,48,,"2,3",,15,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,
77,Vollkorn knackerbrot - Bio primo Müller,2200098275238,,,['Bio primo Müller'],,"['Bio', 'Fabriqué en Allemagne']",,,['France'],[],,,[],,,,,,,,,,?,,442,,1849 kj(442 kcal),,18,,"4,8",,47,,"2,4",,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
78,Brochette de dinde au poivron,2200197046579,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,119,,498 kj(119 kcal),,"4,9",,"1,4",,"0,5",,"0,4",,22,,"0,16",,"0,064",,,,,,,,,,,,,,,,,,
79,Boeuf cuit,2200229026579,,,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",,,,['France'],[],,,[],,7.7 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,172,+8%,720 kj(172 kcal),+9%,"7,7",+4%,3,+19%,0,-100%,0,-100%,26,+175%,"1,7",+80%,"0,68",+80%,11,+227%,D,+227%,,,,,,,,,,,,,
80,Comté AOP - Delhaize,2200235004844,,,['Delhaize'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['Bio'],,['Delhaize'],"['Belgique', 'France']",[],,,[],,16.8 g,en quantité modérée,10 g,en quantité élevée,0 g,en faible quantité,0.4 g,en quantité modérée,?,,207,-48%,866 kj(207 kcal),-48%,"16,8",-49%,10,-54%,0,-100%,0,-100%,14,-45%,"0,4",-59%,"0,16",-59%,7,-48%,C,-48%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
81,Comté AOP - Delhaize - 260g,2200235005025,260 g,,['Delhaize'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['Delhaize'],"['Belgique', 'France']",[],,,[],,35 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,414,+4%,1732 kj(414 kcal),+5%,35,+7%,20,-8%,"1,2",+160%,0,-100%,28,+11%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,,,,D,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,
82,Tomme des pyrenées - Monoprix,2200247019485,,,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",,,['Monoprix'],['France'],[],,,[],,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,346,-0%,1448 kj(346 kcal),-0%,28,-1%,20,+1%,"1,5",+17%,"0,5",+54%,22,+2%,"1,8",+1%,"0,72",+1%,16,-1%,D,-1%,,,,D,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
83,Tomme des Pyrénées - Monoprix,2200247022966,,,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",,,['Monoprix'],['France'],[],,,[],,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,346,-0%,1448 kj(346 kcal),-0%,28,-1%,20,+1%,"1,5",+17%,"0,5",+54%,22,+2%,"1,8",+1%,"0,72",+1%,16,-1%,D,-1%,,,,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,
84,Jambon cuit sans nitrite,2200256057461,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
85,Tomme de chevre - Monoprix,2200503028992,,,['Monoprix'],['Tomme de chèvre'],,,['Monoprix'],['France'],[],,,[],,37 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,416,+10%,1741 kj(416 kcal),+10%,37,+16%,27,+20%,"0,7",-9%,0,-100%,20,-9%,2,+20%,"0,8",+20%,23,+30%,E,+30%,,,,,,,,,,,,,
86,Tomme de chevre - Monoprix,2200503035297,,,['Monoprix'],['Tomme de chèvre'],,,['Monoprix'],['France'],[],,,[],,37 g,en quantité élevée,27 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,416,+10%,1741 kj(416 kcal),+10%,37,+16%,27,+20%,"0,7",-9%,0,-100%,20,-9%,2,+20%,"0,8",+20%,23,+30%,E,+30%,,,,,,,,,,,,,
