,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,packaging,generic_name,ingredients_origins,manufacturing,allergens,nova_score,link,brand_owner,additives
48,Petits Salés Supérieurs - Maison Prunier,2477860035554,['France'],[],[],?,263,1100 kj(263 kcal),20,"8,1","0,6","0,6",20,"2,5",1,['Sans colorants'],['Maison Prunier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Mini rozijnenbollen,2018272899992,['France'],[],[],?,285,1192 kj(285 kcal),"3,5","1,8","53,7","22,1",7,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Saucisson,8421906073998,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Miel crémeux - 500g,3770001268200,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
52,Pain bûcheron,0200289020076,['France'],[],[],?,240,1004 kj(240 kcal),"3,1","0,6",42,"1,7","8,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Cascaval afumat,5941865600989,['France'],[],[],?,299,1251 kj(299 kcal),23,12,1,1,22,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Arroz redondo,8410084029262,['France'],[],[],?,344,1439 kj(344 kcal),"0,7","0,3",0,0,"6,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,VOYAGER Pâte à la provençal,3760014421426,['France'],[],[],?,367,1536 kj(367 kcal),"6,1","0,6","68,8",9,"11,3","3,1","1,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Marzipan bar,5774540921808,['France'],[],[],?,520,2176 kj(520 kcal),32,"6,9",45,36,11,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Pascual Yogikids,8410128113971,['France'],[],[],?,110,460 kj(110 kcal),"3,3","2,3",17,15,"3,2","0,1","0,04",,['Pascual'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Morbier Grand Age,2402497019226,['France'],[],[],?,357,1494 kj(357 kcal),29,20,1,1,23,"1,3","0,52",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",29 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+1%,+1%,+3%,+29%,+141%,+2%,-9%,-9%,14,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 25.041.001 CE', 'Bannans (Doubs, France)']",,,,,,,,,
59,Rillettes contoises,2058630300913,['France'],[],[],?,289,1209 kj(289 kcal),21,"6,9","0,5","0,5",25,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Fish Stick,4008239714978,['France'],[],[],?,0,0 kj(0 kcal),31,30,"6,5",5,22,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pain d'épices entier au miel,3193840713623,['France'],[],[],?,329,1377 kj(329 kcal),"0,9","0,2",76,41,"2,7","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Saumon gravlax ecossais,3579371421624,['France'],[],[],?,225,941 kj(225 kcal),"14,7","2,8","0,2",0,23,"2,8","1,12","['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Miel Au Chocolat & Noisettes - Pot De 200 G - Helt Honey,5709081976192,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Respiratoire mélange de plantes,3760011590217,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Mes fondants chocolat,0204947032142,['France'],[],[],?,419,1753 kj(419 kcal),25,15,40,34,"7,1","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Eurofase Lighting 20304-010 16 Light Locksley Chandelier,20304010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Guim'up - Truffettes De France,3472710054418,['France'],[],[],?,396,1657 kj(396 kcal),11,6,64,58,"3,7","0,07","0,028",['Fabriqué en France'],['Truffettes De France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3D sugar,3700392470098,['France'],[],[],?,396,1657 kj(396 kcal),"0,5","0,1",98,96,1,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
