,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,additives,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,ingredients_origins,allergens,generic_name,packaging,manufacturing,markets,brand_owner,link,palm_ingredients
277,Pfirsiche,0440486001557,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pêches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,"Courmayeur eau minérale naturelle  - 1,5l",0441421388788,['France'],[],[],?,?,,?,,?,,?,,,['Courmayeur'],,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']",,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,"1,5 l",,,,,,,,,,
279,Cruesli - Quaker  - 500g,0442222886787,['France'],[],[],?,?,,?,,?,,?,,,['Quaker'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
280,Eau  - Australine - 1litre,0442241865787,['France'],[],[],?,?,,?,,?,,?,,,['Australine'],,,,"['Boissons', 'Eaux', 'Eaux de sources']",,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,1 litre,,,,,,,,,,
281,Erhyprotect,0444444445513,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Emmental rapé Bio - Valmartin,0444461694536,['France'],"['lait* de vache 97,3%', 'antimottant sel', 'ferments lactiques', ""enzyme coagulante d'origine microbienne"", "" 51ssus de l'agriculture biologique""]",['Non végétalien'],?,387,1619 kj(387 kcal),29,19,2,"0,5",29,"0,7","0,28",['Valmartin'],,,3,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,,+4%,+4%,+0%,-4%,+121%,+24%,+6%,-8%,-8%,12,+1%,D,+1%,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Lait'],,,,,,,
283,250g,0445000026160,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
284,Rice floue  (glutinous-fried),0446558001838,['France'],[],[],?,361,1510 kj(361 kcal),4,0,83,1,5,"0,016","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Le fruit de notre cueillette,0449266029859,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,11,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Olive aux piments doux,04496175,['France'],[],[],?,143,598 kj(143 kcal),14,"2,1","2,5","0,3","1,3","2,9","1,16",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",14 g,en quantité modérée,2.1 g,en quantité modérée,0.3 g,en faible quantité,2.9 g,en quantité élevée,,-26%,-25%,-24%,-25%,+31%,+7%,-2%,-17%,-17%,13,+6%,D,+6%,B,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,
