,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
71,Fougasse a la crème pâtissière,2020000716686,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Balsamique au poivre de madagascar,3547130089897,['France'],[],[],?,285,"0,6",70,0,,1192 kj(285 kcal),"0,4",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Confiture extra 4 Fruits rouges - Saveurs attitudes,3299430030955,['France'],[],[],?,221,"0,2","53,6","0,6",,925 kj(221 kcal),"0,1","52,5",,,,['Saveurs attitudes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Croûtons Croustillants Au Bon Goût D'ail,2185256014105,['France'],[],[],?,495,"30,5","45,3","8,4",,2071 kj(495 kcal),"2,8","1,1","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Entremet fruits exotiques - 500g,3331480012502,['France'],[],[],?,?,?,?,?,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Beignets,0201740025913,['France'],[],[],?,323,14,42,"5,4",,1351 kj(323 kcal),"6,6",12,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Granola Cacahuète Raisins,3770003613305,['France'],[],[],?,523,27,53,12,,2188 kj(523 kcal),"6,5","9,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pommes Rubinette,3760251920188,['France'],[],[],?,47,"0,6","10,5","0,5",,197 kj(47 kcal),0,"9,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Banane,2800323037190,['France'],[],[],?,63,"0,5","14,3","1,4",,264 kj(63 kcal),"0,01","13,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Noix de cajou crues,2600203031290,['France'],[],[],?,595,"43,9","30,2","18,2",,2489 kj(595 kcal),"7,8","5,9",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,,,,-1%,-0%,-5%,-8%,+18%,-9%,-3%,,,,,,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,
81,Coulis de cassis - Saveurs des Terroirs - 140g,3760125982168,['France'],"['Cassis de Bourgogne 75 %', 'sucre', 'eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,120,"< 0,5",26,"< 0,5",140 g,502 kj(120 kcal),"< 0,1",26,"< 0,01","0,004",,['Saveurs des Terroirs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de cassis']",0.5 g,en faible quantité,0.1 g,en faible quantité,26 g,en quantité élevée,0.01 g,en faible quantité,,-10%,-11%,+46%,+129%,-15%,-11%,-24%,-46%,-46%,4,-5%,C,-5%,"['EMB 21405A', ""Merceuil (Côte-d'Or, France)""]",,,,,,,,,,,,,,,3,,,
82,Pate feuilletee,0250004021192,['France'],[],[],?,417,27,35,6,,1745 kj(417 kcal),0,0,"0,2","0,08",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Jue de pomme,3503780000682,['France'],[],[],?,43,"0,2","10,2","0,5",,180 kj(43 kcal),"0,1","9,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
