,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
1402,Galettes bretonnes - Delhaize - 100g,5400111054087,C,100 g,['Delhaize'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,"['Belgique', 'France']",[],[],,25.2 g,en quantité élevée,16.7 g,en quantité élevée,29.5 g,en quantité élevée,0.9 g,en quantité modérée,?,,514,+5%,2151 kj(514 kcal),+4%,"25,2",+8%,"16,7",+20%,"65,1",+3%,"29,5",+16%,6,-3%,"0,9",+32%,"0,36",+32%,25,+14%,E,+14%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,['Delhaize'],,,,,
1403,PESTO -,23026520,C,,,"['Epicerie', 'Sauces', 'Sauces Pesto']",,['France'],"['tomatenpulp ', '43,7%', 'zonnebloemolie ', '27%', 'cashewnoten ', '6,5%', 'zongedroogde tomaten ', '4,5%', 'basilicum ', '4%', 'Pecorino Romano kaas ', '4%', ' ', 'melk', 'zout', 'stremsel', 'Grana Padano kaas ', '4%', ' ', 'melk', 'zout', 'stremsel', 'lysozym uit ei', 'extra vergine olijfolie ', '3%', 'zout', 'gedroogde tomaten ', '2%', 'water', 'knoflook', 'rode biet', 'chili', 'zuurteregelaar ', 'ascorbinezuur']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,['E300 - Acide ascorbique'],"['Lait', 'Fruits à coque']",,,,,,,,
1404,RUMSTECK CHAROLAIS À GRILLER,2630947017977,,,,,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],,,,,,,,,,?,,115,,481 kj(115 kcal),,"2,3",,"0,8",,"0,6",,0,,23,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
1405,Chocolat,6133414001517,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Bloc de foie gras avec 30% morceaux - Maison Montfort - 320g,3104544072046,B,320g,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",['Origine France'],['France'],"['Foie gras de canard ', 'origine France', 'morceaux  de foie gras de canard 30% ', 'origine France', 'eau', 'sel 1%', 'Armagnac', 'sucre', 'epices ', 'dont poivre 0,1%', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,488,-5%,2042 kj(488 kcal),-5%,50,-5%,21,-7%,"3,1",+33%,"0,9",-33%,6,-14%,"1,1",-9%,"0,44",-9%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Sous vide'],"['Maubourguet', 'France']",,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
1407,Salade cesar xl leclerc,0207672040673,,,['Leclerc'],,,['France'],[],[],,,,,,,,,,?,,121,,506 kj(121 kcal),,"8,9",,"1,9",,"0,8",,0,,"9,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,
1408,Infusion Myrtiller feuille - Herbier de France - 25g,3417960021889,B,25 g,['Herbier de France'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions']","['Bio', 'Bio européen', 'FR-BIO-01', 'Biopartenaire']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
1409,Muesli fruits rouges,4005967513378,,,,,"['Bio', 'Agriculture UE/Non UE', 'Fabriqué en Allemagne']",['France'],[],[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,"2,8",,"0,6",,"65,7",,"27,9",,"8,6",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
1410,Ginseng - YogiTea,4012824404434,,,['YogiTea'],,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1411,Choc'tales bonhomme de neige - 25g e,5414730417352,,25 g e,['Choc’tales'],"['Snacks', 'Snacks sucrés', 'Confiseries']",['Fabriqué en Belgique'],"['France', 'États-Unis']","['Sugar', 'cocoa butter', 'whole milk powder', 'skimmed milk powder', 'cocoa mass', 'emulsifier: soya lecithin', 'natural vanilla flavouring', 'colorants: curcumin', 'carmine', ' milk chocolate contains cocoa solids 32% min', 'milk solids 27% min']","['Non végétalien', 'Non végétarien']",4,35 g,en quantité élevée,22 g,en quantité élevée,52 g,en quantité élevée,0.28 g,en faible quantité,?,,558,+33%,2335 kj(558 kcal),+33%,35,+138%,22,+241%,52,-22%,52,+5%,"8,2",+95%,"0,28",+90%,"0,112",+90%,27,+48%,E,+48%,,,,,,,,,,,"['E322i - Lécithine', 'E100 - Curcumine', 'E120 - Acide carminique']",,CHOC'TALES,,,,,,,
1412,Confiture Carla Framboise arôme violette,3395250600047,,,,,,['France'],[],[],,,,,,,,,,?,,220,,920 kj(220 kcal),,"0,2",,0,,"48,9",,"48,8",,11,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1413,Pasta Mezzelune saumon - Lidl,4056489004943,,,['Lidl'],,,['France'],[],[],,,,,,,,,,?,,213,,891 kj(213 kcal),,"4,8",,"2,3",,"30,9",,"2,6",,"10,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,
1414,Friandise BubuLubu,0757528003975,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,['France'],[],[],,7.5 g,en quantité modérée,7.5 g,en quantité élevée,60 g,en quantité élevée,25 g,en quantité élevée,?,,370,-26%,1548 kj(370 kcal),-27%,"7,5",-73%,"7,5",-50%,75,+35%,60,+33%,0,-100%,25,+7640%,10,+7640%,31,+27%,E,+27%,,,,,,,,,,,,,,,,,,,,
1415,Étoiles à la Cannelle - Mr. Bred Alsace - 150g,3760207330337,C,150 g,['Mr. Bred Alsace'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Fabriqué en France'],['France'],"['AMANDES', 'sucre semoule', 'NOISETTES', 'sirop de sucre inverti', 'cannelle', ""blanc d'ŒUF "", 'gomme xanthane', 'acide citrique', 'citrate de triéthyle', 'sucre glace']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sachet', 'Plastique']",,,"['E415 - Gomme xanthane', 'E330 - Acide citrique', 'E1505 - Citrate de triéthyle']","['Œufs', 'Fruits à coque']",,,,,,,,
1416,Ossau iraty aop - Reflets de France,0219746033528,E,,['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",['AOP'],['France'],[],[],,37 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,436,+3%,1824 kj(436 kcal),+4%,37,+3%,25,+1%,1,+6%,0,-100%,24,+2%,"1,6",-10%,"0,64",-10%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,"['EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)']",,,,,,,,,,
1417,Lait demi ecreme,00840668,D,,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,['France'],[],[],,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.113 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,5",-11%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,113",+2%,"0,045",+2%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,
1418,Filet de poulet - Maître Coq,0215787059565,D,,['Maître Coq'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Volaille-francaise']",['France'],[],[],,1.2 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,101,-23%,423 kj(101 kcal),-22%,"1,2",-58%,"0,4",-46%,"0,5",+4%,"0,5",+106%,22,-4%,"0,7",-7%,"0,28",-7%,-1,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1419,Mini mints sugar free watermelon flavour - Halls,57023694,,,['Halls'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'en:Confiseries', 'en:Snacks sucrés']",,"['France', 'Espagne']",[],[],,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,?,,236,-40%,987 kj(236 kcal),-39%,"0,1",-99%,"0,1",-98%,96,+39%,"0,1",-100%,"0,2",-94%,"0,01",-92%,"0,004",-92%,2,-90%,B,-90%,,,,,,,,,,,,,,,,,,,,
1420,Amandes grillées salées - Bio Day,3760099538095,D,,['Bio Day'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes salées', 'Amandes grillées', 'Amandes grillées et salées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],,52.9 g,en quantité élevée,5 g,en quantité modérée,6.2 g,en quantité modérée,1 g,en quantité modérée,?,,621,-1%,2598 kj(621 kcal),-1%,"52,9",+1%,5,+17%,"6,6",-36%,"6,2",+52%,"12,7",-44%,1,-10%,"0,4",-10%,6,+48%,C,+48%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,['Espagne'],,,,,,
1421,Piri piri chicken,00795067,,,,,,['France'],[],[],,,,,,,,,,?,,151,,632 kj(151 kcal),,"4,6",,"0,8",,"0,3",,"0,1",,"26,9",,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,,,,,,,
1422,Tarama Extra - 175g,20292843,,175 g,,,,['France'],[],[],,,,,,,,,,?,,480,,2008 kj(480 kcal),,"46,5",,"3,5",,"7,4",,"0,9",,"7,9",,"1,44",,"0,576",,,,,,,,,,,,,,,,,,,,,,,,,
1423,Jello Pudding Cookies 'N' Creme Oreo - Kraft Foods,0043000967263,,,['Kraft Foods'],,"['Contient des OGMs', 'Verified']",['France'],"[""JELLO POUDING COOKIES'N CREAM FACON OREOS Poids net 119g 4,202 Ingredients Sucre"", 'cook es ', 'farine non blanchie enrichie ', 'farine de blé', 'fer réduit', 'vitamines B3-B1-B2-B9', 'sucre', 'hu les de palme et/ou de colza', 'cacao alcalisé', 'isoglucose', 'agents levants E500i-E341', 'sel', 'lécithine de soja E322', 'chocolat', 'amidon de mais', 'arôme artificiel', 'amidon de maïs modifié', '2% ou moins de épaississants E339i-E4501', 'colorant', 'sel', 'antemoussant E471', 'antioxydant E320', 'Contient des OGM', 'Deciaration nutritionnelle ', 'pour 100g', ': énergie']",[],4,,,,,,,,,?,,400,,1674 kj(400 kcal),,"3,3",,0,,70,,"66,7",,0,,"3,2",,"1,28",,,,,,,,,,,,,,,,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E320 - Butylhydroxyanisol']",['Gluten'],,,,,,,,
1424,Microwave Pop Corn - Delhaize,5400113534570,,,['Delhaize'],,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,"8,7",,"3,9",,"60,5",,"21,5",,"6,7",,0,,0,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
1425,Girasols Con Funghi Porcini - Rana - 250g,8001665128773,,250g,['Rana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches']",,['France'],[],[],,10 g,en quantité modérée,4.5 g,en quantité modérée,3 g,en faible quantité,1.8 g,en quantité élevée,?,,255,-0%,1067 kj(255 kcal),-0%,10,+73%,"4,5",+85%,"29,5",-24%,3,+25%,10,+2%,"1,8",+101%,"0,72",+101%,14,+233%,D,+233%,,,,,,,,['Kraft Bag with Window'],"['Italy', 'San Giovannoi Lupatoto (VR)']",,,,,,,Pâtes fraiches aux oefs farcies aux cêpes,,,,
1426,Gratin de pommes de terre -,3181580280116,B,,,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre']",,['France'],[],[],,6.9 g,en quantité modérée,3.1 g,en quantité modérée,3.1 g,en faible quantité,0.99 g,en quantité modérée,?,,131,-1%,548 kj(131 kcal),+1%,"6,9",-1%,"3,1",-24%,11,-1%,"3,1",+97%,"5,5",+30%,"0,99",+37%,"0,396",+37%,5,-2%,C,-2%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,,
1427,Thé vert goût russe - La Vie Claire,3266191017815,,,['La Vie Claire'],,['Bio'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['La Vie Claire'],,,,,
1428,Pain complet bio,0202541010504,,,,,['Bio'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,"Mandel Spritzgebäck,Mit Schokolade -",4335896675121,D,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sprits']",['Fabriqué en Allemagne'],['France'],"['Weizenmehl', 'pflanzliches Fett ', 'Palm', 'Milchschokolade ', '19 %', ' ', 'Zucker', 'Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Süßmolkenpulver', 'Emulgator: Sonnenblumenlecithine', ' natürliches Vanillearoma', 'Žucker', 'Mandeln ', '11 %', 'Mandelkrokant ', '5 %', ' [Zucker', 'Mandeln ', '20 %', ']', 'Weizenstärke', 'Invertzuckersirup', 'Speisesalz', 'Süßmolkenpulver', 'Volleipulver', 'natürliches Aroma', 'Backtriebmittel ', 'Ammoniumcarbonata', 'Natriumcarbonate', ' Produkt kann Spuren von Soja enthalten']","['Huile de palme', 'Non végétalien']",4,34 g,en quantité élevée,16 g,en quantité élevée,28 g,en quantité élevée,0.4 g,en quantité modérée,?,,551,+5%,2305 kj(551 kcal),+5%,34,+16%,16,-4%,53,-10%,28,+15%,"6,8",+27%,"0,4",-18%,"0,16",-18%,23,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,['E500 - Carbonates de sodium'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,Mandelspritzgebäck mit Milchschokolade (19 %) und Mandelkrokant (5 %),,,,
1430,Poivre citronné - 70g,3390126000983,,70 g,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Nouilles-Mie - Delhaize bio - 250g,5400113594802,,250g,['Delhaize bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']","['Bio', 'Agriculture UE']","['Belgique', 'France']","['farine de blé', 'semoule de blé']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.3 g,en faible quantité,0.4 g,en faible quantité,0.3 g,en faible quantité,0.03 g,en faible quantité,?,,364,+21%,1523 kj(364 kcal),+21%,"1,3",-81%,"0,4",-86%,"3,4",-93%,"0,3",-86%,"3,2",-58%,"0,03",-98%,"0,012",-98%,1,+104%,B,+104%,,,,,,,,,,,,['Gluten'],,,['Delhaize'],,,,,
1432,Aloe Honey Tea,13384388,,,,,,['France'],[],[],,,,,,,,,,?,,242,,1013 kj(242 kcal),,0,,0,,"55,2",,"51,46",,"0,2",,"0,085",,"0,034",,,,,,,,,,,,,,,,,,,,,,,,,
1433,Miel,3760043690046,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,La crème brulée au rhum - Rians,3184670008157,C,,['Rians'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes brûlées']",,['France'],[],[],,19 g,en quantité modérée,13 g,en quantité élevée,16 g,en quantité élevée,0.08 g,en faible quantité,?,,267,+2%,1117 kj(267 kcal),+2%,19,+3%,13,+11%,18,-2%,16,-3%,"3,3",-19%,"0,08",-29%,"0,032",-29%,16,+6%,D,+6%,66.3%,20.6%,5.0%,4.6%,2.8%,0.8%,73,,,,,,,,,,,,,
1435,"Iso:pro 97, Neutral - MyProtein",5055534325148,,,['MyProtein'],,,['France'],[],[],,,,,,,,,,?,,399,,1669 kj(399 kcal),,1,,0,,0,,0,,97,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,
1436,Wafers - kuchenMeister - 400g,4002652009536,,400g,['kuchenMeister'],,,['France'],"['matière grasse végétale ', 'p/ Ime', 'coco', 'farine de blé', 'dextrose', 'sucre', 'lactose', 'pâte de cacao cacao maigre en poudre', 'beurre de cacao', 'farine douce de lupin', 'amidon de blé', 'sel', ""extrait de malt d'orge émulsifiant: lécithines de soja"", ' arôme naturel', 'poudre à lever: carbonates de sodium', ' oeuf entier en poudre Ce produit peut contenir des traces de fruits d FR coques', ""de cacahuètes et d'autres produits laitiers""]",['Non végétalien'],4,,,,,,,,,?,,556,,2326 kj(556 kcal),,33,,25,,60,,39,,"3,6",,"0,2",,"0,08",,,,,,,,,,,,,['Sachet'],,,"['E322i - Lécithine', 'E500 - Carbonates de sodium']","['Gluten', 'Lait']",,,,,,,,
1437,Riz de Camargue long grain - Les Délices de Belle France - 500g,3258563120421,C,500 g,"['Les Délices de Belle France', 'Belle France']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']",['IGP'],['France'],"['100 % riz long grain ', 'oryza sativa']",[],1,0.4 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.01 g,en faible quantité,?,,354,+5%,1481 kj(354 kcal),+4%,"0,4",-67%,"0,1",-63%,80,+10%,"0,2",-42%,"6,7",-7%,"0,01",-66%,"0,004",-66%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,['Boîte'],['Italie'],['195572'],,,,['Camargue (France)'],['Coccinelle'],Riz,https://www.cabf.eu/prestation/produits-belle-france/,,,
1438,Cookies & Cream Flavour - Impact whey protein - MyProtein - 250g,5055534319765,,250 g,['MyProtein'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre', 'es:proteinas']","['Végétarien', 'en:gluten-free']","['France', 'Italie', 'Espagne']","['Concentré de Protéine de Whey ', 'lait', ' ', '97%', 'Émulsifiant ', 'Lécithine de soja', 'Arôme', 'édulcorant ', 'Sucralose']","['Non végétalien', 'Végétarien']",4,7.2 g,en quantité modérée,4.8 g,en quantité modérée,6.9 g,en quantité modérée,0.25 g,en faible quantité,?,,409,+17%,1711 kj(409 kcal),+16%,"7,2",+106%,"4,8",+147%,7,+24%,"6,9",+147%,80,+11%,"0,25",-60%,"0,1",-60%,11,+173%,D,+173%,,,,,,,,"['Sachet', 'Plastique']",,,"['E322i - Lécithine', 'E955 - Sucralose']","['Lait', 'Soja']",,,,,,,,
1439,Lait entier - Cimelait,3760250420658,D,,['Cimelait'],"['Produits laitiers', 'Laits', 'Laits entiers', 'Laits de vache']",,['France'],[],[],,3.54 g,en quantité modérée,1.46 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,?,,63,+26%,264 kj(63 kcal),+26%,"3,54",+80%,"1,46",+19%,"4,62",-4%,0,-100%,"3,2",-1%,"0,13",+25%,"0,052",+25%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,,
1440,Pizza Raclette Bacon - Casa Morando - 450g e,26075686,,450 g e,['Casa Morando'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Réfrigérés', 'Plats préparés réfrigérés']",,['France'],[],[],,8.1 g,en quantité modérée,4.1 g,en quantité modérée,5 g,en quantité modérée,1.2 g,en quantité modérée,?,,245,+35%,1025 kj(245 kcal),+36%,"8,1",-12%,"4,1",+45%,30,+103%,5,+130%,12,+60%,"1,2",+17%,"0,48",+17%,13,+163%,D,+163%,,,,,,,,"['Plastique', 'Frais']",,,,"['Œufs', 'Gluten', 'Lait']",,['Union européenne'],,"Pizza garnie d'emmental, de fromage à raclette, de bacon fumé et de lardons fumés cuits.",,,,
1441,Radis Mariné En Saumure Entier,0087703001091,,,,,,['France'],[],[],,,,,,,,,,?,,15,,63 kj(15 kcal),,0,,0,,3,,0,,0,,"1,17",,"0,468",,,,,,,,,,,,,,,,,,,,,,,,,
1442,Funny pencils,8412147022753,,,,,['Halal'],['France'],[],[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,4,,2,,85,,52,,2,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
1443,Crunchy Peanut Butter,0051500750063,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']",,['France'],[],[],,50 g,en quantité élevée,9.38 g,en quantité élevée,6.25 g,en quantité modérée,0.859 g,en quantité modérée,?,,562.5,-1%,2354 kj(562 kcal),-0%,50,+10%,"9,375",+19%,25,+89%,"6,25",+5%,"18,75",-18%,"0,859",+57%,"0,344",+57%,20,+47%,E,+47%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,,
1444,Lentilles garnies aux saucisses fumées - Mutular,3700739200067,C,,['Mutular'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés en conserve', 'Plats à base de lentilles', 'Saucisses aux lentilles']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,,,
1445,Creamy Chocolate - arnott's - 250g,9310072000916,D,250g,"[""arnott's""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,"['Australie', 'France', 'Polynésie française']","['Farine de blé', 'sucre', 'huile végétale', 'poudre de cacao', 'colorant alimentaire ', 'caramel III', 'sel', 'émulsifiant ', 'lécithine de soja', 'levure chimique', 'gingembre', 'arôme', 'antioxydant ', 'E307b du soja']","[""Pourrait contenir de l'huile de palme""]",4,3.1 g,en quantité modérée,1.5 g,en quantité modérée,4.8 g,en faible quantité,1.5 g,en quantité modérée,?,,300,-39%,1255 kj(300 kcal),-39%,"3,1",-87%,"1,5",-87%,"4,8",-92%,"4,8",-85%,"0,7",-89%,"1,5",+172%,"0,6",+172%,11,-49%,D,-49%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,"['E150 - Caramel', 'E322i - Lécithine', 'E307b - Tocophérol concentré']","['Gluten', 'Soja']",,,"['hyper u', 'Woolworths']",,,,,
1446,Gâteau Breton Pruneaux - Maison Delaunay - 340g,,,340 g,['Maison Delaunay'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons', 'Gâteaux bretons aux pruneaux']",,['France'],"['Farine de BLÉ - BEURRE de baratte frais demi - sel - Fourrage pruneaux ', '18,9 % ', ' ', 'pruneaux - eau', ' - sucre - ŒUFS entiers frais - poudre à lever ', 'diphosphates - acide citrique - phosphates de calcium - carbonates de sodium', ' - arôme vanille']",['Non végétalien'],4,19.5 g,en quantité modérée,11.7 g,en quantité élevée,24.7 g,en quantité élevée,0.7 g,en quantité modérée,1694,,404,-9%,1694 kj(404 kcal),-9%,"19,5",-10%,"11,7",-14%,"51,3",-9%,"24,7",-12%,"4,6",-4%,"0,7",-7%,"0,28",-7%,23,-3%,E,-3%,,,,,,,,['Plastique'],"['France', 'Bretagne']","['FR 22.064.001 CE', ""Gouarec (Côtes-d'Armor, France)""]","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait']",,,,,,,,
1447,Thé noir bio - Fruits rouges,3398984211060,,,,,['Bio'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,Pechuga de pavo - Noel,2964820001990,D,,['Noel'],"['Viandes', 'Volailles', 'Dindes', 'Blancs de dinde']","['en:gluten-free', 'Sans lactose']","['France', 'Espagne']",[],[],,2.1 g,en faible quantité,0.7 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,?,,87,-15%,364 kj(87 kcal),-15%,"2,1",+30%,"0,7",+37%,2,+33%,"0,5",-42%,"2,8",-86%,2,+2%,"0,8",+2%,8,+53%,C,+53%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
1449,Thé vert sencha fukuyu - Dammann Frères,3259920060282,,,['Dammann Frères'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,Porridge oast,20629182,,,,,['en:gluten-free'],['France'],[],[],,,,,,,,,,?,,367,,1536 kj(367 kcal),,"6,2",,"1,1",,61,,1,,"12,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
