,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,brand_owner,nova_score,generic_name,link,additives,allergens,ingredients_origins,manufacturing,origin_detail
67,Chocolat au lait grain de sésame - Le Chocolatier Ivoirien - 100g,6186000355204,['Le Chocolatier Ivoirien'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,['France'],"['40% Pâte de cacao', '25% Lait entier en poudre', '15% Pur beurre de cacao', '9% Sésame', ' 10% Cassonade', '1% Vanille naturelle']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,100 g,,,3,,,,,,,
68,Miel au bois dormant,3760284370066,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Pates de fruits de la trappe,3338391911009,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,C,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,
70,Mes petites noisettes - Maison Guinguet,3760052696022,['Maison Guinguet'],,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"41,6",,16,,"40,2",,"32,8",,"8,5",,"0,094",,"0,038",,,,,,,,,,,,,,,,,,,,,,,,,,
71,Bear Paws Soft Granola Chocolate Chip,0063348015945,,,"['Sans arômes artificiels', 'Sans colorants']",['France'],[],[],,,,,,,,,?,,464.28571428571,,1943 kj(464 kcal),,"21,429",,"7,143",,"64,286",,"21,429",,"7,143",,"0,625",,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mimolette 1/2 vieille,2232030001773,,,,['France'],[],[],,,,,,,,,?,,364,,1523 kj(364 kcal),,26,,"18,4",,"1,5",,"1,5",,31,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Terrines de canard aux 2 olives,3280950006506,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,['France'],[],[],22 g,en quantité élevée,7.8 g,en quantité élevée,0.6 g,en faible quantité,1.4 g,en quantité modérée,?,,263,-14%,1100 kj(263 kcal),-14%,22,-16%,"7,8",-18%,"4,5",+162%,"0,6",-3%,13,-8%,"1,4",-8%,"0,56",-8%,16,-11%,D,-11%,,,E,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,
74,Whole wheat flour,0060383779672,,,,['France'],[],[],,,,,,,,,?,,366.67,,1534 kj(366 kcal),,"1,33",,0,,"73,33",,0,,"13,33",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Confiture de Fraise,1230000006484,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,C,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
76,Miel et ginseng - Mellidor,3503740302009,['Mellidor'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Banane,2161130000402,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Escalope de dinde,0217752018966,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,
79,Protéines de pois,3770008296091,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,380,,1590 kj(380 kcal),,"5,4",,"1,1",,"4,8",,"0,1",,80,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,
80,Bizcocho casero con manzana,8433329072427,,,,['France'],[],[],,,,,,,,,?,,396,,1657 kj(396 kcal),,18,,"2,9",,52,,31,,"5,2",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
81,Escalopes de dinde,2447038025120,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['Nutriscore'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,
82,Miel de Tilleul,3790529691526,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
83,Eclair cafe x 2,0216110009776,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",,['France'],[],[],14 g,en quantité modérée,4.1 g,en quantité modérée,21 g,en quantité élevée,0.46 g,en quantité modérée,?,,273,+10%,1142 kj(273 kcal),+10%,14,+26%,"4,1",-29%,33,+3%,21,+6%,"2,8",-32%,"0,46",+19%,"0,184",+19%,13,+2%,D,+2%,,,C,75.9%,13.5%,4.8%,3.3%,2.5%,0.0%,64,,,,,,,,,,,
84,Jus de Poire Williams,3371733407396,,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,5",,"0,1",,11,,"9,1",,"0,5",,"0,01",,"0,004",,,,,,,['Bouteille en verre'],,,,,,,,,,,,,,,,,,,
85,Confiseries Lollies,04525462,,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,"1,5",,"1,4",,88,,86,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
86,Saint Agur,0285520013055,,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,33,,23,,"0,5",,0,,16,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
87,Boules fourrées au miel d'acacia,3263628860211,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel', ""Bonbons au miel d'Acacia"", ""Boules fourrées au miel d'Acacia""]",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
88,Sirop fraise,3760265550005,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de fraise']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,
89,Filets poulet - 384g,2164830009607,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Barquette'],,,,,,,,,384 g,,,,,,,,,,
90,Miel de tilleul du sud-ouest - Savimiel,3429960025095,['Savimiel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de tilleul']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
91,Rôti poulet,0217483051898,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Barquette'],,,,,,,,,,,,,,,,,,,
92,Escalopes de dinde,0209278023685,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,
93,Pain aux céréales,0202715010439,,,,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,"4,3",,"0,6",,43,,"1,3",,"9,4",,"0,91",,"0,364",,,,,,,,,,,,,,,,,,,,,,,,,,
94,Steak haché - Cora dégustation,3257983580730,['Cora dégustation'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,"['FR 18.033.033 CE', 'Bourges (Cher, France)']",,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,
95,Granions Cranberry,3760155212082,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Bancha green tea - 40g,0055989141862,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,40 g,,,,,,,,,,
97,Milka Choco Muffin,0201379022307,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Théo Da Conceicao,64321,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Organic pear 100% Juice,0646670311581,,,['Sans sucre ajouté'],['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,0,,0,,29,,29,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
100,Miel L / Chinata De Tomillo T / Cristal,8421401125109,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Cranberries,2615675020604,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Chouquettes,2005693030004,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,13,,"8,7",,32,,16,,"6,2",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,,
103,Miel de chataignier -  - 260g,2012360000468,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,260 g,,,,,,,,,,
104,Comté,2860060023429,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.93 g,en quantité modérée,?,,427,+2%,1787 kj(427 kcal),+2%,35,+1%,24,+6%,"0,5",+8%,"0,5",+87%,28,+4%,"0,93",+11%,"0,372",+11%,14,+8%,D,+8%,,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,
105,Caramel - Chocolaterie Monbana,3474340015784,['Chocolaterie Monbana'],,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,"12,5",,7,,72,,"17,4",,"4,6",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,,,,,,,
106,Baguette Tradition,0201557005511,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Cranberries séchées en moitiés,2600298035821,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
108,La Pogne de Romans - 450g,3770014766212,,,"['Sans additifs', 'Sans colorants']",['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,"13,6",,"7,6",,"52,9",,"18,4",,"8,6",,"0,2",,"0,08",,,,,,,,,,,,,,,,450 g,,,,,,,,,,
109,Gu Chews - Strawberry,0769493101433,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,10,,10,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Tortillas wrap turc,8718226585998,,,,['France'],[],[],,,,,,,,,?,,1246.8,,5217 kj(1246 kcal),,"7,6",,2,,"49,7",,"2,1",,"7,3",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
111,Mélange lyon grille sale,0200369028275,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Crousti express - Findus,51534950,['Findus'],,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,13,,1,,28,,"0,5",,4,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
113,Café crema - 1000g,8718537551255,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Film en plastique'],,,,,,,,,1000 g,,,,,,,,,,
114,Wisky,4901411070827,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Bouteille'],C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,
115,Tapis citriques pomme,5420001507301,,,,['France'],[],[],,,,,,,,,?,,343,,1435 kj(343 kcal),,3,,"2,7",,"75,9",,"52,4",,"1,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Crêpes,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Bl-saucisse fumée cuite x 4,2274923029396,,,,['France'],[],[],,,,,,,,,?,,281,,1176 kj(281 kcal),,"22,6",,"8,4",,"2,2",,"0,9",,"17,2",,"2,8",,"1,12",,,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,
118,Smoothie fortify -,0206246015116,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Smoothies']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,?,,56,-2%,234 kj(56 kcal),-1%,0,-100%,0,-100%,13,+7%,12,+12%,"0,7",+11%,0,-100%,0,-100%,16,+54%,E,+54%,,,C,33.4%,29.2%,13.3%,14.0%,7.9%,2.2%,60,,,,,"mélange de fruits mixés, de jus de fruits, de graines de lin et d extrait de pulpe de fruit de baobab, avec vitamines ajoutées",,,,,,
119,Perline - 500g,8004350130242,,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,2",,"0,3",,71,,"3,2",,12,,0,,0,,,,,,,,,,,,,,,,500 g,,,,,,,,,,
120,Diamants Citron,3760268980038,,,,['France'],[],[],,,,,,,,,?,,487,,2038 kj(487 kcal),,29,,20,,52,,19,,"4,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Thé vert de chine,3429220003788,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,
122,Ourson wallon,3701043800424,,,,['France'],[],[],,,,,,,,,?,,334,,1397 kj(334 kcal),,"0,3",,"0,1",,"85,3",,"67,1",,"0,5",,"0,066",,"0,026",,,,,,,,,,,,,,,,,,,,,,,,,,
123,Pain d'epices,3760104931620,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Les broyés du poitou,4061458034241,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,['France'],[],[],27 g,en quantité élevée,18 g,en quantité élevée,23 g,en quantité élevée,0.42 g,en quantité modérée,?,,530,+12%,2218 kj(530 kcal),+11%,27,+30%,18,+78%,63,-2%,23,-22%,"7,8",+20%,"0,42",-29%,"0,168",-29%,22,+11%,E,+11%,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,
125,Worms,8436014441812,,,,['France'],[],[],,,,,,,,,?,,373.89,,1564 kj(373 kcal),,"0,01",,"0,01",,"88,4",,"50,8",,"3,41",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,
126,Café Daniel - 200g,5281009058222,,,,['France'],[],[],,,,,,,,,?,,3.6,,15 kj(3 kcal),,1,,0,,"0,75",,0,,"1,67",,0,,0,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
127,Pois chiche,3701373100263,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,,,
128,Pimentd doux en saumur,3700671747392,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"0,1",,0,,"7,8",,"2,5",,"1,4",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,
129,Cake - Auchan,3596710476510,['Auchan'],,,['France'],[],[],,,,,,,,,?,,271,,1134 kj(271 kcal),,19,,"5,8",,14,,"3,9",,"9,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
130,Unsweetened pineapple - 16oz,0041498288112,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés']",['Sans conservateurs'],"['France', 'États-Unis']","['Pineapple', 'mango', 'strawberries', 'papaya']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,50,-75%,209 kj(50 kcal),-75%,0,-100%,0,-100%,"12,86",-70%,10,-73%,"0,71",-36%,0,-100%,0,-100%,-5,-222%,A,-222%,,,,,,,,,,,16 oz,,Aldi-Benner Company,1,,,,,,,
131,McCHOCONUTS NAPPAGE AU PEANUT BUTTER -,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mcdonalds.fr/offre-mccafe/patisseries/mcchoconuts-nappage-au-peanut-butter,,,,,
132,Sondalis,7613033052040,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Huile d'olive vierge extra - Rochambeau,3439495007749,['Rochambeau'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,15,+7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
134,Cold crush triple chocolate ultra premium ice cream,0070640018338,,"['Desserts', 'Surgelés', 'Desserts glacés']",,"['France', 'États-Unis']","['Cream', 'whole milk', 'skim milk', 'sugar', 'powdered sugar', 'cocoa', 'soybean oil', 'cocoa processed with alkali', 'contains 2% or less of vanilla extract', 'natural flavor', 'egg yolks', 'salt', 'coconut oil', 'soy lecithin', 'carob bean gum']",['Non végétalien'],19.7 g,en quantité modérée,11.1 g,en quantité élevée,25.6 g,en quantité élevée,0.212 g,en faible quantité,?,,308,+52%,1289 kj(308 kcal),+52%,"19,66",+132%,"11,11",+102%,"28,21",+0%,"25,64",+9%,"4,27",+76%,"0,212",+77%,"0,085",+77%,16,+42%,D,+42%,,,,,,,,,,,,,"Wells Enterprises, Inc.",4,,,"['E322i - Lécithine', 'E410 - Gomme de caroube']","['Œufs', 'Lait', 'Soja']",,,
135,Sucette en chocolat au lait,00851046,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Moelleux pur beurre fraise - Mistral,3171910664624,['Mistral'],,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,15,,9,,50,,34,,"4,47",,"0,47",,"0,188",,,,,,,,,,,,,,,,,,,,,,,,,,
137,Miel de printemps,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
138,Pain au maïs,0205042011483,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Ourson en guimauve,2609713013123,,,['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,404,,1690 kj(404 kcal),,"10,6",,"6,5",,"73,7",,"56,7",,"3,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
140,Donuts - 4x 69g,0000580019355,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['Fabriqué en France'],['France'],[],[],17 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0.9 g,en quantité modérée,?,,378,-8%,1582 kj(378 kcal),-7%,17,-25%,11,+4%,50,+12%,20,+19%,"4,6",-22%,"0,9",-5%,"0,36",-5%,21,+8%,E,+8%,,,B,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,4 x 69 g,,,,,,,,,,
141,L'Ancelle,2309634003721,,,,['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,"2,9",,"1,1",,"1,1",,"0,7",,"22,4",,"2,81",,"1,124",,,,,,"['FR 74.104.001 CE', 'Doussard (Haute-Savoie, France)']",,,,,,,,,,,,,,,,,,,,
142,Filet de dinde,2276702027487,,,,['France'],[],[],,,,,,,,,?,,2,,8 kj(2 kcal),,3,,3,,3,,3,,3,,3,,"1,2",,,,,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,,,,,,,,,
143,Pur jus de raisin,3760293730134,,,['Sans colorants'],['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,2",,0,,"11,5",,"9,8",,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
144,HE Petit grain Bigaradier,3760098405206,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Chocolate with dates and almond,0713289146429,,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,"1,7",,"1,1",,7,,6,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Pommes,3000029035202,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,
147,Poulet fermier jaune - St Sever,0221539037859,['St Sever'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Tartine fenouil,3760153932074,,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,10,,"1,3",,"3,4",,"2,4",,"1,6",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
149,Pain doux bigouden,3511741225548,,,,['France'],[],[],,,,,,,,,?,,355,,1485 kj(355 kcal),,"8,6",,"6,3",,64,,23,,"9,3",,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,,
150,Salsa Roja,7503008520301,,,,['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,"2,5",,0,,7,,0,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Poulet,2860053084161,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Balsamic sea salt crackers,29036066,,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,503,,2105 kj(503 kcal),,"26,3",,"4,2",,"46,8",,"4,8",,"15,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
