,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,link,markets,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,nova_score,additives,manufacturing,ingredients_origins,generic_name,origin_detail
1756,Thé blanc myrtille - La Vie Claire,3266191040080,['France'],[],[],?,7,0,"1,7",0,,,['La Vie Claire'],,,['La Vie Claire'],,,,,,,,,,,,29 kj(7 kcal),,,0,,,"1,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,
1757,Micellar casein - BioTechUSA,5999076232840,['France'],[],[],?,?,?,?,?,,,['BioTechUSA'],,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,"['Peu ou pas de matière grasse', 'en:gluten-free', 'Sans matière grasse']",,,,,,Protein drink powder with glutamine,
1758,Pâté aux noix du Dauphiné - 180g,3760127820123,['France'],[],[],?,387,36,"1,5",12,,180 g,,,,,,,,,,,,,,,,1619 kj(387 kcal),,,13,,,"0,7",,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,
1759,Coktail exotique - 250g,3143110080276,['France'],[],[],?,403,12,70,"1,6",,250 g,,,,,,,,,,,,,,,,1686 kj(403 kcal),,,10,,,56,,,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,
1760,Biscuit a la creme d’erable,0771098010027,['France'],[],[],?,113,5,16,1,,,,,,,,,,,,,,,,,,473 kj(113 kcal),,,2,,,8,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1761,Les escalopes gourmandes poulet,2447040024340,['France'],[],[],?,113,"2,3","0,1",23,,,,,,,,,,,,,,,,,,473 kj(113 kcal),,,"0,7",,,"0,1",,,"0,1",,"0,04",,,,,,,,,,,,,['Film en plastique'],"['Nutriscore', 'Nutriscore A']",,,,,,,
1762,Caillette aux herbes -,2687201024660,['France'],[],[],?,272,23,2,13,,,,['Caillettes'],,,,23 g,en quantité élevée,8.8 g,en quantité élevée,1 g,en faible quantité,1.9 g,en quantité élevée,,+4%,1138 kj(272 kcal),+4%,+13%,"8,8",+12%,-63%,1,-37%,-3%,"1,9",-12%,"0,76",-12%,19,+1%,E,+1%,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,
1763,Farine de blé noir ou sarrasin,1453076444428,['France'],[],[],?,347,"2,2","70,5","9,1",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,2.2 g,en faible quantité,0.4 g,en faible quantité,1.5 g,en faible quantité,0.1 g,en faible quantité,,+1%,1452 kj(347 kcal),+1%,+64%,"0,4",+71%,+1%,"1,5",-2%,-17%,"0,1",+318%,"0,04",+318%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,
1764,Steak haché bio - 4x 100g,3361116875157,['France'],[],[],?,?,?,?,?,,4 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1765,Saumon fumé maison,0208939005718,['France'],[],[],?,?,?,?,?,E,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,
1766,"Jus De Lime Limonina 50 cl, 1 Bouteille - 500ml",7610032044427,['France'],[],[],?,28,"0,5",1,"0,4",,500 ml,,,,,,,,,,,,,,,,117 kj(28 kcal),,,0,,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Terrine de campagne - 180g,3700976700290,['France'],[],[],?,351,"32,3","0,9",14,,180 g,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,32.3 g,en quantité élevée,11.8 g,en quantité élevée,0.1 g,en faible quantité,1.6 g,en quantité élevée,,+9%,1469 kj(351 kcal),+9%,+14%,"11,8",+9%,-61%,"0,1",-88%,0%,"1,6",+0%,"0,64",+0%,21,+8%,E,+8%,,,,,,,,,,,,,,,,
1768,Figatelli,2420970020071,['France'],[],[],?,529,"46,7","2,1",25,,,,,,,,,,,,,,,,,,2213 kj(529 kcal),,,"15,8",,,"1,02",,,"3,67",,"1,468",,,,,,,,,,,,,,,['FR 2A.271.001 CE'],,,,,,
1769,95205199,95205199,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,8716668102957,8716668102957,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Iso active - Powerbar,4029679671942,['France'],[],[],?,356,0,89,0,,,['Powerbar'],,,,,,,,,,,,,,,1490 kj(356 kcal),,,0,,,60,,,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,
1772,Jambon dequene degraisse,0240008069078,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Saucisson sec Le Montagnard,2462772033453,['France'],[],[],?,323,"22,4","0,4",30,D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,22.4 g,en quantité élevée,9.2 g,en quantité élevée,0.4 g,en faible quantité,3.6 g,en quantité élevée,,-20%,1351 kj(323 kcal),-20%,-29%,"9,2",-25%,-82%,"0,4",-71%,+9%,"3,6",-23%,"1,44",-23%,23,-4%,E,-4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,"['FR 09.289.002 CE', 'Lorp-Sentaraille (Ariège, France)']",,,,,,
1774,pain au chocolat,,['France'],[],[],?,367,21,38,"6,4",,,,,,,,,,,,,,,,,,1536 kj(367 kcal),,,16,,,11,,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,
1775,Topping cacao-noisette,3660407147509,['France'],[],[],?,582,41,"47,3","5,9",,,,,,,,,,,,,,,,,,2435 kj(582 kcal),,,"6,7",,,"44,6",,,,,,,,,,,,,,,,,,,,,,,,,,
1776,Farine de blé artisanale  les moulins de trescanous,3760198040017,['France'],[],[],?,?,?,?,?,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,
1777,0200021042908,0200021042908,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,0200819037598,0200819037598,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Huile de foie de morue,3515450000441,['France'],[],[],?,?,?,?,?,,,,['Matières grasses'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Bio-sticks - Roland,7610058214835,['France'],[],[],?,367,"0,8",79,10,,,['Roland'],,,,,,,,,,,,,,,1536 kj(367 kcal),,,"0,2",,,"4,1",,,"4,8",,"1,92",,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,
1781,Épices Poulet Rouge - Dar Épices - 100g,8425842401372,['France'],"['piment doux', 'piment fort', 'sol', 'cumin', 'gingembre', 'curcuma', 'coriandre', 'persil', 'ail', 'poivre noir', 'laurier', 'girofle et fenugrec']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,B,100 g,['Dar Épices'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",,,,,,,,,,0 g,en faible quantité,,,,,,,,,,,,0,-100%,0,-100%,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,"['Sachet', 'Plastique']",,,1,,,,,
1782,Tomme des Pyrénées IGP,2488000019617,['France'],[],[],?,346,28,"1,5",22,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",,,,28 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-0%,1448 kj(346 kcal),-0%,-1%,20,+1%,+17%,"0,5",+54%,+2%,"1,8",+1%,"0,72",+1%,16,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
1783,Curcuma moulu - 100g,3102870005424,['France'],[],[],?,?,?,?,?,B,100 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curcuma', 'Curcuma en poudre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Point Vert'],,,,,,,
1784,Petits pois,2868320020799,['France'],[],[],?,68,"0,7","5,4","6,3",,,,,,,,,,,,,,,,,,285 kj(68 kcal),,,"0,21",,,"0,2",,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,
1785,Vanille,3502490128860,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Miel de printemps,,['France'],[],[],?,?,?,?,?,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,,,,,,,,,0 g,en faible quantité,,,,,,,,,,,,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1787,Bâtonnets de surimi,3564709019338,['France'],[],[],?,117,"4,5",12,7,B,,,"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",,,,4.5 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-2%,490 kj(117 kcal),-1%,-4%,"0,5",-23%,+5%,"0,5",-83%,-6%,"1,8",+5%,"0,72",+5%,4,-9%,C,-9%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,,,
1788,Protein vegetable,5600961107791,['France'],[],[],?,394,"5,3","8,5",78,,,,,,,,,,,,,,,,,,1648 kj(394 kcal),,,"0,9",,,0,,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
1789,2201270016731,2201270016731,['France'],[],[],?,?,?,?,?,,,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Cornichons aigre-doux,3377460012124,['France'],[],[],?,0,?,?,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,,,,,,,,,,,,-100%,0 kj(0 kcal),-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Mouse de canard pur canard,2448669018307,['France'],[],[],?,420,42,4,"6,7",,,,,,,,,,,,,,,,,,1757 kj(420 kcal),,,14,,,"1,9",,,"1,4",,"0,56",,,,,,,,,,,,,,['Point Vert'],"['EMB 25053A', 'Belvoir (Doubs, France)']",,,,,,
1792,Sandwich Jambon fromage fait maison,0206597018378,['France'],[],[],?,234,"8,3",26,13,,,,,,,,,,,,,,,,,,979 kj(234 kcal),,,"4,6",,,"1,1",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
1793,Éclairs,0224087016277,['France'],[],[],?,247,15,32,"3,1",,,,,,,,,,,,,,,,,,1033 kj(247 kcal),,,"4,2",,,20,,,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,
1794,Confiture d'orange amère,3469675163750,['France'],[],[],?,244,"0,1","59,9","0,3",D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'oranges amères""]",,,,0.1 g,en faible quantité,0 g,en faible quantité,59.5 g,en quantité élevée,,,,+5%,1021 kj(244 kcal),+5%,-55%,0,-100%,+8%,"59,5",+11%,-31%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
1795,Jcpj,3700201108907,['France'],[],[],?,3,12,0,12,,,,,,,,,,,,,,,,,,13 kj(3 kcal),,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Duo ananas melon,0209681025191,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,Pois chiches,3760153320017,['France'],[],[],?,378,"6,2","25,2","22,6",B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,,6.2 g,en quantité modérée,0.83 g,en faible quantité,4.5 g,en faible quantité,,,,+99%,1582 kj(378 kcal),+101%,+105%,"0,83",+112%,+7%,"4,5",+174%,+122%,,,,,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,
1798,Moutarde aux salicornes,3558180091006,['France'],[],[],?,138,"9,6","2,6","6,3",B,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,9.6 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en faible quantité,5.1 g,en quantité élevée,,-19%,577 kj(138 kcal),-19%,-11%,"0,6",-27%,-62%,"1,8",-53%,-4%,"5,1",+8%,"2,04",+8%,11,-5%,D,-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Bio', 'Bio européen']",,,,,,,
1799,Nem porc - 470g,3369580002109,['France'],[],[],?,218,12,21,"6,3",C,470 g,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",,,,12 g,en quantité modérée,3.1 g,en quantité modérée,3 g,en faible quantité,1.5 g,en quantité modérée,,-1%,912 kj(218 kcal),-2%,+5%,"3,1",+16%,-3%,3,-6%,-11%,"1,5",+9%,"0,6",+9%,11,+54%,D,+54%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,
1800,Salade Caesar,3257987043811,['France'],[],[],?,140,"7,6","9,9","7,5",,,,,,,,,,,,,,,,,,586 kj(140 kcal),,,"1,4",,,"1,3",,,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,,
1801,Terrine pur porc - 190g,3382562339628,['France'],[],[],?,326,30,"1,4",14,,190 g,,,,,,,,,,,,,,,,1364 kj(326 kcal),,,11,,,"0,6",,,"1,6",,"0,64",,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
1802,Sauce pizza,1790427000002,['France'],[],[],?,44.799999237061,"0,6","8,6","1,1",,,,,,,,,,,,,,,,,,187 kj(44 kcal),,,"0,6",,,"8,6",,,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,
1803,Filets de poulet rotis,0217437021328,['France'],[],[],?,146,"5,6","0,7","23,3",,,,['en:Filets de Poulet'],,['Leader Price'],,5.6 g,en quantité modérée,1.5 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en quantité modérée,,+24%,611 kj(146 kcal),+24%,+111%,"1,5",+111%,+5%,"0,6",+96%,+3%,"1,3",+101%,"0,52",+101%,2,,B,,,,,,,,,,,,,,,,,
1804,Salade d'épeautre et de tomates au citron et basilic bio - Dietbon - 280g,3700569021795,['France'],"['EPEAUTRE ', 'GLUTEN', ' précuit* 20%', 'BLE ', 'GLUTEN', ' précuit* 20%', 'poivrons* 19,5%', 'tomates semi-séchées* 11%', 'tomates* 11%,eau', 'oignons*', ""huile d'olive vierge extra*"", 'jus de citron concentré* 0,75%', 'sucre de canne*', 'sel', 'aromates* : thym*', 'basilic* 0,43%', 'ail*', ' amidon de maïs*', 'épaississant : gomme guar', 'épices* : poivre*', 'curcuma*', "" *Ingrédients issus de l'Agriculture Biologique"", 'Conditionné sous atmosphère protectrice']",[],?,123,"2,5",19,"4,3",,280 g,['Dietbon'],,,,['Gluten'],,,,,,,,,,,515 kj(123 kcal),,,"0,2",,,4,,,"0,7",,"0,28",,,,,,,,,,,,,,['Bio'],,4,['E412 - Gomme de guar'],,,,
1805,Cordon  bleu - 1kg,3353473110026,['France'],[],[],?,234,13,16,12,D,1 kg,,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",,,,13 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,,+5%,979 kj(234 kcal),+5%,+7%,"2,6",-18%,+15%,0,-100%,-9%,"1,2",-8%,"0,48",-8%,4,-44%,C,-44%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,
1806,Blanc de dindonneau grillé - Yehiam - 142g,7290012612541,['France'],[],[],?,100,2,"2,5",18,,142 g,['Yehiam'],,,,,,,,,,,,,,,418 kj(100 kcal),,,"0,7",,,1,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,
1807,Jambon a l’ancienne,2232419040676,['France'],[],[],?,135,"4,5","0,7",23,E,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,,4.5 g,en quantité modérée,1.6 g,en quantité modérée,0.7 g,en faible quantité,2 g,en quantité élevée,,-11%,565 kj(135 kcal),-11%,-27%,"1,6",-34%,+41%,"0,7",+44%,+3%,2,+3%,"0,8",+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['EMB 23004D', 'Anzême (Creuse, France)', 'FR 25.004.023 CE', 'Abbévillers (Doubs, France)']",,,,,,
1808,Diet Meal Replacement Extreme,5060594777639,['France'],[],[],?,35,"5,7",28,40,,,,,,,,,,,,,,,,,,146 kj(35 kcal),,,"1,9",,,"1,7",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,
1809,Saumon sauce à l ' aneth,3700428453286,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Jambon cuit,0207662059364,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Huile d'olive vierge,3450720000762,['France'],[],[],?,900,100,0,0,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,3766 kj(900 kcal),+5%,+5%,12,-14%,,0,,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
1812,Miel bio,3760300990377,['France'],[],[],?,?,1,81,"0,4",B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,1 g,en faible quantité,,,0 g,en faible quantité,0 g,en faible quantité,,,,,+817%,,,+5%,0,-100%,+23%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Bio'],,,,,,,
1813,Pizza - 520g,0205913039035,['France'],[],[],?,758,"6,7",19,11,,520 g,,,,,,,,,,,,,,,,3171 kj(758 kcal),,,"2,9",,,"1,9",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,
1814,Semoule caramel beurre salé,3760125340234,['France'],[],[],?,119,"3,23","18,8","3,39",,,,,,,,,,,,,,,,,,498 kj(119 kcal),,,"2,28",,,"13,5",,,0,,0,,,,,,,,,,,,,,,,,,,,,
1815,P'tit gourmand vanille noix de pécan,3770017169164,['France'],[],[],?,296,17,"30,5","4,6",,,,,,,,,,,,,,,,,,1238 kj(296 kcal),,,"6,4",,,"29,6",,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
1816,Noisetine - Erhard,3428420016666,['France'],[],[],?,236,"10,8","31,3","3,5",,,['Erhard'],,,,,,,,,,,,,,,987 kj(236 kcal),,,"4,5",,,"23,1",,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,
1817,Longaniza el pozo - 325g,8410843128823,['France'],[],[],?,234,19,"1,9","13,5",,325 g,,,,,,,,,,,,,,,,979 kj(234 kcal),,,"6,7",,,"0,4",,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,
1818,Saint Nectaire Medaille,2344507019805,['France'],[],[],?,332,27,"1,1",21,,,,,,,,,,,,,,,,,,1389 kj(332 kcal),,,18,,,"0,5",,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
1819,2304353005117,2304353005117,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Duo melon pastèque,2420565016663,['France'],[],[],?,404.31,"3,62","92,74","6,95",,,,,,,,,,,,,,,,,,1692 kj(404 kcal),,,"0,52",,,"92,74",,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
1821,Aloe Vera juice drink,2002657012984,['France'],[],[],?,35,0,"8,7",0,,,,,,,,,,,,,,,,,,146 kj(35 kcal),,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Bande multi fruits crème pâtissière,0260393025589,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,5035272650177,5035272650177,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Miel,3760282040046,['France'],[],[],?,?,?,?,?,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1825,Amandes,2600112040284,['France'],[],[],?,645,"49,9","21,5","21,1",,,,,,,,,,,,,,,,,,2699 kj(645 kcal),,,"0,01",,,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,
1826,Paprika,3417960010500,['France'],[],[],?,262,10,33,"7,3",,,,,,,,,,,,,,,,,,1096 kj(262 kcal),,,"1,9",,,27,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
1827,"Confiture (fraises, Teneur Réduite En Sucre)",0069848049329,"['Canada', 'France']",[],[],?,100,0,20,"0,667",,,,,,,,,,,,,,,,,,418 kj(100 kcal),,,0,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Salade strasbourgeoise au saucisse de Francfort,2288426015480,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Pâte Basque FM FE,0207014019350,['France'],[],[],?,333,29,"3,5",15,,,,,,,,,,,,,,,,,,1393 kj(333 kcal),,,10,,,"0,9",,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,
1830,Carre d aurillac,0206215028734,['France'],[],[],?,305,25,1,19,,,,,,,,,,,,,,,,,,1276 kj(305 kcal),,,18,,,0,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
1831,Noix de cajou truffe noire - 100g,3760265900442,['France'],[],[],?,612,47,22,24,E,100 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,47 g,en quantité élevée,6.2 g,en quantité élevée,5.3 g,en quantité modérée,2.5 g,en quantité élevée,,+2%,2561 kj(612 kcal),+2%,+2%,"6,2",-27%,-14%,"5,3",-18%,+28%,"2,5",+299%,1,+299%,14,+85%,D,+85%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,
1832,Panna Cotta,8003938007754,['France'],[],[],?,251,14,26,"3,1",,,,,,,,,,,,,,,,,,1050 kj(251 kcal),,,10,,,16,,,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,
1833,Croissant e.leclerc,0200024013783,['France'],[],[],?,372,20,39,"6,6",,,,,,,,,,,,,,,,,,1556 kj(372 kcal),,,14,,,"6,7",,,0,,0,,,,,,,,,,,,,,,,,,,,,
1834,Tubo pepite de grue de cacao,3297880302431,['France'],[],[],?,567,47,16,11,,,,,,,,,,,,,,,,,,2372 kj(567 kcal),,,28,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Melange Manhattan,2600713041789,['France'],[],[],?,504,34,19,19,,,,,,,,,,,,,,,,,,2109 kj(504 kcal),,,"4,3",,,"6,4",,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,
1836,Melange Sambahia,2600223018431,['France'],[],[],?,465,18,"65,9",8,,,,,,,,,,,,,,,,,,1946 kj(465 kcal),,,"6,6",,,"12,7",,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,
1837,Kroger - 12oz,0011110898685,['France'],[],[],?,?,?,?,?,,12 oz,['Kroger'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Chorizo Doux,8420878609860,['France'],[],[],?,483,43,1,23,,,,,,,,,,,,,,,,,,2021 kj(483 kcal),,,15,,,0,,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,
1839,"Maté, cacao & coco",0680275057956,['France'],[],[],?,1,0,"0,2","0,1",,,,,,,,,,,,,,,,,,4 kj(1 kcal),,,0,,,0,,,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1840,Schweppes pomme,3124488186883,['France'],[],[],?,98,0,"5,6",0,,,['Schweppes'],,,,,,,,,,,,,,,410 kj(98 kcal),,,0,,,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,
