,name,bar_code,quantity,brand,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,traceability_code,link,ingredients_origins,palm_ingredients,origin_detail,producer_info,brand_owner
316,Nems aux crevettes - Jardin Bio - 280g,3760018887594,280 g,"['Jardin Bio', 'Léa Nature']",,['France'],"['Garniture : Légumes ', 'oignons', 'carottes', 'choux', 'courgettes', 'shitakes', 'vermicelle de blé', 'crevettes 10 % ', 'Peneaus monodon', 'sel', 'sucre', 'conservateur : disulfite de sodium', 'sel fin de Guérande', 'tendoori', 'huile de tournesol désodorisée', 'poivre blanc', '\r Feuille de riz : eau', 'farine de riz blanc de Camargue ', 'origine France', ""Mix'gom "", 'Psyllium blond', ""gomme d'acacia"", "" Cuisson à l'huile de tournesol désodorisée""]","['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia""]","['Crustacés', 'Gluten', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,784,?,784 kj(187 kcal),"8,1","0,8","7,8","3,7","20,7","0,64","0,256",C,"['Produits de la mer', 'Plats préparés', 'Crustacés', 'Frais', 'Crevettes', 'Plats préparés frais', 'Nems', 'Nem aux crevettes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabrication artisanale']",8.1 g,en quantité modérée,0.8 g,en faible quantité,3.7 g,en faible quantité,0.64 g,en quantité modérée,-3%,,-5%,-6%,-30%,-67%,+39%,+186%,-50%,-50%,-1,-128%,A,-128%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,"['Barquette', 'Plastique']",['France'],"['FR 32.426.037 CE', 'Seissan (Gers, France)']",,,,,,
317,Légumes pour tajine - jardin bio - 650g,3760020504694,650g,"['jardin bio', 'Léa nature']",,"['Belgique', 'France']",[],,,[],,?,44,184 kj(44 kcal),"1,4","0,2","5,5","2,4","1,4","0,9","0,36",,"['Plats préparés', 'Légumes préparés', 'Tajine']","['Bio', 'Bio européen', '1% pour la planète', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",1.4 g,en faible quantité,0.2 g,en faible quantité,2.4 g,en faible quantité,0.9 g,en quantité modérée,,-53%,-53%,-60%,-67%,-45%,-45%,-61%,+14%,+14%,1,+5191%,B,+5191%,,,,,,,,,"['Bocal', 'Verre']",['France'],,,,,,,
318,Shiratakis de Konjac - Karéléa - Poids net : 310g / Poids net égoutté : 200g,3760020504724,Poids net : 310 g / Poids net égoutté : 200 g,"['Karéléa', 'Léa nature']",,['France'],"['eau', 'poudre de konjac 3%', 'stabilisant : hydroxyde de calcium']",,,['Végétarien'],1,53,?,53 kj(13 kcal),0,0,"0,5","0,47","0,5","0,008","0,003",,"['Konjacs', 'Shiratakis de Konjac']","['Peu ou pas de matière grasse', 'Végétarien', 'Sans matière grasse', 'Spécial régime']",0 g,en faible quantité,0 g,en faible quantité,0.47 g,en faible quantité,0.00762 g,en faible quantité,,,-39%,-100%,-100%,-81%,+302%,+233%,-52%,-52%,-4,,A,,,,,,,,,Spaghetti de Konjac,['Plastique'],,,,,,,,
319,Duo sarrasin et riz bio - Jardin Bio - 250g,3760020508050,250 g,"['Jardin Bio', 'Léa Nature']",,['France'],"['Eau', 'sarrasin 17%', 'riz thaï complet 17 %', 'sarrasin grillé 5 %', 'soja concassé', 'huile de tournesol', 'sel marin', ""huile d'olive vierge extra""]",,['Soja'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,166,695 kj(166 kcal),"3,5","0,4","27,6","0,2","4,8","0,6","0,24",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Plats préparés à réchauffer au micro-ondes']","['Bio', 'Ecocert', 'Bio européen', 'en:gluten-free', 'Point Vert', 'Sans lactose', 'AB Agriculture Biologique', 'Afdiag']",3.5 g,en quantité modérée,0.4 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en quantité modérée,,+2%,+4%,-45%,-60%,+77%,-92%,-23%,-34%,-34%,0,-100%,B,-100%,,,,,,,,,"['Plastique', 'Doypack']",['France'],,http://www.jardinbio.fr,,,,,
320,Terrine Végétale Ail Et Fines Herbes Bio - Jardin Bio,3760020509798,,['Jardin Bio'],,['France'],['Bio GLUTEN O sans free LACTOSE Terrine végétale Nouu Ail et futa herbes'],,"['Gluten', 'Lait']",['Sans huile de palme'],,?,156,653 kj(156 kcal),"11,9","1,3","9,4","0,6",2,"0,9","0,36",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']","['Bio', 'Sans lactose', 'en:palm-oil-free']",11.9 g,en quantité modérée,1.3 g,en faible quantité,0.6 g,en faible quantité,0.9 g,en quantité modérée,,-38%,-36%,+107%,+27%,-78%,-99%,+57%,+500%,+500%,3,-68%,C,-68%,,,,,,,,,,,,,,,,,
321,Gateau de foie quenelles -,3760024686327,,,,['France'],[],,,[],,?,130,544 kj(130 kcal),"7,8","2,5","9,2","1,6","5,9",1,"0,4",,,"['Fabriqué en France', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Pain au levain - Fournil de Bernis - 850g,3760026142609,850 g,['Fournil de Bernis'],['Biocoop'],['France'],"['farine de blé T80 bio', 'eau', 'levain ', 'farine de blé T80 bio', 'eau', 'sel', 'sel']",,['Gluten'],['Sans huile de palme'],3,?,285,1192 kj(285 kcal),"1,5","0,2","58,4","3,1","7,5","1,13","0,452",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",1.5 g,en faible quantité,0.2 g,en faible quantité,3.1 g,en faible quantité,1.13 g,en quantité modérée,,-13%,-14%,-76%,-83%,+7%,-21%,-21%,-12%,-12%,0,-100%,B,-100%,,,,,,,,Pain bio au levain,"['Papier', 'Plastique']",,,,,,,,
323,Pommes de terre sarladaise et ses généreux cèpes - Pom Bistro - 500g,3760032001907,500 g,['Pom Bistro'],['Leclerc'],['France'],"['Pomme de terre préfrite 60,8% ', 'pomme de terre 54,8%', 'huile de tournesol', 'dextrose de blé', 'cèpes 25%', 'graisse de canard 11,9%', 'persil 1%', 'ail en poudre 0,6%', 'sel']",,,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,224,937 kj(224 kcal),"15,9","4,6","15,6","0,4","2,6","0,6","0,24",,"['Surgelés', 'Plats préparés', 'Poêlées', 'Plats préparés surgelés', 'Poêlées à la sarladaise']",['Point Vert'],15.9 g,en quantité modérée,4.6 g,en quantité modérée,0.4 g,en faible quantité,0.6 g,en quantité modérée,,+9%,+10%,+32%,+46%,-22%,-56%,+11%,-2%,-2%,3,-21%,C,-21%,,,,,,,,"Pommes de terre pré-frites aux cèpes et à la graisse de canard, surgelées","['Plastique', 'Sachet', 'sachet plastique à jeter', 'surgelé']","['Agen', '47000', 'Lot-et-Garonne', 'Nouvelle Aquitaine', 'France']",,,,,,,
324,Muffin de pomme de terre,3760032003857,,,,['France'],[],,,[],,?,178,745 kj(178 kcal),"10,6","6,6",12,"1,6","9,3","0,6","0,24",,,"['Sans additifs', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Nature de Pommes - Braebum,3760033150024,,['Braebum'],['Carrefour'],['France'],['100% pur jus de pommes pressées'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,43,180 kj(43 kcal),"0,1","0,1",10,10,"0,5","0,01","0,004",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Sans sucre ajouté', 'Sans colorants']",0.1 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,-7%,-6%,-44%,+197%,-9%,-4%,+128%,-20%,-20%,3,-28%,C,-28%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,['Bouteille'],,"['EMB 37014A', 'Azay-le-Rideau (Indre-et-Loire, France)']",https://www.naturedepommes.fr,,,,,
326,"Tentation, 100% pur jus - Nature de pommes - 1L",3760033150239,1 L,"['Nature de pommes', 'Touraine jus de pommes']",['Leclerc'],['France'],['100% pur jus de pommes pressées'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,180,?,180 kj(43 kcal),"< 0,1","< 0,1",10,10,"< 0,5","< 0,01","0,004",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",0.1 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,-5%,,-6%,-44%,+197%,-9%,-4%,+128%,-20%,-20%,3,-28%,C,-28%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,"['Bouteille', 'Verre']",['France'],"['EMB 37014A', 'Azay-le-Rideau (Indre-et-Loire, France)']",http://www.tourainejusdepommes.com/,,,,,
327,Jus de pomme,3760033150505,,,,['France'],[],,,[],,?,43,180 kj(43 kcal),0,0,10,10,"0,4","0,01","0,004",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",['Sans sucre ajouté'],0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,,-7%,-6%,-100%,-100%,-8%,-3%,+88%,-8%,-8%,3,-27%,C,-27%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,
328,Saumon fumé - Saladbar - 120g,3760036824397,120 g,"['Saladbar', 'Jebo Food BVBA', 'Jebo Food']",['Auchan'],['France'],"['Huile de colza', 'saumon fumé 28% ', 'saumon', 'sel', 'oeuf 15%', 'carottes 5%', 'oignon 2%', 'sucre', 'vinaigre', 'concentré de tomate', ""jaune d'oeuf"", 'eau', 'sel', 'moutarde ', 'vinaigre', 'graines de moutarde', 'sel', 'épices', 'whisky', 'épices', 'amidon modifié', 'dextrose', 'fibre alimentaire', 'maltodextrine', 'graisse concentrée ', 'graisse végétale hydrogénée', 'protéine de lait', 'lactose', 'arômes ', 'contient céleri', 'stabilisants : E262-E412-E415', 'colorant : E160c', 'conservateurs : E202-E211', 'acidifiants : E260-E330-E575']","['E14XX - Amidons modifiés', 'E262 - Acétates de sodium', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E260 - Acide acétique', 'E330 - Acide citrique', 'E575 - Glucono-delta-lactone']","['Céleri', 'Œufs', 'Poisson', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,375,1569 kj(375 kcal),35,"3,1","5,8","1,59","7,4","0,8","0,32",E,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,35 g,en quantité élevée,3.1 g,en quantité modérée,1.59 g,en faible quantité,0.8 g,en quantité modérée,,+103%,+103%,+233%,+50%,+1074%,+376%,-67%,-72%,-72%,6,-54%,C,-54%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,Préparation à tartiner à base de saumon fumé,['Plastique'],['Belgique'],['B VE 1093 EG'],,,,,,
329,Creme glacee plombiere - L'Angélys - 750ml / 500g,3760039982247,750 ml / 500 g,"[""L'Angélys""]","['Leclerc', 'Magasins U']",['France'],"['Eau', 'jaune d’œuf', 'poudre de lait écrémé', 'crème', 'sirop de glucose de maïs', 'morceaux de fruits confits 6% ', 'cubes de melon', 'cubes d’écorces de citron', 'cubes d’écorces d’orange', 'sirop de glucose', 'sirop de glucose-fructose', 'saccharose', 'correcteur d’acidité : acide citrique', 'sucre', 'beurre concentré', 'Grand Marnier Cordon Rouge 40% vol', 'Kirsch 60% vol', 'émulsifiant ', 'mono - et diglycérides d’acide gras ', 'origine végétale', 'stabilisants ', 'farine de graines de caroube et farine de graines de guar', 'alginate de sodium et carraghénanes']","['E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,777,185,777 kj(185 kcal),"7,9","4,8",25,18,"3,5","0,1","0,04",B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Plombières']","['en:gluten-free', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'Sans arômes ajoutés', 'Sans conservateurs', 'PEFC', 'Entrepreneurs + Engagés', 'Triman']",7.9 g,en quantité modérée,4.8 g,en quantité modérée,18 g,en quantité élevée,0.1 g,en faible quantité,-14%,-16%,-15%,-28%,-30%,-5%,-20%,+5%,-34%,-34%,7,-44%,C,-44%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,Crème glacée Plombières avec fruits confits macérés au kirsch.,"['Bac', 'Plastique', 'surgelé']",['France'],"['FR 17.164.003 CE', 'Fontcouverte (Charente-Maritime, France)']",http://www.langelys.com/les-glaces/plombiere/,,,,,
330,Limonade Artisanale Bio - Le Père Defrance - 75cl,3760043800278,75 cl,"['Le Père Defrance', 'SARL - Deco Jus']",['Magasins U'],['France'],"['eau gazéifiée', 'acide citrique', 'sucre de canne bio', 'arôme naturel de citron']",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,36,151 kj(36 kcal),0,0,"9,1","9,1",0,"0,01","0,004",,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",['Bio'],0 g,en faible quantité,0 g,en faible quantité,9.1 g,en quantité élevée,0.01 g,en faible quantité,,+16%,+20%,-100%,-100%,+22%,+25%,-100%,-25%,-25%,13,+27%,E,+27%,,,,,,,,Limonade artisanale bio,"['Bouteille', 'Verre']",['Limousin'],,,,,,,
331,Mini pains Bruschetta nature - La Boulangère - 350g,3760049796773,350 g,['La Boulangère'],['Magasins U'],['France'],"['Farine de blé', 'eau', 'huile végétale 2,2% ', 'huile de palme', 'sel', 'levure', 'farine de blé malté', "" Traité à l'alcool éthylique""]",,['Gluten'],['Huile de palme'],3,?,263,1100 kj(263 kcal),"3,3","1,4","49,1","2,5","7,7","1,2","0,48",,['Pains Bruschetta'],,3.3 g,en quantité modérée,1.4 g,en faible quantité,2.5 g,en faible quantité,1.2 g,en quantité modérée,,,,,,,,,,,2,,B,,,,,,,,,,"['Plastique', 'Sachet']",,,,,['Huile de palme'],,,
