,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
174,Canistrelli aux amandes,3339888000213,,,['France'],[],[],?,,478,,2000 kj(478 kcal),,19,,"1,7",,68,,29,,"6,9",,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Hello Blueberry Muffin, Schokolade - Lindt",4000539237003,,,['France'],[],[],?,,540,,2259 kj(540 kcal),,32,,19,,55,,44,,"7,2",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,,
176,Caffe  lungo,7617014188377,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Houmoud dharicots rouges à la mexicaine,3770009413435,,,['France'],[],[],?,,128,,536 kj(128 kcal),,"6,8",,"0,9",,9,,"1,3",,"5,4",,"0,6",,"0,24",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
178,Saucisse de Morteau IGP crue VPF - PHILIPPE WAGNER - 250g,3240650084310,C,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau', 'Charcuteries à cuire']",['France'],['Viande de porc - Sel - Epices et plantes aromatiques - Ferments\rBoyau naturel de porc\r114g de viande de porc ont été mis en oeuvre pour fabriquer 100g de produit fini'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,316,+21%,1322 kj(316 kcal),+22%,28,+30%,"11,2",+34%,0,-100%,0,-100%,16,+1%,"2,6",+20%,"1,04",+20%,23,+22%,E,+22%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,250g,"['Frais', 'Sous-vide']","['Viande Française', 'Viande Porcine Française', 'IGP', 'Bleu Blanc Cœur']",28 g,en quantité élevée,11.2 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,['PHILIPPE WAGNER'],,Saucisse de Morteau crue IGP fabriquée à partir de viande de porc française,,"['EMB 70093A', 'Breuches (Haute-Saône, France)']",,,3,,,['BREUCHES-LES-LUXEUIL'],http://www.philippe-wagner.fr/,['France'],
179,Maíz - Ke by Kelia - 130g,8425408015357,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Graines', 'Apéritif', 'Céréales et dérivés', 'Céréales en grains', 'Maïs']","['Belgique', 'France', 'Espagne']","['Maïs', 'Graisse végétale ', 'Palme', 'Sel', 'Arôme', 'Exhausteurs de goût : E627', 'E631', ' Colorant : E160c', 'Épices', 'Exhausteur de goût : E621', ' Antioxydant : E320']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",1809,+134%,430,+169%,1809 kj(430 kcal),+171%,"11,5",+278%,"4,2",+697%,"70,3",+167%,0,-100%,8,+94%,"1,8",+276%,"0,72",+276%,16,,D,,,,,,,,,130 g,['Sachet plastique opaque'],['en:gluten-free'],11.5 g,en quantité modérée,4.2 g,en quantité modérée,0 g,en faible quantité,1.8 g,en quantité élevée,['Ke by Kelia'],['Noz'],MAÏS GRILLÉ GOÛT BBQ,,,,,4,"['E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E160c - Extrait de paprika', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E320 - Butylhydroxyanisol']",['Huile de palme'],,,,
180,Ravioli Bolognese - 400g,29055500,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli à la bolognaise']","['France', 'Allemagne']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,
181,Cr?mant De Bourgogne,3299641115038,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Jambon superieur - Auchan,3596710450596,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],?,,115,-13%,481 kj(115 kcal),-12%,"3,1",-35%,1,-46%,"0,5",-25%,"0,5",-16%,22,+4%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,['Qualité supérieure'],3.1 g,en quantité modérée,1 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,['Auchan'],['Auchan'],,,,,,,,,,,,
183,Sriracha coated cashews - COOP,7613379350299,,,['France'],[],[],?,,476,,1992 kj(476 kcal),,25,,0,,38,,0,,17,,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,['COOP'],,,,,,,,,,,,,
184,Tonno all'olio di oliva,8004030345768,,,['France'],[],[],?,,403,,1686 kj(403 kcal),,37,,6,,1,,"0,1",,17,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Vegan Truffle Eggs - Rythmn 108,5060055379839,,,['France'],[],[],?,,185,,774 kj(185 kcal),,"8,6",,"0,7",,"6,9",,"0,6",,"17,5",,"1,7",,"0,68",,,,,,,,,,,,,,"['pp-tray', 'card-sleeve']",,,,,,,,,,['Rythmn 108'],,,,,,,,,,,,,
186,Mélange fruits secs - Alesto - 40g,20764036,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",['France'],"['35% canneberges séchées et sucrées ', '21% canne - berges', 'sucre de canne', 'huile de tournesol', '30% nolx du Brésil', '20% baies de Goji séchées', '15% nolx', "" 4ingrédients issus de l'agriculture biologique"", ' Traces éventuelles de soja', ""d'autres fruits à coque et d'arachides"", ' chaleur et']",[],?,,508,+15%,2125 kj(508 kcal),+15%,31,+48%,"5,7",+11%,43,-13%,30,-24%,"9,4",+3%,"0,07",-43%,"0,028",-43%,7,-8%,C,-8%,,,,,,,,40 g,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-007', 'Fabriqué en Italie']",31 g,en quantité élevée,5.7 g,en quantité élevée,30 g,en quantité élevée,0.07 g,en faible quantité,['Alesto'],['Lidl'],,,['L8348B'],,,3,,,['Italie'],,['Union européenne'],
187,albi - 0.2L,4003240470004,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,0.2 L,['bouteille en verre'],,,,,,,,,,['Albi'],,,,,,,,,,,,,
188,Dinosaurs - The Natural Confectionary Company Ltd,9310434001759,,"['Snacks', 'Snacks sucrés', 'Confiseries']","['Australie', 'France']",[],[],?,,344,-18%,1439 kj(344 kcal),-18%,1,-93%,1,-85%,81,+22%,51,+3%,2,-52%,0,-100%,0,-100%,14,-23%,D,-23%,,,,,,,,,,,1 g,en faible quantité,1 g,en faible quantité,51 g,en quantité élevée,0 g,en faible quantité,['The Natural Confectionary Company Ltd'],['Woolworths'],,,,,,,,,,,,
189,2 minis Pizzas Ecomiam,3424600000999,,,['France'],[],[],?,,236,,987 kj(236 kcal),,"6,6",,"3,5",,"24,5",,"2,8",,"18,1",,"1,43",,"0,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Yaourts,3770009144230,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Confiture orange et clémentine,3760058112601,,,['France'],[],[],?,,223,,933 kj(223 kcal),,0,,0,,54,,54,,"0,5",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Miel toutes fleurs biologique crémeux - De Traay,8713406140370,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],?,,325,+9%,1360 kj(325 kcal),+9%,0,-100%,0,-100%,"80,5",+4%,"80,5",+16%,"0,4",+18%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,['Bio'],0 g,en faible quantité,0 g,en faible quantité,80.5 g,en quantité élevée,0 g,en faible quantité,['De Traay'],,,,,,,,,,,,,
193,"Bonduelle Curry Bohnen, 430 g",3083681031171,,"['Plats préparés', 'Légumes préparés']","['France', 'Allemagne']",[],[],?,,111,+23%,464 kj(111 kcal),+25%,3,-34%,"0,4",-44%,"14,7",+113%,"6,3",+99%,"4,2",+104%,"0,65",-11%,"0,26",-11%,2,+409%,B,+409%,,,,,,,,,,,3 g,en quantité modérée,0.4 g,en faible quantité,6.3 g,en quantité modérée,0.65 g,en quantité modérée,['Bonduelle'],,,,,,,,,,,,,
194,"Balisto Fruit,Cranberry",5000159508391,,,['France'],[],[],?,,447,,1870 kj(447 kcal),,19,,"4,5",,57,,37,,"7,6",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,['Balisto'],,,,,,,,,,,,,
195,Les Vieilles Garennes,3513341375005,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Baum démêlant - Soteix Arganier/karité - 750ml,3661596840011,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,750ml,,['Fabriqué en France'],,,,,,,,,['Soteix Arganier/karité'],,,,,,,,,,,,,
197,Myrtilles séchées - BIODAY,3760099538163,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Myrtilles séchées']",['France'],"['myrtilles* 60 %', 'concentré de jus de pomme* 39 %', 'huile de tournesol* 1 %', "" *Ingrédients issus de l'agriculture biologique"", "" Conditionné dans un atelier qui utilise des céréales contenant du gluten,du lait et d'autres fruits à coques""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,330,-2%,1381 kj(330 kcal),-2%,2,-71%,0,-100%,78,+34%,52,+20%,1,-76%,"0,02",-77%,"0,008",-77%,4,-16%,C,-16%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",2 g,en faible quantité,0 g,en faible quantité,52 g,en quantité élevée,0.02 g,en faible quantité,['BIODAY'],,,,,,['Gluten'],3,,,,,['Canada'],
198,Nudeln rote Linsen,8018699023585,,,"['France', 'Allemagne']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Framboise - Natural Cool - 300g,4026813110206,,,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,300 g,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'BE-BIO-02', 'Agriculture UE/Non UE']",,,,,,,,,['Natural Cool'],,,,,,,,,,,,,
200,5 crois+5choco+5raisins,2030506547349,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Boules fourrées au miel,2550090230200,,,['France'],[],[],?,,402,,1682 kj(402 kcal),,"0,05",,0,,"98,9",,81,,"0,06",,"0,015",,"0,006",,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,
202,Flammekueche - Monoprix - 260g,3350030105235,C,"['Surgelés', 'Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches', 'Pizzas et tartes surgelées']",['France'],"['Crème fraîche épaisse 34,6% [crème', 'ferments lactiques ', 'contient lait', '] - farine de blé - lardons crus fumés 15,4% [poitrine de porc ', 'origine: UE', 'sel', 'dextrose', 'arôme de fumée', 'acidifiant: acide citrique', 'arômes', 'antioxydant : érythorbate de sodium', 'conservateurs : nitrate de potassium', 'nitrite de sodium', 'épices] - eau - oignons 9,6% - huile de tournesol - sel', ' Traces de céleri', 'moutarde', 'œufs et soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1109,+12%,?,,1109 kj(265 kcal),+14%,17,+45%,"8,9",+68%,22,-9%,"2,6",-22%,"5,7",-18%,"1,2",-4%,"0,48",-4%,15,+32%,D,+32%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,260 g,"['film plastique', 'à jeter', 'étui carton', 'à recycler']",,17 g,en quantité modérée,8.9 g,en quantité élevée,2.6 g,en faible quantité,1.2 g,en quantité modérée,['Monoprix'],['Monoprix'],,,"['EMB 57630E', 'Sarrebourg (Moselle, France)']",,"['Gluten', 'Lait']",4,"['E330 - Acide citrique', 'E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
203,Nantou Distillery Yushan Blended Malt Whisky,4711588858490,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Pâtes Amore Mio - La Patte Jeanjean,3770000172331,,,['France'],[],[],?,,357,,1494 kj(357 kcal),,"1,6",,"0,4",,73,,"4,5",,11,,0,,0,,,,,,,,,,,,,,,['Bio'],,,,,,,,,['La Patte Jeanjean'],,,,,,,,,,,,,
205,Palmiers - Auchan - 240g,2030500475952,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,240 g,,,,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,
206,Yaourte poire,3700613100339,,,['France'],[],[],?,,108,,452 kj(108 kcal),,"3,8",,"2,5",,"14,5",,"14,5",,"3,8",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.228.001 CE', 'Étupes (Doubs, France)']",,,,,,,,,
207,Ognion jaune de tradition,3593242730134,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Nature Moi,3286010022127,,"['Non alimentaire', 'Open Beauty Facts']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,['Nature Moi'],,,,,,,,,,,,,
209,Aji Pebre,7802640720637,,,['France'],[],[],?,,53,,222 kj(53 kcal),,"1,8",,"0,2",,"7,1",,"7,1",,2,,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Pâté de campagne aux châtaignes,3417460101869,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",['France'],[],[],?,,324,+4%,1356 kj(324 kcal),+4%,29,+7%,"8,1",-20%,"2,8",+16%,1,+9%,13,-8%,"1,9",+14%,"0,76",+14%,20,+5%,E,+5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,29 g,en quantité élevée,8.1 g,en quantité élevée,1 g,en faible quantité,1.9 g,en quantité élevée,,,,,,,,,,,,,,
211,Scotch whisky,7640171032290,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,03198469,03198469,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Sognid'oro - star,8000050015162,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']","['France', 'Italie']",[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,['Star'],,,,,,,,,,,,,
214,Money Bags crispy dumplings - Vitasia,20101299,,,['France'],[],[],?,,265,,1109 kj(265 kcal),,"13,8",,"2,7",,"27,4",,"3,4",,"6,9",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,['Vitasia'],,,,,,,,,,,,,
215,Sauce d'huitre,6902265712527,,"['Epicerie', 'Sauces', ""Sauces à l'huitre""]","['Australie', 'France']",[],[],?,,108,+14%,452 kj(108 kcal),+13%,0,-100%,0,-100%,"20,1",-2%,"13,2",-13%,4,+114%,"12,6",+41%,"5,04",+41%,13,-2%,D,-2%,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,13.2 g,en quantité élevée,12.6 g,en quantité élevée,,['Woolworths'],,,,,,,,,,,,
216,Curry,4001639184044,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,
217,Avocat,3664672000293,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,
218,Graines de courge,3700216245093,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",['France'],[],[],?,,540,-5%,2259 kj(540 kcal),-5%,0,-100%,0,-100%,"0,7",-91%,0,-100%,35,+17%,0,-100%,0,-100%,1,-91%,B,-91%,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,,,,,,,,,,
219,Digestive thins,8690504081975,,,['France'],[],[],?,,513,,2146 kj(513 kcal),,"24,8",,"13,7",,"64,7",,29,,"6,4",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Mini galette de riz pomme mangue,3700653800015,,,['France'],[],[],?,,367,,1536 kj(367 kcal),,"0,9",,"0,2",,82,,"9,4",,"7,4",,"0,01",,"0,004",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,
221,"Petit salé aux lentilles MAISON RIVIERE, 4/4, boîte de - 840g",3375644006440,C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Petits salés aux lentilles']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,840 g,['Conserve'],,,,,,,,,,['Maison Rivière'],,,,,,,,,,,,,
222,Acras de morue - Auchan,0206487065604,E,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Frais', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",['France'],[],[],?,,192,-12%,803 kj(192 kcal),-12%,"6,1",-34%,"2,9",+121%,"25,6",+24%,"2,5",+1%,"8,3",-21%,"2,29",+27%,"0,916",+27%,14,+102%,D,+102%,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,,"['Sachet', 'Frais']",['Point Vert'],6.1 g,en quantité modérée,2.9 g,en quantité modérée,2.5 g,en faible quantité,2.29 g,en quantité élevée,['Auchan'],['Auchan'],,,,,,,,,,,,
223,Huile d'olive vierge extra,3451080000256,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,
224,Vin rouge Vegan,3274440059912,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Blanc de dinde fumé - Auchan,3596710464906,D,"['Viandes', 'Volailles', 'Dindes', 'Blancs de dinde']",['France'],[],[],?,,109,+7%,456 kj(109 kcal),+7%,"2,4",+49%,"0,7",+37%,"0,9",-40%,"0,9",+4%,21,+5%,"1,8",-9%,"0,72",-9%,3,-43%,C,-43%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,"['Nutriscore', 'Nutriscore C']",2.4 g,en faible quantité,0.7 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en quantité élevée,['Auchan'],['Auchan'],,,,,,,,,,,,
226,Bebida de avena y miel - Santal,8410285190877,B,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]","['France', 'Espagne']",[],[],?,,39,-19%,163 kj(39 kcal),-19%,"0,5",-61%,"0,1",-52%,"7,8",-1%,4,-22%,"0,6",-22%,"0,1",+6%,"0,04",+6%,0,-100%,B,-100%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,4 g,en quantité modérée,0.1 g,en faible quantité,['Santal'],,,,,,,,,,,,,
227,One dualnature,7613036283885,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,
228,Pâtisserie aux amandes - Boni,5400141058581,,,['France'],[],[],?,,475,,1987 kj(475 kcal),,23,,"8,7",,64,,38,,"3,6",,"0,51",,"0,204",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,['Boni'],['Colruyt'],,,,,,,,,,,,
229,Aros,8410376024968,,,['France'],[],[],?,,511,,2138 kj(511 kcal),,25,,14,,64,,34,,6,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Rhum Clément,3107460004740,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,['Clément'],,,,,,,,,,,,,
231,Confit échalotes et framboises - Jean Larnaudie - 140g,3113010144897,,,['France'],"['Échalote', 'sucre', 'vin rouge ', 'sulfites', ""vinaigre d'alcool"", 'framboise', 'seul de Guérande', 'gélifiant : pectines', "" Préparé avec 53g d'échalote et 3,7g de framboise pour 100g de produit fini""]",[],?,,152,,636 kj(152 kcal),,"0,5",,"0,1",,36,,34,,"0,9",,"0,41",,"0,164",,,,,,,,,,,,,140g,['pot de verre'],,,,,,,,,,"['Jean Larnaudie', 'Larnaudie']",,,,"['EMB 59383', 'Marly (Nord, France)']",,['Anhydride sulfureux et sulfites'],4,['E440 - Pectines'],,['46100 Figeac France'],,,
232,Croix de taillac buzet,26012735,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Buzet']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,['France'],
233,Pinot noir,3330548001366,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Chocolat au lait au praline - Hema,8718537033850,,,['France'],[],[],?,,550,,2301 kj(550 kcal),,"33,3",,"16,2",,"54,5",,"53,5",,"6,2",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,['Hema'],,,,,,,,,,,,,
235,Oscar,3760129690533,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Onctueux de caramel - Brieuc,3760074418237,,,['France'],[],[],?,,384,,1607 kj(384 kcal),,16,,11,,60,,58,,"0,9",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,['Brieuc'],,,,,,,,,,,,,
237,Scary mix,8426617008871,,,['France'],[],[],?,,340,,1423 kj(340 kcal),,"0,5",,"0,1",,78,,56,,"5,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Pain d'épices au miel,3543938144004,B,"['Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],[],?,,340,+1%,1423 kj(340 kcal),+0%,"4,8",+38%,"3,1",+150%,"68,9",-3%,"28,4",-30%,"5,2",+20%,"0,6",+38%,"0,24",+38%,15,+6%,D,+6%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,4.8 g,en quantité modérée,3.1 g,en quantité modérée,28.4 g,en quantité élevée,0.6 g,en quantité modérée,,,,,,,,,,,,,,
239,Pâte de coriandre - Le coq noir,3269714112530,,,['France'],[],[],?,,155,,649 kj(155 kcal),,15,,"1,7",,1,,1,,"2,6",,"1,7",,"0,68",,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,['Le coq noir'],,,,,,,,,,,,,
240,Juvamine,3160920642708,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Juvamine'],,,,,,,,,,,,,
241,PANETTONE - Balocco,8001100061467,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],?,,375,+0%,1569 kj(375 kcal),+1%,15,0%,7,-22%,52,+1%,30,+16%,"6,9",+1%,"0,4",-9%,"0,16",-9%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,15 g,en quantité modérée,7 g,en quantité élevée,30 g,en quantité élevée,0.4 g,en quantité modérée,['Balocco'],,,,,,,,,,,,,
