,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,origin_detail,producer_info,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,additives,ingredients_origins,allergens,link,palm_ingredients,brand_owner
48,Flap jack,3800224890800,,,,,,,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,436,,1824 kj(436 kcal),,"21,9",,"8,4",,53,,"27,5",,"6,7",,"0,13",,"0,052",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
49,Demi-crème 25% - Milbona,20365981,,,,,['Milbona'],,,,,['Lidl'],"['France', 'Suisse']",[],[],,,,,,,,,,?,,251,,1050 kj(251 kcal),,25,,0,,"3,9",,0,,"2,7",,0,,0,,,,,,,,,,,,,['Fabriqué en Suisse'],,,,,,,
50,Saucisson sec - La Vie Claire,3266191054223,D,,,,['La Vie Claire'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,"['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)', 'EMB 85059', 'Châtaigneraie (Vendée, France)']",['La Vie Claire'],['France'],[],[],,32 g,en quantité élevée,12 g,en quantité élevée,0.6 g,en faible quantité,5 g,en quantité élevée,?,,419,+4%,1753 kj(419 kcal),+4%,32,+1%,12,-2%,"1,8",-19%,"0,6",-56%,30,+9%,5,+7%,2,+7%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,['Bio'],,,,,,,
51,Rillettes de canard nature,3000000002490,D,,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,['France'],[],[],,44.3 g,en quantité élevée,13.3 g,en quantité élevée,0.4 g,en faible quantité,0.6 g,en quantité modérée,?,,467,+16%,1954 kj(467 kcal),+16%,"44,3",+21%,"13,3",+6%,"0,4",-31%,"0,4",+59%,"16,6",+2%,"0,6",-56%,"0,24",-56%,17,-12%,D,-12%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
52,Ragù,8017596072191,,,,,,,,,,,"['France', 'Italie']",[],[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"6,4",,"1,5",,"4,2",,3,,"7,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,
53,Pate a pizza bio - Delhaize - 260g,5400112454480,B,Pâte à pizza prête à dérouler,260 g,['Plastique'],['Delhaize'],['Pâtes à pizza'],,,,['Delhaize'],"['Belgique', 'France']","['Farine de blé', 'eau', 'huile de tournesol', 'sel', 'alcool éthylique', 'gluten de blé', 'poudres à lever ', 'phosphates de calcium', 'carbonates de sodium', 'levure boulangère']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,6.7 g,en quantité modérée,0.7 g,en faible quantité,0.8 g,en faible quantité,1.76 g,en quantité élevée,?,,284,+1%,1188 kj(284 kcal),+1%,"6,7",+19%,"0,7",-36%,"47,5",+1%,"0,8",-51%,"6,8",-6%,"1,76",+14%,"0,704",+14%,3,-58%,C,-58%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,"['Bio', 'Végétarien', 'Bio européen', 'FR-BIO-01']",,"['E1510 - Éthanol', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",['Agriculture UE et non UE'],['Gluten'],,,
54,Hachis parmentier - Fleury Michon - 300g,3302749644024,C,,300 g,"['Carton', 'Frais']",['Fleury Michon'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",,,"['FR 85.154.002 CE', 'Mouilleron-en-Pareds (Vendée, France)']",,['France'],"['Lait écrémé réhydraté', 'viande de beuf 18%', 'eau', 'flocons de pommes de terre 9%', 'champignons de Paris 5,7%', 'emmental 5,5%', 'oignons', 'crème fraiche 4%', 'crème de riz', 'beurre', 'sel', 'persil 0,2%', 'huile de tournesol', ""poudre de jaune d'eufs"", 'caramel ', 'sucre', 'eau', 'épices', ' Recette sans gluten', ' Beuf origine France', ' POIDS NET: Les informations en gras sont destinées aux allergiques et intolérants', ' Une allergie', 'une intolérance', 'retrouvez notre moteur de recherche allergènes sur notre site www', 'fleurymichon', 'fr 300 ge']",['Non végétalien'],3,7.8 g,en quantité modérée,4.5 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,?,,142,+13%,594 kj(142 kcal),+15%,"7,8",+27%,"4,5",+55%,"9,5",-5%,"2,3",+43%,"7,9",+27%,"0,8",+10%,"0,32",+10%,4,+38%,C,+38%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,"['Viande Française', 'Sans gluten', 'Viande Bovine Française', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C']",['France'],,['France'],"['Œufs', 'Lait']",,,
55,Christmas pudding,5015637015032,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,323,,1351 kj(323 kcal),,11,,"4,9",,44,,34,,"3,7",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,
56,Soupe de poisson - Saveurs du Marin,3530340000608,E,,,,['Saveurs du Marin'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,['France'],[],[],,1.1 g,en faible quantité,0.28 g,en faible quantité,0.64 g,en faible quantité,0.41 g,en quantité modérée,?,,40,-17%,167 kj(40 kcal),-16%,"1,1",-42%,"0,28",-38%,"1,24",-32%,"0,64",-2%,"5,77",+12%,"0,41",-54%,"0,164",-54%,-2,-329%,A,-329%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,
57,Tortilla chips - Mission,6946431800342,B,,,,['Mission'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,,,,['France'],[],[],,20.8 g,en quantité élevée,8.4 g,en quantité élevée,0.8 g,en faible quantité,0.2 g,en faible quantité,?,,478,-1%,2000 kj(478 kcal),-1%,"20,8",-8%,"8,4",+187%,"61,9",+3%,"0,8",-58%,"7,8",+22%,"0,2",-83%,"0,08",-83%,13,+34%,D,+34%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,
58,Choucroute cuisinée au Riesling - 1kg,3442610002598,,,1 kg,,,,,,,,['France'],[],[],,,,,,,,,,?,,41,,172 kj(41 kcal),,"2,3",,"0,7",,3,,"2,3",,"1,4",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,
59,Extra virgin olive oil -,5200118280546,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", ""Huile d'olive de Sitia Lasithiou Kritis""]",,,,,['France'],"['EXTRA VIRGIN OUVE OIL • COLD EXTRACTION • PROTECTED DESIGNATION OF ORIGIN SITIA LASITHIOU KRITIS P', 'D', 'O']",[],,91.6 g,en quantité élevée,12.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3389,+3%,824,-1%,3389 kj(824 kcal),-2%,"91,6",-2%,"12,8",-4%,0,-100%,0,-100%,0,-100%,0,,0,,6,+1%,C,+1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
60,Cotentin - Campagne de France - 133g,3265776627111,D,,133 g,['Frais'],"['Campagne de France', 'Maîtres Laitiers']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,"['FR 50.579.001 CE', 'Sottevast (Manche, France)', 'FR 50.579.901 CE', 'Sottevast (Manche, France)']",,['France'],[],[],,20.4 g,en quantité élevée,14.1 g,en quantité élevée,2.3 g,en faible quantité,1.2 g,en quantité modérée,?,,229,-30%,958 kj(229 kcal),-30%,"20,4",-23%,"14,1",-21%,"2,6",+115%,"2,3",+210%,"8,6",-58%,"1,2",-8%,"0,48",-8%,12,-12%,D,-12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
61,Cookies aux pépites,3502790725837,C,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,['France'],[],['Sans huile de palme'],,25 g,en quantité élevée,16 g,en quantité élevée,29 g,en quantité élevée,0.6 g,en quantité modérée,?,,476,+0%,1992 kj(476 kcal),+0%,25,+20%,16,+58%,55,-14%,29,-2%,"6,5",0%,"0,6",+2%,"0,24",+2%,23,+16%,E,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sans conservateurs', 'en:palm-oil-free']",,,,,,,
62,Mélange Tonus,2600285022506,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,22,,"2,1",,42,,26,,20,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,
63,"Légumes, Coco et Curry - Lucien Georgelin",3330720633927,,,,,['Lucien Georgelin'],,,,,,['France'],[],[],,,,,,,,,,?,,78,,326 kj(78 kcal),,"4,6",,"4,3",,"6,6",,4,,"1,4",,"1,3",,"0,52",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France']",,,,,,,
64,Fruit Shoot,5010102118461,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,5,,21 kj(5 kcal),,0,,0,,"0,8",,"0,8",,0,,0,,0,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,
65,Thai Choice Fideo Thai Rice X200G [],8851978805621,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,364,,1523 kj(364 kcal),,"0,91",,0,,"81,75",,0,,"6,25",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,
66,Rooibos,3770000675092,B,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Rooibos']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen', 'en:ZA-BIO-140', 'AB Agriculture Biologique']",,,,,,,
67,chocolat noir 65% - Carré Suisse,3760231780504,D,,,['Papier'],['Carré Suisse'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['FSC-C104754'],,['France'],[],[],,39 g,en quantité élevée,24 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,?,,559,+1%,2339 kj(559 kcal),+1%,39,-1%,24,+4%,39,+1%,34,+7%,8,+4%,0,-100%,0,-100%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture non UE', 'AB Agriculture Biologique', 'CH-BIO-006', 'FR-BIO-01', 'Fabriqué en Suisse']",,,,,,,
68,Little gingerbread house,0200030115198,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,457,,1912 kj(457 kcal),,16,,"8,2",,72,,34,,"5,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
69,Croquant d'alsace,3018940006911,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,526,,2201 kj(526 kcal),,27,,17,,65,,24,,"5,7",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,
70,Carotte pomme panais pastèque,3570250090030,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,48,,201 kj(48 kcal),,"0,3",,0,,"10,2",,"9,1",,"0,6",,"0,043",,"0,017",,,,,,,,,,,,,,,,,,,,
71,Bar-B-Que SAUCE,0733553021184,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,81,,339 kj(81 kcal),,0,,0,,"19,5",,16,,"0,8",,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,
72,boudins blancs parfumés au porto,2746437005000,D,,,,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,,['France'],[],[],,25.8 g,en quantité élevée,10.5 g,en quantité élevée,0.9 g,en faible quantité,1.4 g,en quantité modérée,?,,281,+16%,1176 kj(281 kcal),+15%,"25,8",+28%,"10,5",+34%,"1,1",-74%,"0,9",-54%,"10,1",-2%,"1,4",-6%,"0,56",-6%,19,+19%,E,+19%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,
73,Escalopines panées halal - Arabi,3286959660381,,,,,['Arabi'],,,,,,['France'],[],['Sans huile de palme'],,,,,,,,,,?,,252,,1054 kj(252 kcal),,"16,7",,"3,9",,"11,4",,"0,45",,"14,5",,"1,05",,"0,42",,,,,,,,,,,,,"['Halal', 'en:palm-oil-free']",,,,,,,
74,Flavigny Bonbon Violette - Les Anis De Flavigny,3360102130010,,,,,['Les Anis De Flavigny'],,,,,,['France'],[],[],,,,,,,,,,?,,50,,209 kj(50 kcal),,0,,0,,"99,8",,"99,8",,0,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
75,Panettone bio aux pépites de chocolat,8006073278973,C,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['France'],[],[],,19 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,?,,392,+5%,1640 kj(392 kcal),+5%,19,+27%,11,+22%,46,-11%,20,-23%,7,+2%,0,-100%,0,-100%,18,-3%,D,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
76,Queue de langouste caraïbe crue congelée,3346963004059,E,,,,,"['Produits de la mer', 'Crustacés', 'Langoustes', 'Queues de langoustes']",,,"['FR 59.271.001 CE', 'Grande-Synthe (Nord, France)']",,['France'],[],[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,90,-1%,377 kj(90 kcal),-1%,"1,3",+50%,"0,4",+127%,0,-100%,0,-100%,"19,5",+1%,"0,1",-85%,"0,04",-85%,-4,,A,,88.4%,0.0%,2.5%,6.2%,1.2%,1.6%,18,,,,,,,,
77,Beignets framboises - Thiriet,3292590896829,,Beignets fourrés à la purée de framboise,,,['Thiriet'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignet fourré aux fruits', 'Beignets sucrés', 'Beignets fourrés à la framboise']",,,,['Thiriet'],['France'],[],[],,9.7 g,en quantité modérée,1.5 g,en quantité modérée,20 g,en quantité élevée,6.73 g,en quantité élevée,?,,239,-20%,1000 kj(239 kcal),-19%,"9,7",-5%,"1,5",-21%,50,+15%,20,+42%,"6,7",+11%,"6,73",+853%,"2,692",+853%,17,+110%,D,+110%,,,,,,,,,,,,,,,
78,Lamelles d ecorces d'oranges - Sabaton,3101740010124,,,,,['Sabaton'],,,,,,['France'],[],[],,,,,,,,,,?,,310,,1297 kj(310 kcal),,0,,0,,74,,58,,0,,0,,0,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
79,Yemavin,8432286007060,D,,,,['Yemavin'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,"['France', 'Espagne']",[],[],,,,,,,,,,?,,16,-47%,67 kj(16 kcal),-47%,"0,05",-95%,"0,05",-90%,4,+31%,3,+116%,"0,1",-82%,"0,038",-91%,"0,015",-91%,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,['Sans gluten'],,,,,,,
80,Tomate Frito - Ferrer,8411026016487,B,,,,['Ferrer'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates frites']",,,,,"['France', 'Espagne']",[],[],,6 g,en quantité modérée,0.5 g,en faible quantité,3.5 g,en faible quantité,1.6 g,en quantité élevée,?,,98,+13%,410 kj(98 kcal),+16%,6,+50%,"0,5",+3%,"9,1",-1%,"3,5",-49%,"1,8",+42%,"1,6",+44%,"0,64",+44%,7,+34%,C,+34%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,
81,Marrons entiers cuits à la vapeur - Carrefour,5400101015364,,,,,['Carrefour'],,,,,['Carrefour'],['France'],[],[],,,,,,,,,,?,,167,,699 kj(167 kcal),,"1,3",,"0,2",,36,,"8,3",,"2,6",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,
82,aromatizzato al Tartufo Bianco,8033993040137,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
83,Pain d'epices toast,5410383110190,B,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,['France'],[],[],,0.8 g,en faible quantité,0.28 g,en faible quantité,51 g,en quantité élevée,0.32 g,en quantité modérée,?,,330,-2%,1381 kj(330 kcal),-3%,"0,8",-77%,"0,28",-77%,76,+7%,51,+26%,"2,8",-35%,"0,32",-27%,"0,128",-27%,15,+6%,D,+6%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,,,,
84,Cantucci,8000105005964,C,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci']",,,,,['France'],[],[],,13.3 g,en quantité modérée,1.7 g,en quantité modérée,30 g,en quantité élevée,1.3 g,en quantité modérée,?,,433,-2%,1812 kj(433 kcal),-2%,"13,3",-7%,"1,7",-57%,"76,7",+16%,30,-7%,10,+3%,"1,3",+308%,"0,52",+308%,17,+10%,D,+10%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
85,Papillotes,3173287835065,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,433,,1812 kj(433 kcal),,11,,6,,81,,80,,"1,7",,0,,0,,,,,,,,,,,,,,,,,,,,
86,Risotto a la truffe,8029643000637,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,"1,5",,"0,1",,72,,"0,7",,9,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,
87,Yeast 3 Bags - Dr. Oetker - 7g,8710466017024,,,7g,['Sachet'],['Dr. Oetker'],,,,,,"['France', 'Allemagne', 'Pays-Bas']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
88,Graines de Lin Doré Bio,3701091743278,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,506,,2117 kj(506 kcal),,"36,6",,"3,17",,"6,6",,"1,55",,"23,9",,"0,051",,"0,02",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert']",,,,,,,
89,King mojito - 50cl,3279068000209,,,50 cl,,,,,,,,"['France', 'La Réunion']","['Eau gazéifiée', 'sucre', 'Jus de citron à base de concentre 6%', 'arômes naturels', 'conservateur: benzoate de sodium']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,"10,6",,"10,6",,0,,0,,0,,,,,,,,,,,,,['Produits faisant référence au Mojito'],['Chane-Hive SA'],"['E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",,,,,
90,Pain d'épices au miel - 300g,3299470000192,B,,300 g,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", ""Pains d'épices au miel""]",,,,,['France'],[],[],,0.8 g,en faible quantité,0.2 g,en faible quantité,47 g,en quantité élevée,0.57 g,en quantité modérée,?,,328,+2%,1372 kj(328 kcal),+2%,"0,8",-58%,"0,2",-55%,76,+6%,47,+9%,"2,9",-21%,"0,57",+19%,"0,228",+19%,16,+15%,D,+15%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,
91,Torrone M. mandorle GR85 I Sic.,8008052301672,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,441,,1845 kj(441 kcal),,17,,"1,4",,64,,58,,"7,6",,"0,08",,"0,032",,,,,,,,,,,,,['en:gluten-free'],,,,,,,
92,Jus de Cranberry Bio - Moulin des moines,3347430013475,D,,,,['Moulin des moines'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de canneberge']",,,,,['France'],[],[],,0.2 g,en faible quantité,0.1 g,en faible quantité,6.3 g,en quantité élevée,0 g,en faible quantité,?,,31,-3%,130 kj(31 kcal),-5%,"0,2",+6%,"0,1",+78%,"6,3",-26%,"6,3",+2%,"0,3",+76%,0,-100%,0,-100%,0,-100%,B,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Bio', 'Sans sucre ajouté', 'Sans additifs', 'Sans conservateurs']",,,,,,,
93,Clémentine de corse - 1kg,3760160690363,,,1 kg,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
94,Graines de lin,3760190623508,D,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Lins', 'Graines de lin brun']",,,,,['France'],[],[],,31 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,477,-4%,1996 kj(477 kcal),-4%,31,-17%,0,-100%,13,+39%,0,-100%,19,-7%,0,-100%,0,-100%,0,-100%,B,-100%,87.9%,0.0%,4.6%,2.5%,3.1%,1.9%,35,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,
95,2 moelleux chocolat - Picard,3270160422272,,,,,['Picard'],,,,,['Picard'],['France'],[],[],,,,,,,,,,?,,445,,1862 kj(445 kcal),,"28,2",,"21,1",,"40,7",,"27,1",,"5,6",,"0,78",,"0,312",,,,,,,,,,,,,,,,,,,,
96,Gauffre vanille chocolat - Delhaize,5400113554684,,,,,['Delhaize'],,,,,['Delhaize'],"['Belgique', 'France']",[],[],,,,,,,,,,?,,443,,1854 kj(443 kcal),,"19,8",,"12,1",,"58,3",,"26,4",,"6,8",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,
97,Himbeere Fein & Soft,20153656,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,243,,1017 kj(243 kcal),,"0,1",,"0,1",,58,,44,,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,
98,6 Véritables merguez,3547448745027,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,,,,['France'],[],[],,20.5 g,en quantité élevée,9.3 g,en quantité élevée,1.2 g,en faible quantité,1.88 g,en quantité élevée,?,,250,-5%,1046 kj(250 kcal),-5%,"20,5",-5%,"9,3",+2%,"1,2",-43%,"1,2",+4%,"15,1",+6%,"1,88",-2%,"0,752",-2%,20,+6%,E,+6%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,
99,Eclair,3602826450655,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,700,,2929 kj(700 kcal),,6,,6,,6,,5,,9,,9,,"3,6",,,,,,,,,,,,,,,,,,,,
100,La chanteracoise,3760178791052,,,,,['La Chanteracoise'],,,,,['Biocoop Caluire'],['France'],[],[],,,,,,,,,,?,,367,,1536 kj(367 kcal),,6,,"0,94",,"79,54",,"8,18",,"10,71",,"1,67",,"0,668",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans huile de palme', 'AB Agriculture Biologique']",,,,,,,
101,100% Durum tarwe gepoft - Albert Heijn,8718906822733,,,,,['Albert Heijn'],,,,,,"['Belgique', 'France']","['or in other words jrumtarwe of 160 ge/4 servings ', '40 g', ' allergy information: contains wheat gluten', 'preparation: pour 40 grams of the puffed wheat into a bowl', 'add the semi-skimmed milk', 'semi-skimmed yoghurt or low fat cottage cheese to it', 'at least', 'lasting up to and including: see back', 'see', 'smell', 'and taste', 'after that date', 'in a cool', 'dark', 'dry place', 'the package out after use']",[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,"1,5",,"0,4",,69,,"1,5",,13,,0,,0,,,,,,,,,,,,,,,,,,,,
102,Marmelade - Tesco Finest,5000436288701,,,,['Bocal'],['Tesco Finest'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades']",,,,,"['République tchèque', 'France']",[],[],,0.6 g,en faible quantité,0.3 g,en faible quantité,60.2 g,en quantité élevée,0.2 g,en faible quantité,?,,273,+14%,1142 kj(273 kcal),+14%,"0,6",+224%,"0,3",+593%,"66,3",+13%,"60,2",+7%,"0,3",-16%,"0,2",+560%,"0,08",+560%,13,+8%,D,+8%,,,,,,,,,,,,,,,
103,Chocolate orange mints - Maître Truffout - 200g,9002859067570,,,200g,,['Maître Truffout'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats fourrés']",,,,,['France'],"['chocolat noir 51% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: E322', 'garniture 49% ', 'sucre', 'sirop de glucose', ""arôme d'orange"", 'humectant: E1103', ' huile naturelle de menthe <1%', 'gelifiant: E406', ' acidifiant: E330', ' sel de table', ' Cacao: 50% minimum dans le chocolat noir']",[],4,17 g,en quantité modérée,10 g,en quantité élevée,61 g,en quantité élevée,0.01 g,en faible quantité,?,,456,-16%,1908 kj(456 kcal),-15%,17,-49%,10,-44%,70,+36%,61,+29%,4,-35%,"0,01",-93%,"0,004",-93%,24,-2%,E,-2%,,,,,,,,"['Commerce équitable', 'Fairtrade International']",['Allemagne'],"['E322 - Lécithines', 'E1103 - Invertase', 'E406 - Agar-agar', 'E330 - Acide citrique']",,,,,
104,Les bonnes recettes de Fonfon,3251870003685,,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
