,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
312,Dattes - Nara - 400g,4035421130117,['Nara'],['France'],[],,[],,?,278,1163 kj(278 kcal),"0,1","0,1",73,67,"1,4","0,1","0,04",,400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes']",0.1 g,en faible quantité,0.1 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,,-7%,-7%,-65%,+102%,+6%,+14%,-35%,+361%,+361%,8,+64%,C,+64%,,['Arabie saoudite'],,,,C,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,
313,Poires,3760198580223,,['France'],[],,[],,?,71,297 kj(71 kcal),"0,24","0,06","19,06",0,"0,36",0,0,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Legumes du sud - Knorr,8712566457632,['Knorr'],['France'],[],,[],,?,35,146 kj(35 kcal),6,3,6,3,"0,9","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Sauce Apéritif Citron confit & gingembre - Maison Rivière - 200g,3375644007843,['Maison Rivière'],['France'],"['Huile de tournesol', 'citron confit 16%', 'oignons', 'gingembre 7%', ""jaune d'oeuf"", 'moutarde', 'vin blanc ', 'sulfites', 'miel', 'jus concentré de citron', 'gommes de xanthane et de guar', 'coriandre', 'curcuma', 'poivre', 'basilic', 'marjolaine', 'romarin', 'thym', 'sariette']","['E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Sans huile de palme', 'Non végétalien']",4,?,5,21 kj(5 kcal),5,5,5,5,5,5,2,,200 g,['Sauce apéritive'],5 g,en quantité modérée,5 g,en quantité modérée,5 g,en quantité modérée,5 g,en quantité élevée,,-98%,-98%,-81%,-2%,+6%,+57%,+97%,+165%,+165%,15,+14%,D,+14%,['Bocal'],,,"['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",,,,,,,,,,sauce apéritive,"['FR 11.076.009 CE', 'Castelnaudary (Aude, France)']",,,,,
316,ôpia - Effervescent Chardonnay,3663852004724,,"['France', 'Pays-Bas']",[],,[],,?,24,100 kj(24 kcal),0,0,"5,9","5,9",0,0,0,"['Agriculture UE', 'Halal']",,,,,,,,,,,,,,,,,,,,,,,,,"['Fles', 'Glas']",,,,,,,,,,,,,,,,['Ekoplaza'],,,
317,Limonade Mûre Cassis - La Gosse,3585261906027,['La Gosse'],['France'],[],,[],,?,36,151 kj(36 kcal),0,0,9,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Thiriet,3292590499655,['Thiriet'],['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,
319,Confiture de fraises - Andrésy Gourmet,3245310078692,"['Andrésy Gourmet', 'Andrésy']",['France'],[],,[],,?,186,778 kj(186 kcal),"0,2",0,45,45,"0,5",0,0,"['Bio', 'Bio européen', 'FR-BIO-01']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",0.2 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,,-14%,-15%,-17%,-100%,-15%,-11%,+13%,-100%,-100%,9,+3%,C,+3%,,,,,,C,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
320,Kartoffel Lachs Gratin - Prima Menü,4023372705034,['Prima Menü'],"['France', 'Allemagne']",[],,[],,434,104,434 kj(104 kcal),"4,8","2,1","8,2","1,1","6,2","0,55","0,22","['Pêche durable', 'Pêche durable MSC']",,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre']",4.8 g,en quantité modérée,2.1 g,en quantité modérée,1.1 g,en faible quantité,0.55 g,en quantité modérée,-15%,-21%,-20%,-31%,-48%,-26%,-30%,+47%,-24%,-24%,2,-61%,B,-61%,,,,,,B,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,['MSC-C-52950'],,,,,
321,Pane carasatu -,8053340220005,,"['France', 'Espagne']",[],,[],,?,450,1883 kj(450 kcal),17,"2,4",61,"0,4",11,"1,3","0,52",['Fabriqué en Italie'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",17 g,en quantité modérée,2.4 g,en quantité modérée,0.4 g,en faible quantité,1.3 g,en quantité modérée,,+18%,+18%,+273%,+133%,-14%,-93%,+11%,+47%,+47%,12,+293%,D,+293%,,,,,,B,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,,,,,,
322,Biscolata mood - 115g,8699141057060,['Biscolata'],['France'],[],,[],,?,100,418 kj(100 kcal),"29,2","14,1","59,3","36,5","5,7","0,2","0,08",,115g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",29.2 g,en quantité élevée,14.1 g,en quantité élevée,36.5 g,en quantité élevée,0.2 g,en faible quantité,,-79%,-79%,+40%,+40%,-7%,+24%,-12%,-66%,-66%,19,-4%,E,-4%,,,,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
323,Eminces de Thon Albacore fume,3324030014354,,['France'],[],,[],,?,107,448 kj(107 kcal),"0,5","0,3","0,5","0,3",25,3,"1,2",,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",0.5 g,en faible quantité,0.3 g,en faible quantité,0.3 g,en faible quantité,3 g,en quantité élevée,,-14%,-13%,-76%,-45%,+223%,+194%,0%,+209%,+209%,11,+2685%,D,+2685%,,,,,,D,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,
324,Tortiglioni,8009385133893,,['France'],[],,[],,?,356,1490 kj(356 kcal),"1,8","0,4",70,2,13,0,0,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cedevita,3850322003480,,['France'],[],,[],,?,376,1573 kj(376 kcal),0,0,88,88,0,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Président Burger Cheddar,3228024160051,['President'],['France'],[],,[],,?,248,1038 kj(248 kcal),18,13,"7,5",6,14,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Barilla Egg Tagliatelle Bianca - 1kg,8076809544597,['Barilla'],['France'],[],,[],,?,371,1552 kj(371 kcal),5,"1,5",65,3,"14,5","0,1","0,04",['Fabriqué en Italie'],1kg,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",5 g,en quantité modérée,1.5 g,en quantité modérée,3 g,en faible quantité,0.1 g,en faible quantité,,+12%,+12%,+93%,+115%,+5%,+8%,+25%,-53%,-53%,0,,B,,['Plastica'],,,,,,,,,,,,,,,,,,,
328,Carciofini grigliati,8003001040121,,['France'],[],,[],,?,56,234 kj(56 kcal),"4,3",1,"3,8","0,5","1,1","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Gâteau breton au beurre frais - La Bien Nommée - 350gr,3760029245154,['La Bien Nommée'],['France'],[],,[],,?,457,1912 kj(457 kcal),26,17,49,24,"5,3","0,76","0,304",,350 gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Pâte à Sucre - Blanc Brillant - Vanille - 1 KG,8718274810349,,['France'],[],,[],,?,403,1686 kj(403 kcal),"6,7","4,6","85,2","82,8",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Tè alla pesca preparato zuccherato istantaneo - blues - 1kg,8017596006363,['Blues'],"['France', 'Italie']",[],,[],,?,405,1695 kj(405 kcal),"1,4",0,"97,3","91,7","0,6",0,0,,1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,"Oliven Grün, mot Paprika - Krini - 285g",4002015003355,['Krini'],"['France', 'Allemagne']",[],,[],,?,153,640 kj(153 kcal),15,2,"1,5",1,"1,6",3,"1,2",,285 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",15 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,3 g,en quantité élevée,,-7%,-6%,-7%,-23%,-2%,+365%,+24%,-12%,-12%,12,0%,D,0%,['Glas'],,,,,A,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,
333,Taralli al peperoncino,8057094349029,,['France'],[],,[],,?,324,1356 kj(324 kcal),"12,76","1,76","44,85","0,45","6,78","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Farce de dinde - Carrefour,3560071154325,['Carrefour'],['France'],[],,[],,?,212,887 kj(212 kcal),16,"6,5","1,2","0,5",15,"1,9","0,76",['Fabriqué en France'],,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée', 'Farces']",16 g,en quantité modérée,6.5 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,-12%,-10%,-12%,-2%,-49%,-49%,+2%,+7%,+7%,16,-1%,D,-1%,,,,,,,,,,,,,,,"['FR 79.195.001 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,['Carrefour'],,,
335,Mild pepper sauce,0757306003661,,['France'],[],,[],,?,77,322 kj(77 kcal),"2,6","0,2","10,7","6,4","2,8","0,9","0,36",,,"['Epicerie', 'Sauces']",2.6 g,en faible quantité,0.2 g,en faible quantité,6.4 g,en quantité modérée,0.9 g,en quantité modérée,,-68%,-67%,-86%,-91%,+8%,-1%,+4%,-63%,-63%,3,-74%,C,-74%,,,,,,,,,,,,,,,,,,,,
336,Pois du cap,3269578203818,,['France'],[],,[],,?,250,1046 kj(250 kcal),"2,1","0,6",60,0,"22,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Cúrcuma - Carmencita,8413700002342,['Carmencita'],['France'],[],,[],,?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Yerba mate,7790710000331,,"['Argentine', 'France']",[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Sucettes au caramel,3663350024583,,['France'],[],,[],,?,391,1636 kj(391 kcal),"1,6","1,1",93,63,"0,8","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Sachet assortiment cocktail - Boehli - 150g,3185610005151,['Boehli'],['France'],"['Farine de blé', 'huiles végétales ', 'tournesol', 'coco', 'sel 2', '6%', 'lactosérum en poudre', 'sucre', 'poudres à lever ', 'carbonate acide de sodium', ""carbonate acide d'ammonium"", ""extrait de malt d'orge"", 'émulsifiant ', 'lécithine de tournesol', 'lait écrémé en poudre', 'graines de sésame', 'graines de pavot', 'farine de blé malté', 'arôme de fumée', 'levure', ""correcteur d'acidité "", 'hydroxyde de sodium']","['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine', 'E524 - Hydroxyde de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,1783,423,1783 kj(423 kcal),"10,1","4,3",71,"2,9","10,1","2,3","0,92","['Végétarien', 'Kascher']",150 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Bretzels']",10.1 g,en quantité modérée,4.3 g,en quantité modérée,2.9 g,en faible quantité,2.3 g,en quantité élevée,+7%,+9%,+10%,+107%,+357%,-1%,+35%,-9%,-27%,-27%,15,+22%,D,+22%,['Sachet'],,"['Alsace', 'Gundershoffen', 'France']","['Gluten', 'Lait', 'Graines de sésame']",https://www.boehli.fr/,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Sachet assortiment cocktail,,,,,"France, Espagne",
341,"Chocolate Striped Peanut Cookies, Erdnuss, Schokol...",5902379764956,,['France'],[],,[],,?,511,2138 kj(511 kcal),29,9,47,"2,7",12,"0,4","0,16",['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Mogettes bio cuisinees,3574310211847,,['France'],[],,[],,?,89,372 kj(89 kcal),0,0,12,"1,4","6,4","0,9","0,36","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Bambou Pousse Aigre Doux 850 G,0084909003430,,['France'],[],,[],,?,12,50 kj(12 kcal),0,0,"3,1",0,0,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Creme dessert hp hc - Delical,3401295380728,['Delical'],['France'],[],,[],,?,151,632 kj(151 kcal),5,"0,4","16,5","12,6",10,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,16 Galettes éventail Pur Beurre - Goulibeur,3481713246003,['Goulibeur'],['France'],[],,[],,?,509,2130 kj(509 kcal),24,16,68,25,"5,9","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Fruchtige Gemüsesuppe Marokkanisch,4260195545052,,['France'],[],,[],,?,78,326 kj(78 kcal),"2,2","0,4","2,4","2,4","3,3","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Cahuettes Grilles / Salees Boite Fer Vent De Folie 400G - 400g,3499601250155,,['France'],[],,[],,?,597,2498 kj(597 kcal),49,5,14,1,25,0,0,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,"Weider Body Shaper, Hasel Nuss Flavour",4044782387177,['Weider'],['France'],[],,[],,?,418,1749 kj(418 kcal),15,"5,6",45,33,25,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,tempo chocolat,5941664004933,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Moutarde de dijon - Pomona - 5kg,3061435002844,['Pomona'],['France'],[],,[],,?,149,623 kj(149 kcal),11,"0,77","1,8","1,8","7,2","6,1","2,44",,5 kg,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",11 g,en quantité modérée,0.77 g,en faible quantité,1.8 g,en faible quantité,6.1 g,en quantité élevée,,-6%,-6%,-4%,+1%,-51%,-20%,+0%,+3%,+3%,11,+2%,D,+2%,,,,,,B,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,
351,Bourgeons de sapin des vosges plaques cassées,40210001,,['France'],[],,[],,?,385,1611 kj(385 kcal),"0,5","0,01","96,2","66,5","0,5","0,022","0,009",['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Confiture Figue Noix,3330790001473,,['France'],[],,[],,?,290,1213 kj(290 kcal),"2,6","0,1",66,54,"0,9","0,1","0,04",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",2.6 g,en faible quantité,0.1 g,en faible quantité,54 g,en quantité élevée,0.1 g,en faible quantité,,+25%,+25%,+469%,+50%,+19%,+2%,+22%,+438%,+438%,8,-16%,C,-16%,,,,,,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
353,Olives Noires mûres dénoyautées - Éric Bur,3144550004785,['Éric Bur'],['France'],"['Olives', 'eau', 'sel', 'stabilisant: gluconate ferreux']",['E579 - Gluconate de fer'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,521,127,521 kj(127 kcal),"13,2","2,2",0,0,"0,5",2,"0,8",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",13.2 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,2 g,en quantité élevée,-31%,-41%,-42%,-37%,-21%,-100%,-100%,-60%,-44%,-44%,11,-10%,D,-10%,,,,,,B,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,
354,Oseille - Delhaize - 180gr,5400111149417,['Delhaize'],"['Belgique', 'France']",[],,[],,?,28,117 kj(28 kcal),"0,5","0,1",2,"0,5","2,5","0,24","0,096",,180 gr,,,,,,,,,,,,,,,,,,,,,,,,['Bocal'],,,,,,,,,,,,,,,,['Delhaize'],,,
355,Fantasie del mattino ottimini biscotti alle mandorle - Divella - 350g,8005121213881,['Divella'],['France'],[],,[],,?,481,2013 kj(481 kcal),"20,6","8,1","63,9","22,5","8,9","0,41","0,164",,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Foie gras de canard entier mi-cuit - La charentonne - 180g,3274760819609,['La charentonne'],['France'],"['Foie gras de canard', 'sel', 'Coteaux du Layon', 'épices', 'sucre', 'fleur de sel de Noirmoutier', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,?,495,2071 kj(495 kcal),50,21,"3,3","2,2",8,1,"0,4",['Fabriqué en France'],180 g,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras mi-cuits']",50 g,en quantité élevée,21 g,en quantité élevée,2.2 g,en faible quantité,1 g,en quantité modérée,,-6%,-5%,-8%,-9%,+41%,+38%,+16%,-14%,-14%,20,-3%,E,-3%,['Bocal'],['France'],['essarts en bocage'],,,A,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR85.259.001', 'Saint-Paul-en-Pareds (Vendée, France)']",,['La Chatentonne'],,,
357,Banada Bitter - Torku,8690120061207,['Torku'],['France'],[],,[],,?,201,841 kj(201 kcal),"12,4",4,"21,5","17,7","2,2","7,4","2,96",,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",12.4 g,en quantité modérée,4 g,en quantité modérée,17.7 g,en quantité élevée,7.4 g,en quantité élevée,,-63%,-63%,-64%,-49%,-58%,-62%,-67%,+6567%,+6567%,18,-13%,D,-13%,['Plastique'],,,,,,,,,,,,,Pâte à tartiner au chocolat noir - Banada Bitter,,,,,,
358,Lebkuchen Mischung - Bahlsen - 250gr,4017100808616,['Bahlsen'],"['France', 'Allemagne']","['Farine de blé', 'sucre', 'sirop de glucose-fructose', 'pâte de cacao', 'fructose', ""poudres à lever : carbonate d'ammonium"", 'diphosphate', 'carbonate de potassium', ' huile de palme', 'acidifiant: acide lactique: beurre de cacao', 'épices', 'arôme', 'cannelle', 'amidon ', 'blé', ' émulsifiant : lécithines', ' protéines de lait', 'sirop de glucose', 'extrait de carthame', 'colorants alimentaires ', 'concentré de betteraves', ""poudre d'épinards"", 'cacao maigre en poudre']","[""E503i - Carbonate d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E501i - Carbonate de potassium', 'E270 - Acide lactique', 'E322 - Lécithines']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,367,1536 kj(367 kcal),"2,9","1,5",78,40,"5,9","0,21","0,084","['Fabriqué en Allemagne', 'Pur beurre de cacao']",250 gr,"['Biscuits et gâteaux', ""Pains d'épices""]",2.9 g,en faible quantité,1.5 g,en quantité modérée,40 g,en quantité élevée,0.21 g,en faible quantité,,+9%,+8%,-17%,+21%,+10%,-1%,+36%,-52%,-52%,13,-8%,D,-8%,"['stück', 'stück']",,,"['Gluten', 'Lait']",,B,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,['Cactus'],['Huile de palme'],,
359,Monster Health Food Monster Muesli Tropical Muesli - Monster Health Food Co. - 700g,9323795000187,['Monster Health Food Co.'],"['Australie', 'France', 'Indonésie']",[],,[],,1480,355,1480 kj(355 kcal),"8,2","2,3",62,"18,7",9,"0,112","0,045",['Sans ajout de produit laitiers'],700 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits', 'Mueslis aux fruits à coque']",8.2 g,en quantité modérée,2.3 g,en quantité modérée,18.7 g,en quantité élevée,0.113 g,en faible quantité,-22%,-20%,-20%,-52%,-27%,+9%,+30%,-12%,-30%,-30%,0,-100%,B,-100%,['Plastic'],['Australie'],['Australia'],,https://www.mhfco.com.au/Tropical-Muesli-Mango-Macadamia,B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,['Pepito'],,,
360,Pokka Ice Lemon Tea,8888196170217,['Pokka'],['France'],"['Eau', 'thé noir fraîchement infusé', 'saccharose', 'jus de citron', 'acide ascorbique ', 'E300', 'colorant ', 'E150a', 'arômes de thé et de citron', 'E334', 'E331', 'acide tartrique citrate de sodium acide citrique ', 'E330']","['E150a - Caramel E150a', 'E334 - Acide L-tartrique', 'E331 - Citrates de sodium', 'E330 - Acide citrique']",[],4,?,40,167 kj(40 kcal),0,0,10,"9,7",0,0,0,,,"['Boissons', 'Thés glacés', 'Thés glacés saveur citron']",0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,0 g,en faible quantité,,+74%,+80%,-100%,-100%,+89%,+100%,-100%,-100%,-100%,13,+86%,E,+86%,,,,,,,,,,,,,,,,,,,,
361,Noix de cajou - Manola,3760091571724,['Manola'],['France'],[],,[],,?,595,2489 kj(595 kcal),44,"7,8",30,6,18,"0,03","0,012","['Bio', 'Bio européen', 'FR-BIO-01']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",44 g,en quantité élevée,7.8 g,en quantité élevée,6 g,en quantité modérée,0.03 g,en faible quantité,,-1%,-0%,-5%,-8%,+17%,-8%,-4%,-95%,-95%,5,-34%,C,-34%,,,,,,D,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
362,Gélatine alimentaire en feuilles,3609060002404,,['France'],[],,[],,?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Hacao Crevette 016 PCS,3507981013045,,['France'],[],,[],,?,181,757 kj(181 kcal),"7,4","2,5","19,2","2,1","8,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 93.014.003 CE', 'Clichy-sous-Bois (Seine-Saint-Denis, France)']",,,,,
364,Semoule blanche grosse - La Vie Claire - 500g,3266191106977,['La Vie Claire'],['France'],[],,[],,?,346,1448 kj(346 kcal),1,"0,2","71,7",2,"10,9",0,0,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Semoules de céréales', 'Semoules de blé', 'Semoules de blé dur']",1 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,,-2%,-3%,-48%,-44%,+2%,-26%,-10%,-100%,-100%,-1,,A,,,['Union européenne'],,,,B,69.1%,16.2%,7.3%,3.3%,4.1%,0.0%,80,,,,['La Vie Claire'],,,
365,Seloplante,3305041600699,,['France'],[],,[],,?,5,21 kj(5 kcal),0,0,"0,8","0,3","0,1",0,0,"['Bio', 'Bio européen', 'DE-ÖKO-001']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Canihua,4010355258335,,['France'],[],,[],,?,358,1498 kj(358 kcal),8,"1,5",51,"2,5",15,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Sel de camargue au poivre noir concassé - La délicieuse - 270g,3368411004787,['La délicieuse'],['France'],[],,[],,?,?,,?,,?,,?,,,,270g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Paniers de saint Jacques à la bretonne,3565270010359,,['France'],[],,[],,?,256,1071 kj(256 kcal),15,"8,4",23,2,"6,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 56161A', 'Ploemel (Morbihan, France)']",,,,,
369,20248994,20248994,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
