,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
77,"Destrooper Biscuits En Boîte ""Jules'"" 6X250G",5410471908777,['France'],[],[],?,0,0 kj(0 kcal),22,13,65,41,"6,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Preparado para hacer coulant de chocolate casero,8433329067522,['France'],[],[],?,543,2272 kj(543 kcal),"3,5","2,1",86,65,"4,8","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Doudou,8033614072189,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Fleur de lavande,6340658325204,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Rillette de maquereau au fromage de chèvre - Groix & Nature,3760056410044,['France'],[],[],?,248,1038 kj(248 kcal),20,9,"2,4","0,5",15,1,"0,4",['Groix & Nature'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Fleur de sureau,6340653964668,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Fleur de coucou,6340653950562,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Délice de pomme au Calvados,3760053480392,['France'],[],[],?,227,950 kj(227 kcal),"0,4","0,3","55,4","54,1","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Candies choc,3760255320823,['France'],[],[],?,211.74,886 kj(211 kcal),"8,64","6,02","29,36","28,45","4,08","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Petit saucisson enrobé aux herbes,3039050521910,['France'],[],[],?,415,1736 kj(415 kcal),34,14,"2,2","0,5",25,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,NOVAROMA ZUCCHERO AROMATIZZATO,8000043062302,['France'],[],[],?,387,1619 kj(387 kcal),0,0,"99,81","99,15",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Rolled Oats - Millville - 42oz,4099100078435,['France'],[],[],?,?,,?,,?,,?,,,['Millville'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 oz,,,,,,,,,
89,Rituais,7896005806685,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Jus de raisin,2256214028417,['France'],[],[],?,65,272 kj(65 kcal),0,0,16,"15,3","0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Glorious goldenberries,5017174052167,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Confiture de Figue - Maison Cappaccini,3700439701093,['France'],[],[],?,227,950 kj(227 kcal),"0,9","0,2",53,49,"0,6","0,01","0,004",['Maison Cappaccini'],,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,0.9 g,en faible quantité,0.2 g,en faible quantité,49 g,en quantité élevée,0.01 g,en faible quantité,,-2%,-2%,+97%,+200%,-4%,-8%,-18%,-46%,-46%,11,+16%,D,+16%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
93,Jus Rimbaud,3760027741351,['France'],[],[],?,50,209 kj(50 kcal),"0,5","0,1",12,12,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Programme perte de poids,3760007335532,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Jardin Tropical - Palais des Thés,2700962002897,['France'],[],[],?,?,,?,,?,,?,,,['Palais des Thés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Brioche a tete,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pom'potes yogurtz,3021760404867,['France'],[],[],?,104,435 kj(104 kcal),"4,2","2,6",13,11,"3,5","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Bowl zen Class'Croute - 345g,,['France'],"['Riz basmati', 'mélange de fèves de soja et ananas', 'saumon fumé', 'radis', 'tzatziki', 'concombre et graines grillées']","['Non végétalien', 'Non végétarien']",?,242,1013 kj(242 kcal),"9,8","1,6","21,84","2,95","13,57","0,54","0,216","[""Class'croute""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles']",,9.8 g,en quantité modérée,1.6 g,en quantité modérée,2.95 g,en faible quantité,0.54 g,en quantité modérée,,+554%,+580%,+791%,+461%,+781%,+178%,+509%,+93%,+93%,-8,,A,,,,,,,,,345g,['France'],Salade,['saladier carton'],['France'],"[""Class'Croute""]","['Poisson', 'Gluten', 'Lait', 'Graines de sésame', 'Soja']",1,,
99,Pain aux céréales et aux graines,3291810079493,['France'],[],[],?,281,1176 kj(281 kcal),"5,2","0,9","45,5",1,11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Poitrine cuite supérieur 3 tranches VPF 200gr,2478872018832,['France'],[],[],?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Poitrine cuite supérieur 3 tranches VPF 282gr,2478872026578,['France'],[],[],?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Figue violette du Var - Confiture artisanale des Monts d’Arrée,3470410022072,['France'],[],[],?,290,1213 kj(290 kcal),0,0,59,58,"0,9",0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,0 g,en faible quantité,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,,+25%,+25%,-100%,-100%,+7%,+9%,+22%,-100%,-100%,12,+27%,D,+27%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
103,Madeleines natures,02988881,['France'],[],[],?,383.10000610352,1603 kj(383 kcal),"18,2","1,8","52,4","25,1","5,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Cayon snack -saveur caramel,4892762039031,['France'],[],[],?,558,2335 kj(558 kcal),"34,3","15,3","59,9","28,9","3,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Découpe de poulet fermier blanc de Normandie,0276575054186,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Pois verts Indien,8901152011932,['France'],[],[],?,93,389 kj(93 kcal),"0,5","0,1",16,"0,5","0,02","7,2","2,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Barre arome citron chocolat blanc,0745114177865,['France'],[],[],?,365,1527 kj(365 kcal),"10,6","5,1","41,7","21,3",25,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Abricots,3770016509060,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Fanta exotique,5449000276865,['France'],[],[],?,3,13 kj(3 kcal),0,0,"0,5","0,5",0,0,0,['Fanta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,500g,8002459002019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
111,Magret de canard,2297551007321,['France'],[],[],?,340,1423 kj(340 kcal),30,10,"1,5","0,7",16,"0,12","0,048",,,E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,30 g,en quantité élevée,10 g,en quantité élevée,0.7 g,en faible quantité,0.12 g,en faible quantité,,0%,+0%,+2%,0%,+20%,+4%,-11%,-93%,-93%,13,-29%,D,-29%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,
112,Macadamia Nut Brittle - Häagen-Dazs,3415587421013,['France'],[],[],?,363,1519 kj(363 kcal),"24,9","15,3","29,9","29,7","4,4","0,14","0,056",['Häagen-Dazs'],,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",,24.9 g,en quantité élevée,15.3 g,en quantité élevée,29.7 g,en quantité élevée,0.14 g,en faible quantité,,+80%,+78%,+189%,+173%,+6%,+26%,+80%,+16%,+16%,20,+75%,E,+75%,,,,,,,,,,,"['surgelé', 'Carton']",['France'],,,,,
113,Gouda Hollandais,0204590018302,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Baguette,0201010003870,['France'],[],[],?,53.5,224 kj(53 kcal),0,0,45,"1,3","7,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Chou farci tranche,0214495022175,['France'],[],[],?,186,778 kj(186 kcal),13,"4,7","8,8","1,4","7,1","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Wrap italien,3760269710221,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Creme glacee Bueno,3480650070740,['France'],[],[],?,218,912 kj(218 kcal),"8,99","7,19",31,30,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Clipper,5021991941672,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,['Clipper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Sale da tavola,8012235000467,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Glace fermière de manon,7104387150815,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Olives vertes à la farce de jambon espagnol - Crespo,3076820006444,['France'],[],[],?,411,1720 kj(411 kcal),"9,2","2,1","1,1","0,5","1,8",3,"1,2",['Crespo'],,,,['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Pineapple hydratation drink,5060434140067,['France'],[],[],?,7,29 kj(7 kcal),0,0,"1,85","1,81",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Graines couscous abricots et epices - Beendhi,3770004096770,['France'],[],[],?,1423,5954 kj(1423 kcal),"2,9","0,6","62,1","9,2","11,1","1,4","0,56",['Beendhi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Brebis bio des basques au coulis de piment d’espelette,2381330002031,['France'],[],[],?,422,1766 kj(422 kcal),35,25,"1,7","0,5",25,"1,6","0,64",,"['FR 64.259.100 CE', 'Hélette (Pyrénées-Atlantiques, France)']",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Yaourt Brassés Natures - 4x 125g,3368248721109,['France'],[],[],?,68,285 kj(68 kcal),"3,2","2,3","4,6","4,6","4,4","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 125 g,,,,,,,,,
126,Kombucha gingembre,3770008826083,['France'],[],[],?,10,42 kj(10 kcal),"0,1","0,1",2,2,"0,1","0,1","0,04",,,C,"['Boissons', 'Boissons au thé', 'Kombuchas']",['Bio'],0.1 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,0.1 g,en faible quantité,,-44%,-44%,+108%,+258%,-48%,-42%,+37%,+400%,+400%,4,-30%,C,-30%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,
127,Lupins en Saumure,2600174014100,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Pains parisiens -,,['France'],"['Farine de BLE', 'eau', 'levure', 'sel', 'levain de BLE dévitalisé', 'farine de BLE malte toaste', 'GLUTEN DE BLE', 'farine de BLE malte', 'levure désactivée', 'enzymes', 'agent de traitement de la farine: acide ascorbique']",['Sans huile de palme'],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,['E300 - Acide ascorbique'],
129,Inès,3760264902232,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Sauce salade,3480882952333,['France'],[],[],?,116,485 kj(116 kcal),10,"0,8","4,6","2,8","0,3","2,2","0,88",,,D,"['Epicerie', 'Sauces', 'Sauces salades']",,10 g,en quantité modérée,0.8 g,en faible quantité,2.8 g,en faible quantité,2.2 g,en quantité élevée,,-65%,-65%,-70%,-76%,-17%,-26%,-55%,+16%,+16%,10,-31%,C,-31%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,
131,Nougats panaché exotique,3380881183021,['France'],[],[],?,398,1665 kj(398 kcal),"1,67","1,67","92,39","83,33","3,33","0,33","0,132",,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,1.67 g,en faible quantité,1.67 g,en quantité modérée,83.3 g,en quantité élevée,0.33 g,en quantité modérée,,-11%,-11%,-90%,-16%,+41%,+53%,-53%,+339%,+339%,16,0%,D,0%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
132,GM Bio,3250392918590,['France'],[],[],?,357,1494 kj(357 kcal),32,23,"1,6","0,5",17,"1,3","0,52",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Gomme à sucer Dé-stress,3760216125214,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Bonbons tendres dragerifies Mentos,80823483,['France'],[],[],?,193,808 kj(193 kcal),"4,5","4,2",65,0,0,0,0,['Mentos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,International Delight Colorant à Café Sans Gras Noisette,0041271009729,['France'],[],[],?,120,502 kj(120 kcal),"1,6","1,2",28,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Smoofizz - Lutti,80603566,['France'],[],[],?,405,1695 kj(405 kcal),7,4,85,58,3,0,0,['Lutti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,
137,Turron blando -,8412080024531,['France'],[],[],?,540,2259 kj(540 kcal),32,2,50,42,14,0,0,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']","['Sans gluten', 'Fabriqué en Espagne']",32 g,en quantité élevée,2 g,en quantité modérée,42 g,en quantité élevée,0 g,en faible quantité,,-1%,-1%,-10%,-31%,+28%,+24%,-8%,-100%,-100%,16,+17%,D,+17%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
138,Flocon de sel,8436029930943,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Stramberry GIN,20074685,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Saucisses Chipos Rustique Sans Colorant,2440580035036,['France'],[],[],?,212,887 kj(212 kcal),16,"6,2","1,1","0,7",16,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Euskal Pastela - Pastel Vasco : Con crema pastelera - Eroski,8480010292879,['France'],[],[],?,301,1259 kj(301 kcal),13,"8,3",41,22,"4,6","0,33","0,132",['Eroski'],,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Bananes chips,0207555004921,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Test EWPB,3513851561028,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Non alimentaire', 'en:Tests']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ewpb,3513851561035,['France'],[],[],?,18,75 kj(18 kcal),0,0,"4,3","3,2","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Poulet rôti,0215175052215,['France'],[],[],?,12,50 kj(12 kcal),8,2,0,0,23,0,0,,,,,"['Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Fini pop,8410525111662,['France'],[],[],?,380,1590 kj(380 kcal),95,81,0,0,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2412528010351,2412528010351,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Huile d’Olive Vierge Extra - De Cecco,8001250011527,['France'],[],[],?,824,3448 kj(824 kcal),"91,6",14,0,0,0,0,0,['De Cecco'],,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,91.6 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-3%,+2%,,,,,,6,-1%,C,-1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
149,2134727010658,2134727010658,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Thé D'églantier,8699580000054,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Médium sensitive digestion puppy,7613035122673,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Biscuit marbre,0105045001021826,['France'],[],[],?,504,2109 kj(504 kcal),23,15,64,24,"7,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Candysesarion,7622210963864,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Nuzest,Clean Lean Protein,1KG Tub,Smooth Vanilla",9342749000301,['France'],[],[],?,409,1711 kj(409 kcal),"8,6",0,"4,5",2,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Picsou magazine n°304,3780234105500,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,50,0,0,,,,"['Non alimentaire', 'Open Beauty Facts']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-99%,-99%,-100%,-100%,-100%,-100%,+1402%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,
156,Pain à la crème,0207679016404,['France'],[],[],?,375,1569 kj(375 kcal),17,11,48,15,"6,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Thon Germon Fume,2970818001521,['France'],[],[],?,43,180 kj(43 kcal),"0,1",0,"9,9","8,6","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Organic chai green tea - Clipper,5021991941689,['France'],[],[],?,?,,?,,?,,?,,,['Clipper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Ricola cassis sans sucre,05788583,['France'],[],[],?,238,996 kj(238 kcal),0,0,97,0,0,0,0,['Ricola'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Miel de Lavande de Provence - Miel Besacier,3110770003167,['France'],[],[],?,?,,?,,?,,?,,,['Miel Besacier'],,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
161,Arkofluides,3578835502367,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Curcuma Moulu Bio,3760089423004,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curcuma', 'Curcuma en poudre']",['Bio'],,,,,,,,,,-100%,-100%,,,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,,,,,,,,,
163,Terrine de taureau aux olives,9900010071193,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Pàte à tartiner à base de miel et de poudre de noisette,3549860001118,['France'],[],[],?,387,1619 kj(387 kcal),"12,15","0,89","68,22","64,15","3,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,petales aux trois cereales,2010000006832,['France'],[],[],?,414,1732 kj(414 kcal),"7,9","4,2",75,21,"7,9","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Miel dee Romarin,3760084071231,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Mini saucissons secs,3250392077617,['France'],[],[],?,552,2310 kj(552 kcal),"47,6","15,9","2,5","1,6","27,5","4,34","1,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Piacentine,8003080000450,['France'],[],[],?,100,418 kj(100 kcal),15,15,35,10,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Mousse de foie pur porc,2274703011283,['France'],[],[],?,368,1540 kj(368 kcal),"34,9","14,3",3,"2,8","10,5","1,54","0,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Mini beignets fourrés aux chocolat noisettes,2830341018376,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Salad Topper,0068110340423,['France'],[],[],?,535.71428571429,2241 kj(535 kcal),"39,286","5,357","32,143","17,857","21,429","0,491","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Oméga 3,3662072027575,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Delizie,8024241006906,['France'],[],[],?,445,1862 kj(445 kcal),12,3,68,7,"1,9","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Love Grown Cereal Polar Puffs Blueberry Vanilla,0850563002542,['France'],[],[],?,210,879 kj(210 kcal),8,1,31,10,5,"0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Cravate à la crème patissière,2644798014436,['France'],[],[],?,338,1414 kj(338 kcal),"13,2","8,3","46,7","12,8","7,2","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Lollitol,7061282626251,['France'],[],[],?,249,1042 kj(249 kcal),"1,5","1,4",94,"0,5","0,5",,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Lollitol,7061283743810,['France'],[],[],?,249,1042 kj(249 kcal),"1,6","1,5",87,"0,5","2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Pâté de sanglier au cognac - 78g,3261831621254,['France'],[],[],?,295,1234 kj(295 kcal),25,8,"1,2","0,8",16,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 g,,,,,,,,,
179,Otisspunkmeyer,0204467016400,['France'],[],[],?,401,1678 kj(401 kcal),22,11,46,2,"4,8","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Lollitol,7061287052543,['France'],[],[],?,250,1046 kj(250 kcal),"1,5","1,4",94,"0,5","0,5",,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
