,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,generic_name,packaging,manufacturing,markets,allergens,nova_score,additives,link
67,Ragusa for friends classique,7610008055228,['France'],[],[],?,516,2159 kj(516 kcal),30,12,49,46,"8,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Club Poulet,3399130021090,['France'],[],[],?,213,891 kj(213 kcal),"8,9","5,9",21,"2,2",10,"1,01","0,404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Jambon à l'ancienne Domaine Picard,2252519022303,['France'],[],[],?,123,515 kj(123 kcal),"3,1","1,4","0,5","0,5",23,2,"0,8",,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,
70,Cashews,4031446850313,['France'],[],[],?,633,2648 kj(633 kcal),51,"9,2",24,"7,6",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Joker 3 agrumes bio,3759568593185,['France'],[],[],?,36,151 kj(36 kcal),0,0,"7,7","7,4","0,5",0,0,,,,,"['Bio', 'Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tomme Brebis Corse,2488692026177,['France'],[],[],?,385,1611 kj(385 kcal),"32,4","17,91","3,3",0,21,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pruneaux d’agen - 500g,3508120000957,['France'],[],[],?,?,,?,,?,,?,,,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,500 g,,,,,,,,,
74,Thé drainage,3515450040201,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Tartelettes fraises,0207519020332,['France'],[],[],?,232.80000305176,974 kj(232 kcal),4,3,34,20,"3,2",,,,,,"['Tartes', 'Tartelettes']",,4 g,en quantité modérée,3 g,en quantité modérée,20 g,en quantité élevée,,,,-35%,-35%,-74%,-65%,-32%,-30%,-29%,,,,,,,,,,,,,,,,,,,,,,,
76,NISIGS2 ramen instantanes et leur bouillon a la sauce soja,4967448173313,['France'],[],[],?,301,1259 kj(301 kcal),"2,1","0,2",61,"4,5",10,"6,3","2,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
