,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,generic_name,palm_ingredients,link
78,Artichauds,8001364339081,,,,['France'],[],[],,,,,,,,,?,,93,,389 kj(93 kcal),,"5,6",,"0,8",,"3,9",,"0,8",,"2,8",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
79,Fruta untable mermelada arándanos con sirope - Bebe,8436026164242,,['Bebe'],,['France'],[],[],,,,,,,,,?,,159,,665 kj(159 kcal),,0,,0,,38,,35,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Turkish Lukum,8697407031946,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Vin,7290015781312,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Poulet fermier d'auvergne - Carrefour,0215489044470,,['Carrefour'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
83,Sel fin aux algues,3770011665136,B,,"['Epicerie', 'Condiments', 'Sels']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,
84,Preparado para hacer gelatina sabor fresa - El Corte Ingles,8433329067409,,['El Corte Ingles'],,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,"0,5",,0,,84,,83,,11,,0,,0,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
85,Chewing Gum - Mentos,0073390013875,,['Mentos'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum']","['France', 'États-Unis']","['Xylitol', 'chewing gum base', 'sorbitol', 'mannitol', 'glycerol', 'maltitol syrup', ' contains less than 2 percent of: natural and artificial flavors', 'gum arabic', 'colors ', 'titanium dioxide', 'turmeric', 'aspartame', 'acesulfame k', 'soya lecithin', 'green tea extract', 'sucralose', 'carnauba wax sodium carboxymethylcellulose', 'sucrose esters of fatty acids', 'blue 1', 'bht to maintain freshness']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,250,+49%,1046 kj(250 kcal),+49%,0,-100%,0,-100%,75,+18%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,"['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E422 - Glycérol', 'E965ii - Sirop de maltitol', ""E414 - Gomme d'acacia"", 'E171 - Oxyde de titane', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E322i - Lécithine', 'E955 - Sucralose', 'E466 - Carboxyméthylcellulose', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",['Soja'],4,,Perfetti Van Melle USA Inc.,,,,,
86,chocolat lacasitos,19521671,,,,['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,"30,8",,"9,8",,"47,3",,"43,7",,"11,7",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
87,Étoiles à la cannelle,3018940007871,,,,['France'],[],[],,,,,,,,,?,,442,,1849 kj(442 kcal),,"16,8",,"4,1",,"64,5",,"54,5",,"4,4",,"0,168",,"0,067",,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pain bio graines - Cora,3021990082019,,['Cora'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
89,Ventresca Atãºn En Aceite De Oliva Ramón Peña,8426441160905,,,,['France'],[],[],,,,,,,,,?,,187,,782 kj(187 kcal),,"9,4",,"1,7",,"0,5",,"0,5",,26,,"0,82",,"0,328",,,,,,,,,,,,,,,,,,,,,,,,,,
90,Vin Belouson,3264066214000,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Canelés chocolat,3557003008191,,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,"7,1",,"4,8",,58,,39,,"5,4",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
92,Tisane de noel - Baronny's,3700496324457,,"[""Baronny's""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Yaourt pamplemousse rose,3760029110117,,,,['France'],[],[],,,,,,,,,?,,99,,414 kj(99 kcal),,"2,8",,"1,85",,"14,9",,"12,8",,"3,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Huile d'olive de Provence,3760187510071,,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,"99,8",,"15,1",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,L'extra tendre Escalope de dince,2431638024539,,,,['France'],[],[],,,,,,,,,?,,97,,406 kj(97 kcal),,0,,0,,1,,0,,23,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nuit paisible,3780280330048,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-020-CV']",,,,,,,,,,,,
97,Lechuga iceberg,8433329066921,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Cancoillotte de Chansereaux,3723400500006,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,"['FR 70.079.002 CE', 'Bougnon (Haute-Saône, France)']",,,,,,,,,,,
99,Poulet Kebab Semoule - Auchan - 300g,3596710477616,D,['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Plats à la volaille', 'Plats au poulet']",['France'],[],[],5.2 g,en quantité modérée,1.9 g,en quantité modérée,3.6 g,en faible quantité,0.87 g,en quantité modérée,?,,149,-7%,623 kj(149 kcal),-6%,"5,2",-2%,"1,9",+92%,18,-5%,"3,6",+24%,"6,7",+9%,"0,87",+4%,"0,348",+4%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,300 g,"['Nutriscore', 'Nutriscore B']",,,,,,['Auchan'],,,,,,
100,Cancoillotte de Chansereaux,3723400500006,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte fondue', 'Cancoillottes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,,,"['FR 70.079.002 CE', 'Bougnon (Haute-Saône, France)']",,,,,,,,,,,
101,Poulet Kebab Semoule - Auchan - 300g,3596710477616,D,['Auchan'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Plats à la volaille', 'Plats au poulet']",['France'],[],[],5.2 g,en quantité modérée,1.9 g,en quantité modérée,3.6 g,en faible quantité,0.87 g,en quantité modérée,?,,149,-7%,623 kj(149 kcal),-6%,"5,2",-2%,"1,9",+92%,18,-5%,"3,6",+24%,"6,7",+9%,"0,87",+4%,"0,348",+4%,0,-100%,B,-100%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,300 g,"['Nutriscore', 'Nutriscore B']",,,,,,['Auchan'],,,,,,
102,Crunchy Bites Apple,8714443811285,,,,['France'],[],[],,,,,,,,,?,,421,,1761 kj(421 kcal),,"13,6",,"2,9",,"67,3",,"19,7",,"6,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Essential Waitrose Raspberry Jam - 454g,5000169000526,C,['Waitrose'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['France'],[],[],0.5 g,en faible quantité,0.3 g,en faible quantité,50.1 g,en quantité élevée,0.15 g,en faible quantité,?,,261,+17%,1092 kj(261 kcal),+16%,"0,5",+85%,"0,3",+548%,"62,7",+17%,"50,1",-3%,"0,4",-41%,"0,15",+604%,"0,06",+604%,6,-32%,C,-32%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,454 g,,,,,,,['Waitrose'],,,,,,
104,Emmental Français,2259799024935,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,?,,369,-3%,1544 kj(369 kcal),-2%,29,-2%,21,+6%,0,-100%,0,-100%,27,-3%,"0,6",+2%,"0,24",+2%,11,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Fabriqué en France'],,,,,,,,,,,,
105,Miel de fleurs,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
106,Jambon de Paris,2959330001165,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],3.7 g,en quantité modérée,1.8 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,?,,124,-6%,519 kj(124 kcal),-5%,"3,7",-23%,"1,8",-2%,"0,7",+5%,"0,7",+18%,22,+4%,"1,9",+2%,"0,76",+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['EMB 95018', ""Argenteuil (Val-d'Oise, France)""]",,,,,,,,,,,
107,Petales au chocolat noir bio,108112,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Fabriqué en France']",,,,,,,,,,,,
108,Soufflé de riz au coco.,3387370841363,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Haricots blancs,3368000030128,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Exentis longaniza de vic lonchas sin gluten sin lactosa i.g.p.,8425214001742,,,,['France'],[],[],,,,,,,,,?,,358,,1498 kj(358 kcal),,25,,"8,8",,"0,7",,"0,5",,32,,"4,6",,"1,84",,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,
111,Magret de canard du Gers - Paysan Gersois,2236350047107,E,['Paysan Gersois'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['France'],[],[],,,,,,,,,1420,,340,,,,"29,3",,,,"1,25",,,,"17,9",,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,['IGP'],"['FR 32.426.034 CE', 'Seissan (Gers, France)']","['Frais', 'Sous-vide', 'Plastique']",,,,['Carrefour'],,['Gers'],,,,
112,Boisson à l'ALOE VERA  Bio - Berida,13168391,,['Berida'],,['France'],[],[],,,,,,,,,?,,17,,71 kj(17 kcal),,0,,0,,"5,6",,"5,6",,0,,0,,0,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
113,Filet mignon fumé demi sel,2449236049335,,,,['France'],[],[],,,,,,,,,?,,133,,556 kj(133 kcal),,"4,9",,"1,9",,1,,"0,4",,"21,3",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,
114,Saucisse fumée cuite,2274730019818,,,,['France'],[],[],,,,,,,,,?,,281,,1176 kj(281 kcal),,"22,6",,"8,4",,"2,2",,"0,9",,"17,2",,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,,,,
115,Confiture de cerises,3770004052578,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,49.5 g,en quantité élevée,0.05 g,en faible quantité,?,,208,-6%,870 kj(208 kcal),-6%,0,-100%,0,-100%,55,+2%,"49,46",-4%,"0,69",+8%,"0,05",+89%,"0,02",+89%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,,,,,,,
116,Filets de poulet rotis - Maître Coq,0215779029453,D,['Maître Coq'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,148,+2%,619 kj(148 kcal),+2%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
117,Olives vertes pimentees - Croc'Frais - 130g,3524130006680,,"[""Croc'Frais""]",,['France'],[],[],,,,,,,,,?,,160,,669 kj(160 kcal),,16,,"2,6",,"0,6",,0,,"1,1",,"4,7",,"1,88",,,,,,,,,,,,,130 g,,,,,,,,,,,,,
118,Auverade,3249290003972,,,,['France'],[],[],,,,,,,,,?,,16,,67 kj(16 kcal),,0,,0,,"3,9",,"3,8",,0,,"0,026",,"0,01",,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
119,Saumon Fumé Norvège,5400742902368,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],10.6 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,2.5 g,en quantité élevée,?,,182,-2%,761 kj(182 kcal),-2%,"10,6",+1%,3,+46%,0,-100%,0,-100%,"21,7",-2%,"2,5",-11%,1,-11%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
120,"Ironmaxx Protein Pudding, Vanille, Pulver",4260426830094,,['Ironmaxx'],,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,"1,6",,"0,2",,"2,6",,"0,6",,84,,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,,
121,Gorgonzola Dop,2441847021847,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']",['France'],[],[],25 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,?,,306,-7%,1280 kj(306 kcal),-7%,25,-10%,18,-6%,"1,7",+193%,0,-100%,19,+5%,"1,7",+13%,"0,68",+13%,15,+3%,D,+3%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,,,
122,Rouille à la Sétoise Bio,3303640002517,D,,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",['France'],[],[],43 g,en quantité élevée,3.8 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,435,+5%,1820 kj(435 kcal),+6%,43,-4%,"3,8",-8%,"7,5",+85%,"0,9",-26%,"3,1",+17%,"1,8",+29%,"0,72",+29%,15,+9%,D,+9%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,['Bio'],,,,,,,,,,,,
123,Pave de saumon,0226503034315,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
124,Escalope - Carrefour,0287556025521,,['Carrefour'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['FR 61.096.020 CE', ""Chapelle-d'Andaine (Orne, France)""]",,,,,['Carrefour'],,,,,,
125,Boudin basque plancha,2297409024531,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1x steak le boeuf,2203854021711,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Andouilettes,2223809037727,,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,"11,2",,"5,48",,"0,9",,"0,4",,"17,7",,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,,,,,,
128,Escalopes de cuisse de poulet fermier bio,2448499027227,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Bio'],,,,,,,,,,,,
129,Patata para freír - El Corte Inglés,8433329073073,,['El Corte Inglés'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Fourme d'Ambert,2225651016011,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",['France'],[],[],26 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,2.5 g,en quantité élevée,?,,350,+2%,1464 kj(350 kcal),+2%,26,-8%,22,+11%,1,+1%,0,-100%,24,+19%,"2,5",+13%,1,+13%,19,+6%,E,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Point Vert'],"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,,,
131,Granola,1110407222413,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,368,,1540 kj(368 kcal),,13,,"7,1",,48,,10,,11,,"0,04",,"0,016",,,,,,,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en France']",,,,,,,,,,,,
132,Salade cesar,2868951024074,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Pâte d'arachide - 500g,3770007626295,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",['France'],[],[],46.6 g,en quantité élevée,10.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,634,+6%,2653 kj(634 kcal),+6%,"46,6",-3%,"10,4",+25%,22,+53%,0,-100%,"26,6",+8%,0,-100%,0,-100%,17,+55%,D,+55%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,500 g,,,,,,,,,,,,,
134,Brioche tressée,3608732341285,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tressées']",['France'],[],['Sans huile de palme'],14.5 g,en quantité modérée,1.8 g,en quantité modérée,12.7 g,en quantité élevée,1.4 g,en quantité modérée,?,,366,+3%,1531 kj(366 kcal),+3%,"14,5",+13%,"1,8",-72%,"50,1",-3%,"12,7",-12%,"9,3",+15%,"1,4",+40%,"0,56",+40%,13,-19%,D,-19%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,['en:palm-oil-free'],,,,,,,,,,,,
135,Mélange KOSAKI,2578745698762,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Tartinade de sardine,5601010322028,D,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de sardine']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,['en:gluten-free'],,,,,,,,,,,,
137,Poulet,0278058031493,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Poulet cuit,0215231058649,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
139,Yaourt à boire - Savoie Yaourt,3277397000211,,['Savoie Yaourt'],,['France'],[],[],,,,,,,,,?,,86,,360 kj(86 kcal),,"2,7",,"1,9",,"11,9",,"11,6",,"3,3",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
140,Fin palets de chocolat - Les fous de terroirs,3393190038470,C,['Les fous de terroirs'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",['France'],[],[],25.5 g,en quantité élevée,15.4 g,en quantité élevée,45.7 g,en quantité élevée,0 g,en faible quantité,?,,464,-7%,1941 kj(464 kcal),-7%,"25,5",+0%,"15,45",-6%,"50,2",-17%,"45,7",+76%,"5,3",-10%,0,-100%,0,-100%,25,+4%,E,+4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,,,
141,Farine pain d epices,3527270000068,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Escargotine,2204018007008,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Fleur de sel de l'île Madame - 125g,3700768700019,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,
144,Assortiment sushi 8 pièces 4 Nigiri 4 California,3760022330055,,,,['France'],[],[],,,,,,,,,?,,174,,728 kj(174 kcal),,"5,7",,"0,9",,23,,"4,2",,"7,1",,"1,84",,"0,736",,,,,,,,,,,,,,,,,,,,,,,,,,
145,Terrine de magret de canard au foie gras -,3580480000389,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,,
146,Saucisse chipolata,0200200029195,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
147,Rillettes pur canard au piment d'Espelette - Alban Laban,3580480000297,D,['Alban Laban'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],"['Maigre et Gras de Canard de la ferme Alban Laban', 'Sel', ""Piment d'Espelette 0,4%"", 'Poivre']",[],52 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,?,,490,+22%,2050 kj(490 kcal),+22%,52,+42%,"16,9",+35%,"0,2",-65%,"0,1",-60%,"23,7",+46%,"1,5",+9%,"0,6",+9%,22,+14%,E,+14%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,"['Bocal', 'Verre']",,,3,,,,,,,
148,Warrior - Cherry Rocher,3173860000378,,['Cherry Rocher'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Tartine Chèvre Épinard,0202051021656,,,,['France'],[],[],,,,,,,,,?,,276,,1155 kj(276 kcal),,"8,5",,"5,6",,36,,"2,4",,12,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
150,Calendrier de l avent,8435477904445,,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",['France'],[],[],30 g,en quantité élevée,19 g,en quantité élevée,61 g,en quantité élevée,0.07 g,en faible quantité,?,,543,+7%,2272 kj(543 kcal),+6%,30,+2%,19,+9%,62,+10%,61,+18%,6,+1%,"0,07",-64%,"0,028",-64%,26,+4%,E,+4%,,,,,,,,,,,,,,,,,,,,,
151,L'Aoucataise,3770012077068,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Riz Rond Blanc (500 GR),5425006843690,,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"0,6",,"0,2",,"78,5",,"0,3",,"7,2",,"0,006",,"0,002",,,,,,,,,,,,,,,,,,,,,,,,,,
153,Cookies artisanaux,,,,,['France'],[],[],,,,,,,,,?,,386,,1615 kj(386 kcal),,"14,8",,"9,74",,"59,55",,"31,55",,"16,65",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,
154,Champignons,7610439929792,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,,
155,Préparation à base de chou-fleur,2843081028406,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
