,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,traceability_code,markets,manufacturing,labels,ingredients_origins,link,palm_ingredients,producer_info
34,Farce à Légumes - Pur Porc - Carrefour - 500g,3273625852706,,"['Carrefour', 'CSF (Carrefour Supermarchés France)', 'Groupe Carrefour']","['Viandes', 'Charcuteries', 'Préparations de viande', 'Porc', 'Préparations de viande hachée', 'Farces', 'Charcuteries à cuire', 'Farces à légumes']",['France'],"['Viande de porc 91 %', 'conservateur : E326', 'sel de Camargue 1', '5 %', 'plantes aromatiques déshydratées', 'dextrose', 'acidifiants : E262', 'épices', 'antioxygène : E316', 'arômes', 'colorant : E120']","['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,Farce à légumes,500 g,"['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']","['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",['Carrefour'],"['Cooperl Arc Atlantique - 7 Rue de la Jeannaie Maroué - Zone Industrielle - 22400 Lamballe', ""Côtes-d'Armor"", 'Bretagne', 'France']","['Viande-francaise', 'Point Vert', 'Pur porc', 'Viande-porcine-francaise', 'Eco-Emballages']","['France', 'Camargue', 'Sel', 'Viande Porcine']",,,
35,Lardons crus fumes - Le Porc Francais,3273625853932,D,['Le Porc Francais'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc']",['France'],"['poitrine de porc ', '87%', 'eau', 'sel', 'dextrose', 'conservateurs : lactate de potassium et nitrite de sodium ', ' antioxydant : érythorbate de sodium', ' Viande de porc origine France']","['E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,21 g,en quantité élevée,8 g,en quantité élevée,2 g,en faible quantité,2.4 g,en quantité élevée,?,,259,-2%,1084 kj(259 kcal),-1%,21,-2%,8,-2%,"2,4",+188%,2,+203%,15,-9%,"2,4",-8%,"0,96",-8%,20,+1%,E,+1%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
36,Saucisses Fumées Au Bois De Hêtre - Cooperl,3273625858616,,['Cooperl'],,['France'],"['Viande de porc 93%', 'sel', 'saccharose', 'arômes', 'conservateur : nitrite de sodium', 'boyau de porc colorant rocou', ' Pouvant contenir du du LAIT ', 'des']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,278,,1163 kj(278 kcal),,24,,10,,"0,5",,"0,5",,15,,2,,"0,8",,,,,,,,,,,,,,,['Barquette'],,,,,,,,
37,4 cotes echine de porc epicees provencales,3273625859620,E,,"['Viandes', 'Porc', 'Côtes de porc']",['France'],[],,,[],,14 g,en quantité modérée,5.5 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,200,+4%,837 kj(200 kcal),+4%,14,+20%,"5,5",+15%,"1,4",+90%,"0,5",+18%,17,-12%,"0,6",-35%,"0,24",-35%,4,-41%,C,-41%,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,,,,,,,,,,,
38,Chair pur porc - l'atout prix - 250g,3273625860046,,"[""l'atout prix""]","['Viandes', 'Préparations de viande', 'Préparations de viande hachée']",['France'],"['Viande de porc 90%', 'sel', 'conservateur : E326', 'dextrose', ""correcteur d'acidité: E263"", 'arômes naturels', 'épices', 'antioxydant: E316', 'plante aromatique', 'colorant : E120']","['E326 - Lactate de potassium', 'E263 - Acétate de calcium', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,24 g,en quantité élevée,8.5 g,en quantité élevée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,277,+26%,1159 kj(277 kcal),+27%,24,+49%,"8,5",+35%,"2,2",-8%,"0,9",+21%,13,-14%,"1,8",+50%,"0,72",+50%,18,+55%,D,+55%,,,,,,,,,250g,['Baquette'],"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,,['Viande Française'],,,,
39,Farce à légumes pur porc -,3273625860114,,,['Farces'],['France'],[],,,[],,23 g,en quantité élevée,7.9 g,en quantité élevée,0.9 g,en faible quantité,2 g,en quantité élevée,?,,271,+13%,1134 kj(271 kcal),+15%,23,+27%,"7,9",+19%,"1,9",-19%,"0,9",-9%,14,-5%,2,+12%,"0,8",+12%,18,+12%,D,+12%,,,,,,,,,,['Barquette'],,,,,,,,
40,Chipolatas aux herbes,3273625860848,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",['France'],[],,,[],,21 g,en quantité élevée,7.5 g,en quantité élevée,0.8 g,en faible quantité,1.6 g,en quantité élevée,?,,249,-0%,1042 kj(249 kcal),+0%,21,+4%,"7,5",-2%,1,-21%,"0,8",+29%,14,-7%,"1,6",-10%,"0,64",-10%,17,-1%,D,-1%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
41,Lardons Fumés - Les Darlons,3273625863443,D,['Les Darlons'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['France'],"['Viande de porc 97%', 'sel', 'conservateurs : lactate de potassium et nitrite de sodium', ' dextrose', 'antioxydant : érythorbate de sodium']","['E326 - Lactate de potassium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,5 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,180,-33%,753 kj(180 kcal),-32%,11,-49%,5,-39%,"0,5",-39%,"0,5",-22%,19,+16%,"1,9",-28%,"0,76",-28%,14,-30%,D,-30%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
42,Saveur Pâté de tête la barquette de 160 g - Eco saveur,3273625868486,,['Eco saveur'],,['France'],[],,,[],,,,,,,,,,?,,236,,987 kj(236 kcal),,"19,5",,"4,8",,"0,7",,"0,2",,"14,5",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,
43,"Chipolatas - Sans marque - 0,330kg",3273625868493,D,"['Sans marque', 'Cooperl']","['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],"['Viande de porc 85%', 'eau', 'conservateur : E326', 'sel', 'dextrose', 'acidifiant : E263', 'épices', 'antioxydant : E316', 'plante aromatique', 'arômes naturels', 'colorant : E120', 'enveloppe végétale : eau', 'épaississant : E401', 'amidon modifié de pomme de terre']","['E326 - Lactate de potassium', 'E263 - Acétate de calcium', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique', 'E401 - Alginate de sodium', 'E14XX - Amidons modifiés']",,"['Non végétalien', 'Non végétarien']",4,18 g,en quantité modérée,6.2 g,en quantité élevée,0.7 g,en faible quantité,1.5 g,en quantité modérée,?,,221,-8%,925 kj(221 kcal),-8%,18,-5%,"6,2",-14%,"0,7",-40%,"0,7",+11%,14,-9%,"1,5",-17%,"0,6",-17%,14,-16%,D,-16%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"0,330 kg","['Barquette', 'Plastique']","['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",,['France'],"['Viande-francaise', 'Viande-porcine-francaise']",['France'],,,
44,paupiettes de porc,3273625871516,,,,['France'],[],,,[],,,,,,,,,,?,,271,,1134 kj(271 kcal),,23,,8,,"0,9",,"0,4",,15,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,
45,Paupiettes de porc lardées - Madrange - 500g,3273625871530,,['Madrange'],"['Viandes', 'Porc', 'Paupiettes de porc']",['France'],"['Viande de porc 85% ', 'dont 55% dans la farce et 30% de tranche de carré de porc', 'tranche de poitrine de porc fumée au bois de hêtre 10% ', 'poitrine de porc 8,7%', 'sel', 'conservateur : lactate de potassium', 'dextrose', 'antioxydant : érythorbate de sodium', 'eau', 'sel de mer', 'épices', 'extrait de vinaigre de cidre', 'sucre', 'arômes naturels', 'betterave rouge', 'plante aromatique', 'extrait d’acérola']","['E326 - Lactate de potassium', 'E316 - Érythorbate de sodium']",,"['Non végétalien', 'Non végétarien']",4,17 g,en quantité modérée,5.9 g,en quantité élevée,0.7 g,en faible quantité,1.3 g,en quantité modérée,?,,223,+16%,933 kj(223 kcal),+18%,17,+52%,"5,9",+37%,"1,4",+57%,"0,7",+14%,16,-19%,"1,3",-32%,"0,52",-32%,12,+8%,D,+8%,,,,,,,,4 PAUPIETTES DE PORC SUPÉRIEURES LARDÉES,500 g,"['Barquette', 'Plastique']",,,['France'],"['Viande Française', 'Viande Porcine Française']",['France'],https://www.madrange.fr/nos-produits/paupiettes-de-porc-lardees/,,
46,Choucroute Garnie 2p,3273625871714,C,,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",['France'],[],,,[],,2.37 g,en faible quantité,0.55 g,en faible quantité,1.78 g,en faible quantité,0 g,en faible quantité,?,,132,+16%,552 kj(132 kcal),+17%,"2,37",-72%,"0,55",-83%,"6,49",+195%,"1,78",+206%,"7,62",+39%,0,-100%,0,-100%,-3,-153%,A,-153%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,
47,Mincerettes de carré de porc,3273625872667,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093C', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093', ""Lamballe (Côtes-d'Armor, France)""]",,,,,,,
48,Merguez,3273625873411,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",['France'],[],,,[],,22 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,255,-3%,1067 kj(255 kcal),-3%,22,+2%,11,+20%,"1,3",-38%,"0,5",-57%,13,-9%,"1,8",-6%,"0,72",-6%,20,+6%,E,+6%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,"['EMB 22093C', ""Lamballe (Côtes-d'Armor, France)""]",,,,,,,
49,Ribs - Coopers - 600g,3273625873428,,['Coopers'],"['Viandes', 'Porc']",['France'],"['Loin ribs de porc 96 %', 'sel', 'sucre', 'épices', 'plantes aromatiques déshydratées ', 'CÉLERI', 'arômes dont arôme de fumée']",,['Céleri'],[],3,20.1 g,en quantité élevée,7.9 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,265,+38%,1109 kj(265 kcal),+40%,"20,1",+79%,"7,9",+84%,"0,9",+1%,"0,9",+47%,21,+6%,"1,1",-42%,"0,44",-42%,14,+26%,D,+26%,,,,,,,,,600 g,['Plastique'],"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",,['France'],"['Viande-francaise', 'Viande-porcine-francaise']",['France'],,,
50,"Chipolatas - Sans marque - 0,330kg",3273625879116,D,"['Sans marque', 'Cooperl']","['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],"['Viande de porc 90 %', 'eau', 'sel', 'dextrose', 'arômes naturels', ""correcteur d'acidité : E263"", 'épices', 'antioxydant : E316', 'plante aromatique', 'colorant : E120', ' Enveloppe végétale : alginate de calcium']","['E263 - Acétate de calcium', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique', 'E404 - Alginate de calcium']",,"['Non végétalien', 'Non végétarien']",4,19 g,en quantité modérée,6.6 g,en quantité élevée,0.7 g,en faible quantité,1.6 g,en quantité élevée,?,,232,-3%,971 kj(232 kcal),-3%,19,+1%,"6,6",-9%,"1,2",+3%,"0,7",+11%,14,-9%,"1,6",-11%,"0,64",-11%,15,-10%,D,-10%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,"0,330 kg","['Barquette', 'Plastique']",,['Auchan'],['France'],"['Viande-francaise', 'Viande-porcine-francaise']",['France'],,,
51,"Pizza bolognaise, emmental - Sole Mio",3273640000083,,['Sole Mio'],,['France'],[],,,[],,,,,,,,,,?,,211,,883 kj(211 kcal),,"7,3",,"3,8",,"28,3",,"4,1",,"9,2",,"1,17",,"0,468",,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,
52,Sole Mio,3273640000090,,['Sole Mio'],,['France'],"['Pâte ', 'farine de blé* - eau - huile de tournesol* - levure boulangère - sel', ' - purée de tomates* - Mozzarella râpée* 13,2% ', 'lait', "" - aubergines grillées* 5,8% - courgettes grillées* 5,8% - huile de tournesol* - poivrons jaunes grillés* 2,6% - poivrons rouges grillés* 2,6% - herbes de Provence* - sel - ail* - oignon* - persil* - sucre* - jus concentré de farine d'épeautre* - vinaigre* citron* - orignan* - poivre* - piment* "", 'Traces possibles de poisson', "" *Inorédlents issus de l'Agriculture Biologique""]",,"['Gluten', 'Lait']",['Non végétalien'],,,,,,,,,,?,,183,,766 kj(183 kcal),,"3,9",,"1,6",,"28,3",,"6,8",,"7,4",,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,['Bio'],,,,
53,Pizza royale cuite au feu de bois - Sole Mio - 480g,3273640000205,B,['Sole Mio'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas royales']",['France'],"['Pâte ', '44%', ' : farine de blé', 'eau', 'huile de tournesol', 'levure boulangère', 'sel', ' \rGarniture ', '56%', ' : purée de tomate ', '34%', 'Jambon cuit ', '19%', ' ', 'Jambon', 'sirop de glucose', 'dextrose de blé', 'sel', 'arômes', 'conservateur : nitrite de sodium', 'antioxydant : érythorbate de sodium', 'champignons ', '19%', 'fromage râpé ', '19%', ' ', 'Maasdam', 'anti-agglomérant : amidon de pomme de terre', 'olives noires façon Grèce ', '4%', 'huile de tournesol', 'sel', 'sucre', 'épices', 'plantes aromatiques', 'arômes', ' Pourcentages exprimés sur la garniture', ' \rContient : gluten', 'lait']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,6 g,en quantité modérée,2.6 g,en quantité modérée,4.8 g,en faible quantité,1.28 g,en quantité modérée,?,,192,-7%,803 kj(192 kcal),-7%,6,-12%,"2,6",-14%,27,+6%,"4,8",+56%,"6,7",-30%,"1,28",+5%,"0,512",+5%,5,+12%,C,+12%,60.0%,15.9%,6.3%,5.5%,2.6%,9.8%,70,Pizza royale,480 g,"['Carton', 'surgelé']",,,,,,,,
54,Pizza tartiflette - Sole mio,3273640000236,,['Sole mio'],,['France'],[],,,[],,,,,,,,,,?,,239,,1000 kj(239 kcal),,"10,8",,"6,6",,"26,8",,"2,9",,"7,9",,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,,,
55,La pizza du Moulin,3273640000311,,['La Pizza du Moulin'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],,,[],,7 g,en quantité modérée,3 g,en quantité modérée,4.2 g,en faible quantité,1.5 g,en quantité modérée,?,,212,-7%,887 kj(212 kcal),-8%,7,-16%,3,-24%,"28,7",+7%,"4,2",+43%,"7,5",-27%,"1,5",+20%,"0,6",+20%,6,-23%,C,-23%,,,,,,,,,,,,,,,,,,
56,Pizza Chevre Surg - sole mio,3273640000403,,['sole mio'],,['France'],"['Pâte ', 'farine de blé - eau - huile de tournesol - levure boulangère - sel', ' - purée de tomates - fromage de chèvre ', 'dont lait', ' 14,1 % - fromage râpé 12,5% [Maasdam ', 'dont lait', 'fécule de pomme de terre] - olives noires dénoyautées ', 'olives', 'eau', 'sel', 'stabilisant : gluconate ? sel ? épices et plantes ferreux', ' - huile de tournesol aromatiques - sucre - arômes naturels', ' Traces possibles de poisson']",,"['Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,239,,1000 kj(239 kcal),,"9,8",,"5,5",,"29,3",,"4,7",,"7,5",,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,,,,,
57,Pizza buche de chevre - La Pizza du Moulin,3273640000502,,['La Pizza du Moulin'],,['France'],[],,,[],,,,,,,,,,?,,239,,1000 kj(239 kcal),,"9,8",,"5,5",,"29,3",,"4,7",,"7,5",,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,,,,,
58,Super jambon mozzarella fromage râpé rondelles de tomates - La Pizza du Moulin - 600g,3273640000793,,['La Pizza du Moulin'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],,,[],,7.6 g,en quantité modérée,3.8 g,en quantité modérée,4.1 g,en faible quantité,1.32 g,en quantité modérée,?,,197,-14%,824 kj(197 kcal),-14%,"7,6",-9%,"3,8",-3%,"23,2",-14%,"4,1",+39%,"8,2",-20%,"1,32",+6%,"0,528",+6%,5,-36%,C,-36%,,,,,,,,,600 g,,,,,,,,,
59,"Pizza Crémière Lardons, Oignons - La Pizza Du Moulin",3273640000908,,['La Pizza Du Moulin'],,['France'],"['Pâte ', 'farine de blé - eau - huile de tournesol - levure boulangère - sel', ' - crème épaisse légère 18,2% [crème légère ', 'dont lait', 'épaississants : amidons modifiés', 'ectines', 'ferments lactiques', ' - fromage râpé 9,1% IMaasdam Slont lait', 'fécule de pomme de terre', ' - lardons fumes cuits 9,1 h [poitrine de porc ', 'origine : UE', 'eau', 'sel', 'dextrose', 'antioxydant: érythorbate de sodium', 'conservateur: nitrite de sodium] - oignons grillés 9,1%- champignons de Paris 9,1% - sel - épices et plantes aromatiques - sucre - arômes naturels', ' Traces possibles de poisson', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['E14XX - Amidons modifiés', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,219,,916 kj(219 kcal),,"8,4",,"4,5",,"27,9",,"4,2",,"7,1",,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,,,,,
60,Pizza 4 fromages - Sole Mio,3273640002216,C,['Sole Mio'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux quatre fromages']",['France'],[],,,[],,10.2 g,en quantité modérée,5.5 g,en quantité élevée,4.2 g,en faible quantité,1.6 g,en quantité élevée,?,,245,-2%,1025 kj(245 kcal),-2%,"10,2",-2%,"5,5",-2%,"29,6",+10%,"4,2",+50%,"7,7",-34%,"1,6",+26%,"0,64",+26%,15,+28%,D,+28%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,,,,,,,,,,
61,La pizza du moulin - Sole Mio,3273640011201,,['Sole Mio'],,['France'],[],,,[],,,,,,,,,,?,,230,,962 kj(230 kcal),,"8,6",,"4,3",,"27,6",,"4,8",,"9,9",,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,
62,Pizza Bûche de chèvre - La Pizza du Moulin - 380g (2pièces de 190g),3273642000500,B,['La Pizza du Moulin'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas surgelées']",['France'],"['Pâte ', 'farine de blé - eau - huile de tournesol - levure boulangère - sel', ' - purée de tomates - fromage râpé 21% [Maasdam ', 'lait', 'fécule de pomme de terre] - fromage de chèvre ', 'lait', ' 12,2% - huile de tournesol - sel - épices et plantes aromatiques - sucre - arômes naturels']",,"['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,9.8 g,en quantité modérée,5.1 g,en quantité élevée,5.1 g,en quantité modérée,1.55 g,en quantité élevée,1016,+2%,242,-0%,1016 kj(242 kcal),-0%,"9,8",+3%,"5,1",+3%,"29,6",+9%,"5,1",+80%,"8,2",-26%,"1,55",+26%,"0,62",+26%,15,+51%,D,+51%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,"Pizza garnie de fromages, cuite au feu de bois, surgelée",380 g (2 pièces de 190 g),"['Boite carton', 'Sachets plastiques individuels transparents']",,,,,,,,
63,Pain de mie en tranche,3273670000176,,,,['France'],[],,,[],,,,,,,,,,?,,301,,1259 kj(301 kcal),,"6,1",,"2,9",,"50,9",,5,,"8,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
64,Roger Biscottes,3273670000299,B,['Roger'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",['France'],[],,,[],,9.2 g,en quantité modérée,0.1 g,en faible quantité,2.1 g,en faible quantité,1.3 g,en quantité modérée,?,,425,+8%,1778 kj(425 kcal),+8%,"9,2",+38%,"0,1",-95%,62,-9%,"2,1",-64%,"21,5",+82%,"1,3",+12%,"0,52",+12%,2,-68%,B,-68%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,
65,"Le Croûton Du Poissonnier, Mini Croûtons Aux Céréales",3273670001531,D,['Crouton Du Poissonnier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Croûtons']",['France'],"['Farine de FROMENT ', 'farine cle BLE', 'GLUTEN', 'mélange de céréales ', 'SEIGLE', 'ORGE', 'mars', 'BI', 'E', 'riz de tournesol', ""extrait de malt d'ORGE}ilevure boulangère"", 'sel', 'lin', ""émulsifiant : lécithine de SC',IJA"", 'antioxyd extrait de romarin', 'vitamine E', ' Fabriqué dans un atelier qui utilise du sesnme', 'aes oeufs et des produits laitiers', ' croûtons du poissonnier BPI 77000 13795 Aix en Provence cedex 03']",['E322i - Lécithine'],['Gluten'],[],4,5.3 g,en quantité modérée,0.8 g,en faible quantité,3.2 g,en faible quantité,1.8 g,en quantité élevée,?,,390,-18%,1632 kj(390 kcal),-18%,"5,3",-74%,"0,8",-73%,"72,6",+23%,"3,2",-13%,"12,8",+36%,"1,8",-8%,"0,72",-8%,7,-52%,C,-52%,87.8%,8.3%,1.9%,1.8%,0.2%,0.0%,35,,,,,,,,,,,
66,Mini-toast,3273670001937,,,,['France'],[],,,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,"6,2",,"0,9",,72,,28,,13,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,
67,Biscotte Forméa - Roger - 280g,3273670002194,B,"['Roger', 'Biscottes Roger']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",['France'],"['Farine de froment ', 'farine de blé', 'gluten', 'sirop de sucre inverti', ""poudre de jaune d'oeuf contenant du DHA"", 'levure boulangère', 'huile de tournesol', 'sel', 'arôme vanille', 'antioxydants : extrait de romarin', 'vitamine E']",['E392 - Extrait de romarin'],"['Œufs', 'Gluten']",[],4,8.5 g,en quantité modérée,1.82 g,en quantité modérée,6 g,en quantité modérée,1.1 g,en quantité modérée,1691,+2%,?,,1691 kj(404 kcal),+2%,"8,5",+27%,"1,82",-1%,69,+1%,6,+3%,"12,7",+8%,"1,1",-5%,"0,44",-5%,6,-4%,C,-4%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,280 g,"['Carton', 'Sachet', 'Plastique']",,['Carrefour'],"['France', 'Provence']",['Blé français'],['France'],,,
