,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,labels,traceability_code,link,manufacturing,ingredients_origins,brand_owner,origin_detail,producer_info
1121,Jus De Pomme Petillant 75 cl - Domaine de la Grange en Haye,3760179460087,D,,75 cl,,['Domaine de la Grange en Haye'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,232,+20%,54,+17%,232 kj(54 kcal),+21%,0,-100%,0,-100%,13,+23%,12,+24%,0,-100%,0,-100%,0,-100%,6,+58%,D,+58%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
1122,Pétéram - 100g,3760128370016,,,100 g,,,,,['France'],[],,,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,"4,7",,"2,1",,"1,6",,"0,9",,"17,7",,"0,81",,"0,324",,,,,,,,,,,,,,,,,,,,,
1123,Spaghetti sans gluten - Auchan,3596710347049,,,,,['Auchan'],,,['France'],[],,,[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,"1,3",,"0,6",,79,,"0,5",,"7,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,
1124,Poêlée De Légumes Bio - Nature Bio - 600g,3257980629531,,,600 g,,"['Nature Bio', 'Cora']","['Plats préparés', 'Poêlées']",,['France'],[],,,[],,1.2 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,0.62 g,en quantité modérée,?,,35,-64%,146 kj(35 kcal),-64%,"1,2",-71%,"0,1",-91%,"3,3",-66%,"1,5",-21%,"1,4",-55%,"0,62",+8%,"0,248",+8%,2,,B,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
1125,CHOUX DE BRUXELLES : Choux de Bruxelles Cat 1 - Earl Meurillon - 750g,3000011025037,B,,750g,['sachet plastique'],['Earl Meurillon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Choux de Bruxelles', 'Choux de Bruxelles frais']",['Auchan'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,64.5%,0.0%,0.0%,15.9%,18.9%,0.8%,98,,['Saveurs en Or'],,,['59237 VERLINGHEM'],['France'],,,
1126,Complément alimentaire - Aromasantis - 30capsules,3401554477923,,,30 capsules,,['Aromasantis'],['Compléments alimentaires'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Yogur - Alteza - 125g,8480024649249,B,,125 g,['Plastico'],['Alteza'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['Alteza'],"['France', 'Espagne']","['Leche parcialmente desnatada', 'azúcar ', '9', '5% ', 'leche desnatada en polvo', 'fermentos lácticos']",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1.9 g,en faible quantité,1.3 g,en faible quantité,13.2 g,en quantité élevée,0.11 g,en faible quantité,?,,82,+14%,343 kj(82 kcal),+15%,"1,9",-47%,"1,3",-44%,"13,2",+171%,"13,2",+197%,"3,1",-25%,"0,11",-8%,"0,044",-8%,3,+430%,C,+430%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,,,,
1128,4019424051839,4019424051839,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Röda Linser,7312787710182,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,3",,"0,2",,50,,"2,4",,24,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1130,Apitiva -,3401320881053,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Le Yaourt - Nesté La Laitière - 150,3023290023983,B,,150,['Pot'],['Nesté La Laitière'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la poire']",['Delhaize'],"['Belgique', 'France']","['Lait entier ', '64,3%', 'mire ', '10%', 'eau', 'sucre', 'crème ', 'lait', 'arôme naturel', 'jus concentré de citron', 'jus de potiron concentré', 'épaississant ', 'gomme de caroube', 'amidon de mais', 'poudre de lait écrémé', 'ferments lactiques']",['E410 - Gomme de caroube'],['Lait'],['Non végétalien'],4,6.1 g,en quantité modérée,4 g,en quantité modérée,11.8 g,en quantité modérée,0.09 g,en faible quantité,?,,118,+24%,494 kj(118 kcal),+22%,"6,1",+94%,4,+94%,"12,7",-4%,"11,8",-6%,"2,2",-33%,"0,09",-19%,"0,036",-19%,5,+71%,C,+71%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,"['FR 42.005.001 CE', 'Andrézieux-Bouthéon (Loire, France)']",,['Feance'],['France'],,,
1132,huile de cumin noir - arc en sels - 100ml,3760075810337,,,100 ml,['Bouteille'],['arc en sels'],"['Huiles de cumin', 'Huiles de cumin noir']",,['France'],"[""Cette huile de Cumin noir a été obtenue par prenis D'une qualité exceptionnelle"", 'elle est reconie et cedles pour son action bénéfique sur le système im complément ', '1 c à soupefjour', ""dans le cadre d'ure equilibrée et d'un mode de vie sain"", ' This black Cuminoil is issue from first cold presnl used since centuries for its beneficial action on thei Use as a complement ', '1 soup spoon/day', ' with 2 and a healthy lifestyle Ingredients ', 'INCI', "": Nigella Sativa** MRdient issu de Agriculture Biologique ingrde Matiere première importée d'Egypte/ Raw materil Tenir hors de la portée des enfants/Hold out of r Produit""]",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'FR-BIO-01']",,,,['Égypte'],,,
1133,Waldhonig salbei -,4017200016133,E,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,76 g,en quantité élevée,0 g,en faible quantité,?,,377,+6%,1577 kj(377 kcal),+5%,0,-100%,0,-100%,94,+13%,76,+31%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
1134,Tortellini Formaggi - Carrefour - 250g,5400101259980,,,250 g,,['Carrefour'],,['Carrefour'],['France'],[],,,[],,,,,,,,,,?,,286,,1197 kj(286 kcal),,"5,1",,"2,6",,48,,"1,7",,11,,"1,3",,"0,52",,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,
1135,PATE DE CAMPAGNE Qté sup - Madrange,3180940085637,D,,,,['Madrange'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,"['Afghanistan', 'France']",[],,,[],,24 g,en quantité élevée,9 g,en quantité élevée,1.4 g,en faible quantité,1.7 g,en quantité élevée,?,,289,-7%,1209 kj(289 kcal),-7%,24,-11%,9,-11%,"3,3",+37%,"1,4",+52%,15,+6%,"1,7",+2%,"0,68",+2%,18,-5%,D,-5%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,"['EMB 87085B', 'Limoges (Haute-Vienne, France)', 'FR 87.085.003 CE', 'Limoges (Haute-Vienne, France)']",,,,,,
1136,Illy Moka Ground Dark Roast Coffee - 250g,8003753915074,,,250 g,,['Illy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1137,"Capsules Espresso décaféiné, 10 capsules",3263850101212,,,,['Capsule'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Miel de thym permiel,3263628032069,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Mini baguette x10 - Carrefour,3276550564706,B,,,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",['Carrefour'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,
1140,Miel de châtaignier - Les ruchers de Bourgogne - 375g,3263628004066,B,,375g,['Pot en verre'],['Les ruchers de Bourgogne'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
1141,Crème parfumée fleurs d'oranger pistaches - Monoprix,3350033581142,,,,,['Monoprix'],,['Monoprix'],['France'],[],,,[],,,,,,,,,,?,,219,,916 kj(219 kcal),,15,,10,,18,,14,,"2,5",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,
1142,Chevalier D'or Grande Cuvée Rouge - Igp Pays D'hérault -,3760200896359,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Déconseillé à certaines catégories de personnes', 'Non recommandé aux femmes enceintes']","['EMB 34341B', 'Villeveyrac (Hérault, France)']",,,,,,
1143,Thon bonito,8429035306307,D,,,,,"['Produits de la mer', 'Poissons', 'Thons']",,"['France', 'Espagne']",[],,,[],,8.9 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.7 g,en quantité élevée,?,,194,+6%,812 kj(194 kcal),+7%,"8,9",-10%,0,-100%,0,-100%,0,-100%,28,+30%,"1,7",+65%,"0,68",+65%,4,+30%,C,+30%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,
1144,Ice pomme,6111243860161,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,58,,243 kj(58 kcal),,0,,0,,"14,3",,"14,3",,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,
1145,Délice saveur noix de coco - Auchan - 100g,3596710459315,C,"Biscuits fins parsemé aux flocons de noix de coco séché, aromatisés, fourrage 33% à la noix de coco, aromatisé.",100g,['boite carton'],['Auchan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fins']",['Auchan'],['France'],"['Sucre', 'farine de blé', 'beurre concentré ', 'lait', 'noix de coco râpée 13,6%', 'graisses et huiles végétales ', 'karité', 'coco', 'lactosérum en poudre ', 'lait', 'huile de tournesol', 'dextrose', 'concentré d’œuf entier', 'sel', 'émulsifiant', ' lécithines de tournesol ', 'contient blé', 'arômes', ""poudre à lever : carbonates d'ammonium""]","['E322i - Lécithine', ""E503 - Carbonates d'ammonium""]","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,37 g,en quantité élevée,23 g,en quantité élevée,39 g,en quantité élevée,0.4 g,en quantité modérée,?,,564,+19%,2360 kj(564 kcal),+19%,37,+78%,23,+128%,53,-17%,39,+32%,"3,4",-48%,"0,4",-32%,"0,16",-32%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Nutriscore', 'Produit en braille', 'Nutriscore E']",,,['Allemagne'],,,,
1146,Crème fraiche -,6111246720455,C,,,,,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,
1147,Pâte à tartiner - Maison Jonquier,3760025859409,D,,,"['Bocal en verre', 'Couvercle en métal']",['Maison Jonquier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,['France'],"['praliné noisette ', 'noisettes 60%', 'sucre', 'noisette 20%', 'chocolat au lait 20%', 'sucre glace', 'lait en poudre', 'cacao en poudre', 'huile de tournesol']",,['Fruits à coque'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,36 g,en quantité élevée,8.2 g,en quantité élevée,42 g,en quantité élevée,0 g,en faible quantité,?,,561,+2%,2347 kj(561 kcal),+2%,36,+6%,"8,2",+7%,49,-5%,42,-12%,"9,1",+33%,0,-100%,0,-100%,22,+6%,E,+6%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,"['Ollioules', 'Var', 'Provence']",,,,
1148,Filet de poulet jaune,3397970108810,D,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
1149,Glace Rhum Raisin - Erhard,3428420019797,B,,,,['Erhard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces rhum-raisin']",,['France'],"['Crème glacée au rhum Saint James avec inclusions de raisins macérés au rhum Saint James Ingrédients LAIT frais pasteurisé de la ferme', 'sucre', 'raisins golden macérés au rhum Saint James 8,7% ', 'raisins golden 3,7%', 'eau', 'rhum Saint James® 1,8% ', 'rhum', 'eau', 'colorant: caramel ordinaire', 'sucre', 'gélifiant : gomme xanthane', 'conservateur ANHYDRIDE SULFUREUX', 'BEURRE concentré', ""jaunes d'CEUFS issus de poules élevées en plein air"", 'LACTOSE et protéines de LAIT', 'dextrose', 'Rhum Saint James® 3,1% ', 'rhum', 'eau', 'colorant : caramel ordinaire', 'LAIT en poudre écrémé', ""émulsifiant: mono - et diglycérides d'acides gras"", 'stabilisants farine de graines de caroube - gomme guar', ' Traces éventuelles de SOJA et FRUITS A COQUE', "" Contient 2,2% d'alcool"", 'ne convient pas aux enfants et aux femmes enceintes', ' Les informations en majuscules sont destinées aux personnes intolérantes ou allergiques']","['E150a - Caramel E150a', 'E415 - Gomme xanthane', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Lait', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,8.9 g,en quantité modérée,5.7 g,en quantité élevée,20 g,en quantité élevée,0.14 g,en faible quantité,?,,197,+15%,824 kj(197 kcal),+15%,"8,9",+28%,"5,7",+24%,22,-7%,20,-3%,"3,4",+36%,"0,14",+25%,"0,056",+25%,11,+16%,D,+16%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,
1150,Petits pois tres fins - Le roitelet,3106220001968,B,,,['Conserve métalique'],['Le roitelet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,['France'],[],,,[],,0.9 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.53 g,en quantité modérée,?,,88,+16%,368 kj(88 kcal),+15%,"0,9",+30%,"0,2",+32%,11,+9%,"3,7",+12%,"5,8",+20%,"0,53",-5%,"0,212",-5%,-5,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,,,,,,,
1151,Pomme de terre au four,3254560257054,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1152,LOT 4X250G CAFE MOULU TRADITION MAISON DU CAFE,3228470001250,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Dessert praliné,26097558,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,571,,2389 kj(571 kcal),,37,,14,,50,,49,,8,,"0,11",,"0,044",,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,
1154,Confiture Cerises Noires 450g - Delhaize - 450g,5400111087764,C,Confiture de cerises noires avec une touche de citron,450 g,"['Bocal', 'Verre']",['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",['Delhaize'],"['Belgique', 'France']","['fruits 61% ', 'cerises noires 50%', 'jus de citron à base de concentré 11%', 'sucre', 'sirop de glucose-fructose', 'gélifiant ', 'pectine']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,54 g,en quantité élevée,0.01 g,en faible quantité,991,+9%,233,+5%,991 kj(233 kcal),+7%,"0,5",+105%,"0,1",+122%,57,+6%,54,+4%,"0,5",-22%,"0,01",-62%,"0,004",-62%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,"['Nutriscore', 'Nutriscore C']",,,,,,,
1155,Diet bar peite de chocolate chip - Prozis,5600380891738,,,,,['Prozis'],,,"['France', 'Espagne']",[],,,[],,,,,,,,,,?,,293,,1226 kj(293 kcal),,9,,"3,6",,13,,"2,1",,31,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,
1156,AVOINE DECORTIQUEE FRANCE,3380390022408,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,"7,1",,"1,4",,"59,8",,"1,5",,"11,7",,"0,02",,"0,008",,,,,,,,,,,,,,['Bio'],,,,,,,
1157,Jacob's Biscuits For Cheese Crackers 300G - Jacobs - 300g,5000168203393,A,,300 g,['Cartón'],['Jacobs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,"['Bolivie', 'France', 'Espagne']",[],,,['Végétarien'],,20.2 g,en quantité élevée,9.4 g,en quantité élevée,6.1 g,en quantité modérée,1.4 g,en quantité modérée,?,,477,+21%,1996 kj(477 kcal),+21%,"20,2",+202%,"9,4",+411%,63,-8%,"6,1",+5%,9,-24%,"1,4",+21%,"0,56",+21%,18,+188%,D,+188%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,['Végétarien'],,,,,,,
1158,Maïs doux bio cuit sous vide - Les Paysans Bio - 400g,3760074479962,,,400 g,['Conserve'],['Les Paysans Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Maïs']",,['France'],[],,,[],,1.5 g,en faible quantité,0.2 g,en faible quantité,4.65 g,en faible quantité,0.023 g,en faible quantité,?,,80,-50%,335 kj(80 kcal),-50%,"1,5",-51%,"0,2",-62%,"11,8",-55%,"4,65",+29%,"3,36",-19%,"0,023",-95%,"0,009",-95%,-4,,A,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,['Espagne'],,,
1159,Moutarde au moût de raisin - Mmm! - 210g,3596710463237,B,Moutarde au moût de raisin,210 g,"['Bocal', 'Verre']","['Mmm!', 'Auchan']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['Auchan'],['France'],"['Eau', 'graines de moutarde', 'vinaigre de vin rouge ', 'contient sulfites', 'sucre', 'moût de raisin concentré 8%', 'oignon', 'sel', 'échalote', 'vin rouge', 'concentré de jus de carotte pourpre', 'antioxydant: disulfite de potassium']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']",[],3,8.1 g,en quantité modérée,0.6 g,en faible quantité,13 g,en quantité élevée,4.5 g,en quantité élevée,?,,174,+2%,728 kj(174 kcal),+3%,"8,1",-25%,"0,6",-27%,16,+132%,13,+237%,"6,3",-4%,"4,5",-4%,"1,8",-4%,9,-22%,C,-22%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Nutriscore', 'Nutriscore C']",,,,,,,
1160,Ginger limonade - Marks & Spencer,00802857,,,,,['Marks & Spencer'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,7.9 g,en quantité élevée,0.1 g,en faible quantité,?,,33,+6%,138 kj(33 kcal),+10%,"0,1",+23%,"0,1",+429%,8,+7%,"7,9",+8%,"0,1",-2%,"0,1",+652%,"0,04",+652%,11,+8%,E,+8%,,,,,,,,,,,,,,,,
1161,Mayonnaise - Auchan - 125g,3596710461011,C,,125g,['bocal en verre'],"['Auchan', 'Mmm!']","['Epicerie', 'Sauces', 'Mayonnaises']",['Auchan'],['France'],"['Huile de tournesol', ""jaune d'oeuf"", 'moutarde de Dijon ', 'contient sulfites', ' ', 'garines de moutarde', ""vinaigre d'alcool"", 'eau', 'sel', 'poivron rouge', 'concentréde tomates', 'vinaigre de vin blanc ', 'contient sulfites', 'sel', ""piments d'espelette 1%"", 'citron', 'eau', ""blanc d'oeuf"", 'extrait de romarin']",['E392 - Extrait de romarin'],"['Œufs', 'Moutarde', 'Anhydride sulfureux et sulfites']",['Non végétalien'],3,79 g,en quantité élevée,8.7 g,en quantité élevée,0.6 g,en faible quantité,1.6 g,en quantité élevée,?,,724,+18%,3029 kj(724 kcal),+18%,79,+19%,"8,7",+41%,"0,9",-67%,"0,6",-59%,2,+63%,"1,6",+20%,"0,64",+20%,24,+34%,E,+34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,"['Nutriscore', 'Nutriscore E']",,,,,,,
1162,Miel D'oranger 350GR,3301510012031,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Goodgout,18793309,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,"4,8",,"2,11",,76,,"3,4",,"11,3",,"0,08",,"0,032",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
1164,Grand dessert - Ehrmann - 190g,4002971253603,,,190 g,,['Ehrmann'],['Desserts'],,"['France', 'Allemagne']",[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Poulet au fromage fondu,5410333915721,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,199,,833 kj(199 kcal),,"12,3",,"3,9",,"8,3",,"0,2",,13,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,
1166,Agrumes Zero - Lidl,4056489012153,,,,,['Lidl'],,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,"0,2",,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,
1167,Smoothie Aldi - Pure Fruits,4099200056821,,,,,['Pure Fruits'],,['Lidl'],['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,62,,259 kj(62 kcal),,"0,4",,"0,2",,"12,5",,"11,8",,"0,8",,"0,1",,"0,04",,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,
1168,Edulcorant de table à base de cyclamate et saccharine - Canderel,7640110706879,,,,,['Canderel'],"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants de table']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0.8 g,en faible quantité,3.8 g,en quantité élevée,?,,4,-98%,17 kj(4 kcal),-98%,0,-100%,0,-100%,1,-98%,"0,8",-97%,0,-100%,"3,8",+53%,"1,52",+53%,,,,,,,,,,,,,,,,,,,,
1169,Vidasania 3 quinoas - SOS,8410184031691,C,,,,['SOS'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa']",,"['France', 'Espagne']",[],,,[],,6.9 g,en quantité modérée,0.9 g,en faible quantité,2.7 g,en faible quantité,0.04 g,en faible quantité,?,,361,+10%,1510 kj(361 kcal),+9%,"6,9",+28%,"0,9",+38%,"2,7",-95%,"2,7",+7%,"13,7",+16%,"0,04",-75%,"0,016",-75%,-1,,A,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,,,,,
1170,Coriandre feuilles - Espig 1876 - 50g,3102870025514,,,50g,['Sachet'],"['Espig 1876', 'ESPIG']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Roulade au fromage,3289744000270,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,248,,1038 kj(248 kcal),,20,,"8,8",,"2,3",,"0,8",,16,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,
