,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,allergens,palm_ingredients
1022,Rôti de dinde cuit 100% fillet - Fleury Michon - 200g,3095754436011,E,,200 g,"['', 'Sachet']",['Fleury Michon'],"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Rôtis de dinde', 'Rôti de dinde en tranches']",,,['France'],"['4ngrédients : Filet de dinde ', '88%', 'bouillons ', '2%', ' ', 'eau', 'os de poulet', 'sel', 'épices,carotte', 'céleri', 'oignon', 'poireau', 'plantes aromatiques', 'sel mais', 'jus concentré de céleri ecde betterave jaune', 'plantes aromatiques polvre', 'ferments', 'colorant : caramel ordinaire', ' "" Contient des nitrites dtorigine végeta:e pour assurer la bonne conservation du produit Une allergie ? Plus d\'infos sur : F*v', 'fleurymichon', 'ir']",['E150a - Caramel E150a'],"['Non végétalien', 'Non végétarien']",4,1 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,1.8 g,en quantité élevée,?,,105,-17%,439 kj(105 kcal),-24%,1,-84%,"0,3",-86%,1,-14%,1,+14%,23,+20%,"1,8",+26%,"0,72",+26%,3,-38%,C,-38%,80.5%,9.2%,2.6%,2.6%,1.3%,3.8%,34,,,,,['Céleri'],
1023,Le Tranché fin à l'italienne - Herta - 270g (180g+90g gratuit),3095754491010,E,,270 g (180g+90g gratuit),,['Herta'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,['France'],"['Jambon de porc', 'bouillons ', 'eau', 'os de porc', 'viande de porc', 'céleri', 'carotte', 'jus concentré de céleri', 'oignon', 'poireau', 'plantes aromatiques', 'épices', 'sel', 'dextrose de maïs', 'antioxydant : ascorbate le sodium', 'conservateur : nitrite de sodium', "" Une allergie ? Plus d'infos sur : www"", 'fleurymichon', 'fr']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,1.8 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,131,-1%,548 kj(131 kcal),+0%,"4,9",+2%,"1,8",-2%,"0,7",+5%,"0,7",+18%,21,-0%,"1,8",-4%,"0,72",-4%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,"['FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)', 'FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",['Céleri'],
1024,Le Braisé sans couenne - Fleury Michon - 160g,3095754617014,C,Jambon cuit de qualité supérieure braisé,160 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons braisés']","['Viande-francaise', 'Viande-porcine-francaise']",['LIDL'],['France'],"['Jambon de porc', 'fonds de porc ', 'eau', 'os de porc', 'viande de porc', 'carotte', 'épices', 'sel', 'dextrose de maïs', 'extrait de levure', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.6 g,en faible quantité,1.8 g,en quantité élevée,488,-7%,116,-21%,488 kj(116 kcal),-18%,"2,8",-54%,1,-49%,"0,6",-4%,"0,6",+20%,22,+3%,"1,8",-6%,"0,72",-6%,3,-63%,C,-63%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,['France'],"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1025,Le Paris cuit à l'étouffée - Fleury Michon - 160g,3095754618011,C,Jambon cuit à l'étouffée de Paris de qualité supérieure,160 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande-francaise', 'Viande-porcine-francaise']",['LIDL'],['France'],"['Jambon de porc', 'sel', 'dextrose de maïs', 'extrait de levure', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,473,-7%,112,-15%,473 kj(112 kcal),-14%,"2,8",-42%,1,-46%,"0,7",+5%,"0,7",+18%,21,-0%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,['France'],"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1026,Le Jambon de Paris léger (2% M.G) - Fleury Michon - 150g,3095754747018,E,Jambon cuit à l'étouffée de qualité supérieure,150g,"['Barquette', 'Plastique', 'Frais']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Sans gluten', 'Seulement 2\xa0% MG']",['Cora'],['France'],"['Jambon de porc', 'sel', 'dextrose', 'plantes aromatiques', 'épices', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2 g,en faible quantité,0.8 g,en faible quantité,0.8 g,en faible quantité,1.75 g,en quantité élevée,445,-12%,105,-20%,445 kj(105 kcal),-19%,2,-58%,"0,8",-57%,"0,8",+20%,"0,8",+34%,21,-0%,"1,75",-6%,"0,7",-6%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,['Union européenne'],"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1027,Le Fumé au Bois de Chêne (lot 2x4 + 2) - Fleury Michon - 400g,3095754980019,E,Jambon cuit de qualité supérieur fumé,400 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons blancs fumés']","['Qualité supérieure', 'Qualité Garantie']",['Cora'],['France'],"['Jambon de porc', 'couenne de porc', 'sel', 'bouillon de légumes ', 'eau', 'céleri', 'carotte', 'oignon', 'poireau', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'épices', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6.1 g,en quantité modérée,2.2 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,610,+10%,?,,610 kj(146 kcal),+8%,"6,1",+15%,"2,2",+7%,"0,6",-29%,"0,6",-8%,22,+8%,"1,8",-9%,"0,72",-9%,5,-38%,C,-38%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,['Céleri'],
1028,Le jambon de Paris sans couenne - 8 tr. - Fleury Michon - 280g,3095755046011,C,Jambon cuit de Paris de qualité supérieure,280 g,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Arômes naturels']",['Franprix'],['France'],"['Jambon de porc', 'sel', 'dextrose de maïs', 'extrait de levure', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,473,-7%,?,,473 kj(113 kcal),-14%,"2,8",-42%,1,-46%,"0,7",+5%,"0,7",+18%,21,-0%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,"['France', 'Union européenne']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1029,"Le tradition rôti à la broche, Lentement grillé - 4 tr. - Fleury Michon - 160g",3095755102014,C,"Jambon cuit de qualité supérieure, traditionnel, rôti à la broche",160 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande-francaise', 'Viande Porcine Française', 'Viande-porcine-francaise']",['Auchan'],['France'],"['Jambon de porc', 'sel', 'bouillons ', 'eau', 'os de porc', 'viande de porc', 'carotte', 'épices', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6.7 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,1.9 g,en quantité élevée,622,+23%,?,,622 kj(149 kcal),+14%,"6,7",+40%,"2,4",+30%,< 0,-100%,< 0,-100%,22,+4%,"1,9",+2%,"0,76",+2%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,['France'],"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1030,Blanc de Poulet - 25% de sel* - *par rapport à la moyenne de la catégorie Halal - 4 tr. - Fleury Michon - 160g,3095755119012,,,160 g,,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches']","['Halal', 'en:Société Française de Contrôle de Viande Halal - Grande Mosquée de Paris']",,['France'],"['Filet de poulet', 'bouillon ', 'eau', 'échalote', 'ail,\xa0\xa0épices', 'plantes aromatiques', 'sel', 'dextrose de maïs', 'jus concentré de céleri', 'conservateur : nitrite de sodium', 'colorant : caramel ordinaire']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1.6 g,en faible quantité,0.4 g,en faible quantité,0.9 g,en faible quantité,1.4 g,en quantité modérée,449,+1%,?,,449 kj(107 kcal),+0%,"1,6",-27%,"0,4",-39%,"0,9",-34%,"0,9",+3%,22,+9%,"1,4",-26%,"0,56",-26%,2,-58%,B,-58%,,,,,,,,,,,,['Céleri'],
1031,Poulet Rôti - Fleury Michon - 900g e,3095755140016,C,Poulet cuit traité en salaison et rôti,900 g e,"['Carton', 'Frais', 'Plastique']",['Fleury Michon'],"['Viandes', 'Plats préparés', 'Volailles', 'Poulets', 'Volailles cuites', 'Réfrigérés', 'Poulets cuisinés', 'Plats préparés réfrigérés', 'Poulets rôtis']","['Viande-francaise', 'Point Vert', 'Fabriqué en Espagne', 'Sans conservateurs', 'Poulet Français', 'Alimentation végétale minérale et vitamines']",,['France'],"['Poulet ', '76 %', 'huile de tournesol', 'dextrose', 'sel', 'amidon de pomme de terre', 'extrait de levure', 'vin blanc', 'huile d´olive', 'correcteur d´acidité : acide citrique', 'plantes aromatiques ', 'romarin ', '0,01 %', 'thym ', '0,01 %', 'marjolaine ', '<0,01 %', 'épices ', 'noix de muscade', 'poivre ', '0,02 %', 'paprika', 'arômes']",['E330 - Acide citrique'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6 g,en quantité modérée,1.7 g,en quantité modérée,1 g,en faible quantité,1.4 g,en quantité modérée,615,-13%,?,,615 kj(147 kcal),-12%,6,-26%,"1,7",-24%,"2,1",+224%,1,+186%,21,-6%,"1,4",+18%,"0,56",+18%,3,-35%,C,-35%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Espagne'],,['France'],['ES 26.10405/V CE'],,
1032,Bacon de Dinde Fumé - Fleury Michon - 96g e (12tranches),3095756096015,C,Bacon de dinde fumé au bois de hêtre,96 g e (12 tranches),"['Barquette', 'Film', 'Plastique', 'Frais', 'Sous atmosphère protectrice']",['Fleury Michon'],"['Viandes', 'Porc', 'Volailles', 'Bacon', 'Dindes', 'Bacon fumé', 'Bacons de dindes', 'Bacons de dindes fumés']","['Viande-francaise', 'Point Vert', 'Origine France']",['Leclerc'],['France'],"['Filet de dinde', 'sel', 'dextrose', 'sirop de glucose', 'antioxydant : ascorbate de sodium', 'conservateurs : nitrite de sodium', 'nitrate de potassium', 'arômes naturels', 'épices']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,2.9 g,en quantité élevée,481,,?,,481 kj(115 kcal),-11%,"1,5",-41%,"0,5",-42%,"< 0,5",-62%,"< 0,5",+13%,25,+10%,"2,9",-2%,"1,16",-2%,11,+4%,D,+4%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['France'],,,
1033,Le Tranché Fin Dégustation - Fleury Michon - 150g (5tranches),3095756183012,C,"Jambon, désossé, dégraissé",150 g (5 tranches),"['Frais', 'Blister plastique', 'Opercule film plastique', 'Etiquettes papier']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons dégraissés', 'Jambons désossés']","['Viande-francaise', 'Viande Porcine Française', 'Point Vert']","['Auchan', 'Super U']",['France'],"['Jambon de porc', 'sel', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'plantes aromatiques', 'épices', 'bouillon de légumes ', 'eau', 'céleri', 'carotte', 'oignon', 'poireau', 'dextrose de maïs', ' antioxydant : ascorbate de sodium', 'conservateur: nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4.9 g,en quantité modérée,1.8 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,131,-1%,548 kj(131 kcal),+0%,"4,9",+2%,"1,8",-2%,"0,7",+5%,"0,7",+18%,21,-0%,"1,8",-4%,"0,72",-4%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Nord', 'Vendée', 'France']",http://www.fleurymichon.fr/produit/le-tranche-fin-degustation-6tr,['France'],"['FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)', 'FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",['Céleri'],
1034,Le supérieur cuit à l'étouffée - 2tr. - Fleury Michon - 80g,3095756212019,D,Jambon cuit à l'étouffée de qualité supérieure,80 g,"['Barquette', 'Frais', 'Plastique', 'Barquette']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],"['Carrefour City', 'Magasins U']",['France'],"['Jambon de porc', 'sel', 'bouillon de légumes ', 'eau,\xa0céleri', 'carotte', 'jus concentré de céleri', 'oignon', 'poireau', ',\xa0fond de porc ', 'eau', 'os de porc', 'viande de porc,\xa0épices', ',\xa0dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,490,-3%,?,,490 kj(117 kcal),-10%,"2,8",-42%,1,-46%,"0,7",+5%,"0,7",+18%,22,+4%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['France', 'Espagne', 'Ou']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)', 'FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",['Céleri'],
1035,"Le supérieur, cuit à l'étouffée (4+1 gratuite) - Fleury Michon - 200g (4tranches)",3095756229017,E,Jambon cuit à l'étouffée de qualité supérieure,200 g (4 tranches),"['Frais', 'Barquette plastique', 'Oper cule film plastique', 'Etiquettes papier']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Point Vert', 'Qualité supérieure', 'Visalim']",['Super U'],['France'],"['jambon de porc', 'sel', 'bouillon de légumes ', 'eau', '_céleri', 'carotte', 'oignon', 'poireau', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'épices', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur: nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.2 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,111,-16%,464 kj(111 kcal),-15%,"2,2",-54%,"0,8",-57%,"0,7",+5%,"0,7",+18%,22,+4%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['B : Nord', 'E : Saône & Loire']",,,"['FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)', 'FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",['Céleri'],
1036,Le Torchon Cuit à l'Étouffée - Fleury Michon - 200g e,3095756234011,E,Le Torchon Cuit à l'Étouffée,200 g e,"['Frais', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Réfrigérés', 'Jambons blancs']",['Point Vert'],,['France'],"['Jambon de porc', 'fond de porc ', 'eau', 'os de porc', 'viande de porc', 'échalote', 'ail', 'épices', 'plantes aromatiques', 'sel', 'bouillon de légumes ', 'eau', 'céleri', 'carotte', 'jus concentré de céleri', 'oignon', 'poireau', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,473,-36%,?,,473 kj(113 kcal),-39%,"2,8",-70%,1,-69%,"0,7",-95%,"0,7",-79%,21,+183%,"1,8",+92%,"0,72",+92%,3,-48%,C,-48%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,['Céleri'],
1037,Émincés de poulet rôti - Fleury Michon - 180g,3095756245017,D,"Spécialité de volaille cuite, traitée en salaison et rôtie",180 g,"['Frais', 'Plastique', 'Barquette']",['Fleury Michon'],"['Viandes', 'Volailles', 'Poulets']",,,['France'],"['Haut de cuisse de poulet ', '83 %', 'bouillon de volaille ', 'eau', 'os de poulet', 'sel', 'ail', 'acidifiant : lactate de potassium', 'sel', 'dextrose de maïs', 'fécule de manioc']",['E326 - Lactate de potassium'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,8.8 g,en quantité modérée,2.2 g,en quantité modérée,1.5 g,en faible quantité,1.9 g,en quantité élevée,742,+7%,177,+17%,742 kj(177 kcal),+18%,"8,8",+51%,"2,2",+47%,"1,5",-25%,"1,5",+241%,23,+13%,"1,9",+122%,"0,76",+122%,12,+751%,D,+751%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
1038,Le supérieur cuit à l'étouffée - 8 tr. - Fleury Michon - 280g,3095756313013,D,Jambon cuit à l'étouffée de qualité supérieure,280 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],['Auchan'],['France'],"['Jambon de porc', 'sel', 'bouillon de légumes ', 'eau,\xa0céleri', 'carotte', 'jus concentré de céleri', 'oignon', 'poireau', ',\xa0fond de porc ', 'eau', 'os de porc', 'viande de porc,\xa0épices', ',\xa0dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.8 g,en faible quantité,1 g,en faible quantité,0.7 g,en faible quantité,1.8 g,en quantité élevée,490,-3%,?,,490 kj(117 kcal),-10%,"2,8",-42%,1,-46%,"0,7",+5%,"0,7",+18%,22,+4%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,"['France', 'Espagne']","['FR 85.182.003 CE', 'Pouzauges (Vendée, France)', 'FR 59.597.001 CE', 'Tilloy-lez-Cambrai (Nord, France)']",['Céleri'],
1039,Le Tradition - Jambon cuit de qualité supérieure - Fleury Michon - 160g,3095756314010,C,"Jambon cuit de qualité supérieure, traditionnel",160 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Produits à teneur réduite en sel', 'Charcuteries à teneur réduite en sel', 'Jambons blancs à teneur réduite en sel']","['Peu ou pas de sel', 'Peu de sel', 'Allégé en sel', 'Viande-francaise', 'Moins 25% de sel', 'Viande-porcine-francaise']",['Auchan'],['France'],"['Jambon de porc', 'bouillon ', '1', '4%', ' ', 'eau', 'échalote ', '0', '1%', 'ail ', '0', '05%', 'épices', 'plantes aromatiques ', '0', '04%', 'sel', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,7.6 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,638,+33%,152,+36%,638 kj(152 kcal),+34%,"7,6",+163%,"2,8",+159%,"< 0,5",-22%,"< 0,5",-19%,21,-0%,"1,4",-1%,"0,56",-1%,4,+67%,C,+67%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,['France'],"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1040,Le Tradition - Jambon sans couenne grandes tranches - Fleury Michon - 220g,3095756319015,C,"Jambon cuit au torchon de qualité supérieure, traditionnel",220 g,"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande-francaise', 'Viande-porcine-francaise']",['Auchan'],['France'],"['Jambon de porc', 'bouillons ', '2,3 %', ' ', 'eau', 'os de porc', 'viande de porc', 'échalote', 'ail', 'épices', 'plantes aromatiques', 'sel', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6.2 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.8 g,en quantité élevée,595,+18%,142,+8%,595 kj(142 kcal),+9%,"6,2",+29%,"2,2",+20%,"< 0,5",-25%,"< 0,5",-16%,21,-0%,"1,8",-4%,"0,72",-4%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],,['France'],"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,
1041,Recette à l'Italienne tranches fines rôties - 6 tranches fines - Fleury Michon - 100g,3095756322015,E,,100 g,,['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française']",,['France'],"['Jambon de porc', 'sel', 'bouillons ', 'eau', 'os de porc', 'viande de porc', 'carotte', 'épices', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,8 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,1.9 g,en quantité élevée,636,+26%,?,,636 kj(152 kcal),+16%,8,+67%,"2,9",+58%,< 0,-100%,< 0,-100%,20,-5%,"1,9",+2%,"0,76",+2%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,
1042,Le torchon - Fleury Michon,3095756345014,,,,,['Fleury Michon'],,,,['France'],"['Jambon deporc,fond de porc', 'eau,osdeporc,viande de porc,échalote', 'ail', 'epices', 'plantes aromatiques', 'sel goui Ion de légumes ', 'eau', 'céleri carotte', 'Jus concentre de céleri', 'oignon', 'poireauj', 'dextrose de maïs', 'antioxydant ascorbate de sodium', 'conservateur : nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,112,,469 kj(112 kcal),,"2,8",,1,,"0,7",,"0,7",,21,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
1043,Dés de Jambon (-25% de sel) (+20% gratuit) - Fleury Michon - 2 * 75g + 30g (180g),3095756357017,D,Jambon cuit choix,2 * 75 g + 30 g (180 g),"['Barquette', 'Plastique']",['Fleury Michon'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Produits à teneur réduite en sel', 'Dés de jambon', 'Charcuteries à teneur réduite en sel', 'Jambons blancs à teneur réduite en sel']","['Peu ou pas de sel', 'Peu de sel', 'Allégé en sel', 'Moins 25% de sel', 'Bleu Blanc Cœur']",['Auchan'],['France'],"['Jambon de porc', 'acidifiant: lactate de potassium', 'dextrose de maïs', 'sel', 'bouillon ', 'eau', 'échalote', 'ail', 'épices', 'plantes aromatiques', 'plantes aromatiques', 'céleri', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', 'stabilisants: diphosphates']","['E326 - Lactate de potassium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,5.2 g,en quantité modérée,1.9 g,en quantité modérée,1.6 g,en faible quantité,1.4 g,en quantité modérée,526,-4%,?,,526 kj(126 kcal),-5%,"5,2",+1%,"1,9",-4%,"1,6",+20%,"1,6",+33%,18,-5%,"1,4",-33%,"0,56",-33%,3,-63%,C,-63%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,['Céleri'],
