,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
56,Demi-poires en conserve,3554984778693,['France'],[],[],?,63,264 kj(63 kcal),"0,1",0,15,12,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Viga Yeast 125G,8690770322994,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Melon morceaux,3760288130062,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Macaronis coudés,3760251760685,['France'],[],[],?,365,1527 kj(365 kcal),"2,9","0,6",69,"4,4","12,5",0,0,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tartelettes bio aux noix du perigord,3549170004243,['France'],[],[],?,491,2054 kj(491 kcal),"21,6",8,66,48,"7,2","0,1","0,04",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12 mini gaufres apéritives fourrées au maroilles AOP,3700003781223,['France'],[],[],?,434,1816 kj(434 kcal),26,17,39,"6,1",10,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0208275024077,0208275024077,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tapenade d’olives Kala Matin biologique,5203447740149,['France'],[],[],?,189,791 kj(189 kcal),18,"2,3","3,5","0,5","1,8","4,5","1,8",,,,,"['Bio', 'Bio européen', 'GR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Pimenta Cayenne - Be Aromatic - 40g,5600757950013,['France'],[],[],?,?,,?,,?,,?,,,40 g,,['Be Aromatic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']","['Bio', 'Bio européen', 'PT-BIO-02']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Pâtes,3400935875143,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Curry bio,3234750047597,['France'],[],[],?,?,,?,,?,,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Miel de Fleurs,3770001268101,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
68,Chocolate Goldrings Cookies,0712963004406,['France'],[],[],?,208,870 kj(208 kcal),12,6,24,8,1,"0,188","0,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Café en grains Mushonyi,3149330003330,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,,,,,,-96%,-96%,-100%,-100%,-80%,-100%,-76%,-100%,-100%,,,,,,,,E,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,
