,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
220,Miel d'Acacia et Gelée Royale - Miel Besacier,3110770412082,,['Miel Besacier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel', 'Préparations à base de miel et gelée royale']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,colgate maxwhite - 75ml,8714789357935,,['Colgate'],"['Non alimentaire', 'Open Beauty Facts', 'Dentifrices']",['Sans conservateur artificiel'],['Grossiste'],"['France', 'Sénégal']","['1450 ppm F INGREDIENTS/INGEDIENTE: Sorbitol', 'Aqua', 'Hydrated Sillica', 'Sodium Laury! Sulfate', 'Aroma', 'PEG-12', 'Cellulose Gum', ' Vettasodium Pyroplesphate', 'Cocamidopropyl Betaine', 'Sodium Fluoride', 'Sodium Saccharin', 'Hydroxypropyl Methylcellulose Linonene', 'Cl 74160', 'C 74260', '07791', ' Nintifricioal Fluopl00opiouyoc Obovrinpee/pasta de re ubni pasta/Zubnh pasta/Fogkrém/Pasta de dinDantu pacta', 'ice con Fluor/Dentifrico com Fluor/ Mambapasta/Fluoridzahnpasta Colgate MaxWhite WHIT E CRYSTALS']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,75ml,,['Plastique'],"['E420 - Sorbitol', 'E466 - Carboxyméthylcellulose', 'E464 - Hydroxypropylméthylcellulose']",,['Chine'],,"['Chine', 'M']",,,http://www.colgate.com,,,
222,Jambon Superieur sans couenne - Auchan,3596710481286,E,"['Auchan', 'Auchan Production', 'Groupe Auchan']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française']",['Auchan'],['France'],[],[],3 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,?,,111,-16%,464 kj(111 kcal),-15%,3,-38%,"1,5",-18%,1,+49%,1,+68%,20,-5%,2,+7%,"0,8",+7%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['Barquette en plastique', 'Film en plastique']",,,,,,,,,,,
223,Jus multifruit - Auchan - 1L,3596710480104,D,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits', 'Jus de fruits pur jus', 'Jus multifruits pur jus']","['Nutriscore', 'Nutriscore C']",['Auchan'],['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité élevée,0.01 g,en faible quantité,?,,45,-6%,188 kj(45 kcal),-6%,"< 0,5",+160%,"< 0,1",+252%,10,-10%,10,-4%,"0,6",+40%,"< 0,01",+25%,"0,004",+25%,4,-11%,C,-11%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1 L,,,,,,,,,,,,,
224,Vitamont Pomme Carotte Gingembre,3289196500809,,['Vitamont'],,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"8,5",,"8,5",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Cafe noir velours,8711000522905,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,io - Mots d'Enfants,3564700701058,,"[""Mots d'Enfants""]","['Non alimentaire', 'Open Beauty Facts']",['Sans colorants'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Fruits  and wine rose pamplemousse,3262850046905,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Paic citron,8714789968810,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Le lapin Vichy et ses œufs pralinés - Cémoi - 154g,3173286427308,,['Cémoi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",['Fabriqué en France'],,['France'],"['sucre', 'graisses végétales ', 'palmiste palme', ' praliné 9% ', 'pâte de noisettes', 'sucre', 'poudre de lait entier beurre de cacao', 'pâte de cacao', 'lactose', 'lactosérum en poudre', 'huile végétale ', 'tournesol', 'cacao maigre en poudre', 'émulsifiants : lécithine de tournesol - polyricino - jéate de polyglycérol', 'arôme naturel de vanille', 'arômes', "" Peut contenir des céréales contenant du gluten et d'autres fruits à coque""]",['Non végétalien'],32 g,en quantité élevée,20 g,en quantité élevée,57 g,en quantité élevée,0.18 g,en faible quantité,?,,544,-1%,2276 kj(544 kcal),-1%,32,-5%,20,+8%,57,+6%,57,+11%,"6,1",-3%,"0,18",0%,"0,072",0%,26,+2%,E,+2%,,,,,,,,154g,4,['Plastique'],['E322i - Lécithine'],['Lait'],,,,,,,,,
230,Pétales à la crevette,3564706597846,,,"['Snacks', 'Snacks salés', 'Apéritif']",,,['France'],[],[],31 g,en quantité élevée,2.8 g,en quantité modérée,7.2 g,en quantité modérée,1.9 g,en quantité élevée,?,,537,+15%,2247 kj(537 kcal),+15%,31,+29%,"2,8",-32%,62,+20%,"7,2",+132%,"2,1",-73%,"1,9",+22%,"0,76",+22%,17,+34%,D,+34%,,,,,,,,,,,,,,,,,,,,,
231,Assortiment Vichy chocolat au laiy,3173286770206,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats']",,,['France'],[],[],34 g,en quantité élevée,21 g,en quantité élevée,53 g,en quantité élevée,0.19 g,en faible quantité,?,,556,+1%,2326 kj(556 kcal),+1%,34,-7%,21,-0%,54,+17%,53,+29%,"7,5",+3%,"0,19",+37%,"0,076",+37%,26,+11%,E,+11%,,,,,,,,,,,,,,,,,,,,,
232,8001090572882,8001090572882,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Œuf frais daté du jour de ponte - LeaderPrice - X12,3263858812325,B,['LeaderPrice'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées au sol']",['Oeufs de France'],['Franprix'],['France'],"['Œuf frais de poules de catégorie À', 'élevée au sol ', 'code 2']",[],9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.3 g,en faible quantité,0.31 g,en quantité modérée,?,,141,+1%,590 kj(141 kcal),-0%,"9,8",-2%,"2,6",+4%,"0,3",-45%,"0,3",-32%,13,+3%,"0,31",+11%,"0,124",+11%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,X12,,['Boite'],,,['France'],"['FR 60.104.041 CE', 'Breteuil (Oise, France)', 'FR 80.253.003 CE', 'Doullens (Somme, France)']",['France'],Œuf élevé au sol,,,,,
234,Perrier & juice,7613036753050,,"['Perrier', 'Nestlé']",,,,['France'],[],[],,,,,,,,,?,,16,,67 kj(16 kcal),,0,,0,,"3,9",,"3,9",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Jambon Blanc SUPÉRIEUR - Biocoop - 2x 40g,3760121210067,E,['Biocoop'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Bio'],,['France'],[],[],4.9 g,en quantité modérée,0.4 g,en faible quantité,1.3 g,en faible quantité,2.1 g,en quantité élevée,?,,121,-8%,506 kj(121 kcal),-7%,"4,9",+2%,"0,4",-78%,"1,3",+94%,"1,3",+118%,18,-15%,"2,1",+12%,"0,84",+12%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,2 x 40g,,,,,,"['FR 35.162.009 CE', 'Louvigné-du-Désert (Ille-et-Vilaine, France)']",,,,,,,
236,Salade Garden Grecque -,3242274504151,,,,"['Nutriscore', 'Nutriscore C']",,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,15,,"4,8",,"8,5",,"2,1",,"5,8",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
237,Barre avoine banane bio,4260249149953,,,,['Sans sucre ajouté'],,['France'],[],[],,,,,,,,,?,,482,,2017 kj(482 kcal),,18,,"2,4",,68,,32,,"8,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Pomelos 3fruits,20241865,,,['Fruits agrumes'],,['Lidl'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Filet'],,,,,,,,,,,
239,Carottes râpées bio - Bonduelle - 200g,3083681121155,B,['Bonduelle'],"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées', 'Crudité']","['Bio', 'Sans conservateurs']",,['France'],[],[],7 g,en quantité modérée,0.9 g,en faible quantité,4 g,en faible quantité,0.6 g,en quantité modérée,?,,91,-6%,381 kj(91 kcal),-5%,7,-2%,"0,9",+39%,5,-7%,4,+3%,1,-21%,"0,6",-16%,"0,24",-16%,3,,C,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,200 g,,,,,,,,,,,,,
240,The noir infuse - Monoprix Bio,3350033668355,,['Monoprix Bio'],"['Boissons', 'Thés glacés']",['Bio'],['Monoprix'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,?,,18,-18%,75 kj(18 kcal),-18%,0,-100%,0,-100%,"4,4",-17%,"4,4",-13%,0,-100%,0,-100%,0,-100%,6,-18%,D,-18%,,,,,,,,,,['Bouteille en plastique'],,,,,,,,,,,
241,La madeleine amande éclats d'amande - Maison Colibri,3700157511462,,['Maison Colibri'],,,,['France'],[],[],,,,,,,,,?,,475,,1987 kj(475 kcal),,30,,15,,43,,27,,"7,3",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,
242,Crêpes au chocolat - Auchan Bio,3596710473618,B,['Auchan Bio'],"['Crêpes et galettes', 'Crêpes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Auchan'],['France'],[],[],22 g,en quantité élevée,7.7 g,en quantité élevée,39 g,en quantité élevée,1.2 g,en quantité modérée,?,,458,+50%,1916 kj(458 kcal),+49%,22,+122%,"7,7",+112%,56,+23%,39,+84%,"7,9",+10%,"1,2",+48%,"0,48",+48%,25,+107%,E,+107%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,,
243,déodorant - Nature Moi - 50ml,3286010040626,,['Nature Moi'],"['Non alimentaire', 'Open Beauty Facts', 'Déodorant']","['Bio', 'One Voice']",['Geant Casino'],['France'],"['IL', 'permet de shebiler immédiatement après application et ne laisse pas gensbles et épilées', ' Ne pas appliquer sur une peau initée', ' pct partum agri e1aces blanches sSur les vêtements', ' Convient aux peaux su de TAgriculture Biologique', "" Les couches supérieures de l'épiderme"", ' ParfumAlcool Ethylique', ' Les produits Naturé Moi sont labellisés One Voice', ' ', ' one voice NGRÉDIENTS : AQUA', 'POTASSIUM ALUM', 'GLYCERIN', 'BENTONITE PARFUM', 'XANTHAN GUM', 'SORBITAN CAPRYLATE', 'BENZOIC ACD PROPANEDIOL', 'BENZYL ALCOHOL', 'CAPRYLYL GLYCOL', 'BAMBUSA ARUNDINACEA STEM EXTRACT', 'CITRAL', 'HYDROXYCITRONELLAL', 'LMONENE', 'LINALOOL']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,50 ml,,['Plastique'],"[""E522 - Sulfate d'aluminium potassique"", 'E422 - Glycérol', 'E558 - Bentonite', 'E415 - Gomme xanthane', 'E1519 - Alcool benzylique']",,['France'],,['98\xa0% origine naturel'],,,,,,
244,Petites madeleines aux œufs - 250g,3259426039997,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,['France'],[],[],21 g,en quantité élevée,1.9 g,en quantité modérée,28 g,en quantité élevée,1.1 g,en quantité modérée,?,,426,-3%,1782 kj(426 kcal),-3%,21,-8%,"1,9",-73%,51,-3%,28,+2%,"5,3",-7%,"1,1",+36%,"0,44",+36%,16,-13%,D,-13%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,250 g,,,,,,,,,,,,,
245,Matcha green tea - Häagen-Dazs - 400g,3415581126716,B,['Häagen-Dazs'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",,,['France'],[],[],15.3 g,en quantité modérée,9.3 g,en quantité élevée,21.2 g,en quantité élevée,0.15 g,en faible quantité,?,,242,+10%,1013 kj(242 kcal),+10%,"15,3",+40%,"9,3",+36%,"21,3",-19%,"21,2",-5%,"4,4",+32%,"0,15",-1%,"0,06",-1%,16,+27%,D,+27%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,400 g,,,,,,,,,,,,,
246,1KG Cafe Grain Grand Aroma Bar Lavazza,8000070025035,,['Lavazza'],,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"0,3",,0,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Lansoyl Framboise Gel Oral - Pot De,3400930570357,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,miettes de thon à l'huile de tournesol - petit navire - 160g,03214712,E,['petit navire'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol""]",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,160 g,,['boîte ronde'],,,,,,,,,,,
249,3660005683089,3660005683089,,,,['Fabriqué en France'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Nestlé p'tit gourmand banane cacao - 360g,11695617,B,"['Nestlé', 'Nestlé bébé']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert en conserve', 'Desserts au chocolat', 'Crème dessert au chocolat en conserve']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",,['France'],"['Lait entier* 86,7% ', 'origine UE', 'purée de banane* 5%', 'amidons de maïs et de riz', 'sucre*', 'cacao maigre en poudre* 1,5%', 'arôme naturel', "" *ingrédients issus de l'agriculture biologique"", ' Sans conservateur**', 'sans colorant**', ' *Conformément à la réglementation sur les aliments pour bébés', ' Dessert lacté à la banane avec arôme naturel', ' Aliment biologique pour bébés']",['Non végétalien'],2.9 g,en faible quantité,1.6 g,en quantité modérée,6.2 g,en quantité modérée,0.08 g,en faible quantité,?,,78,-40%,326 kj(78 kcal),-40%,"2,9",-35%,"1,6",-42%,"9,9",-46%,"6,2",-59%,"2,8",-17%,"0,08",-48%,"0,032",-48%,1,-79%,B,-79%,71.5%,12.3%,6.8%,5.7%,3.0%,0.8%,76,360g,4,['Plastique'],,['Lait'],['France'],,,,,,,,
251,bourbon whiskey,4056489129509,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,,
252,Mozzarela di buffala campana - Casino - 255g,3222477370128,D,['Casino'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",['Bio'],['Casino'],['France'],[],[],23 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0.65 g,en quantité modérée,?,,259,-3%,1084 kj(259 kcal),-3%,23,-0%,14,-11%,0,-100%,0,-100%,13,-10%,"0,65",+6%,"0,26",+6%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,255 g,,,,,,,,,,,,,
253,Pirulo Strawberry - Nestlé,8606018612727,B,['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,['France'],[],[],0.5 g,en faible quantité,0.3 g,en faible quantité,16 g,en quantité élevée,,,?,,94,-60%,393 kj(94 kcal),-60%,"0,5",-96%,"0,3",-96%,22,-21%,16,-32%,"0,5",-84%,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,,,
254,Miel,3520059919544,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
255,Pommes abricot et pomme nature (sans sucres ajoutés),3608580022596,,,,['Sans sucre ajouté'],,['France'],[],[],,,,,,,,,?,,56,,234 kj(56 kcal),,"0,2",,0,,12,,12,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Chips Allégées - 120g,20294380,,,,,,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,23,,"2,6",,58,,"0,5",,"5,1",,"1,1",,"0,44",,,,,,,,,,,,,120 g,,,,,,,,,,,,,
257,Les galettes d'Annette - La Mère Poulard,3472860407133,,['La Mère Poulard'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,,,?,,519,,2171 kj(519 kcal),,"26,1",,"18,5",,"64,7",,"28,8",,"5,7",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
258,Boursin salade basilc & sel - 120g,3073781132618,,"['Boursin', 'Boursin salade']",,,,['France'],"['LAIT et CRÈME pasteurisés', 'tomates ', '3%', 'ferments LACTIQUES', 'sel', 'amidon modifié', 'basilic ', '0,4%', 'ciboulette', 'conservateur : sorbate de potassium', ' Peut contenir des traces de fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,1660,,401,,1660 kj(401 kcal),,39,,26,,"4,5",,4,,8,,1,,"0,4",,,,,,,,,,,,,120 g,4,,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,Fromage au lait pasteurisé,,,,,
259,Halo Top cookies & cream,1230000024068,,,,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,"1,8",,"0,9",,10,,"5,3",,"4,1",,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,
260,What The Fanta ? - 2x 250ml,5449000286864,,['Fanta'],"['Boissons', 'Boissons gazeuses', 'Sodas']",,,['France'],[],[],0.01 g,en faible quantité,0.01 g,en faible quantité,0.4 g,en faible quantité,,,?,,4,-85%,17 kj(4 kcal),-85%,"0,01",-76%,"0,01",+3%,"0,4",-94%,"0,4",-94%,0,-100%,,,,,,,,,,,,,,,,2 x 250 ml,,,,,,,,,,,,,
261,Honey,8699916719728,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
262,Mon muesli bio chocolat noix de coco - Aline & Olivier,3760094310825,B,['Aline & Olivier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore B']",,['France'],[],[],14 g,en quantité modérée,5.5 g,en quantité élevée,6.1 g,en quantité modérée,0.03 g,en faible quantité,?,,385,-7%,1611 kj(385 kcal),-7%,14,+7%,"5,5",+66%,"52,2",-14%,"6,1",-64%,"12,5",+27%,"0,03",-83%,"0,012",-83%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,,,,,
263,5 pains suédois ronds,3700679609067,,,,"['Point Vert', 'Fabriqué en France']",,['France'],[],[],,,,,,,,,?,,287,,1201 kj(287 kcal),,"2,5",,"0,7",,55,,"9,2",,"9,4",,1,,"0,4",,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,
264,Mousaka - Auchan - 900g,3596710481422,E,['Auchan'],"['Plats préparés', 'Moussaka']","['Sans colorants', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B']",['Auchan'],['France'],"['Eau', 'aubergines préfrites 21,9% ', 'aubergines', 'huile de tournesol', 'viande de bœuf 16,7%', 'oignons 10,6%', 'double concentré de tomates 7,2%', 'carottes 4,6%', 'farine de manioc', 'huile de colza', 'farine de blé', 'emmental 1,3% ', 'lait', 'poudre de lait', 'sel', 'chapelure ', 'farine de blé', 'levure', 'sel', 'ail', 'fond de bœuf ', 'extraits de végétaux et de plantes aromatiques', 'extrait de viande de bœuf', 'viande de bœuf', ""extraits d'épices et d'aromates"", 'cumin 0,04%', 'poivre blanc', 'muscade', '  Pourcentages exprimés sur le total de la recette']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",9.8 g,en quantité modérée,2.8 g,en quantité modérée,2.9 g,en faible quantité,0.76 g,en quantité modérée,?,,138,+5%,577 kj(138 kcal),+7%,"9,8",+9%,"2,8",+7%,"6,9",+25%,"2,9",+2%,"4,8",-14%,"0,76",+1%,"0,304",+1%,2,+222%,B,+222%,97.0%,1.4%,0.6%,0.6%,0.3%,0.2%,2,900 g,3,"['Carton', 'film plastique', 'Film en plastique']",,"['Gluten', 'Lait']",,['35-139'],['Lait et bœuf de France'],,,http://Auchan.fr,,,
265,Caponata alla siciliana - Picard - 450g,3270160870240,,['Picard'],,,['Picard'],['France'],"['Aubergine grillée 41,5%', 'pulpe de tomate 20,7%', 'poivron rouge et jaune cuit 16%', 'eau', 'olive noire dénoyautée salée* ', 'olive noire 5,8%', 'sel', 'stabilisant : gluconate ferreux', 'céleri', 'câpre salée ', 'câpre 1,9%', 'sel', 'huile d’olive vierge extra', 'oignon', 'basilic 0,5%', 'vinaigre blanc', 'sel', 'ail']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,181,,44,,181 kj(44 kcal),,"2,3",,"0,4",,"3,1",,"2,6",,"0,9",,"0,66",,"0,264",,,,,,,,,,,,,450 g,,"['Surgelé', 'Sachet', 'Plastique']",['E579 - Gluconate de fer'],['Céleri'],['Italie'],,,,,https://www.picard.fr/caponata-alla-siciliana-000000000000087024.html,,,
266,Boisson coco sans sucres - Bjorg - 250ml,3229820799360,,['Bjorg'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'IT-BIO-006']",,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"1,5",,"1,2",,"1,7",,"0,5",,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,250 ml,,,,,,,,,,,,,
267,Lingettes toilette - Kandoo - 55,5025404004497,,['Kandoo'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,55,,['Plastique'],,,,,,,,,,,
268,Apéro! Herbes de Provence - Salakis,3023260032496,D,['Salakis'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés', 'Fromages à pâte fondue', 'Fromages de brebis', 'Fromages apéritif']",,,['France'],"['Fromages au lait de brebis pasteurisé', 'eau', 'herbes de Provence 1,2%', 'poivrons rouges', 'sel', 'gomme de guar', 'acide citrique', 'sorbate de potassium', 'menthe douce']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",17 g,en quantité modérée,12 g,en quantité élevée,0.7 g,en faible quantité,1.4 g,en quantité modérée,783,-28%,189,-34%,783 kj(189 kcal),-33%,17,-31%,12,-25%,"1,2",-72%,"0,7",-82%,7,-34%,"1,4",-14%,"0,56",-14%,14,-7%,D,-7%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,4,['Fresh'],"['E412 - Gomme de guar', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],,,,,,,,,
269,8717644101056,8717644101056,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,sun secure huile 50 spf - SVR - 200ml,07032400,,['SVR'],['Huile solaire'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 ml,,['Plastique'],,,,,,,,,,,
271,Champignon émincé - Bonduelle,3083681120684,B,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons']","['Nutriscore', 'Nutriscore A']",,['France'],"['Champignons', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.6 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.58 g,en quantité modérée,80,-38%,19,-54%,80 kj(19 kcal),-50%,"0,6",-23%,"0,1",-38%,"0,7",-64%,"0,2",-62%,"1,8",-33%,"0,58",+12%,"0,232",+12%,-6,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,3,,,,,,,Champignons de paris émincés au naturel,,,,,
