,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
975,Escalopes de dinde extra fines,3276280143332,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,S'miles,0201024024663,['France'],[],[],?,138,577 kj(138 kcal),"3,7",1,"22,6","12,6",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Mon bâton crème,3595181921130,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Poulet fermier blanc,2160777011208,['France'],[],[],?,0,0 kj(0 kcal),"3,2","0,9","1,6",0,23,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Taokaenoi Crispy Seaweed Big Sheet Spicy Flavor,8857107232023,['France'],[],[],?,23,96 kj(23 kcal),"2,2","0,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Solos,5412865031160,['France'],[],[],?,547,2289 kj(547 kcal),"33,5","17,5",50,"49,5","10,6","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Bugnes nature,0260578025588,['France'],[],[],?,425,1778 kj(425 kcal),20,"9,7",50,10,10,"0,94","0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Milchreis,4061458216098,['France'],[],[],?,110,460 kj(110 kcal),2,"1,3",20,12,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Snacks a partager (le sportif),3770013592010,['France'],[],[],?,416,1741 kj(416 kcal),19,3,50,46,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Aligot de l'Aubrac - coopérative fromagère jeune montagne - 500g,9371171192278,['France'],"['Purée de pommes de terre ', 'origine France', ' 59%', ""- TOME - fraiche de l'Aubrac au - LAIT - cru 31% "", '-FROMAGE - à pâte pressée non salé', '- CREME - de - LACTOSERUM-', 'sel Sans colorant ni conservateur']",['Non végétalien'],750,?,750 kj(179 kcal),13,"8,5","8,3","0,5","7,5","0,77","0,308",B,"['Plats préparés', 'Aligots']",-14%,,+5%,-23%,-16%,73.0%,13.9%,4.3%,4.6%,2.4%,1.7%,67,['coopérative fromagère jeune montagne'],13 g,en quantité modérée,8.5 g,en quantité élevée,0.5 g,en faible quantité,0.77 g,en quantité modérée,-9%,+7%,-13%,-22%,-22%,12,-2%,D,-2%,,['provence halles'],,['Lait'],4,500 g,['Plastique'],['Laguiole'],"['FR 12.119.054 CE', 'Laguiole (Aveyron, France)']",['France'],,,,
