,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
1015,Exki Makthar,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['figrédienb:Boulgour ', 'boulgour bio* ', 'BLE', 'huile de colza', 'carot&s bio* 2696 ', 'orange', 'mauve', 'jaune', ' falafel ', 'eau', 'pois chiche', 'huile ', 'SOJA eVou colza', ""flocons d'oignon"", 'chapelure ', 'farine de BLE', 'sel', 'levures', 'boulgour ', 'BLE', 'épaississant', 'E1412', 'épices', 'oignon séché', 'CELERIr amidon', 'detf&oser malbdeRMner etchaus&ur de goût', 'E621', 'sel', 'levure', '[amidon de mais', ""régulateurs d'acldl& "", 'E450', 'E500', 'l', 'émulsion au poivron jaune 110K ', 'poivron jaune 28%', 'CELERI rave', 'oignon', 'huile de colza', 'eau', 'pommes de &rre', 'sel', 'amidon modifié', 'gingembre', 'ail', 'vinaigre', 'sbbilisateur : gomme guan épices', 'jus de citron', ""salade jus d'orange"", 'épinard 3%', ""huile d'olive"", 'dat&s 2% ', 'dattes', 'farine de riz', 'cerfeuil', 'cumin', 'sel', 'poivre', "" *50% des ingrédient sontissus de l'agdcultlre biologique"", 'Cerüfié par Cerüsys BE-BIO-01', ""Traces d'autes allergènes possibles""]",[],?,,145,,"7,1",,"18,9",,"3,9",,,,,,,,,,,"['E1412 - Phosphate de diamidon', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés']","['Céleri', 'Gluten', 'Soja']",4,,,,,,,,,,607 kj(145 kcal),,"0,8",,"3,6",,"0,39",,"0,156",,,,,,,,,,
1016,Bircher Mangue - Ekki - 160g,,,['Ekki'],,['Bio'],,['France'],"['Inqredients : Jus de SOJA bios ', 'eau', 'fèves de SOJA,sucre de cenne roux', 'sel marin', 'AVOINE bio', 'purée mangue', 'yaourt coco ', 'lait de coco', 'eau de coco,amidon ', 'maïs,pomme de terre', 'épaississant :E440', 'ferments ', 'noix de coco', 'conservateurs : E220', 'E223 ', 'SULFITES', 'NOIX DE CAJOU', "" 50,4% des ingrédients sont issus de l'agriculture biologique"", 'Certifié par Certysis BE-BIO-01', ""Traces d'autres allergènes possibles""]",[],?,,196,,"9,8",,"20,1",,5,,,,,,,,,160 g,,"['E440 - Pectines', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Fruits à coque', 'Avoine', 'Soja', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,820 kj(196 kcal),,0,,"5,6",,"0,1",,"0,04",,,,,,,,,,
1017,Salade Monterosso - EXKI,,,['EXKI'],,,,['France'],"['Penne 55% ', 'BLE', 'trévise 15%', 'blette 9%', 'épinard 7%', 'tomate séchée 7% ', 'tomate séchée', 'sel', 'huile de tournesol', 'acidifiant : E330', 'Grana Padano 5% ', 'LAIT cru ', 'Italie', 'sel', 'présure animale', ""conservateur lysozyme d'ŒUF"", 'huile olive', 'sel', 'huile de NOISETTE', 'poivre']","['Non végétalien', 'Non végétarien']",?,,157,,"4,5",,"16,8",,6,,,,,,,,,,,['E330 - Acide citrique'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,,,,,,,,,657 kj(157 kcal),,"1,3",,"1,2",,"0,6",,"0,24",,,,,,,,,,
1018,Biscuit citron gingembre - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'en:gluten-free', 'BE-BIO-01', 'Fabriqué en Suisse']",,['France'],"['En•tgi• / Enervi•/ Energy/ linidog/Vet/fat/Fett Dont acides / Waarvan of whic h \' oturatos/ Oavonca""bttigtofottsàufea Glucidos/Koothydtaton/ Cotbohydratct/ Kohlenhydrato 53', '4g Dont / Wgorvan / of which Zuckor Fibt08 alimontoiros Flbto/N5hrungstasom SollZoutlSaltlSalz O', '84g Consorvor au soc ot au trais']",[],?,,532,,32,,"53,4",,"6,1",,,,,,,,,,,,,,,,,,,,,,,2226 kj(532 kcal),,"22,5",,"19,4",,"0,84",,"0,336",,,,,,,,,,
1019,Salade menton,,,,,,,['France'],[],[],?,,103,,"0,8",,"2,8",,"10,4",,,,,,,,,,,,,,,,,,,,,,,431 kj(103 kcal),,"0,3",,"2,4",,"0,1",,"0,04",,,,,,,,,,
1020,Poivron fraise,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,89,,"3,7",,"9,2",,"3,5",,,,,,,,,,,,,,,,,,,,,,,372 kj(89 kcal),,"0,4",,"5,7",,"0,3",,"0,12",,,,,,,,,,
1021,Carotte Mangue - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['Crème de chia 58% ', 'boisson de SOJA bio 85,5%', 'graine de chia 11%', 'sucre 3%', 'purée carotte mangue 42% ', 'carotte bio* 37%', 'mangue 30%', 'jus carotte bio* 15%', ""jus d'orange 11%"", 'jus de citron 4%', 'sucre 39%', ' \r *71', ""6% des ingrédients sont issus de l'agriculture biologique,""]",[],?,,89,,"3,3",,"10,7",,3,,,,,,,,,,,,['Soja'],,,,,,,,,,,372 kj(89 kcal),,"0,3",,"7,9",,"0,1",,"0,04",,,,,,,,,,
1022,Junius,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,104,,"3,3",,"9,1",,"6,4",,,,,,,,,,,,,,,,,,,,,,,435 kj(104 kcal),,"0,31",,"0,9",,"0,5",,"0,2",,,,,,,,,,
1023,Louisa,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,264,,"9,4",,31,,"11,6",,,,,,,,,,,,,,,,,,,,,,,1105 kj(264 kcal),,"3,3",,"2,2",,"1,1",,"0,44",,,,,,,,,,
1024,Bundi - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['Inqrédients {Betterave bio* 5700 émulsion carotte gingembre ', 'carotte', 'oignont huile de colza', 'eau', 'épices', 'pomme de terre', 'selì qinqembre', 'vinaiqre', '$ carotte bio* 1306', 'huile de colza', 'fus d$oranqee persil', 'graine de SESAME bio*', 'coriandret seb poivre', ' des ingrédients sont issus de liagricuiture biologique', ' Certifié par Certisfs BE•BIO-OI ÂTraces diautres allergènes possibles,']",[],?,,422,,6,,"7,1",,"1,8",,,,,,,,,,,,['Graines de sésame'],,,,,,,,,,,1766 kj(422 kcal),,"0,6",,"6,6",,"1,3",,"0,52",,,,,,,,,,
1025,Cuzco - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['Quinoa bio* ', 'Commerce équitable', ' 49%', 'émulsion pickles 18% ', 'CELERI rave', 'chou-fleur', 'eau', 'marinade pickles ', 'vinaigre ', 'SULFITE', 'sucre', ""huile d'olive"", 'MOUTARDE', 'curcuma', 'gingembre', 'huile de colza', 'oignon', 'pomme de terre', 'fenouil 17%', 'pamplemousse 6%', 'huile de colza', 'jus de citron', 'sel', 'poivre49', ""5% des ingrédients sont issus de l'agriculture biologique""]",[],?,,589,,"8,2",,"11,5",,"2,8",,,,,,,,,,,,"['Céleri', 'Moutarde', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,2464 kj(589 kcal),,"0,6",,"10,6",,0,,0,,,,,,,,,,
1026,Motuo - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['{Chou blanc 2296', 'carotte bio* 14%', 'riz blanc riz rouqe 12%', 'salade 12%', 'poulet Vita@ rôti ', 'poulet sel', 'dextrose', 'épices', 'arômes', 'chou chinois 606', 'coco ', 'noix de coco', 'conservateurs:', ' dioxyde de dlSULFlTE de sodium', 'pomme 396 ', 'pomme', 'antioxydant: acide citrique', 'huile de SESAME bio*', 'cerfeuil', 'sel', 'curry Madras ', 'MOUTARDE', 'curcuma', 'poivrez des inqrédients sont Issus de Itaqriculture bioloqique', 'Certifié par Certisys BE-BIO-01', 'Traces dtautres allergènes possibles', ' Inqredients {White cabbaqe 2296', 'orqanic* carrot 1406', 'white=oq rice red rice 120,6', 'lettuce 1296', 'roasted Vita@ chicken ', 'chicken ', 'Belqium', 't salt', 'dextrose', 'spices', 'flavouring Napa cabbage 696', 'coconut 306 ', 'coconut', 'conservateurs: ', 'sulphur dloxide', 'sodium metabiSULPHITE', 'apple 306 ', 'apple', 'antioxidant: citric acid orqanlc* SESAME oil', 'chervil', 'sait', 'Madras curry ', 'MUSTARD', 'turmenic', 'pepper', '* 15,506 of the Ingredients are sourced from organic farmlng', ' Certified by Certysls BF-BIO-01', 'Traces of other possible allergens', ' Valeurs nuMüoneltes pour 100g/nuMüonat values per 100g: Energie/Cnergy Kilkcal?', '419/iOO - graisse/Fat:4', '30g - dont sabltés/includinq subred fat sugar: 2', '90g - Fibres']",['Non végétalien'],?,,419,,"4,3",,"10,4",,4,,,,,,,,,,,"['E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Graines de sésame']",4,,,,,,,,,,1753 kj(419 kcal),,"2,3",,"2,9",,"0,6",,"0,24",,,,,,,,,,
1027,Martius,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,44,,1,,"4,9",,3,,,,,,,,,,,,,,,,,,,,,,,184 kj(44 kcal),,"0,1",,"2,4",,"1,2",,"0,48",,,,,,,,,,
1028,Januarius - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['Carotte bio* 33%', 'betterave bio* 30%', 'salade 17%', 'émulsion carotte qlnqembre 10% ', 'carotte', 'oiqnon', 'huile de colza', 'eau', 'épices', 'pomme de terre', 'sel', 'qinqembre', 'vlnalqre', 'truite saumonée fumée 8% ', 'TRUITE', 'sel', 'orange', 'des ingredients sont\\ Issus de liaqrlculture bioloqique', ' Certifié par Certysl:', ' BE-BIO-01Certiflé par Certlsys BE-BIO-01', ""Traces d'autres - allergènes possibles,""]","['Non végétalien', 'Non végétarien']",?,,58,,"2,3",,"5,5",,"2,9",,,,,,,,,,,,['Poisson'],,,,,,,,,,,243 kj(58 kcal),,"0,3",,"4,8",,"0,4",,"0,16",,,,,,,,,,
1029,Ispahab - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['Ispahan Inqrédients tCàrotte bio* 22%', ""potiron bio*t 'ELÉRÏ rave 2200è chou blanc 190,0 huile de colza"", 'de riz ', 'vlnaiqre ', 'alcool', 'riz', 'lie de sake', 'sel', 'ieune estragon', 'Selt des Ingreterts sont ', ""i'„sus de l'aqricultUre bioloqique"", 'Certifié par Certlsfs BE•BIO-Oi', 'Tràces diautres auergènes possible', ""ingredients kOrganic* Carrot 229bi pompkin 22%/ CELERIAC 22%' A%hite cabbaqe 19%"", 'rapeseeWoll', 'rice vineqar ', 'vineqar ', 'alcohol', 'sake kasu Sprlnq on', ""ont tarraqone salt of the inqredlents are sourced from orgaiheiarming' Certified by Certysis BÉ•BIO-0i"", 'Traces of other possible allergens,']",[],?,,82,,"6,4",,"3,8",,"1,1",,,,,,,,,,,,['Céleri'],,,,,,,,,,,343 kj(82 kcal),,"0,5",,"2,4",,"0,2",,"0,08",,,,,,,['BE B427 EC'],,,
1030,Baoshan - Exki - 290g,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],"['Vermicelle de riz ', 'farine de riz', 'eau', 'salade', 'potiron bio*', 'tofu bio* ', 'tofu ', 'eau', 'fèves de SOJA', 'coagulant ', 'nigari', 'huile de tournesol', 'eau', 'shoyu ', 'eau', 'fèves de SOJA', 'sel marin', 'BLE', 'sel marin', 'épices', 'chou blanc', 'carotte bio*', 'oignon rouge', 'jeune pousse de betterave', 'coriandre', 'sel', 'curcuma', 'poivre', ' \r*27,6%% des ingrédients sont issus de l’agriculture biologique', ' \rCertifié par Certysis BE-BIO-01', ""\rTraces d'autres allergènes possibles""]",[],?,,75,,"1,7",,"11,7",,"2,4",,,,,,,,,290 g,,,"['Gluten', 'Soja']",,,,,,,,,,,314 kj(75 kcal),,"0,1",,"1,2",,"0,6",,"0,24",,,,,,,['BE B427 EC'],,,
1031,"Barre avec arrachides, amandes et baies de goji",,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Fall juice - Exki,,,['Exki'],['Boissons'],,,['France'],"['Jus de ', '65%', ' Purée de poire ', '20%', 'Jus de fenouil ', '15%', ' I Irwdiénten: A*tsap ', '65%', 'Peerpuree ', '20%', 'Venkeisap ', '15%', ' I Zutaten: Açfelsatt ', '65%', 'Birnenpüree ', '20%', 'Fenchelsaft ', '15%', ' Valeurs Hàhrwerte ', 'Per / Fett: Og-']",[],?,,53,-5%,0,-100%,"11,55",+2%,"0,53",+7%,,,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,222 kj(53 kcal),-8%,0,-100%,0,-100%,0,-100%,0,-100%,6,-22%,D,-22%,,,,,
1033,Fruits seches d'Ouganda - Banane Fifi,,,,,,,['France'],[],[],?,,340,,"1,2",,80,,"2,99",,,,,,,,,,,,,,,,,,,,,,,1423 kj(340 kcal),,"0,31",,"60,3",,"0,03",,"0,012",,,,,,,,,,
1034,Okayama,,,,,['Bio'],,['France'],[],[],?,,62,,"3,1",,5,,3,,,,,,,,,,,,,,,,,,,,,,,259 kj(62 kcal),,"0,4",,"4,5",,"0,4",,"0,16",,,,,,,,,,
1035,Chocolat lait noisettes entières - Exki,E,['Plastique'],['Exki'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']","['Commerce équitable', 'Fairtrade International']",,['France'],[],[],?,,605,+6%,"46,26",+22%,"37,68",-19%,"9,1",+9%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,46.3 g,en quantité élevée,18.8 g,en quantité élevée,36.7 g,en quantité élevée,0.15 g,en faible quantité,2531 kj(605 kcal),+7%,"18,82",+8%,"36,68",-17%,"0,15",-21%,"0,06",-21%,25,+2%,E,+2%,,,,,
1036,Chocolat lait praliné noisette - Exki,E,,['Exki'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",,,['France'],[],[],?,,569,+2%,"38,68",+8%,"48,27",-4%,"7,91",+13%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,38.7 g,en quantité élevée,17.9 g,en quantité élevée,45.7 g,en quantité élevée,0.15 g,en faible quantité,2381 kj(569 kcal),+2%,"17,94",+5%,"45,66",-3%,"0,15",+17%,"0,06",+17%,27,+9%,E,+9%,,,,,
1037,Chocolat noir - Exki,E,,['Exki'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,['France'],[],[],?,,556,0%,"44,77",+14%,"21,64",-44%,0,-100%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,44.8 g,en quantité élevée,29 g,en quantité élevée,15.3 g,en quantité élevée,0 g,en faible quantité,2326 kj(556 kcal),+0%,"28,98",+25%,"15,26",-52%,0,-100%,0,-100%,19,-10%,E,-10%,,,,,
1038,Chocolat noir pin sylvestre - Exki,D,,['Exki'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aromatisés', 'Chocolats noirs aromatisés']","['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fabriqué en Belgique']",,['France'],"['Pâte de cacao*', 'sucre de canne*', 'beurre de cacao*', 'huile essentielle de pin sylvestre', 'poudre de vanille*']",[],?,,571,+3%,43,+15%,32,-24%,8,+17%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,3,,43 g,en quantité élevée,26 g,en quantité élevée,26 g,en quantité élevée,0.01 g,en faible quantité,2389 kj(571 kcal),+3%,26,+16%,26,-27%,"0,01",-69%,"0,004",-69%,17,-22%,D,-22%,,,,,
1039,Chocolat au Lait Cannelle Bio - Exki,D,"['Papier', 'Tablette']",['Exki'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au lait à la cannelle', 'Chocolats à la cannelle']","['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fairtrade International', 'Fabriqué en Belgique', 'Max Havelaar', 'Max-havelaar-belgique']",['Belgique'],['France'],"['Sucre de canne*', 'beurre de cacao*', 'poudre de lait entier*', 'cannelle*', 'poudre de vanille*', ' *Biologique']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,576,+4%,"38,3",+11%,"49,8",-4%,"6,5",-9%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,['Lait'],3,,38.3 g,en quantité élevée,23.3 g,en quantité élevée,47.5 g,en quantité élevée,0.2 g,en faible quantité,2410 kj(576 kcal),+4%,"23,3",+19%,"47,5",-3%,"0,2",-14%,"0,08",-14%,27,+6%,E,+6%,,,,,
1040,Summer juice,,,,,,,['France'],[],[],?,,40,,0,,"9,25",,"0,55",,,,,,,,,,,,,,,,,,,,,,,167 kj(40 kcal),,0,,0,,0,,0,,,,,,,,,,
1041,Jumper banane mangue - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,140,,"2,7",,"23,3",,"4,4",,,,,,,,,,,,,,,,,,,,,,,586 kj(140 kcal),,"0,6",,"14,8",,"0,2",,"0,08",,,,,,,,,,
1042,Jumper fraise rhubarbe - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,119,,"2,4",,"19,5",,4,,,,,,,,,,,,,,,,,,,,,,,498 kj(119 kcal),,"0,6",,"12,5",,"0,2",,"0,08",,,,,,,,,,
1043,Jumper ananas mangue - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,131,,"2,7",,"21,2",,"4,3",,,,,,,,,,,,,,,,,,,,,,,548 kj(131 kcal),,"0,6",,"13,1",,"0,2",,"0,08",,,,,,,,,,
1044,English breakfast salade - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,246,,13,,"1,8",,"7,7",,,,,,,,,,,,,,,,,,,,,,,1029 kj(246 kcal),,2,,"1,3",,"1,1",,"0,44",,,,,,,,,,
1045,Salade Aprilis,,,,,,,['France'],[],[],?,,313,,"2,1",,"9,9",,"13,2",,,,,,,,,,,,,,,,,,,,,,,1310 kj(313 kcal),,"0,4",,"1,7",,1,,"0,4",,,,,,,,,,
1046,Aprilis,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,125,,7,,"12,2",,"2,4",,,,,,,,,,,,,,,,,,,,,,,523 kj(125 kcal),,"0,6",,2,,"0,7",,"0,28",,,,,,,,,,
1047,Augustus,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,38,,"1,1",,"4,4",,"1,2",,,,,,,,,,,,,,,,,,,,,,,159 kj(38 kcal),,"0,2",,"3,8",,"1,1",,"0,44",,,,,,,,,,
1048,Osaka,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,143,,"8,2",,"12,3",,"4,8",,,,,,,,,,,,,,,,,,,,,,,598 kj(143 kcal),,"0,6",,2,,"1,2",,"0,48",,,,,,,,,,
1049,Lacanau,,,,,,,['France'],[],[],?,,151,,7,,"7,7",,"8,6",,,,,,,,,,,,,,,,,,,,,,,632 kj(151 kcal),,"0,6",,"2,2",,"1,2",,"0,48",,,,,,,,,,
1050,Mahktar,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,109,,"8,4",,"24,5",,"5,1",,,,,,,,,,,,,,,,,,,,,,,456 kj(109 kcal),,"0,9",,"3,4",,"0,5",,"0,2",,,,,,,,,,
1051,Junius,,,,,,,['France'],[],[],?,,94,,"1,6",,"10,8",,"4,4",,,,,,,,,,,,,,,,,,,,,,,393 kj(94 kcal),,"0,24",,"1,6",,"0,7",,"0,28",,,,,,,,,,
1052,Fenouil Abricot,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,99,,"3,6",,"11,6",,"3,6",,,,,,,,,,,,,,,,,,,,,,,414 kj(99 kcal),,"0,4",,"7,8",,"0,1",,"0,04",,,,,,,,,,
1053,Chocolat noir Bio - Figue - Exqui - 30g,D,,['Exqui'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fabriqué en Belgique']",,['France'],"['Pâte de cacao*', '62%', 'sucre de canne""', 'beurre de cacao*,figue*', '6%', 'poudre de vanille* arôme naturel de figue', ' ', '""Ingrédients issus de l\'agriculture biologique', ' Peut contenir des traces de soja', 'lait', 'fruits à coque', 'oeufs et gluten']",[],?,,561,+1%,41,+4%,35,-9%,8,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,30 g,,,,3,,41 g,en quantité élevée,25 g,en quantité élevée,29 g,en quantité élevée,0.01 g,en faible quantité,2347 kj(561 kcal),+1%,25,+8%,29,-9%,"0,01",-79%,"0,004",-79%,18,-15%,D,-15%,,,,,
1054,Capri,,,,,,,['France'],[],[],?,,216,,"11,5",,"21,3",,"6,7",,,,,,,,,,,,,,,,,,,,,,,904 kj(216 kcal),,"1,7",,1,,"0,7",,"0,28",,,,,,,,,,
1055,Julius,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,543,,"9,9",,"2,1",,"7,7",,,,,,,,,,,,,,,,,,,,,,,2272 kj(543 kcal),,"3,22",,2,,"1,2",,"0,48",,,,,,,,,,
1056,Elbrouz - Exki,,,['Exki'],,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,173,,"13,31",,"6,6",,"3,9",,,,,,,,,,,,,,,,,,,,,,,724 kj(173 kcal),,"1,3",,"2,2",,"0,5",,"0,2",,,,,,,['BE B427 EC'],,,
1057,Delice de poulet,,,,,['Halal'],,['France'],[],[],?,,349,,"0,3",,"4,1",,"16,8",,,,,,,,,,,,,,,,,,,,,,,1460 kj(349 kcal),,"0,1",,"3,1",,"3,5",,"1,4",,,,,,,,,,
1058,Cerneaux  de  noix,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,['France'],[],[],?,,0,-100%,0,-100%,0,-100%,10,-33%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,0 kj(0 kcal),-100%,0,-100%,0,-100%,,,,,,,,,,,,,
1059,Confiserie garnit de poudre acidulé,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Pain sans gluten - Genius,B,,['Genius'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits sans gluten', 'Pains', 'Pains sans gluten']",['en:gluten-free'],,['France'],[],[],?,,291,+14%,"10,2",+66%,"39,7",-5%,6,+47%,57.4%,21.5%,10.0%,10.3%,0.7%,0.0%,89,,,,,,,10.2 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en faible quantité,0.89 g,en quantité modérée,1218 kj(291 kcal),+14%,"0,9",-6%,"1,8",-45%,"0,89",-20%,"0,356",-20%,-2,-185%,A,-185%,,,,,
1061,Cacao pate,,,,,,,['France'],[],[],?,,596,,51,,13,,14,,,,,,,,,,,,,,,,,,,,,,,2494 kj(596 kcal),,32,,0,,"0,01",,"0,004",,,,,,,,,,
1062,Galette - Frangipane,D,,['Frangipane'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,['France'],"['pâte 54', '58 : far ina ', 'OLE', ""' "", 'LnÎT', "" sal' Garnituru dd"", ' : bgorrg sucro• LfiIT ent ier', "" poudre d'Ot1"", ""lN0trj OEIJF' poudro d'nt1flNOES blanchihB 5"", ' aggidorj ', ' BLF', ""' rhum"", ' arôme naturel dg vani I Doruru 18 ', 'OEIJF', ' Produit dans qui util isa d\'autrgs fruits à coqoo ""t du soja']",[],?,,416,-1%,29,+10%,31,-20%,"6,6",+4%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,29 g,en quantité élevée,15 g,en quantité élevée,8.8 g,en quantité modérée,0.59 g,en quantité modérée,1741 kj(416 kcal),-1%,15,+1%,"8,8",-32%,"0,59",-15%,"0,236",-15%,18,-6%,D,-6%,,,,,
1063,Pains au chocolat,D,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,['France'],[],[],?,,0,-100%,0,-100%,0,-100%,0,-100%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,0 kj(0 kcal),-100%,0,-100%,0,-100%,,,,,,,,,,,,,
1064,Frites de patates douces,,,,,,,['France'],[],[],?,,218,,"6,7",,"36,5",,"1,9",,,,,,,,,,,,,,,,,,,,,,,912 kj(218 kcal),,"0,5",,"20,7",,"0,31",,"0,124",,,,,,,,,,
1065,Chaï de Saigon,,,,,,,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,0,,,,,,,,,,,,,,
1066,Orient snacks,,,,,,,['France'],[],[],?,,398,,"5,4",,77,,"8,9",,,,,,,,,,,,,,,,,,,,,,,1665 kj(398 kcal),,"0,9",,10,,"0,3",,"0,12",,,,,,,,,,
1067,Bananachips,,,,,,,['France'],[],[],?,,543,,33,,58,,"1,8",,,,,,,,,,,,,,,,,,,,,,,2272 kj(543 kcal),,15,,17,,0,,0,,,,,,,,,,
1068,Muesli mix,,,,,,,['France'],[],[],?,,402,,"9,5",,75,,"2,3",,,,,,,,,,,,,,,,,,,,,,,1682 kj(402 kcal),,"4,3",,53,,0,,0,,,,,,,,,,
