,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
41,Strawberry Pencils - Tesco,5000358628821,,,['mixed plastic-packet'],['Tesco'],,,"['France', 'Royaume-Uni']","['sugar', 'glucose-fructose syrup', 'wheat flour', 'glucose syrup,: dextrose', 'modified potato stard', ' palm oil', 'acid ', 'citric acid', 'beef gelatine', 'glazing agent ', 'white beeswax', 'flavouring', 'fruit and plant concentrates ', 'apple', 'pumpkin', 'tomato', 'radish', 'antioxidants ', 'tocopherol-rich extract', 'ascorbic acid']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,370,,1548 kj(370 kcal),,"1,6",,1,,86,,64,,"2,3",,"0,1",,"0,04",,,,,,,,,,,,,"['E330 - Acide citrique', 'E428 - Gélatine', ""E901 - Cire d'abeille"", 'E306 - Extrait riche en tocophérols', 'E300 - Acide ascorbique']",,['Gluten'],4,,,,['Tesco'],,,,
42,Ferrero MC Vities Digestive Vaniglia GR205 - McVitie's,5000396037784,,,,"[""McVitie's""]",,"['Sans colorants', 'en:Palm oil']","['France', 'Italie']","['Farine 29% [farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'sucre', 'huile de palme', 'farine de blé entier 15%', 'lactose ', 'produit de lait', ""farine d'avoine 2,5%"", 'dextrose', 'lait ecréme en poudre', 'lactosérum en poudre ', 'produit laitier', ' poudres à lever ', 'carbonates de sodium', ""carbonates d'ammonium"", 'sel', 'amidon de blé', ' arôme de vanille naturel', ' A de préférence avant ', 'ED', ': voir la fermeture valeur nutritionnelle pour 100g Valeur énergétique : 2124kJ / 508kcaj', ' lipides : 25,4g', 'dont saturés: 15,2g', ' glucide : 63,1g', ' dont sucre 33,2g', ' protéine: 5,3g', 'sel O,83g']",['Non végétalien'],,,,,,,,,?,,508,,2125 kj(508 kcal),,"25,4",,"15,2",,"63,1",,"33,2",,"5,3",,"0,8",,"0,32",,,,,,,,,,,,,,['Huile de palme'],['Lait'],4,,,,,,,,
43,Oat crunch - McVitie's,5000396041613,,,,"[""McVitie's""]",,,['France'],"['овес,млечен шоколад', 'шоколад', 'захар,какаово маса', 'обезмаслено мляко на прах', 'пълномаслено мляко', 'растителни мазнини сал,ший', 'палмова', 'соев лецитин', 'полиглицерол', 'естествени ароматизанти', 'пшенично брашно,захар,палмово масло', 'глюкозо фруктозен сироп,натриев карбонат,амониев карбонат,сол']",['Huile de palme'],,,,,,,,,?,,491,,2054 kj(491 kcal),,"23,3",,"11,5",,"60,8",,33,,"7,1",,"0,74",,"0,296",,,,,,,,,,,,,"['E500i - Carbonate de sodium', ""E503i - Carbonate d'ammonium""]",,['Gluten'],4,,,,,,,,
44,Strawberry Flavour Laces - Tesco,5000462822474,,,['mixed plastic-packet'],['Tesco'],,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,358,,1498 kj(358 kcal),,"2,4",,"1,2",,80,,46,,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
45,RESCUE Coeur Fondant Orange-sureau - 10 Pastilles - Bach,5000488109375,,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
46,Appleford's mélasse - Somona - 680g,5002960013590,A,680 g,['pot verre'],['Somona'],"['Édulcorants', 'Sirops', 'Sirops simples', 'Mélasses']","['Bio', 'Bio européen', 'CH-BIO-004', 'en:ch-bio-04']","['France', 'Suisse']","['Mélasse noire', 'pure', 'tirée exclusivement de canne à sucre', 'non raffinée']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
47,hovis,5010003001169,,,['ldpe-bag'],['Hovis'],,,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,"2,4",,"0,7",,"46,4",,"3,4",,"10,3",,"1,03",,"0,412",,,,,,,,,,,,,,,,,,,,,,,,
48,Dark Rye Crispbread - Ryvita,5010265001037,,,,['Ryvita'],,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,"1,2",,"0,2",,"66,6",,3,,"8,5",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,
49,Unearthed Bavarian Frankfurters,5010292932854,E,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes', 'Saucisses de Francfort']",,['France'],"['Pork ', '82 %', 'Water', 'Pork Fat', 'lodised Salt ', 'Salt', 'Potassium iodate', 'Spices ', 'White Pepper', 'Dextrose', 'Ginger', 'Nutmeg', 'Mace', 'Coriander', 'Lovage Root', 'Salt', 'Onion Powder', 'Cardamon', 'Pimento', 'Chilli', 'Dextrose', 'Stabiliser: Diphosphates', 'Antioxidants: Ascorbic Acid', 'Preservative: Sodium Nitrite', 'Natural Sheep Casing']","['Non végétalien', 'Non végétarien']",28 g,en quantité élevée,12 g,en quantité élevée,0.8 g,en faible quantité,2.1 g,en quantité élevée,?,,302,+18%,1264 kj(302 kcal),+17%,28,+30%,12,+49%,1,-12%,"0,8",+10%,12,-15%,"2,1",+7%,"0,84",+7%,22,+19%,E,+19%,84.3%,9.6%,1.8%,1.2%,0.7%,2.5%,23,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,4,,,,,,,,
50,Red Grape Sparkling Juice Drink,5010388800166,,,,,,,['France'],[],[],,,,,,,,,?,,21,,88 kj(21 kcal),,0,,0,,"4,8",,"4,8",,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
51,Corned Beef - Exeter,5010436500000,,,,['Exeter'],"['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",,['France'],"['BOEUF CUIT ', '93,5%', 'BOEUF ', '3%', 'SEL', 'SUCRE ET NITRITE DE SODIUM CONSERVATEUR']","['Non végétalien', 'Non végétarien']",13 g,en quantité modérée,6.5 g,en quantité élevée,1 g,en faible quantité,2.45 g,en quantité élevée,?,,219,-4%,916 kj(219 kcal),-3%,13,-14%,"6,5",-9%,1,+97%,1,+256%,25,+16%,"2,45",+57%,"0,98",+57%,18,+17%,D,+17%,,,,,,,,,,,3,,,,,,,,
52,Apricot - Campbells,5010909004622,,,,['Campbells'],['Biscuits et gâteaux'],,"['France', 'Espagne']",[],[],27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.93 g,en quantité modérée,?,,515,+20%,2155 kj(515 kcal),+20%,"27,5",+44%,"17,4",+104%,"61,7",+8%,"21,6",-26%,"5,8",-2%,"0,93",+65%,"0,372",+65%,24,+30%,E,+30%,,,,,,,,,,,,,,,,,,,
53,Terror eyes -,5011061053961,E,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', ""Aliments et boissons d'Halloween""]",,['France'],[],[],5.2 g,en quantité modérée,0.8 g,en faible quantité,74 g,en quantité élevée,0 g,en faible quantité,?,,383,-5%,1602 kj(383 kcal),-5%,"5,2",-47%,"0,8",-84%,84,+17%,74,+35%,0,-100%,0,-100%,0,-100%,14,-20%,D,-20%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
54,Chilli Pickle - Patak’s - 283g,5011308000406,,283 g,['Glas'],['Patak’s'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale""]",,"['France', 'Allemagne', 'États-Unis']","['Green Chillies ', '42%', 'Rapeseed Oil', 'Salt', 'Cracked MUSTARD Seed', 'Ginger Purée ', '5%', 'Cracked Fenugreek Seed', 'Acid ', 'Acetic Acid', 'Turmeric Powder']",[],32.1 g,en quantité élevée,2.1 g,en quantité modérée,0.5 g,en faible quantité,7.74 g,en quantité élevée,?,,330,+14%,1381 kj(330 kcal),+16%,"32,1",+194%,"2,1",+9%,"1,4",-96%,"0,5",-95%,"4,2",-26%,"7,74",+1605%,"3,096",+1605%,15,+344%,D,+344%,,,,,,,,['E260 - Acide acétique'],,['Moutarde'],3,,,,,,,,
55,Brinjal Pickle - Patak's - 312g,5011308000901,,312 g,['Verre'],"[""Patak's""]",['Pickles'],"['Végétarien', 'en:gluten-free', 'Sans arômes artificiels', 'Sans colorants artificiels', 'Sans conservateur artificiel']","['France', 'Royaume-Uni']","['Sugar', 'Rapeseed Oil', 'Aubergines ', '17%', 'Water', 'Ground Spices ', '4', '5%', ' [Paprika', 'Spices', 'Coriander]', 'Salt', 'Green Chillies ', '4%', 'Cracked MUSTARD Seed', 'Cracked Coriander Seed', 'Cracked Fenugreek Seed', 'Garlic Purée', 'Acid ', 'Acetic Acid', 'MUSTARD Powder']",['Végétarien'],24.8 g,en quantité élevée,1.7 g,en quantité modérée,33.4 g,en quantité élevée,4 g,en quantité élevée,?,,381,+210%,1594 kj(381 kcal),+213%,"24,8",+136%,"1,7",+6%,"34,5",+1168%,"33,4",+3112%,"2,1",+63%,4,+39%,"1,6",+39%,22,+164%,E,+164%,,,,,,,,['E260 - Acide acétique'],,['Moutarde'],3,,,,,,,,
56,Original Tikka Masala - Patak's - 350g,5011308323079,,350 g,,"[""Patak's""]","['Epicerie', 'Sauces']",,"['France', 'Hongrie', 'Suisse']","['Eau', 'tomate ', '15%', 'oignon', 'crème fraiche liquide ', 'lait', 'yaourt ', 'lait', ' ', '5%', 'purée de tomate concentrée ', '4%', 'huile de colza', 'épices moulues ', '2%', ' [épices', 'cumin', 'coriandre]', 'amidon de maïs modifié', 'sucre', ""purée d'ail"", 'purée de gingembre', 'sel', 'graine de cumin', 'acidifiant ', 'acide lactique', 'extrait de paprika', 'feuille de coriandre séchée']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4.7 g,en quantité modérée,0.8 g,en faible quantité,4 g,en faible quantité,0.75 g,en quantité modérée,334,-62%,?,,334 kj(80 kcal),-66%,"4,7",-74%,"0,8",-63%,"7,2",-27%,4,-38%,"1,4",-48%,"0,75",-69%,"0,3",-69%,3,-74%,C,-74%,,,,,,,,"['E270 - Acide lactique', 'E160c - Extrait de paprika']",,['Lait'],4,,,,,,,,
57,Pataks Korma Sauce 450g - Patak's - 450g,5011308505024,B,450 g,"['Bocal', 'Verre']","[""Patak's""]","['Epicerie', 'Sauces', 'Sauces au curry', 'Sauces Karma']",,['France'],"['water', 'sugar', 'desiccated coconut ', '4', '5%', 'single cream ', 'milk', ' ', '4%', 'creamed coconut ', '4%', 'rapeseed oil', 'modied maize starch', 'concentrated tomato purée', 'double cream ', 'milk', ' ', '1', '5%', 'ginger purée', 'garlic purée', 'spices ', '1%', 'dried onion', 'salt acid ba ', 'lactic acid', 'concentrated lemon juice', 'dried coriander leaf', "" guarantee: if you haven't enjoyed this product w please contact us quoting the code on the l"", ' your statutory rights are not affected', ' rinse ld on ab world foods ltd', ' leigh', 'wn7 5rs', 'uk ab foods polska sp', ' z 0', '0', ' ul', ' przemysłowa 2 67-100 nowa sól', ' poland uk: 0800 0195 617 roi: 0044 800 0195 617 widely recycled 5 ""011308 505024 lea503q07']",['Non végétalien'],11.1 g,en quantité modérée,6.1 g,en quantité élevée,6.6 g,en quantité modérée,0.71 g,en quantité modérée,?,,145,-38%,607 kj(145 kcal),-34%,"11,1",-39%,"6,1",+80%,"9,4",-10%,"6,6",+10%,"1,2",-25%,"0,71",-58%,"0,284",-58%,11,-6%,D,-6%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,['E270 - Acide lactique'],,['Lait'],3,,,,,,,,
58,So free chocolate ecológico extra negro cacao - Plamil,5013092000525,D,,,"['Plamil', 'So Free']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",54 g,en quantité élevée,33.2 g,en quantité élevée,13.5 g,en quantité élevée,0.07 g,en faible quantité,?,,632,+14%,2644 kj(632 kcal),+14%,54,+37%,"33,2",+44%,"20,3",-47%,"13,5",-57%,"10,1",+32%,"0,07",+50%,"0,028",+50%,14,-34%,D,-34%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
59,Lait de Coco - Natco - 400ml,5013531212748,B,400 ml,['Can'],['Natco'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,"['France', 'Royaume-Uni']","['Extrait de noix de coco ', '82%', 'Eau', 'Agents stabilisant: E412', 'E466', ' Émulsifiant\xa0: E435', 'Antioxydant E330']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",17 g,en quantité élevée,16 g,en quantité élevée,2 g,en faible quantité,0.1 g,en faible quantité,?,,172,+9%,720 kj(172 kcal),+10%,17,+9%,16,+18%,"3,3",+19%,2,+19%,"0,8",-37%,"0,1",+37%,"0,04",+37%,7,-26%,C,-26%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,"['E412 - Gomme de guar', 'E466 - Carboxyméthylcellulose', 'E435 - Monostéarate de polyoxyéthylène sorbitane', '', 'Risque modéré de sur-exposition', 'E330 - Acide citrique']",,,4,,,,,,,,
60,Huile de tournesol,5013635606108,,,['pet-bottle'],,,,['France'],[],[],,,,,,,,,?,,899,,3761 kj(899 kcal),,"99,9",,"11,9",,0,,0,,"0,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
61,Meridian Natural Light Tahini - Meridian foods - 270g,5014213711313,D,270 g,"['Glass', 'Metal']",['Meridian foods'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame', 'en:Ground seeds']",['Sans sucre ajouté'],['France'],[],[],59.6 g,en quantité élevée,8.5 g,en quantité élevée,0.4 g,en faible quantité,0 g,en faible quantité,?,,631,-1%,2640 kj(631 kcal),-1%,"59,6",+7%,"8,5",+3%,"0,9",-86%,"0,4",-36%,"18,7",-17%,0,-100%,0,-100%,10,-25%,C,-25%,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,,,,,,,,,,,,
62,Sweet Mango Chutney - Rajah - 340g,5015821147440,,340 g,['Glas'],['Rajah'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Sauces', 'Chutneys de fruit']",,"['France', 'Allemagne']",[],[],0.3 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,3 g,en quantité élevée,?,,255,+39%,1067 kj(255 kcal),+38%,"0,3",-48%,0,-100%,63,+49%,56,+41%,"0,2",-75%,3,+320%,"1,2",+320%,18,+108%,D,+108%,,,,,,,,,,,,,,,,,,,
63,Pate de curry forte,5015821155209,,,,,"['Epicerie', 'Sauces', 'Pâtes de curry']",,['France'],[],[],21 g,en quantité élevée,2 g,en quantité modérée,8.2 g,en quantité modérée,11.3 g,en quantité élevée,?,,219,+13%,916 kj(219 kcal),+14%,21,+71%,2,-1%,14,+9%,"8,2",+55%,4,+22%,"11,3",+64%,"4,52",+64%,14,+12%,D,+12%,,,,,,,,,,,,,,,,,,,
64,Pate de curry tikka - Rajah,5015821155247,,,,['Rajah'],"['Epicerie', 'Sauces', 'Pâtes de curry']",,['France'],"['deGingembre', 'j', 'QFarine de Pois Chiches', 'Puréec:', ' F Acidifiant ', 'Acide ue', 'Piment en Poudre ', '1', '59é ', '7%', 'Épices', 'MO E', 'Colorant ', 'Extrait de Papr Carder au réfrigérat une fois ouvert et consommv 4semaines', ' Assurezx us que le plat soit complèteme= avant de servir', "" Produit d'Inde Westrnill oods 6 Crown Road"", 'Enfield', 'ENI IDZ', 'UK ', 'rajahspices', 'co', 'uk']",[],17 g,en quantité modérée,1.7 g,en quantité modérée,7 g,en quantité modérée,10.8 g,en quantité élevée,?,,219,+13%,916 kj(219 kcal),+14%,17,+38%,"1,7",-16%,12,-6%,7,+32%,"4,5",+37%,"10,8",+56%,"4,32",+56%,14,+12%,D,+12%,,,,,,,,,,,4,,,,,,,,
65,Pâte de Curry Biryani - Rajah,5015821155261,,,,['Rajah'],"['Epicerie', 'Sauces', 'Pâtes de curry']",,['France'],[],[],19 g,en quantité modérée,1.9 g,en quantité modérée,6.7 g,en quantité modérée,10.3 g,en quantité élevée,?,,237,+23%,992 kj(237 kcal),+24%,19,+54%,"1,9",-6%,12,-6%,"6,7",+27%,"4,5",+37%,"10,3",+49%,"4,12",+49%,14,+12%,D,+12%,,,,,,,,,,,,,,,,,,,
66,Kettle Chips Sal Marina y Vinagre Balsámico - Kettie,5017764112257,,,,['Kettie'],,,"['Belgique', 'France']",[],[],,,,,,,,,?,,513,,2146 kj(513 kcal),,"28,9",,"2,4",,"56,8",,"1,3",,"4,3",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,
67,Tortilla Wrap - Quorn - 476g,5019503025842,,476g,"['Plastic', 'bag']",['Quorn'],['Produits à la viande'],['Végétarien'],"['France', 'Irlande']","['mycoprotein ', '52%', 'water', 'wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin ', 'thiamine', 'vegetable oils ', 'sunflower', 'rapeseed', 'rehydrated free range egg white', 'maize flour', 'wheat starch', 'milk proteins', 'natural flavouring', 'salt', 'raising agents: tetrasodium diphosphate', 'sodium carbonate', 'firming agents: calcium chloride,calcium acetate', 'wheat gluten', 'gelling agent: pectin', 'dextrose,']","['Non végétalien', 'Végétarien']",4.2 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en faible quantité,1.3 g,en quantité modérée,?,,162,-16%,678 kj(162 kcal),-14%,"4,2",-61%,"0,5",-87%,"15,8",+98%,"1,2",-15%,"10,3",-7%,"1,3",+9%,"0,52",+9%,-3,-143%,A,-143%,,,,,,,,"['E450iii - Diphosphate tétrasodique', 'E500i - Carbonate de sodium', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E263 - Acétate de calcium', 'E440 - Pectines']",,['Gluten'],4,,,,['Tesco'],,,,
68,Jacob's Cream Crackers - Jacobs,50137510,,,,"['Jacobs', ""Jacob's""]",,,['France'],"['flour ', 'wheat flour', 'calcium', 'iron', 'niacin', 'thiamin', 'vegetable oil ', 'palm', 'salt', 'raising agent ', 'sodium bicarbonate', 'yeast,']",['Huile de palme'],,,,,,,,,?,,440,,1841 kj(440 kcal),,"13,5",,"6,2",,"67,7",,"1,4",,10,,"1,3",,"0,52",,,,,,,,,,,,,['E500ii - Carbonate acide de sodium'],,['Gluten'],,,,,,,,,
69,Slimline Tonic Water - Schweppes,50193622,,,['aluminium-can'],['Schweppes'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas light', 'Eau tonique']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,2,-93%,8 kj(2 kcal),-93%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,1",+992%,"0,04",+992%,1,-89%,B,-89%,,,,,,,,,,,,,,,,,,,
70,Cheddar vintage - Wyke farms - 200g,5021427906596,D,200 g,,['Wyke farms'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,['France'],[],[],34.4 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,?,,410,+4%,1715 kj(410 kcal),+3%,"34,4",+4%,"21,7",+3%,"0,1",-93%,"0,1",-80%,25,+6%,"1,8",+2%,"0,72",+2%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
71,Comté    Affiné 7mois minimum - Reflets de France - 0.258kg,0219747027359,D,0.258 kg,,['Reflets de France'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,416,+5%,1741 kj(416 kcal),+6%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,27,+7%,"0,7",-28%,"0,28",-28%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,"['EMB 35068J', 'Châteaubourg (Ille-et-Vilaine, France)', 'EMB 25039', 'Avoudrey (Doubs, France)']",,,,,
72,Assortiment gourmand,3770002010112,,,,,,,['France'],[],[],,,,,,,,,?,,397,,1661 kj(397 kcal),,22,,17,,43,,35,,5,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
73,Miso Riz Complet (non Pasteurise) (300 GR) - Clearspring,5021554985099,,,,['Clearspring'],,"['Bio', 'Bio européen', 'NL-BIO-01']",['France'],[],[],,,,,,,,,?,,183,,766 kj(183 kcal),,"5,8",,1,,19,,12,,11,,"11,4",,"4,56",,,,,,,,,,,,,,,,,,,,,,,,
74,Wide Udon - Clearspring,5021554989059,,,,['Clearspring'],,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,21,,"0,4",,66,,"1,1",,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
75,Clipper Hot Chocolate - 350g,5021991938771,C,350 g,"['Boîte', 'Métal']",['Clipper'],"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']","['Commerce équitable', 'Contient du lait', 'Fairtrade International']","['France', 'Suisse', 'Royaume-Uni']","['Sucre', 'lait écrémé', 'perméat de lait en poudre', 'cacao en poudre ', '15 %']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,1603,+8%,379,+14%,1603 kj(379 kcal),+12%,"3,4",-21%,"2,1",-18%,"72,3",+14%,"70,5",+25%,"12,4",+96%,"0,9",+331%,"0,36",+331%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,['Lait'],4,Instant hot chocolate drink,['United Kingdom'],,"[""Sainsbury's""]",,https://www.clipper-teas.com/product/seriously-velvety-instant-hot-chocolate/,,
76,Flavoured black tea - Whittard,5022032116646,,,,['Whittard'],,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
77,Extra juicy bits - Tropicana,5022313735108,,,"['carton', 'composite-carton']",['Tropicana'],,,['France'],[],[],,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,"9,1",,"9,1",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Hajmola Imli,5022496104586,,,,,,,['France'],[],[],,,,,,,,,?,,311,,1301 kj(311 kcal),,1,,"0,2",,75,,54,,"0,3",,19,,"7,6",,,,,,,,,,,,,,,,,,,,,,,,
79,Dabur Chyawanprash,5022496205009,,,,['Dabur'],,['en:LEAF'],['France'],"['Made using an authentic an Indian recipe comprising of natural in - edients anti-oxidants', 'Chyawanprash has been known for centuries as a rejuvenator', ' Ingredients Emblica officinalis ', 'Emblic Myrobalan', ' Fruit', 'Sugar', 'Honey', 'Clarified Butter', 'Sesamum indicum ', 'Sesame', ' Oil', 'Piper longum ', 'Long Pepper', ' Fruit', 'Bambusa bambos ', 'Bamboo Manna', 'Elettaria cardamomum ', 'Cardamom', ' Seed Syzygium aromaticum ', 'Clove', ' Flower Buds', 'Mesua ferrea ', 'Cobras saffron', 'Stamen', 'Cinnamomum tamala ', 'Leaf Cinnamon', ' Leaf', 'Cinnamomum zeylanicum ', 'Cinnamon', ' Stem Bark', 'Pueraria tuberosa ', 'Indian Kudju', ' Root Tuber', 'Dioscorea bulbifera ', 'Air potato', ' Root Tuber', 'Withania somnifera ', 'Winter cherry', ' Root', 'Asparagus racemosus ', 'Asparagus', ' Root', 'Aegle marmelos ', 'Bengal Quince', ' Root', 'Desmodium gangeticum ', 'Sal Leaf Bush', ' Root', 'Gmelina arborea ', 'Cashmere Tree', ' Root', 'Oroxylum indicum ', 'Indian Packed by: Naturelle LLC', 'Al Jazeera Al Hamra Area', 'Main Street', 'P', 'O', 'B0x: 6399', 'Ras Al Khaimah', 'U', 'A', 'E for Dabur International Ltd', 'P', 'O', ' Box: 16944', 'Dubai', 'U', 'A', 'E', ' Marketed in UK by: Dabur International Ltd ', ' No Olympic Way', 'Wembley', 'Middlesex', 'HA9 ONP www', 'dabur', 'co', 'uk']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,325,,1360 kj(325 kcal),,"1,7",,"0,7",,76,,67,,"1,26",,0,,0,,,,,,,,,,,,,,,['Graines de sésame'],,,,,,,,,
